time_board,marker
1730654803.2839873,4000
1730654803.2879865,4000
1730654803.2920513,4000
1730654803.2970316,4000
1730654803.3010368,4000
1730654803.3050444,4000
1730654803.3090465,4000
1730654803.312092,4000
1730654803.316036,4000
1730654803.3200724,4000
1730654803.3240747,4000
1730654803.329132,4000
1730654803.3331008,4000
1730654803.33609,4000
1730654803.34013,4000
1730654803.344143,4000
1730654803.348169,4000
1730654803.3522012,4000
1730654803.3571565,4000
1730654803.3611465,4000
1730654803.3641624,4000
1730654803.3681653,4000
1730654803.3721728,4000
1730654803.376146,4000
1730654803.3802752,4000
1730654803.385393,4000
1730654803.3893847,4000
1730654803.392184,4000
1730654803.3964071,4000
1730654803.400187,4000
1730654803.4044185,4000
1730654803.408392,4000
1730654803.412424,4000
1730654803.417239,4000
1730654803.4205942,4000
1730654803.4246774,4000
1730654803.4285328,4000
1730654803.4326577,4000
1730654803.436488,4000
1730654803.4415567,4000
1730654803.444409,4000
1730654803.4474027,4000
1730654803.4524384,4000
1730654803.4566176,4000
1730654803.460364,4000
1730654803.4643877,4000
1730654803.4682696,4000
1730654803.4726148,4000
1730654803.4753883,4000
1730654803.480506,4000
1730654803.4843645,4000
1730654803.488417,4000
1730654803.492425,4000
1730654803.4964983,4000
1730654803.499365,4000
1730654803.5034385,4000
1730654803.509376,4000
1730654803.5124075,4000
1730654803.5173788,4000
1730654803.521521,4000
1730654803.5244348,4000
1730654803.5281756,4000
1730654803.5314078,4000
1730654803.5365534,4000
1730654803.54088,4000
1730654803.5444384,4000
1730654803.5487876,4000
1730654803.5528033,4000
1730654803.5561411,4000
1730654803.559871,4000
1730654803.5634618,4000
1730654803.5684285,4000
1730654803.572492,4000
1730654803.5764785,4000
1730654803.5794597,4000
1730654803.5843017,4000
1730654803.5880215,4000
1730654803.591643,4000
1730654803.5960548,4000
1730654803.6006954,4000
1730654803.6045115,4000
1730654803.6075706,4000
1730654803.6136806,4000
1730654803.6155157,4000
1730654803.6195788,4000
1730654803.623977,4000
1730654803.628566,4000
1730654803.6315773,4000
1730654803.635565,4000
1730654803.6395516,4000
1730654803.64357,4000
1730654803.648039,4000
1730654803.6515927,4000
1730654803.6568177,4000
1730654803.6595929,4000
1730654803.6639893,4000
1730654803.6676073,4000
1730654803.673253,4000
1730654803.6757672,4000
1730654803.6802354,4000
1730654803.6846457,4000
1730654803.6881676,4000
1730654803.6918647,4000
1730654803.6957314,4000
1730654803.699715,4000
1730654803.703732,4000
1730654803.7076924,4000
1730654803.7117572,4000
1730654803.7146869,4000
1730654803.7187636,4000
1730654803.723762,4000
1730654803.7276857,4000
1730654803.7317271,4000
1730654803.7357388,4000
1730654803.7397509,4000
1730654803.7427387,4000
1730654803.7468083,4000
1730654803.7517953,4000
1730654803.75581,4000
1730654803.75979,4000
1730654803.7668395,4000
1730654803.7698357,4000
1730654803.7738383,4000
1730654803.77691,4000
1730654803.7798512,4000
1730654803.7838433,4000
1730654803.7878191,4000
1730654803.7918167,4000
1730654803.794837,4000
1730654803.7988365,4000
1730654803.8028834,4000
1730654803.8069668,4000
1730654803.8118486,4000
1730654803.8159256,4000
1730654803.8199394,4000
1730654803.8228936,4000
1730654803.8270028,4000
1730654803.830934,4000
1730654803.8349192,4000
1730654803.8399267,4000
1730654803.8439434,4000
1730654803.8469148,4000
1730654803.850922,4000
1730654803.8549817,4000
1730654803.8589652,4000
1730654803.8629732,4000
1730654803.867964,4000
1730654803.8719947,4000
1730654803.8749652,4000
1730654803.8789763,4000
1730654803.8831587,4000
1730654803.8870013,4000
1730654803.891009,4000
1730654803.8953052,4000
1730654803.9010549,4000
1730654803.905007,4000
1730654803.908108,4000
1730654803.9110763,4000
1730654803.9151642,4000
1730654803.9190695,4000
1730654803.9242437,4000
1730654803.9292283,4000
1730654803.9320664,4000
1730654803.9360638,4000
1730654803.9390657,4000
1730654803.9431136,4000
1730654803.947094,4000
1730654803.952117,4000
1730654803.9551263,4000
1730654803.9581811,4000
1730654803.9631257,4000
1730654803.9671438,4000
1730654803.9711428,4000
1730654803.975224,4000
1730654803.9791615,4000
1730654803.9831882,4000
1730654803.986182,4000
1730654803.991158,4000
1730654803.99518,4000
1730654803.9992464,4000
1730654804.003203,4000
1730654804.007264,4000
1730654804.011279,4000
1730654804.0142384,4000
1730654804.018267,4000
1730654804.0232513,4000
1730654804.0272496,4000
1730654804.031276,4000
1730654804.0342772,4000
1730654804.0382526,4000
1730654804.0422578,4000
1730654804.0462732,4000
1730654804.0523193,4000
1730654804.0552776,4000
1730654804.0593095,4000
1730654804.06233,4000
1730654804.0666845,4000
1730654804.0704691,4000
1730654804.0745633,4000
1730654804.0796518,4000
1730654804.0833757,4000
1730654804.087548,4000
1730654804.0904567,4000
1730654804.0947,4000
1730654804.0986283,4000
1730654804.102393,4000
1730654804.1067016,4000
1730654804.1117332,4000
1730654804.1149414,4000
1730654804.1183949,4000
1730654804.12246,4000
1730654804.126582,4000
1730654804.1304262,4000
1730654804.135645,4000
1730654804.139754,4000
1730654804.14243,4000
1730654804.146448,4000
1730654804.1504278,4000
1730654804.1546884,4000
1730654804.1585252,4000
1730654804.1625533,4000
1730654804.1674497,4000
1730654804.1705575,4000
1730654804.174497,4000
1730654804.17876,4000
1730654804.1827362,4000
1730654804.1867912,4000
1730654804.190804,4000
1730654804.1957707,4000
1730654804.1988115,4000
1730654804.2016857,4000
1730654804.2067847,4000
1730654804.2107787,4000
1730654804.214798,4000
1730654804.218793,4000
1730654804.222798,4000
1730654804.2255929,4000
1730654804.2298927,4000
1730654804.2358224,4000
1730654804.2388408,4000
1730654804.242684,4000
1730654804.2468476,4000
1730654804.249809,4000
1730654804.2538593,4000
1730654804.257893,4000
1730654804.2626405,4000
1730654804.2667017,4000
1730654804.2706976,4000
1730654804.2747977,4000
1730654804.2777624,4000
1730654804.281757,4000
1730654804.2857473,4000
1730654804.2906437,4000
1730654804.2948916,4000
1730654804.2988975,4000
1730654804.3019032,4000
1730654804.3057935,4000
1730654804.3098571,4000
1730654804.3137915,4000
1730654804.3189125,4000
1730654804.3228855,4000
1730654804.3269265,4000
1730654804.3298285,4000
1730654804.3338025,4000
1730654804.3377872,4000
1730654804.341744,4000
1730654804.3458376,4000
1730654804.350814,4000
1730654804.354784,4000
1730654804.3579564,4000
1730654804.3618567,4000
1730654804.3659875,4000
1730654804.3699293,4000
1730654804.3740234,4000
1730654804.3788607,4000
1730654804.38301,4000
