time_board,marker
1730329071.9855404,5000
1730329071.9887705,5000
1730329071.9938767,5000
1730329071.9976668,5000
1730329072.0018213,5000
1730329072.005684,5000
1730329072.0097473,5000
1730329072.0136232,5000
1730329072.0166247,5000
1730329072.020671,5000
1730329072.0257795,5000
1730329072.029668,5000
1730329072.03381,5000
1730329072.03782,5000
1730329072.0417526,5000
1730329072.044717,5000
1730329072.0487866,5000
1730329072.053774,5000
1730329072.0578249,5000
1730329072.0616531,5000
1730329072.0658622,5000
1730329072.0688305,5000
1730329072.072908,5000
1730329072.0768952,5000
1730329072.0809474,5000
1730329072.0857008,5000
1730329072.089922,5000
1730329072.0929203,5000
1730329072.0969524,5000
1730329072.1008024,5000
1730329072.1048827,5000
1730329072.1087503,5000
1730329072.1137416,5000
1730329072.117762,5000
1730329072.1208348,5000
1730329072.1247787,5000
1730329072.128772,5000
1730329072.1330032,5000
1730329072.1368785,5000
1730329072.1418705,5000
1730329072.1460173,5000
1730329072.14901,5000
1730329072.152837,5000
1730329072.1569502,5000
1730329072.160822,5000
1730329072.1649156,5000
1730329072.1698856,5000
1730329072.1740625,5000
1730329072.1770728,5000
1730329072.181043,5000
1730329072.1850257,5000
1730329072.1890547,5000
1730329072.1930847,5000
1730329072.1980867,5000
1730329072.2021024,5000
1730329072.2051632,5000
1730329072.2090852,5000
1730329072.213159,5000
1730329072.217193,5000
1730329072.221154,5000
1730329072.2251563,5000
1730329072.2289896,5000
1730329072.232208,5000
1730329072.237023,5000
1730329072.2412,5000
1730329072.2449572,5000
1730329072.2490814,5000
1730329072.2530668,5000
1730329072.257027,5000
1730329072.2601,5000
1730329072.265114,5000
1730329072.2689872,5000
1730329072.273242,5000
1730329072.2772732,5000
1730329072.281284,5000
1730329072.2850256,5000
1730329072.288282,5000
1730329072.29231,5000
1730329072.2973,5000
1730329072.30117,5000
1730329072.305308,5000
1730329072.309405,5000
1730329072.3131435,5000
1730329072.3163402,5000
1730329072.3212996,5000
1730329072.3253703,5000
1730329072.3293648,5000
1730329072.3333712,5000
1730329072.3361382,5000
1730329072.3403935,5000
1730329072.3441708,5000
1730329072.3483129,5000
1730329072.3531609,5000
1730329072.3573897,5000
1730329072.361231,5000
1730329072.364394,5000
1730329072.3684015,5000
1730329072.3723648,5000
1730329072.3763037,5000
1730329072.3812995,5000
1730329072.3853092,5000
1730329072.390444,5000
1730329072.3943136,5000
1730329072.3973427,5000
1730329072.4014096,5000
1730329072.4044263,5000
1730329072.408316,5000
1730329072.4134464,5000
1730329072.4174612,5000
1730329072.4203053,5000
1730329072.4246888,5000
1730329072.428498,5000
