Fp1,C3,time_board
-31462.18138482349,-403.4266356738372,1730328115.3389237
-31591.709743941992,-477.1426888874399,1730328115.342488
-31642.828183511283,-542.3874309524812,1730328115.3467093
-31459.901506889048,-467.2408660937388,1730328115.3505409
-31446.579867193686,-463.59753174752376,1730328115.3546505
-31511.399926114074,-472.56058127410193,1730328115.3585012
-31514.596225571186,-459.6189212344791,1730328115.3636277
-31459.007437110835,-506.93756424636416,1730328115.3667152
-31416.427363923474,-512.4360933823697,1730328115.3711283
-31502.57098705423,-501.6402008104564,1730328115.3751278
-31538.601999116185,-500.14263393195085,1730328115.3792293
-31484.17550136751,-496.8345757525654,1730328115.3829331
-31575.951764101,-468.6266742499679,1730328115.3876305
-31533.058766491267,-408.3440194540048,1730328115.390813
-31449.48559397288,-355.0351089280974,1730328115.393531
-31360.97268592986,-428.88527260843193,1730328115.3989918
-31369.5557558007,-449.7394501852334,1730328115.402527
-31543.228810218432,-471.33123532906,1730328115.406762
-31517.72546979493,-411.60737414447954,1730328115.4109
-31413.70045109993,-407.852281075988,1730328115.4147775
-31473.96075415144,-462.59170324703496,1730328115.4185476
-31549.24142947691,-500.7908345211548,1730328115.4218383
-31607.98181390546,-485.63635178045655,1730328115.426654
-31532.32115892424,-441.8045809035994,1730328115.4312012
-31419.86953256959,-489.2573343822163,1730328115.4345536
-31405.810285307205,-481.47892731176944,1730328115.43934
-31554.2482202349,-402.9125455513651,1730328115.442597
-31545.933371297524,-438.8317988910436,1730328115.4467113
-31466.38351278109,-476.9191714428868,1730328115.4499817
-31406.03380275176,-429.26525226417215,1730328115.453847
-31411.040593509748,-442.721002426267,1730328115.458942
-31468.03754187078,-410.914470066365,1730328115.4629188
-31501.632213787107,-419.6316504039348,1730328115.4667854
-31378.02706694926,-457.80842993359926,1730328115.4708965
-31447.33982650517,-508.5915933360569,1730328115.4752364
-31359.76569172928,-415.3624672129711,1730328115.4777796
-31417.924930801983,-360.82421074202193,1730328115.482156
-31589.02753460736,-393.3012954355831,1730328115.4870555
-31560.082025537733,-464.268084081183,1730328115.4911177
-31480.688629232485,-453.5615984870909,1730328115.495416
-31419.042518024748,-409.6404206324125,1730328115.4978397
-31442.69066365846,-432.8862348659319,1730328115.5017009
-31568.508633197383,-452.64517696442334,1730328115.50625
-31475.41361754103,-413.2837549786276,1730328115.509679
-31468.1269488486,-410.2215659882505,1730328115.5148983
-31456.88402138758,-476.5391917871466,1730328115.5187836
-31351.42849104744,-469.2525230947165,1730328115.5228698
-31408.537198130754,-426.4712842072588,1730328115.5256867
-31628.992453693445,-376.3139696495497,1730328115.529981
-31494.92669045052,-423.3643917279711,1730328115.5338252
-31420.964768047903,-457.7413747002333,1730328115.5378833
-31354.15540387099,-379.08558596200777,1730328115.542739
-31501.78867599829,-371.2177719137397,1730328115.5468576
-31494.07732416121,-473.0523196521187,1730328115.550789
-31428.5196576738,-466.7714794601774,1730328115.553902
-31554.09175802371,-408.6122403874684,1730328115.5578485
-31521.01117622986,-463.396366047426,1730328115.561904
-31342.13016535404,-373.5870568260023,1730328115.5659208
-31273.063274987137,-406.89115606440976,1730328115.5708916
-31494.77022823933,-461.0270811351635,1730328115.57486
-31534.779850814328,-366.38979511139337,1730328115.579067
-31446.80338463824,-442.0728018370631,1730328115.5820076
-31458.94038187747,-501.0367037101631,1730328115.585927
-31487.930594436,-389.68031283382334,1730328115.590014
-31527.18025769952,-350.7435739926784,1730328115.5939574
-31407.419610907986,-363.7746410101224,1730328115.5978975
-31462.85193715715,-471.3535870735153,1730328115.6030147
-31492.89268170508,-554.5914834250789,1730328115.606053
-31377.512976826787,-366.92623697832073,1730328115.6098957
-31447.31747476071,-296.2276692661845,1730328115.6143188
-31441.349558991144,-401.7502548396892,1730328115.617824
-31445.93166660448,-404.0748362630411,1730328115.6224842
-31480.84509144368,-356.1973996397733,1730328115.625929
-31377.06594193768,-311.94094561826535,1730328115.631363
-31394.746171801828,-392.4295774018261,1730328115.634267
-31494.14437939458,-538.0288407836963,1730328115.637918
-31525.727394309928,-552.4010124684587,1730328115.642084
-31409.721840586884,-398.3751414269378,1730328115.6461394
-31415.443887167443,-350.49770480367005,1730328115.6502156
-31425.546875661243,-426.4712842072588,1730328115.6541183
-31411.39822142104,-407.58406014252427,1730328115.658878
-31492.311536349243,-337.9807279086981,1730328115.6621237
-31534.891609536604,-502.0425322106519,1730328115.6661055
-31405.139732973545,-520.8403492975651,1730328115.670154
-31195.90505312741,-330.6717074718127,1730328115.6741188
-31365.01835167627,-260.84485779343345,1730328115.678056
-31621.25875011191,-422.3809149719376,1730328115.6819446
-31536.277417692832,-496.40989260791457,1730328115.6872344
-31461.04144585627,-471.4206423068812,1730328115.6900637
-31517.72546979493,-355.30332986156105,1730328115.6941085
-31405.05032599573,-333.66684122882384,1730328115.69796
-31333.94942688339,-375.2187341712397,1730328115.7020948
-31456.25817254283,-395.625876858935,1730328115.706173
-31392.510997356298,-375.8222312715329,1730328115.710044
-31396.579014847164,-363.9534549657649,1730328115.7152104
-31512.62927205912,-437.2224732902615,1730328115.7179072
-31484.37666706761,-443.4362582488368,1730328115.7211728
-31439.82964036818,-389.74736806718926,1730328115.7260258
-31391.34870664462,-395.8270425590328,1730328115.7304287
-31338.956217641386,-461.6976334688227,1730328115.7339923
-31474.430140785,-442.139857070429,1730328115.738268
-31583.372543260164,-388.74153956670045,1730328115.7420144
-31455.02882659779,-314.9807828641871,1730328115.7453482
-31412.00171852133,-359.46075433024816,1730328115.7493863
-31460.303838289245,-483.1329564014621,1730328115.7543616
-31486.365972324133,-496.6781135413783,1730328115.758062
-31432.45356469793,-392.9660192687535,1730328115.7625637
-31359.96685742937,-376.8280597720218,1730328115.7664187
-31446.84808812715,-442.4974849817139,1730328115.7702332
-31517.99369072839,-377.99035048369774,1730328115.7732325
-31403.731573072862,-300.8768321128884,1730328115.777084
-31392.756866545307,-321.4627887562262,1730328115.7811902
-31437.19213452245,-441.58106345904633,1730328115.7862248
-31404.15625621752,-424.8172551175661,1730328115.7904909
-31382.586822818143,-456.6014357330127,1730328115.794657
-31457.532221976784,-467.5090870272025,1730328115.798134
-31431.715957130906,-403.2254699737394,1730328115.801133
-31450.580829451184,-432.3050895100939,1730328115.8053305
-31505.3873068556,-393.5695163690468,1730328115.809125
-31402.97161376138,-382.4159958858485,1730328115.8142507
-31446.04342532676,-336.2149400967288,1730328115.8182163
-31499.24057713039,-378.8397167729994,1730328115.8212974
-31475.32421056321,-360.176010152818,1730328115.82521
-31473.02198088432,-389.725016322734,1730328115.8292997
-31435.69456764395,-413.9543073122868,1730328115.8333492
-31408.22427370838,-463.105793369507,1730328115.8372848
-31415.421535422985,-413.8649003344656,1730328115.8420978
-31458.53805047728,-372.9165044923431,1730328115.8462985
-31436.78980312226,-377.7891847836,1730328115.8491983
-31460.460300500432,-452.33225254204905,1730328115.853318
-31494.412600328043,-379.5773243400245,1730328115.857623
-31433.861724598617,-313.75143691914525,1730328115.8615673
-31327.40036575799,-412.9261270673427,1730328115.8653789
-31386.69954379792,-451.3264240415602,1730328115.870448
-31483.86257694514,-439.1447233134178,1730328115.8744922
-31474.698361718463,-370.2566469021615,1730328115.8773
-31598.97406088997,-473.1864301188505,1730328115.881488
-31525.727394309928,-494.6888082848559,1730328115.885442
-31498.122989907624,-405.7735688416444,1730328115.8899064
-31485.76247522384,-376.69394930529,1730328115.8932784
