time_board,marker
1730328164.2005954,1.0
1730328164.2046652,1.0
1730328164.2085729,1.0
1730328164.2125263,1.0
1730328164.2165651,1.0
1730328164.22149,1.0
1730328164.224709,1.0
1730328164.2285955,1.0
1730328164.2328813,1.0
1730328164.2364855,1.0
1730328164.2407055,1.0
1730328164.2444727,1.0
1730328164.24974,1.0
1730328164.2527244,1.0
1730328164.256662,1.0
1730328164.2608223,1.0
1730328164.264784,1.0
1730328164.2688284,1.0
1730328164.2738612,1.0
1730328164.2771325,1.0
1730328164.2799027,1.0
1730328164.2850275,1.0
1730328164.2892876,1.0
1730328164.2930288,1.0
1730328164.2966824,1.0
1730328164.3005583,1.0
1730328164.3046813,1.0
1730328164.3078945,1.0
1730328164.3126557,1.0
1730328164.316616,1.0
1730328164.3205822,1.0
1730328164.324842,1.0
1730328164.3286636,1.0
1730328164.3332732,1.0
1730328164.3358471,1.0
1730328164.339952,1.0
1730328164.34483,1.0
1730328164.349285,1.0
1730328164.3527305,1.0
1730328164.3572235,1.0
1730328164.360838,1.0
1730328164.3642907,1.0
1730328164.368852,1.0
1730328164.373425,1.0
1730328164.3774765,1.0
1730328164.381106,1.0
1730328164.3851693,1.0
1730328164.387712,1.0
1730328164.3920925,1.0
1730328164.395852,1.0
1730328164.4010854,1.0
1730328164.404956,1.0
1730328164.4090056,1.0
1730328164.4118242,1.0
1730328164.4160106,1.0
1730328164.419842,1.0
1730328164.4240642,1.0
1730328164.4288285,1.0
1730328164.4331589,1.0
1730328164.4370232,1.0
1730328164.4401522,1.0
1730328164.4441056,1.0
1730328164.4480743,1.0
1730328164.4517715,1.0
1730328164.4560723,1.0
1730328164.460864,1.0
1730328164.465644,1.0
1730328164.4681845,1.0
1730328164.4718578,1.0
1730328164.4763544,1.0
1730328164.4799757,1.0
1730328164.483981,1.0
1730328164.4890409,1.0
1730328164.491997,1.0
1730328164.4960203,1.0
1730328164.5000887,1.0
1730328164.5039692,1.0
1730328164.5080986,1.0
1730328164.5118814,1.0
1730328164.517658,1.0
1730328164.5199013,1.0
1730328164.5230887,1.0
1730328164.527972,1.0
1730328164.531996,1.0
1730328164.5358891,1.0
1730328164.5401597,1.0
1730328164.5455315,1.0
1730328164.548129,1.0
1730328164.5511484,1.0
1730328164.556111,1.0
1730328164.560217,1.0
1730328164.5641367,1.0
1730328164.5681343,1.0
1730328164.5721033,1.0
1730328164.5761795,1.0
1730328164.579162,1.0
1730328164.5842934,1.0
1730328164.5883043,1.0
1730328164.592312,1.0
1730328164.5963235,1.0
1730328164.601334,1.0
1730328164.604148,1.0
1730328164.6073115,1.0
1730328164.612038,1.0
1730328164.616396,1.0
1730328164.6200638,1.0
1730328164.6243343,1.0
1730328164.628235,1.0
1730328164.6315937,1.0
1730328164.6355958,1.0
1730328164.6403491,1.0
1730328164.6441572,1.0
1730328164.6486187,1.0
1730328164.652249,1.0
1730328164.6557796,1.0
1730328164.6592872,1.0
1730328164.6634307,1.0
1730328164.6675704,1.0
1730328164.6723835,1.0
1730328164.6764283,1.0
1730328164.6803453,1.0
1730328164.683528,1.0
1730328164.6872327,1.0
1730328164.6913073,1.0
1730328164.6952488,1.0
1730328164.7008278,1.0
1730328164.704801,1.0
1730328164.7085333,1.0
1730328164.7112048,1.0
1730328164.7155814,1.0
1730328164.719241,1.0
1730328164.723596,1.0
1730328164.7281663,1.0
1730328164.732434,1.0
1730328164.7362683,1.0
1730328164.7396553,1.0
1730328164.743573,1.0
1730328164.7476037,1.0
1730328164.751326,1.0
1730328164.7564852,1.0
1730328164.7604527,1.0
1730328164.7636037,1.0
1730328164.7674637,1.0
1730328164.7714188,1.0
1730328164.7755551,1.0
1730328164.7793343,1.0
1730328164.7841098,1.0
1730328164.7885048,1.0
1730328164.7916667,1.0
1730328164.7953253,1.0
1730328164.8000224,1.0
1730328164.8033528,1.0
1730328164.8079343,1.0
1730328164.812379,1.0
1730328164.8170223,1.0
1730328164.819386,1.0
1730328164.8236244,1.0
1730328164.8276403,1.0
1730328164.8315425,1.0
1730328164.8356493,1.0
1730328164.8397057,1.0
1730328164.844364,1.0
1730328164.8479416,1.0
1730328164.8516078,1.0
1730328164.8557355,1.0
1730328164.8595405,1.0
1730328164.8636231,1.0
1730328164.867715,1.0
1730328164.871631,1.0
1730328164.8748071,1.0
1730328164.8784268,1.0
1730328164.8835757,1.0
1730328164.887572,1.0
1730328164.8916044,1.0
1730328164.895528,1.0
1730328164.8998232,1.0
