Fp1,C3,time_board
-15481.466410334877,-6434.262565882513,1731450757.693396
-15448.00584888528,-6420.292725597946,1731450757.6973968
-15433.857194645072,-6426.908841956716,1731450757.7015576
-15453.370267554554,-6442.577414819886,1731450757.705508
-15439.892165648003,-6448.232406167079,1731450757.7095582
-15329.541603272151,-6425.925365200683,1731450757.7125304
-15483.411012102488,-6427.199414634635,1731450757.7165008
-15573.108562601634,-6426.9982489345375,1731450757.7215314
-15538.798634862738,-6444.3208508874,1731450757.7256515
-15467.58597702813,-6437.436513595166,1731450757.729532
-15413.830031613115,-6418.683399997163,1731450757.733566
-15428.828052142628,-6447.047763710948,1731450757.7375584
-15516.178669473968,-6458.223635938602,1731450757.7404954
-15500.35363439961,-6440.297536885445,1731450757.7445152
-15417.76393863725,-6424.785426233462,1731450757.7496233
-15429.43154924292,-6434.776656004984,1731450757.753572
-15508.892000781538,-6460.101182472848,1731450757.7576747
-15481.801686501703,-6455.809647537429,1731450757.7615476
-15412.220706012336,-6427.802911734929,1731450757.7657225
-15419.99911308278,-6432.65324028173,1731450757.7686744
-15469.329413095644,-6449.059420711926,1731450757.7725706
-15460.0981426356,-6450.646394568253,1731450757.77863
-15392.148839491469,-6430.12749315828,1731450757.7825692
-15390.248941212769,-6442.040972952959,1731450757.7865798
-15483.321605124664,-6471.992310523071,1731450757.7897496
-15531.2660969813,-6462.381060407289,1731450757.792669
-15415.461708958352,-6408.714521970096,1731450757.7967732
-15444.898956405994,-6408.781577203462,1731450757.800771
-15495.97269248637,-6450.534635845976,1731450757.8048868
-15467.653032261496,-6462.425763896199,1731450757.8098783
-15467.384811328033,-6441.124551430292,1731450757.813692
-15407.303322232166,-6434.08375192687,1731450757.8168492
-15452.476197776345,-6457.351917904844,1731450757.820814
-15539.960925574414,-6460.637624339774,1731450757.8248527
-15456.812436200673,-6437.794141506451,1731450757.8288412
-15411.170174022936,-6431.379190847778,1731450757.83284
-15469.619985773565,-6455.94375800416,1731450757.8377883
-15487.791954015727,-6460.749383062052,1731450757.8418212
-15439.847462159094,-6443.046801453448,1731450757.8447769
-15398.42967968341,-6431.021562936493,1731450757.848833
-15441.970877882348,-6436.229519394579,1731450757.8536956
-15447.290593062711,-6440.6775165411855,1731450757.8587751
-15493.089317451637,-6439.001135707037,1731450757.8617144
-15453.616136743563,-6421.231498865069,1731450757.8668506
-15421.3402177501,-6437.950603717638,1731450757.8697984
-15455.359572811078,-6458.670670827708,1731450757.8737435
-15479.566512056175,-6463.789220307973,1731450757.8767183
-15430.90676437697,-6436.475388583588,1731450757.8807478
-15440.182738325924,-6451.249891668545,1731450757.885836
-15487.769602271272,-6455.787295792973,1731450757.8908484
-15514.994027017836,-6455.966109748615,1731450757.8937993
-15441.836767415616,-6440.588109563364,1731450757.8969092
