time_board,marker
1731450807.087212,1.0
1731450807.0912087,1.0
1731450807.094996,1.0
1731450807.099156,1.0
1731450807.104128,1.0
1731450807.1080964,1.0
1731450807.112208,1.0
1731450807.1161835,1.0
1731450807.1202056,1.0
1731450807.125275,1.0
1731450807.128224,1.0
1731450807.131212,1.0
1731450807.1351607,1.0
1731450807.1392436,1.0
1731450807.1432433,1.0
1731450807.1472423,1.0
1731450807.1512437,1.0
1731450807.1542811,1.0
1731450807.158393,1.0
1731450807.1621847,1.0
1731450807.1672676,1.0
1731450807.171286,1.0
1731450807.1752136,1.0
1731450807.1792011,1.0
1731450807.1833222,1.0
1731450807.1872149,1.0
1731450807.1923409,1.0
1731450807.196352,1.0
1731450807.200192,1.0
1731450807.20433,1.0
1731450807.209354,1.0
1731450807.2122552,1.0
1731450807.215381,1.0
1731450807.2193532,1.0
1731450807.2223632,1.0
1731450807.227358,1.0
1731450807.231388,1.0
1731450807.2342305,1.0
1731450807.2383788,1.0
1731450807.2424006,1.0
1731450807.24641,1.0
1731450807.2503977,1.0
1731450807.2553337,1.0
1731450807.25946,1.0
1731450807.263396,1.0
1731450807.2675116,1.0
1731450807.2715335,1.0
1731450807.2754517,1.0
1731450807.2805462,1.0
1731450807.2844677,1.0
1731450807.288496,1.0
1731450807.2914832,1.0
1731450807.2954142,1.0
1731450807.2985096,1.0
1731450807.3024812,1.0
1731450807.3065305,1.0
1731450807.3115213,1.0
1731450807.3148096,1.0
1731450807.3174129,1.0
1731450807.3234415,1.0
1731450807.3266373,1.0
1731450807.3303988,1.0
1731450807.3346848,1.0
1731450807.3385272,1.0
1731450807.3436215,1.0
1731450807.3477747,1.0
1731450807.3516428,1.0
1731450807.3554113,1.0
1731450807.3597467,1.0
1731450807.3647046,1.0
1731450807.3686008,1.0
1731450807.371456,1.0
1731450807.374565,1.0
1731450807.3785737,1.0
1731450807.3827157,1.0
1731450807.3866203,1.0
1731450807.3905833,1.0
1731450807.3945937,1.0
1731450807.3986695,1.0
1731450807.401592,1.0
1731450807.4056304,1.0
1731450807.4106216,1.0
1731450807.4146593,1.0
1731450807.4186616,1.0
1731450807.422668,1.0
1731450807.4267054,1.0
1731450807.4317186,1.0
1731450807.4356792,1.0
1731450807.439718,1.0
1731450807.4437747,1.0
1731450807.4487803,1.0
1731450807.4517436,1.0
1731450807.4546907,1.0
1731450807.4577448,1.0
1731450807.4618795,1.0
1731450807.4667685,1.0
1731450807.4707668,1.0
1731450807.4747202,1.0
1731450807.4778018,1.0
1731450807.481797,1.0
1731450807.485794,1.0
1731450807.4899013,1.0
1731450807.4938314,1.0
1731450807.4988248,1.0
1731450807.5028093,1.0
1731450807.506756,1.0
1731450807.5108657,1.0
1731450807.5149615,1.0
1731450807.519902,1.0
1731450807.5238955,1.0
1731450807.526882,1.0
1731450807.5319312,1.0
1731450807.5359092,1.0
1731450807.5389233,1.0
1731450807.5419276,1.0
1731450807.5459409,1.0
1731450807.5500236,1.0
1731450807.5547132,1.0
1731450807.558911,1.0
1731450807.5619748,1.0
1731450807.5659688,1.0
1731450807.570034,1.0
1731450807.5740614,1.0
1731450807.5780523,1.0
1731450807.5820837,1.0
1731450807.5871024,1.0
1731450807.591074,1.0
1731450807.5949633,1.0
1731450807.599079,1.0
1731450807.6039696,1.0
1731450807.608045,1.0
1731450807.612143,1.0
1731450807.615052,1.0
1731450807.6189947,1.0
1731450807.6219463,1.0
1731450807.62599,1.0
1731450807.632994,1.0
1731450807.6362815,1.0
1731450807.640113,1.0
1731450807.6434472,1.0
1731450807.6461267,1.0
1731450807.6501408,1.0
1731450807.6540568,1.0
1731450807.6585524,1.0
1731450807.662012,1.0
1731450807.6662755,1.0
1731450807.6712086,1.0
1731450807.6751845,1.0
1731450807.6791024,1.0
1731450807.6832137,1.0
1731450807.68716,1.0
1731450807.692144,1.0
1731450807.6951425,1.0
1731450807.69816,1.0
1731450807.702151,1.0
1731450807.7061656,1.0
1731450807.710152,1.0
1731450807.7144215,1.0
1731450807.7181883,1.0
1731450807.7212083,1.0
1731450807.7250595,1.0
1731450807.729016,1.0
1731450807.733206,1.0
1731450807.7381003,1.0
