Fp1,C3,time_board
-3721.9454314643663,-260.30841592650603,1730329691.3868237
-3698.45374804184,-234.33568886943925,1730329691.3910668
-3777.3107024801616,-178.5010312200822,1730329691.3949883
-3817.208566332885,-197.09768260689768,1730329691.399894
-3738.4857223612935,-234.00041270260965,1730329691.403783
-3688.529573503682,-242.29290989552857,1730329691.4079733
-3749.16985621093,-203.98201989913224,1730329691.4117608
-3806.9938191168094,-203.1550053542859,1730329691.414919
-3741.972594496321,-228.97127020016555,1730329691.418852
-3691.435300282872,-221.2599183630846,1730329691.422974
-3729.522672834715,-201.56803149795908,1730329691.426965
-3810.27952555174,-211.82748220294505,1730329691.4318533
-3788.6430369190025,-226.2890608655287,1730329691.4361672
-3691.815279938612,-225.1714736427633,1730329691.4396088
-3714.9940389387657,-191.57680172643683,1730329691.4432044
-3813.8111011756782,-186.07827259043128,1730329691.4469123
-3803.0152086037647,-248.26082566509555,1730329691.4513533
-3700.241887598263,-238.2919476380286,1730329691.4548953
-3697.403216052439,-195.3318947949284,1730329691.460008
-3802.9705051148544,-186.346493523895,1730329691.4639103
-3810.3465807851057,-235.63209004784704,1730329691.467276
-3730.752018779757,-253.98287224565416,1730329691.4709077
-3687.166117091908,-208.8323484459339,1730329691.4752624
-3776.371929213039,-189.83336565892287,1730329691.4789915
-3822.595336746614,-225.0150114315762,1730329691.4831371
-3733.277765903207,-258.5873316034474,1730329691.487003
-3680.862925155512,-227.3842963438388,1730329691.4920728
-3783.166859527452,-195.37659828383903,1730329691.4950652
-3824.964621658876,-215.60492701589192,1730329691.4995017
-3758.870513304533,-236.4144011037828,1730329691.5033252
-3694.3857305509728,-214.5096915375819,1730329691.5073893
-3742.7102020633465,-185.1171475788531,1730329691.5117736
-3806.591487716614,-188.2910952915067,1730329691.5153418
-3760.323376694129,-211.2910403360177,1730329691.5200725
-3683.187506578864,-186.03356910152067,1730329691.5236151
-3717.788006995679,-175.48354571861574,1730329691.5275147
-3806.7032464388894,-202.5291565095373,1730329691.5312972
-3774.807307101167,-237.64374704882468,1730329691.5354173
-3681.980512378277,-235.0732964364644,1730329691.539085
-3706.902707445945,-214.5320432820372,1730329691.5434456
-3808.737255184324,-199.0199326300541,1730329691.548427
-3811.620630219058,-228.3901248443276,1730329691.5513718
-3711.2165941258186,-231.8993487238108,1730329691.554983
-3698.8113759531234,-202.5515082539926,1730329691.5591152
-3786.9890078293097,-194.9742668836435,1730329691.563031
-3817.454435521893,-208.11709262336407,1730329691.5673172
-3729.477969345805,-252.15002920031893,1730329691.5721607
-3694.3186753176064,-225.57380504295887,1730329691.5751376
-3779.74704262579,-189.3192755364508,1730329691.578263
-3824.450531536405,-209.65936299078024,1730329691.5835204
-3751.829713801112,-246.5173895975816,1730329691.5870574
-3686.987303136266,-226.9149097102773,1730329691.59109
-3763.1620482399526,-195.75657793957924,1730329691.595117
-3830.776075217256,-198.4164355297608,1730329691.5992763
-3759.049327260176,-231.6758312792577,1730329691.603364
-3683.254561812229,-222.33280209693936,1730329691.6068313
-3740.720896806824,-201.8809559203333,1730329691.61161
-3828.18327286044,-217.39306657231649,1730329691.615497
-3754.333109180106,-237.6884505377353,1730329691.6192105
-3679.5218204881935,-246.5397413420369,1730329691.6234128
-3734.730629292802,-203.93731641022163,1730329691.627762
-3812.7829209307342,-177.96458935315482,1730329691.631885
-3772.303911722173,-221.97517418565445,1730329691.6345332
-3689.647160726448,-225.6855637652354,1730329691.638138
-3707.5062045462378,-176.17644979673028,1730329691.6433723
-3789.9394380974095,-188.44755750269383,1730329691.6472924
-3801.3388277696167,-218.57770902844777,1730329691.6513712
-3704.846346956056,-235.1850551587409,1730329691.6552508
-3704.891050444967,-203.8255576879451,1730329691.659264
-3797.091996323109,-182.2114207996632,1730329691.6621895
-3820.5613280011808,-217.9518601836992,1730329691.666474
-3732.40604786945,-229.32889811145048,1730329691.6711988
-3689.513050259716,-221.66224976328013,1730329691.675502
-3772.7732983557344,-215.09083689341983,1730329691.6792228
-3830.552557772703,-209.6817147352356,1730329691.683493
-3728.181568167397,-228.30071786650635,1730329691.686564
-3660.768706890192,-216.0966653939087,1730329691.690868
-3751.9638242678434,-190.2356970591184,1730329691.69481
-3831.133703128541,-211.7157234806685,1730329691.6993537
-3769.822868087634,-222.7574852415902,1730329691.7034783
-3681.2652565557073,-237.8672644933777,1730329691.7074926
