time_board,marker
1730329691.3868237,1.0
1730329691.3910668,1.0
1730329691.3949883,1.0
1730329691.399894,1.0
1730329691.403783,1.0
1730329691.4079733,1.0
1730329691.4117608,1.0
1730329691.414919,1.0
1730329691.418852,1.0
1730329691.422974,1.0
1730329691.426965,1.0
1730329691.4318533,1.0
1730329691.4361672,1.0
1730329691.4396088,1.0
1730329691.4432044,1.0
1730329691.4469123,1.0
1730329691.4513533,1.0
1730329691.4548953,1.0
1730329691.460008,1.0
1730329691.4639103,1.0
1730329691.467276,1.0
1730329691.4709077,1.0
1730329691.4752624,1.0
1730329691.4789915,1.0
1730329691.4831371,1.0
1730329691.487003,1.0
1730329691.4920728,1.0
1730329691.4950652,1.0
1730329691.4995017,1.0
1730329691.5033252,1.0
1730329691.5073893,1.0
1730329691.5117736,1.0
1730329691.5153418,1.0
1730329691.5200725,1.0
1730329691.5236151,1.0
1730329691.5275147,1.0
1730329691.5312972,1.0
1730329691.5354173,1.0
1730329691.539085,1.0
1730329691.5434456,1.0
1730329691.548427,1.0
1730329691.5513718,1.0
1730329691.554983,1.0
1730329691.5591152,1.0
1730329691.563031,1.0
1730329691.5673172,1.0
1730329691.5721607,1.0
1730329691.5751376,1.0
1730329691.578263,1.0
1730329691.5835204,1.0
1730329691.5870574,1.0
1730329691.59109,1.0
1730329691.595117,1.0
1730329691.5992763,1.0
1730329691.603364,1.0
1730329691.6068313,1.0
1730329691.61161,1.0
1730329691.615497,1.0
1730329691.6192105,1.0
1730329691.6234128,1.0
1730329691.627762,1.0
1730329691.631885,1.0
1730329691.6345332,1.0
1730329691.638138,1.0
1730329691.6433723,1.0
1730329691.6472924,1.0
1730329691.6513712,1.0
1730329691.6552508,1.0
1730329691.659264,1.0
1730329691.6621895,1.0
1730329691.666474,1.0
1730329691.6711988,1.0
1730329691.675502,1.0
1730329691.6792228,1.0
1730329691.683493,1.0
1730329691.686564,1.0
1730329691.690868,1.0
1730329691.69481,1.0
1730329691.6993537,1.0
1730329691.7034783,1.0
1730329691.7074926,1.0
1730329691.7103443,1.0
1730329691.7149987,1.0
1730329691.7187328,1.0
1730329691.7224026,1.0
1730329691.7265964,1.0
1730329691.7315814,1.0
1730329691.7355175,1.0
1730329691.738269,1.0
1730329691.7428677,1.0
1730329691.7463143,1.0
1730329691.7510602,1.0
1730329691.7543771,1.0
1730329691.7595787,1.0
1730329691.7634144,1.0
1730329691.7665613,1.0
1730329691.7703433,1.0
1730329691.7748003,1.0
1730329691.778304,1.0
1730329691.7824812,1.0
1730329691.7873416,1.0
1730329691.7916045,1.0
1730329691.7948804,1.0
1730329691.798599,1.0
1730329691.8027637,1.0
1730329691.8070552,1.0
1730329691.81081,1.0
1730329691.815838,1.0
1730329691.8185596,1.0
1730329691.8227887,1.0
1730329691.8267856,1.0
1730329691.830608,1.0
1730329691.8348515,1.0
1730329691.8386347,1.0
1730329691.8435838,1.0
1730329691.846465,1.0
1730329691.8496363,1.0
1730329691.8545482,1.0
1730329691.8586624,1.0
1730329691.8625357,1.0
1730329691.8669033,1.0
1730329691.8704708,1.0
1730329691.8748868,1.0
1730329691.8781905,1.0
1730329691.882856,1.0
1730329691.8867576,1.0
1730329691.8912463,1.0
1730329691.8946173,1.0
1730329691.8997123,1.0
1730329691.90269,1.0
1730329691.905664,1.0
1730329691.910792,1.0
1730329691.9152825,1.0
1730329691.9186766,1.0
1730329691.9228897,1.0
1730329691.92682,1.0
1730329691.929579,1.0
1730329691.9338531,1.0
1730329691.9386272,1.0
1730329691.9426675,1.0
1730329691.9466212,1.0
1730329691.9513233,1.0
1730329691.953631,1.0
1730329691.9580135,1.0
1730329691.96181,1.0
1730329691.9658716,1.0
1730329691.9706478,1.0
1730329691.974652,1.0
1730329691.9786572,1.0
1730329691.9818616,1.0
1730329691.9862063,1.0
1730329691.9896033,1.0
1730329691.9942946,1.0
1730329691.9988616,1.0
1730329692.003192,1.0
1730329692.0073574,1.0
1730329692.0098567,1.0
1730329692.0138612,1.0
1730329692.018011,1.0
1730329692.0218973,1.0
1730329692.0271733,1.0
1730329692.0308576,1.0
1730329692.0350325,1.0
1730329692.0377247,1.0
1730329692.0419898,1.0
1730329692.0457616,1.0
1730329692.0498877,1.0
1730329692.0548563,1.0
1730329692.0592368,1.0
1730329692.061896,1.0
1730329692.0661745,1.0
1730329692.0698943,1.0
1730329692.0741613,1.0
1730329692.0780504,1.0
1730329692.0823655,1.0
1730329692.0868368,1.0
1730329692.0899615,1.0
1730329692.094061,1.0
1730329692.0983553,1.0
1730329692.1018417,1.0
1730329692.106155,1.0
1730329692.1099987,1.0
1730329692.115331,1.0
1730329692.1179907,1.0
1730329692.121922,1.0
1730329692.1263273,1.0
1730329692.1298857,1.0
1730329692.1341195,1.0
1730329692.137896,1.0
1730329692.1433785,1.0
1730329692.1459632,1.0
1730329692.1500547,1.0
1730329692.1539156,1.0
1730329692.1584916,1.0
1730329692.161949,1.0
1730329692.166222,1.0
1730329692.1709342,1.0
1730329692.1744857,1.0
1730329692.1781597,1.0
1730329692.182511,1.0
1730329692.1861951,1.0
1730329692.190089,1.0
1730329692.1949823,1.0
1730329692.198249,1.0
1730329692.2016203,1.0
1730329692.2050948,1.0
1730329692.2101564,1.0
1730329692.2142372,1.0
1730329692.2184055,1.0
1730329692.22216,1.0
1730329692.226402,1.0
1730329692.2290523,1.0
1730329692.233307,1.0
1730329692.2380328,1.0
1730329692.242489,1.0
1730329692.2460432,1.0
1730329692.250192,1.0
1730329692.2541373,1.0
1730329692.2574296,1.0
1730329692.2614565,1.0
1730329692.2664258,1.0
1730329692.2700636,1.0
1730329692.274422,1.0
1730329692.278221,1.0
1730329692.282497,1.0
1730329692.28547,1.0
1730329692.2891903,1.0
1730329692.29441,1.0
1730329692.2984762,1.0
1730329692.302462,1.0
1730329692.305272,1.0
1730329692.3092787,1.0
1730329692.313174,1.0
1730329692.317521,1.0
1730329692.321143,1.0
1730329692.326445,1.0
1730329692.33025,1.0
1730329692.3334975,1.0
1730329692.3372295,1.0
1730329692.3415537,1.0
1730329692.34521,1.0
1730329692.3495865,1.0
1730329692.353342,1.0
1730329692.3577635,1.0
1730329692.3616557,1.0
1730329692.3667772,1.0
1730329692.370294,1.0
1730329692.3738608,1.0
1730329692.3774762,1.0
1730329692.3812804,1.0
1730329692.3853903,1.0
1730329692.3893943,1.0
1730329692.3944287,1.0
1730329692.39847,1.0
1730329692.4014978,1.0
1730329692.4054515,1.0
1730329692.4094367,1.0
1730329692.4134724,1.0
1730329692.4175117,1.0
1730329692.4213889,1.0
1730329692.426485,1.0
1730329692.429273,1.0
1730329692.4334073,1.0
1730329692.4372983,1.0
1730329692.4418013,1.0
1730329692.4453468,1.0
1730329692.449525,1.0
1730329692.454394,1.0
1730329692.4574628,1.0
1730329692.4605167,1.0
1730329692.465622,1.0
1730329692.469499,1.0
1730329692.4739857,1.0
1730329692.4781735,1.0
1730329692.481991,1.0
1730329692.4848864,1.0
1730329692.489564,1.0
1730329692.4936,1.0
1730329692.49798,1.0
1730329692.5016422,1.0
