Fp1,C3,time_board
-1175.7911653269728,-1276.6645880537735,1730245017.3970313
-1133.7698857509954,-1222.9533461276706,1730245017.401114
-1129.4783508155765,-1237.2361108346115,1730245017.4050152
-1168.9291797791934,-1285.7617480470835,1730245017.4092212
-1198.6346481602966,-1288.3769021483545,1730245017.414271
-1160.6143308418193,-1230.1729595867348,1730245017.4185867
-1165.464659388621,-1200.489842950087,1730245017.4223192
-1197.6064679153524,-1256.9950529331034,1730245017.4248602
-1198.813462115939,-1303.441977911231,1730245017.4292316
-1144.0516882004367,-1232.1175613543464,1730245017.4329815
-1137.0779439303808,-1211.486901222098,1730245017.4401088
-1188.3081422219448,-1264.102907669891,1730245017.4440744
-1205.228412774612,-1284.197125935212,1730245017.447086
-1138.0167171975038,-1236.7667242010505,1730245017.4511795
-1164.4364791436767,-1203.104997051358,1730245017.4543395
-1203.037941817992,-1262.9182652137597,1730245017.4570708
-1171.3431681803663,-1312.4720826711757,1730245017.4612613
-1116.9613739206045,-1281.313750900477,1730245017.465334
-1116.5143390314984,-1184.3295317089,1730245017.470533
-1180.619142129319,-1232.631651476819,1730245017.4740176
-1211.3751424998215,-1290.030931238047,1730245017.4772103
-1154.5346563499756,-1240.8347416919162,1730245017.4813051
-1128.6289845262747,-1192.778491113006,1730245017.485407
-1163.8553337878388,-1204.4013982297658,1730245017.4893355
-1181.4461566741654,-1273.8482682524048,1730245017.493373
-1161.4413453866655,-1292.8696027838712,1730245017.4980876
-1151.271301659501,-1248.4343348067207,1730245017.5023675
-1178.3169124504225,-1206.5024622085646,1730245017.5052488
-1196.2430115035786,-1272.5295153295417,1730245017.5091453
-1179.4121479287326,-1304.1572337338011,1730245017.5135942
-1175.3441304378666,-1249.7977912184945,1730245017.5171027
-1174.8076885709393,-1197.2488400040677,1730245017.521228
-1195.61716265883,-1272.4401083517205,1730245017.525058
-1169.197400712657,-1305.4983384011196,1730245017.5306103
-1139.3131183759117,-1252.3011865974888,1730245017.5330553
-1131.4676560720989,-1208.424712231721,1730245017.5370908
-1171.4772786470985,-1254.9610441876705,1730245017.5411232
-1188.2187352441235,-1301.5644313769856,1730245017.5453007
-1139.1566561647244,-1256.2797971105335,1730245017.5491347
-1132.697002017141,-1197.42765395971,1730245017.5533185
-1174.941799037671,-1265.6004745483965,1730245017.5580935
-1177.3781391832997,-1311.2650884705888,1730245017.5613267
-1139.849560242839,-1291.9308295167482,1730245017.5653076
-1106.232536582057,-1212.0456948334809,1730245017.5697002
-1133.6134235398083,-1242.0193841480475,1730245017.5733323
-1179.4792031620984,-1313.5002629161197,1730245017.5773945
-1196.2430115035786,-1287.7957567925164,1730245017.5821135
-1147.1585806797243,-1225.8143694179498,1730245017.5854435
-1148.119705691303,-1202.233279017601,1730245017.5903292
-1182.228467730101,-1285.3817683913433,1730245017.595524
-1163.7659268100176,-1271.8813147403378,1730245017.600337
-1141.771810265995,-1213.8338343899054,1730245017.6033895
-1146.9574149796267,-1212.4033227447658,1730245017.607211
-1159.429688385688,-1273.6023990633964,1730245017.6107447
-1154.84758077235,-1294.0765969844576,1730245017.6134655
-1125.4997403025318,-1238.1525323572794,1730245017.6161947
-1132.786408994962,-1204.6249156743188,1730245017.6216283
-1172.8407350588725,-1264.3040733699886,1730245017.6252897
-1167.5210198785092,-1317.1435972623349,1730245017.6295092
-1144.8339992563724,-1245.618015005352,1730245017.633212
-1155.3840226392774,-1201.6744854062183,1730245017.6374977
-1168.3480344233556,-1276.0163874645696,1730245017.6412356
-1139.916615476205,-1339.808266140016,1730245017.64445
-1110.948754662127,-1277.2457334096114,1730245017.6484237
-1183.1448892527687,-1213.4091512452544,1730245017.653672
-1211.039866332992,-1237.9290149127264,1730245017.6573792
-1175.6347031157857,-1277.3351403874326,1730245017.661652
-1173.4665839036209,-1295.5741638629634,1730245017.6652913
-1147.2256359130904,-1263.8570384808825,1730245017.6696355
-1173.2877699479784,-1261.6665675242623,1730245017.6728518
-1189.0233980445146,-1310.5945361369295,1730245017.6764832
-1153.5958830828529,-1295.2165359516785,1730245017.68163
-1141.257720143523,-1205.9660203416372,1730245017.6855004
-1170.9631885246265,-1227.8260264189275,1730245017.689888
-1172.9524937811486,-1279.1903351772232,1730245017.6925983
-1147.3150428909116,-1269.713195528173,1730245017.6964936
-1128.8972054597384,-1215.130235568313,1730245017.7004857
-1117.0507808984255,-1188.3751974553106,1730245017.7045648
-1161.9330837646824,-1232.1622648432572,1730245017.708455
-1184.910677064738,-1261.2865878685222,1730245017.7139523
-1132.585243294864,-1201.5403749394864,1730245017.717379
-1145.7951242679503,-1205.9883720860926,1730245017.720826
-1159.273226174501,-1284.644160824318,1730245017.7243671
-1147.4044498687329,-1317.2777077290664,1730245017.7285593
-1151.4054121262327,-1264.8852187258267,1730245017.7323916
-1139.0672491869032,-1228.2507095635783,1730245017.7376387
-1138.9554904646268,-1234.844474177894,1730245017.741393
-1171.6337408582856,-1304.1348819893458,1730245017.7466002
-1132.8311124838726,-1265.1087361703796,1730245017.7505033
-1133.7698857509954,-1196.399473714766,1730245017.7538488
-1165.0846797328809,-1230.5305874980197,1730245017.757468
-1167.319854178411,-1276.4634223536757,1730245017.7627966
-1113.2509843410237,-1243.002860904081,1730245017.7664711
-1147.1809324241797,-1210.6598866772515,1730245017.76974
-1176.551124638453,-1210.2799070215117,1730245017.77443
-1177.3110839499336,-1271.5460385735082,1730245017.7789369
-1141.3247753768892,-1265.3099018704777,1730245017.781665
-1106.5678127488868,-1223.1768635722235,1730245017.7850327
-1133.434609584166,-1212.6268401893187,1730245017.7888813
-1183.7260346086068,-1285.7170445581728,1730245017.792758
-1186.1847264986905,-1313.2096902382004,1730245017.797762
-1147.784429524473,-1209.1623197987462,1730245017.80208
-1170.0467670019589,-1186.5200026655202,1730245017.8050144
-1207.9553255981596,-1269.9590647171815,1730245017.8100317
-1164.7717553105065,-1297.384655163843,1730245017.812821
-1120.6270600112748,-1230.0612008644582,1730245017.8165393
-1133.7028305176295,-1196.779453370506,1730245017.8210757
-1164.570589610409,-1267.4780210826425,1730245017.8267095
-1159.5414471079646,-1263.454707080687,1730245017.829891
-1125.5667955358977,-1207.0612558199473,1730245017.8336616
-1158.46856337411,-1191.035055045492,1730245017.8367212
-1180.8873630627827,-1216.8736716358271,1730245017.8405235
-1181.3120462074337,-1273.5129920855752,1730245017.8450336
-1159.6979093191517,-1249.6636807517625,1730245017.84862
-1137.9049584752272,-1192.3761597128105,1730245017.8541746
-1171.4772786470985,-1226.6637357072516,1730245017.8567362
-1183.815441586428,-1290.7238353161615,1730245017.8601537
-1180.9320665516934,-1286.6781695697512,1730245017.864885
-1177.9816362835927,-1227.490750252098,1730245017.86894
-1189.8951160782717,-1223.1768635722235,1730245017.8733263
-1197.8076336154502,-1257.7103087556732,1730245017.876568
