time_board,marker
1730244918.639097,1.0
1730244918.6424224,1.0
1730244918.646468,1.0
1730244918.6505752,1.0
1730244918.654476,1.0
1730244918.6597068,1.0
1730244918.6635833,1.0
1730244918.6667926,1.0
1730244918.670418,1.0
1730244918.6757965,1.0
1730244918.6794772,1.0
1730244918.682515,1.0
1730244918.6874237,1.0
1730244918.6919343,1.0
1730244918.6944935,1.0
1730244918.6988451,1.0
1730244918.702533,1.0
1730244918.7067933,1.0
1730244918.7107265,1.0
1730244918.7151191,1.0
1730244918.7195275,1.0
1730244918.7231238,1.0
1730244918.727079,1.0
1730244918.7310076,1.0
1730244918.7345605,1.0
1730244918.7392375,1.0
1730244918.7429185,1.0
1730244918.7479274,1.0
1730244918.7506576,1.0
1730244918.754629,1.0
1730244918.7589233,1.0
1730244918.762658,1.0
1730244918.7666397,1.0
1730244918.7705643,1.0
1730244918.7748528,1.0
1730244918.7777517,1.0
1730244918.7825785,1.0
1730244918.786585,1.0
1730244918.7910712,1.0
1730244918.7946143,1.0
1730244918.8009875,1.0
1730244918.8036363,1.0
1730244918.80683,1.0
1730244918.8108468,1.0
1730244918.8151195,1.0
1730244918.8190515,1.0
1730244918.8234427,1.0
1730244918.8269231,1.0
1730244918.8321788,1.0
1730244918.8353572,1.0
1730244918.8378017,1.0
1730244918.8432949,1.0
1730244918.8481896,1.0
1730244918.8521743,1.0
1730244918.8547156,1.0
1730244918.857937,1.0
1730244918.86173,1.0
1730244918.8679204,1.0
1730244918.8708217,1.0
1730244918.8752809,1.0
1730244918.8787863,1.0
1730244918.8820252,1.0
1730244918.8860056,1.0
1730244918.8899827,1.0
1730244918.8938985,1.0
1730244918.89929,1.0
1730244918.9027836,1.0
1730244918.9071448,1.0
1730244918.9109535,1.0
1730244918.9152446,1.0
1730244918.9198415,1.0
1730244918.923355,1.0
1730244918.9273672,1.0
1730244918.9311378,1.0
1730244918.9349396,1.0
1730244918.9378524,1.0
1730244918.9419997,1.0
1730244918.945887,1.0
1730244918.950176,1.0
1730244918.9550972,1.0
1730244918.9592907,1.0
1730244918.9629226,1.0
1730244918.966092,1.0
1730244918.9698284,1.0
1730244918.9738977,1.0
1730244918.9778905,1.0
1730244918.9821963,1.0
1730244918.9869385,1.0
1730244918.990077,1.0
1730244918.99391,1.0
1730244918.998074,1.0
1730244919.0020554,1.0
1730244919.0063589,1.0
1730244919.010272,1.0
1730244919.0154405,1.0
1730244919.0180943,1.0
1730244919.0222228,1.0
1730244919.0262115,1.0
1730244919.0306096,1.0
1730244919.0341043,1.0
1730244919.0403025,1.0
1730244919.043422,1.0
1730244919.0474627,1.0
1730244919.0501397,1.0
1730244919.0540345,1.0
1730244919.0582852,1.0
1730244919.062023,1.0
1730244919.0661564,1.0
1730244919.0700085,1.0
1730244919.0730672,1.0
1730244919.0780509,1.0
1730244919.0822935,1.0
1730244919.086095,1.0
1730244919.0903404,1.0
1730244919.0942025,1.0
1730244919.098271,1.0
1730244919.10133,1.0
1730244919.1057658,1.0
1730244919.1102676,1.0
1730244919.114116,1.0
1730244919.118288,1.0
1730244919.122278,1.0
1730244919.126634,1.0
1730244919.1291788,1.0
1730244919.133289,1.0
1730244919.1383326,1.0
1730244919.1425323,1.0
1730244919.146355,1.0
1730244919.1503415,1.0
1730244919.1531618,1.0
1730244919.1575534,1.0
1730244919.1611147,1.0
1730244919.1666472,1.0
1730244919.1702502,1.0
1730244919.1744215,1.0
1730244919.1773407,1.0
1730244919.181461,1.0
1730244919.1856363,1.0
1730244919.1896255,1.0
1730244919.1941805,1.0
1730244919.1983442,1.0
1730244919.202533,1.0
1730244919.2053716,1.0
1730244919.2093368,1.0
1730244919.2132547,1.0
1730244919.2173457,1.0
1730244919.2212842,1.0
1730244919.2263553,1.0
1730244919.2304025,1.0
1730244919.233332,1.0
1730244919.2372558,1.0
1730244919.2413893,1.0
1730244919.2452412,1.0
1730244919.2493775,1.0
1730244919.2548852,1.0
1730244919.2584271,1.0
1730244919.2612262,1.0
1730244919.265524,1.0
1730244919.2693288,1.0
1730244919.273474,1.0
1730244919.2774744,1.0
1730244919.282437,1.0
1730244919.2862563,1.0
1730244919.2894747,1.0
1730244919.29345,1.0
1730244919.2974503,1.0
1730244919.3014815,1.0
1730244919.3054588,1.0
1730244919.310509,1.0
1730244919.3133817,1.0
1730244919.3176649,1.0
1730244919.3216605,1.0
1730244919.3256068,1.0
1730244919.3295305,1.0
1730244919.3336318,1.0
1730244919.3390765,1.0
1730244919.3419414,1.0
1730244919.3454049,1.0
1730244919.3497405,1.0
1730244919.353413,1.0
1730244919.357846,1.0
1730244919.3614635,1.0
1730244919.3667212,1.0
1730244919.3694782,1.0
1730244919.3726227,1.0
1730244919.3775585,1.0
1730244919.3816805,1.0
1730244919.3857496,1.0
1730244919.3896103,1.0
1730244919.3944547,1.0
1730244919.397631,1.0
1730244919.400987,1.0
1730244919.4059622,1.0
1730244919.410089,1.0
1730244919.41364,1.0
1730244919.417774,1.0
1730244919.4206643,1.0
1730244919.4248374,1.0
1730244919.4285676,1.0
1730244919.433634,1.0
1730244919.437718,1.0
1730244919.4418044,1.0
1730244919.4455929,1.0
1730244919.4490106,1.0
1730244919.452603,1.0
1730244919.4568274,1.0
1730244919.4608212,1.0
1730244919.4659743,1.0
1730244919.4696674,1.0
1730244919.4737582,1.0
1730244919.4777007,1.0
1730244919.4818406,1.0
1730244919.484813,1.0
1730244919.4893296,1.0
1730244919.4947462,1.0
1730244919.4977984,1.0
1730244919.5021293,1.0
1730244919.5047936,1.0
1730244919.5088532,1.0
1730244919.5126455,1.0
1730244919.517069,1.0
1730244919.5219674,1.0
1730244919.5262232,1.0
1730244919.5286467,1.0
1730244919.533025,1.0
1730244919.536754,1.0
1730244919.5410726,1.0
1730244919.5447133,1.0
1730244919.5491536,1.0
1730244919.5537608,1.0
1730244919.557066,1.0
1730244919.5608523,1.0
1730244919.565284,1.0
1730244919.5689886,1.0
1730244919.5730174,1.0
1730244919.5771508,1.0
1730244919.582338,1.0
1730244919.5851889,1.0
1730244919.5892532,1.0
1730244919.5934896,1.0
1730244919.5973513,1.0
1730244919.6012917,1.0
1730244919.6050036,1.0
1730244919.6102614,1.0
1730244919.612984,1.0
1730244919.6159782,1.0
1730244919.6209033,1.0
1730244919.6251707,1.0
1730244919.6289513,1.0
1730244919.6334412,1.0
1730244919.6368988,1.0
1730244919.6402156,1.0
1730244919.6458085,1.0
1730244919.6490705,1.0
1730244919.652957,1.0
1730244919.6572351,1.0
1730244919.6608508,1.0
1730244919.6650467,1.0
1730244919.668172,1.0
1730244919.672387,1.0
1730244919.6771877,1.0
1730244919.6812072,1.0
1730244919.6848798,1.0
1730244919.6889467,1.0
1730244919.6929731,1.0
1730244919.6960382,1.0
1730244919.7000878,1.0
1730244919.7049034,1.0
1730244919.708906,1.0
1730244919.7129302,1.0
1730244919.717062,1.0
1730244919.7199168,1.0
1730244919.7239811,1.0
1730244919.7300828,1.0
1730244919.73317,1.0
1730244919.737157,1.0
1730244919.7421508,1.0
1730244919.7449872,1.0
1730244919.7491112,1.0
1730244919.75297,1.0
1730244919.7570114,1.0
1730244919.7601297,1.0
1730244919.764125,1.0
1730244919.7680366,1.0
1730244919.772042,1.0
1730244919.7772968,1.0
1730244919.7812705,1.0
1730244919.7852557,1.0
1730244919.7881165,1.0
1730244919.7940145,1.0
1730244919.7971923,1.0
1730244919.8001788,1.0
1730244919.8051424,1.0
1730244919.8091407,1.0
1730244919.8124206,1.0
1730244919.8161385,1.0
1730244919.8200965,1.0
1730244919.8242936,1.0
1730244919.8281837,1.0
1730244919.8333592,1.0
1730244919.837174,1.0
1730244919.8402247,1.0
1730244919.8441706,1.0
1730244919.848256,1.0
1730244919.852321,1.0
1730244919.8563323,1.0
1730244919.8603723,1.0
1730244919.8652377,1.0
1730244924.8821812,1.0
1730244924.8861384,1.0
1730244924.8903131,1.0
1730244924.894236,1.0
1730244924.9002552,1.0
1730244924.9030488,1.0
1730244924.9071133,1.0
1730244924.9102006,1.0
1730244924.9141977,1.0
1730244924.9180992,1.0
1730244924.9222212,1.0
1730244924.9271696,1.0
1730244924.9301343,1.0
1730244924.9331312,1.0
1730244924.9383256,1.0
1730244924.942279,1.0
1730244924.9461129,1.0
1730244924.9503596,1.0
1730244924.9552538,1.0
1730244924.9591255,1.0
1730244924.9623077,1.0
1730244924.966161,1.0
1730244924.970326,1.0
1730244924.97431,1.0
1730244924.9801445,1.0
1730244924.9831333,1.0
1730244924.98624,1.0
1730244924.9903495,1.0
1730244924.9942584,1.0
1730244924.9993353,1.0
1730244925.0033205,1.0
1730244925.0083544,1.0
1730244925.0113597,1.0
1730244925.0143502,1.0
1730244925.0181873,1.0
1730244925.02151,1.0
