Fp1,C3,time_board
-4846.796971177694,18163.1393031048,1730411795.5676668
-4842.5501397311855,18150.152939576263,1730411795.571765
-4843.287747298211,18159.674782714224,1730411795.575865
-4853.3460323031,18167.47554152913,1730411795.5787425
-4850.037974123714,18155.40559952326,1730411795.5827563
-4840.314965285655,18143.715637173133,1730411795.586686
-4853.480142769831,18157.283146057503,1730411795.5908976
-4855.000061392791,18175.41041081076,1730411795.5968175
-4850.194436334901,18163.42987578272,1730411795.5997417
-4841.119628086046,18145.77199766302,1730411795.6037996
-4834.235290793811,18155.51735824553,1730411795.6070411
-4837.409238506465,18180.21603586865,1730411795.6108456
-4836.425761750432,18178.137323634302,1730411795.6149232
-4823.372342988532,18159.69713445868,1730411795.6189785
-4830.52490121423,18153.79627392248,1730411795.6229577
-4850.909692157471,18163.049896126973,1730411795.62774
-4848.495703756297,18170.113047374853,1730411795.6319273
-4839.62206120754,18154.913861145244,1730411795.6350083
-4839.689116440906,18149.52709073152,1730411795.638952
-4845.00883162127,18160.50179725907,1730411795.6429696
-4838.4374187514095,18172.97407066513,1730411795.6469333
-4824.042895322192,18163.474579271624,1730411795.650876
-4835.174064060934,18151.561099476945,1730411795.6558533
-4853.927177658937,18161.999364137577,1730411795.6598468
-4855.000061392791,18172.48233228712,1730411795.6627944
-4848.4733520118425,18153.706866944656,1730411795.6669223
-4841.790180419705,18140.94402086068,1730411795.6709504
-4839.107971085068,18158.02075362453,1730411795.6750004
-4845.05353511018,18170.20245435267,1730411795.6789424
-4838.616232707052,18160.322983303427,1730411795.68408
-4829.831997136116,18145.906108129755,1730411795.6879916
-4841.410200763965,18151.650506454767,1730411795.691063
-4850.596767735096,18165.799160694976,1730411795.6949117
-4849.43447702342,18157.953698391164,1730411795.6990738
-4842.974822875836,18133.45618646815,1730411795.7029605
-4839.085619340613,18144.74381741808,1730411795.7070165
-4850.7085264573725,18163.31811706044,1730411795.7119408
-4851.535541002219,18156.858462912853,1730411795.714944
-4836.157540816968,18141.793387149977,1730411795.7190008
-4834.145883815991,18144.67676218471,1730411795.7231145
-4837.632755951018,18159.07128561393,1730411795.72707
-4847.53457874472,18155.40559952326,1730411795.73095
-4847.109895600069,18139.1335295598,1730411795.735102
-4840.024392607736,18138.887660370787,1730411795.740234
-4846.171122332946,18149.035352353498,1730411795.7431655
-4856.117648615557,18144.49794822907,1730411795.7462463
-4844.360631032066,18140.25111678256,1730411795.751223
-4835.218767549845,18138.68649467069,1730411795.7551892
-4834.369401260544,18142.37453250581,1730411795.7591631
-4844.517093243253,18151.203471565663,1730411795.765104
-4855.268282326256,18144.11796857333,1730411795.7681203
-4843.198340320389,18134.39495973527,1730411795.7711549
-4845.902901399481,18139.15588130425,1730411795.775114
-4856.00588989328,18149.549442475967,1730411795.7790873
-4840.583186219119,18143.3356575174,1730411795.7831194
-4828.110912813057,18136.67483766971,1730411795.7870605
-4841.812532164161,18141.189890049685,1730411795.7912176
-4853.256625325278,18154.042143111485,1730411795.795071
-4846.685212455418,18150.64467795428,1730411795.7982736
-4833.989421604803,18138.19475629268,1730411795.8021157
-4840.002040863281,18136.25015452506,1730411795.806282
-4852.250796824789,18147.716599430634,1730411795.811156
-4851.736706702317,18152.36576227734,1730411795.8153524
-4835.084657083114,18150.130587831805,1730411795.8194096
-4834.615270449552,18149.12475933132,1730411795.8232622
-4848.071020611646,18158.02075362453,1730411795.8274448
-4853.547198003197,18158.42308502473,1730411795.830663
-4844.517093243253,18143.156843561752,1730411795.8343072
-4838.817398407149,18142.37453250581,1730411795.8392308
-4846.349936288588,18157.171387335227,1730411795.8431845
-4854.754192203784,18160.144169347783,1730411795.8472648
-4845.344107788099,18151.91872738823,1730411795.850298
