time_board,marker
1730243146.0289612,1.0
1730243146.032799,1.0
1730243146.0369473,1.0
1730243146.0407665,1.0
1730243146.0448165,1.0
1730243146.0488353,1.0
1730243146.0517845,1.0
1730243146.0558045,1.0
1730243146.0607617,1.0
1730243146.0647757,1.0
1730243146.06895,1.0
1730243146.0729463,1.0
1730243146.0758836,1.0
1730243146.0799725,1.0
1730243146.083969,1.0
1730243146.0879955,1.0
1730243146.0929897,1.0
1730243146.09698,1.0
1730243146.1010132,1.0
1730243146.1040404,1.0
1730243146.1078312,1.0
1730243146.112043,1.0
1730243146.115811,1.0
1730243146.1210313,1.0
1730243146.1249893,1.0
1730243146.1290326,1.0
1730243146.1321547,1.0
1730243146.1360328,1.0
1730243146.140038,1.0
1730243146.144062,1.0
1730243146.1489637,1.0
1730243146.153093,1.0
1730243146.1561072,1.0
1730243146.1600964,1.0
1730243146.1641183,1.0
1730243146.1680305,1.0
1730243146.1719885,1.0
1730243146.1771307,1.0
1730243146.181148,1.0
1730243146.1842496,1.0
1730243146.1881597,1.0
1730243146.1921418,1.0
1730243146.196034,1.0
1730243146.2001252,1.0
1730243146.2052555,1.0
1730243146.2093644,1.0
1730243146.2123137,1.0
1730243146.216033,1.0
1730243146.2202165,1.0
1730243146.2240367,1.0
1730243146.2282429,1.0
1730243146.2321043,1.0
1730243146.2372513,1.0
1730243146.2402592,1.0
1730243146.2442198,1.0
1730243146.2480931,1.0
1730243146.2522488,1.0
1730243146.256277,1.0
1730243146.2602873,1.0
1730243146.2641647,1.0
1730243146.2671869,1.0
1730243146.2722552,1.0
1730243146.2762954,1.0
1730243146.2800925,1.0
1730243146.2843032,1.0
1730243146.288323,1.0
1730243146.2922547,1.0
1730243146.295308,1.0
1730243146.2991705,1.0
1730243146.3043413,1.0
1730243146.3093996,1.0
1730243146.313376,1.0
1730243146.316228,1.0
1730243146.3204029,1.0
1730243146.323191,1.0
1730243146.3274295,1.0
1730243146.3322666,1.0
1730243146.336398,1.0
1730243146.3403814,1.0
1730243146.3444383,1.0
1730243146.3474548,1.0
1730243146.35136,1.0
1730243146.355354,1.0
1730243146.360448,1.0
1730243146.3644626,1.0
1730243146.3684735,1.0
1730243146.3712437,1.0
1730243146.3763776,1.0
1730243146.3804636,1.0
1730243146.3833332,1.0
1730243146.3874593,1.0
1730243146.3926263,1.0
1730243146.396417,1.0
1730243146.3993273,1.0
1730243146.403684,1.0
1730243146.407369,1.0
1730243146.4115238,1.0
1730243146.4163954,1.0
1730243146.4203885,1.0
1730243146.4244103,1.0
1730243146.427537,1.0
1730243146.4315355,1.0
1730243146.4355323,1.0
1730243146.439572,1.0
1730243146.4435058,1.0
1730243146.448531,1.0
1730243146.452614,1.0
1730243146.4555967,1.0
1730243146.4594946,1.0
1730243146.4636116,1.0
1730243146.4675376,1.0
1730243146.4716074,1.0
1730243146.476504,1.0
1730243146.4795356,1.0
1730243146.4835832,1.0
1730243146.4877615,1.0
1730243146.4916615,1.0
1730243146.4957664,1.0
1730243146.4995253,1.0
1730243146.5048,1.0
1730243146.5078552,1.0
1730243146.5106444,1.0
1730243146.515788,1.0
1730243146.5197544,1.0
1730243146.5237367,1.0
1730243146.5277555,1.0
1730243146.5327687,1.0
1730243146.535804,1.0
1730243146.5396647,1.0
1730243146.5437973,1.0
1730243146.5478044,1.0
1730243146.5517747,1.0
1730243146.5557644,1.0
1730243146.559942,1.0
1730243146.563916,1.0
1730243146.566718,1.0
1730243146.571874,1.0
1730243146.5757115,1.0
1730243146.579857,1.0
1730243146.5837443,1.0
1730243146.5888505,1.0
1730243146.5917554,1.0
1730243146.594826,1.0
1730243146.599696,1.0
1730243146.60419,1.0
1730243146.6077173,1.0
1730243146.611846,1.0
1730243146.6148305,1.0
1730243146.6188817,1.0
1730243146.6228943,1.0
1730243146.6278975,1.0
1730243146.6319027,1.0
1730243146.635882,1.0
1730243146.6399095,1.0
1730243146.6429155,1.0
1730243146.6469328,1.0
1730243146.650951,1.0
1730243146.6549587,1.0
1730243146.659978,1.0
1730243146.6638827,1.0
1730243146.6679652,1.0
1730243146.6709664,1.0
1730243146.6749835,1.0
1730243146.6789925,1.0
1730243146.682813,1.0
