Fp1,C3,time_board
-9527.207556630085,7625.36467616137,1730986807.7021096
-9536.684696279131,7622.704818571189,1730986807.7059145
-9529.822710731354,7641.614394380378,1730986807.7099383
-9541.64678354821,7636.428789666747,1730986807.7129972
-9548.732286540542,7630.527929130546,1730986807.7169745
-9545.625394061257,7613.31708589996,1730986807.7209773
-9535.991792201015,7627.555147117991,1730986807.7248604
-9551.392144130725,7637.881653056343,1730986807.729043
-9551.16862668617,7619.776740047543,1730986807.7340484
-9544.88778649423,7612.646533566301,1730986807.738075
-9547.592347573322,7617.966248746664,1730986807.7409945
-9557.449466878114,7605.248106151594,1730986807.7449772
-9538.6516497912,7621.989562748619,1730986807.7489755
-9532.616678788268,7686.541400735546,1730986807.753076
-9566.568978615878,7649.951595062208,1730986807.7569945
-9533.30958286638,7599.593114804401,1730986807.7620957
-9519.74207398201,7640.742676346622,1730986807.7660418
-9542.94318472662,7675.834915141454,1730986807.7691648
-9566.479571638058,7639.468626912669,1730986807.7731628
-9550.185149930136,7656.433600954248,1730986807.777145
-9556.734211055544,7627.555147117991,1730986807.781145
-9545.22306266106,7610.79133877651,1730986807.7850833
-9532.348457854803,7615.261687667572,1730986807.7899926
-9534.114245666771,7589.780698988521,1730986807.7941124
-9552.107399953296,7598.341417114904,1730986807.7971437
-9563.573844858867,7626.281097684038,1730986807.8010857
-9561.450429135612,7631.354943675393,1730986807.8050764
-9560.08697272384,7637.769894334066,1730986807.8091152
-9547.972327229065,7626.6834290842335,1730986807.8132725
-9536.416475345668,7607.662094552767,1730986807.8181872
-9526.93933569662,7624.939993016719,1730986807.821172
-9545.960670228083,7638.954536790197,1730986807.824077
-9543.613737060276,7655.94186257623,1730986807.8291595
-9541.89265273722,7645.503597915602,1730986807.8331158
-9543.479626593546,7626.146987217306,1730986807.8371522
-9543.569033571368,7665.776630136565,1730986807.841071
-9558.723516312066,7633.925394287753,1730986807.846046
-9545.468931850068,7632.696048342711,1730986807.8491015
-9548.620527818266,7625.7446558171105,1730986807.8521905
-9551.593309830823,7617.541565602013,1730986807.8570712
-9540.149216669704,7619.352056902892,1730986807.861098
-9533.17547239965,7610.970152732152,1730986807.8651528
-9529.710952009076,7635.110036743884,1730986807.8691096
-9546.474760350557,7610.478414354136,1730986807.8741765
-9529.755655497987,7619.195594691706,1730986807.8771305
-9539.053981191397,7613.138271944317,1730986807.880155
