Fp1,C3,time_board
29879.94609832121,17765.926452389533,1730653708.4124148
29868.0996737599,17767.714591945958,1730653708.4161658
29873.061761028977,17764.339478533206,1730653708.4204242
29872.34650520641,17761.903138387577,1730653708.4253256
29870.04427552751,17762.506635487873,1730653708.4292364
29869.172557493755,17767.155798334577,1730653708.433254
29873.57585115145,17765.70293494498,1730653708.4373407
29872.5029674176,17765.546472733793,1730653708.440195
29867.18325223723,17768.7427721909,1730653708.444394
29874.291106974026,17760.539681975806,1730653708.4481936
29883.321211733964,17770.396801280596,1730653708.4523685
29890.943156593225,17764.071257599742,1730653708.457196
29888.97620308116,17755.84581564019,1730653708.4612975
29872.72648486215,17764.02655411083,1730653708.4652245
29871.34067670592,17764.27242329984,1730653708.468371
29882.8518251004,17759.667963942047,1730653708.4723892
29884.52820593455,17758.237452296908,1730653708.4764905
29873.66525812928,17766.79817042329,1730653708.480426
29872.659429628784,17774.621280982647,1730653708.4854753
29881.130740777346,17770.62031872515,1730653708.4893453
29881.220147755164,17757.56689996325,1730653708.4924762
29881.421313455263,17757.70101042998,1730653708.4965084
29888.97620308116,17767.692240201504,1730653708.500372
29888.03742981404,17768.496903001895,1730653708.5043905
29885.71284839068,17761.32199303174,1730653708.508405
29886.316345490977,17762.528987232326,1730653708.5135007
29883.34356347842,17765.591176222704,1730653708.517547
29874.51462441857,17767.401667523583,1730653708.5205753
29872.52531916205,17766.194673322996,1730653708.524498
29879.9013948323,17760.830254653723,1730653708.5283256
29883.74589487861,17762.79720816579,1730653708.5324163
29890.160845537288,17771.13440884762,1730653708.536604
29894.362973494884,17768.094571601698,1730653708.5415688
29874.04523778501,17759.980888364422,1730653708.5455956
29866.75856909258,17769.838007669212,1730653708.5484576
29869.574888893952,17774.844798427202,1730653708.5525844
29872.72648486215,17778.62224324015,1730653708.5563648
29868.278487715543,17761.61256570966,1730653708.560485
29882.8518251004,17757.253975540876,1730653708.5644767
29887.053953058003,17765.07708610023,1730653708.5695028
29881.64483089981,17763.199539565987,1730653708.5734904
29880.79546461052,17768.541606490806,1730653708.5765047
29885.690496646228,17767.781647179323,1730653708.580544
29880.9519268217,17759.623260453136,1730653708.584605
29878.29206923152,17757.388086007606,1730653708.5886097
29879.54376692102,17772.162589092564,1730653708.5946028
29883.47767394515,17777.37054555065,1730653708.5974784
29888.842092614424,17769.390972780107,1730653708.6007175
29891.74781939361,17767.602833223682,1730653708.6047196
29899.593281697427,17769.547434991295,1730653708.607618
29892.88775836084,17771.447333269996,1730653708.612753
29882.82947335595,17765.90410064508,1730653708.616684
29880.41548495477,17759.600908708682,1730653708.620704
29881.26485124408,17768.251033812885,1730653708.624734
29879.409656454285,17778.130504862133,1730653708.6286654
29880.32607797695,17772.631975726126,1730653708.6315136
29881.19779601071,17760.159702320063,1730653708.6356816
