time_board,marker
1730653811.2055638,1.0
1730653811.2094047,1.0
1730653811.2135403,1.0
1730653811.2183628,1.0
1730653811.2216032,1.0
1730653811.2256362,1.0
1730653811.2295363,1.0
1730653811.2335608,1.0
1730653811.237606,1.0
1730653811.241672,1.0
1730653811.245646,1.0
1730653811.2496724,1.0
1730653811.252607,1.0
1730653811.257615,1.0
1730653811.2616336,1.0
1730653811.265648,1.0
1730653811.2698298,1.0
1730653811.2737136,1.0
1730653811.2776277,1.0
1730653811.28061,1.0
1730653811.2844765,1.0
1730653811.2896848,1.0
1730653811.2934668,1.0
1730653811.2977169,1.0
1730653811.3015406,1.0
1730653811.3056808,1.0
1730653811.3086977,1.0
1730653811.3125522,1.0
1730653811.3175223,1.0
1730653811.3216302,1.0
1730653811.3255353,1.0
1730653811.3288126,1.0
1730653811.332788,1.0
1730653811.3367696,1.0
1730653811.3406675,1.0
1730653811.3456292,1.0
1730653811.3496387,1.0
1730653811.353682,1.0
1730653811.3576057,1.0
1730653811.3607073,1.0
1730653811.3648088,1.0
1730653811.368641,1.0
1730653811.372867,1.0
1730653811.377834,1.0
1730653811.3818,1.0
1730653811.3846605,1.0
1730653811.3887663,1.0
1730653811.3928435,1.0
1730653811.3969169,1.0
1730653811.400642,1.0
1730653811.40593,1.0
1730653811.409966,1.0
1730653811.41285,1.0
1730653811.4168737,1.0
1730653811.4206777,1.0
1730653811.4249425,1.0
1730653811.4289167,1.0
1730653811.434006,1.0
1730653811.436964,1.0
1730653811.4408169,1.0
1730653811.444922,1.0
1730653811.4509196,1.0
1730653811.454023,1.0
1730653811.4588284,1.0
1730653811.462933,1.0
1730653811.4659677,1.0
1730653811.470055,1.0
1730653811.472968,1.0
1730653811.4767551,1.0
1730653811.4809544,1.0
1730653811.4848316,1.0
1730653811.4901764,1.0
1730653811.4928164,1.0
1730653811.4960413,1.0
1730653811.5008872,1.0
1730653811.5060005,1.0
1730653811.5099976,1.0
1730653811.5130212,1.0
1730653811.5171356,1.0
1730653811.5200698,1.0
1730653811.524057,1.0
1730653811.52909,1.0
1730653811.53314,1.0
1730653811.5370712,1.0
1730653811.541076,1.0
1730653811.5450656,1.0
1730653811.548048,1.0
1730653811.5520413,1.0
1730653811.5570884,1.0
1730653811.5609896,1.0
1730653811.565107,1.0
1730653811.569033,1.0
1730653811.57349,1.0
1730653811.5760803,1.0
1730653811.580582,1.0
1730653811.5839753,1.0
1730653811.589251,1.0
1730653811.5948603,1.0
1730653811.5975263,1.0
1730653811.6010106,1.0
1730653811.6040778,1.0
1730653811.6081033,1.0
1730653811.6130228,1.0
1730653811.617148,1.0
1730653811.6227329,1.0
1730653811.6241832,1.0
1730653811.6280272,1.0
1730653811.632277,1.0
1730653811.6362057,1.0
1730653811.640632,1.0
1730653811.6454473,1.0
1730653811.649242,1.0
1730653811.6520774,1.0
1730653811.656423,1.0
1730653811.6600628,1.0
1730653811.6642935,1.0
1730653811.6682477,1.0
1730653811.673296,1.0
1730653811.6771903,1.0
1730653811.6801925,1.0
1730653811.6842752,1.0
1730653811.6881409,1.0
1730653811.692243,1.0
1730653811.6962836,1.0
1730653811.7029357,1.0
1730653811.7051797,1.0
1730653811.7105343,1.0
1730653811.7121828,1.0
1730653811.717584,1.0
1730653811.7202425,1.0
1730653811.7243063,1.0
1730653811.7283995,1.0
1730653811.7346036,1.0
1730653811.7367544,1.0
1730653811.7401886,1.0
1730653811.7453184,1.0
1730653811.748248,1.0
1730653811.7522707,1.0
1730653811.7572825,1.0
1730653811.7602415,1.0
1730653811.7662995,1.0
1730653811.7692888,1.0
1730653811.7722964,1.0
1730653811.7752764,1.0
1730653811.7793248,1.0
1730653811.784302,1.0
1730653811.7882955,1.0
1730653811.792301,1.0
1730653811.7963235,1.0
1730653811.800346,1.0
1730653811.8033755,1.0
1730653811.807413,1.0
1730653811.8123808,1.0
1730653811.816388,1.0
1730653811.820396,1.0
1730653811.8244095,1.0
1730653811.8284595,1.0
1730653811.8314843,1.0
1730653811.8354473,1.0
1730653811.840498,1.0
1730653811.844515,1.0
1730653811.8484812,1.0
1730653811.8525112,1.0
1730653811.8556,1.0
1730653811.8595028,1.0
1730653811.8635087,1.0
1730653811.868489,1.0
1730653811.872592,1.0
1730653811.876476,1.0
1730653811.8805811,1.0
1730653811.8835928,1.0
1730653811.8875413,1.0
1730653811.8917332,1.0
1730653811.8967164,1.0
1730653811.9004924,1.0
1730653811.9046931,1.0
1730653811.907678,1.0
1730653811.9117217,1.0
1730653811.915632,1.0
1730653811.919806,1.0
1730653811.923738,1.0
1730653811.9287193,1.0
1730653811.9327369,1.0
1730653811.9357312,1.0
1730653811.9397368,1.0
1730653811.9435556,1.0
1730653811.9477544,1.0
1730653811.951656,1.0
1730653811.9567404,1.0
1730653811.960632,1.0
1730653811.9637983,1.0
1730653811.9676309,1.0
1730653811.9717686,1.0
1730653811.9757397,1.0
1730653811.9798896,1.0
1730653811.984668,1.0
1730653811.987852,1.0
1730653811.9918804,1.0
1730653811.9958577,1.0
1730653811.9998152,1.0
1730653812.003755,1.0
1730653812.0079005,1.0
1730653812.012845,1.0
1730653812.015876,1.0
1730653812.018839,1.0
1730653812.0238764,1.0
1730653812.027908,1.0
1730653812.031906,1.0
1730653812.0359044,1.0
1730653812.0408385,1.0
1730653812.043959,1.0
1730653812.0467908,1.0
1730653812.0519576,1.0
1730653812.055958,1.0
1730653812.0599508,1.0
1730653812.063788,1.0
1730653812.0670123,1.0
1730653812.0709376,1.0
1730653812.0749495,1.0
1730653812.0799944,1.0
1730653812.083766,1.0
1730653812.087945,1.0
1730653812.0919232,1.0
1730653812.095085,1.0
1730653812.0990136,1.0
1730653812.103102,1.0
1730653812.1069725,1.0
1730653812.1119916,1.0
1730653812.1159835,1.0
1730653812.120154,1.0
1730653812.1231077,1.0
1730653812.1270034,1.0
