Fp1,C3,time_board
-27608.02538490598,397.4363681598149,1730328609.8341975
-27619.51418155601,380.22552492922847,1730328609.837073
-27652.05832148294,363.014681698642,1730328609.841099
-27685.72004863263,363.4617165877481,1730328609.8451712
-27646.693902813666,294.663047154313,1730328609.849114
-27567.904003608703,395.2682489476501,1730328615.8863523
-27725.43909852971,294.10425354293034,1730328615.8904328
-27809.86163733741,317.4618264987262,1730328615.8934891
-27702.95324360767,463.0387381361411,1730328615.8975334
-27523.53579086492,548.5341606776906,1730328615.901383
-27704.62962444182,420.7045341377896,1730328615.9053218
-27737.30787483548,429.62288017545706,1730328615.9098032
-27632.94757997365,525.5789191220903,1730328615.9132736
-27594.100248110324,475.6674737533896,1730328615.9187443
-27623.693957769152,388.4509668887815,1730328615.9213176
-27640.10013819935,360.1536584083627,1730328615.9255557
-27714.307929790968,431.4557232207922,1730328615.9292831
-27672.62192638182,474.6616452529008,1730328615.933558
-27653.89116452827,454.34390954302665,1730328615.9373438
-27678.65689738476,419.8104643595772,1730328615.9414587
-27691.218577768635,384.4053011423709,1730328615.9463315
-27489.784656737407,409.9533450547869,1730328615.949581
-27534.577552625844,489.07852042657385,1730328615.9534628
-27735.05034864549,409.1039787654852,1730328615.9573762
-27659.4791006421,451.0805548525518,1730328615.961496
-27740.459470803675,409.9980485436975,1730328615.9656477
-27783.82185504697,272.2889509545506,1730328615.969456
-27718.93474089321,316.1877770647737,1730328615.9733472
-27727.80838344197,474.0804998970628,1730328615.9765892
-27556.728131381053,603.005361915274,1730328615.9803827
-27435.06758631081,518.4040091519367,1730328615.985713
-27672.55487114845,451.7287554417557,1730328615.9894476
-27789.36508767189,400.8338333170216,1730328615.993718
-27721.88517116132,412.5237956671472,1730328615.9981043
-27564.64064891823,416.949441069298,1730328616.0015216
-27681.31675497493,399.5150803941584,1730328616.0043564
-27799.468076165685,407.0923217645075,1730328616.008432
-27748.550802296497,400.0068187721752,1730328616.013507
-27669.42562692471,326.42487602530434,1730328616.017688
-27501.56402606536,391.08847273450766,1730328616.0213473
-27685.027144554515,504.009485722719,1730328616.0257237
-27687.418781211232,513.5089771162245,1730328616.0294137
-27639.161364932224,507.8763375134871,1730328616.0327468
-27668.75507459105,407.1146735089628,1730328616.0364456
-27644.83870802387,375.57636208252455,1730328616.041592
-27615.60262627633,411.786188100122,1730328616.04539
-27576.42001824618,455.34973804351546,1730328616.0497518
-27733.88805793381,490.3078663716157,1730328616.0534315
-27756.977409956147,444.5985489605128,1730328616.0576973
-27631.450013095146,448.6665664513787,1730328616.060819
-27608.785344217464,394.0836064915188,1730328616.0651147
-27686.412952710743,409.2157374877617,1730328616.0684984
-27609.27708259548,425.8901388514208,1730328616.0737362
-27589.004050374515,378.39268188389326,1730328616.0776896
-27725.372043296346,435.5013889672028,1730328616.0805657
-27766.633363560843,474.5498865306242,1730328616.0844724
-27645.933943502183,429.0864383085297,1730328616.0885613
