Fp1,C3,time_board
-7757.530541125601,8225.933697931016,1731451403.7764232
-7747.606366587444,8223.519709529843,1731451403.7803297
-7702.724063721188,8233.667401512552,1731451403.7853515
-7690.363549037404,8234.405009079577,1731451403.7894275
-7728.830901244986,8223.743226974395,1731451403.7935624
-7745.125322952906,8215.920116415038,1731451403.7976468
-7705.093348633451,8233.332125345722,1731451403.8017468
-7683.56861872299,8238.920061459548,1731451403.804386
-7725.187566898771,8215.62954373712,1731451403.810547
-7729.9931919566625,8204.923058143027,1731451403.813378
-7702.277028832082,8221.061017639759,1731451403.8165522
-7692.33050254947,8236.528424802831,1731451403.8217568
-7696.420871784791,8238.405971337077,1731451403.8244631
-7717.7220842506995,8216.635372237608,1731451403.828693
-7715.866889460909,8216.098930370681,1731451403.83252
-7700.198316597738,8232.639221267607,1731451403.8364563
-7697.024368885085,8247.078448185735,1731451403.841457
-7732.831863502487,8232.885090456617,1731451403.8444705
-7711.441244058758,8237.422494581044,1731451403.8486288
-7676.013729097096,8245.446770840499,1731451403.8525672
-7691.1905635822495,8243.166892906058,1731451403.8566012
-7729.300287878548,8222.312715329255,1731451403.8607707
-7723.064151175517,8217.305924571267,1731451403.864712
-7680.104098332417,8229.82290146624,1731451403.8696375
-7677.8689238868865,8233.19801487899,1731451403.8725932
-7741.370229884414,8216.411854793056,1731451403.8776631
-7745.885282264386,8214.690770469997,1731451403.8818505
-7694.208049083716,8230.515805544353,1731451403.884752
-7670.872827872376,8238.651840526085,1731451403.8885396
-7707.417930056803,8216.031875137314,1731451403.894632
-7726.774540755098,8190.193258546979,1731451403.8976588
-7696.778499696076,8224.01144790786,1731451403.9006393
-7682.965121622697,8256.15325643459,1731451403.9034996
-7710.0330841580735,8229.062942154758,1731451403.9086013
-7733.882395491886,8204.900706398572,1731451403.9125297
-7708.6696277463,8203.827822664716,1731451403.916659
-7669.665833671789,8244.396238851099,1731451403.9205067
-7709.943677180252,8241.043477182804,1731451403.9246657
-7758.491666137179,8229.308811343768,1731451403.9278457
-7719.66668601831,8237.020163180849,1731451403.9317844
-7680.774650666077,8244.306831873278,1731451403.9365473
-7699.326598563982,8231.432227067022,1731451403.9406877
-7733.278898391592,8216.925944915527,1731451403.9447453
-7720.963087196718,8220.591631006197,1731451403.9488633
-7677.645406442333,8237.802474236783,1731451403.9518468
-7671.208104039205,8225.620773508641,1731451403.9558024
-7708.602572512934,8197.323465028223,1731451403.9598927
-7740.38675312838,8199.536287729297,1731451403.9657044
-7711.105967891928,8216.47891002642,1731451403.9686396
-7686.250828057627,8225.263145597357,1731451403.9729252
-7733.413008858324,8219.742264716895,1731451403.9767268
-7753.082543978995,8214.95899140346,1731451403.9796145
-7707.932020179274,8229.91230844406,1731451403.9837823
-7681.512258233101,8230.359343333166,1731451403.987719
-7720.203127885238,8191.377901003111,1731451403.9926746
-7739.939718239274,8185.588799189187,1731451403.9968338
-7690.005921126119,8231.164006133558,1731451404.0008855
-7677.75716516461,8244.06096268427,1731451404.0049033
-7725.031104687585,8232.460407311966,1731451404.007833
-7748.746305554665,8215.361322803656,1731451404.0116465
-7692.196392082738,8221.038665895303,1731451404.0156837
-7695.258581073115,8225.665476997552,1731451404.019729
-7738.866834505419,8233.15331139008,1731451404.0248182
-7749.81918928852,8221.843328695695,1731451404.0287352
-7738.91153799433,8233.645049768096,1731451404.0318065
-7700.868868931398,8252.241701154911,1731451404.0357769
-7703.796947455043,8244.552701062286,1731451404.0398867
