time_board,marker
1731451504.0607855,2.0
1731451504.0655706,2.0
1731451504.0697868,2.0
1731451504.0737045,2.0
1731451504.0778449,2.0
1731451504.081636,2.0
1731451504.0858023,2.0
1731451504.0888336,2.0
1731451504.0916405,2.0
1731451504.0967083,2.0
1731451504.1007292,2.0
1731451504.1048229,2.0
1731451504.1087506,2.0
1731451504.1118011,2.0
1731451504.115687,2.0
1731451504.119962,2.0
1731451504.1236887,2.0
1731451504.1289637,2.0
1731451504.1327856,2.0
1731451504.136974,2.0
1731451504.140694,2.0
1731451504.1449566,2.0
1731451504.1497192,2.0
1731451504.1538715,2.0
1731451504.1578135,2.0
1731451504.1619196,2.0
1731451504.1658268,2.0
1731451504.170045,2.0
1731451504.1729188,2.0
1731451504.1760275,2.0
1731451504.1800551,2.0
1731451504.183941,2.0
1731451504.1889436,2.0
1731451504.1918085,2.0
1731451504.1960385,2.0
1731451504.199825,2.0
1731451504.2041304,2.0
1731451504.2079058,2.0
1731451504.2123067,2.0
1731451504.216904,2.0
1731451504.2211883,2.0
1731451504.2249055,2.0
1731451504.229132,2.0
1731451504.232926,2.0
1731451504.238269,2.0
1731451504.2419612,2.0
1731451504.2458987,2.0
1731451504.2490532,2.0
1731451504.2519865,2.0
1731451504.25606,2.0
1731451504.2601526,2.0
1731451504.264177,2.0
1731451504.2681458,2.0
1731451504.2721615,2.0
1731451504.2760348,2.0
1731451504.2790809,2.0
1731451504.2839952,2.0
1731451504.2881403,2.0
1731451504.2919688,2.0
1731451504.2960308,2.0
1731451504.299971,2.0
1731451504.3051507,2.0
1731451504.30919,2.0
1731451504.313205,2.0
1731451504.3171227,2.0
1731451504.3211825,2.0
1731451504.32613,2.0
1731451504.329074,2.0
1731451504.3320732,2.0
1731451504.3352091,2.0
1731451504.3392189,2.0
1731451504.344251,2.0
1731451504.3482077,2.0
1731451504.3522525,2.0
1731451504.3553317,2.0
1731451504.359187,2.0
1731451504.3631444,2.0
1731451504.3683293,2.0
1731451504.3722017,2.0
1731451504.3763285,2.0
1731451504.3802252,2.0
1731451504.384213,2.0
1731451504.3892264,2.0
1731451504.393202,2.0
1731451504.397114,2.0
1731451504.401126,2.0
1731451504.405364,2.0
1731451504.409378,2.0
1731451504.4133372,2.0
1731451504.4161844,2.0
1731451504.4192092,2.0
1731451504.4232092,2.0
1731451504.427282,2.0
1731451504.4321768,2.0
1731451504.4353456,2.0
1731451504.4391627,2.0
1731451504.4434316,2.0
1731451504.4474664,2.0
1731451504.4514923,2.0
1731451504.4553616,2.0
1731451504.460389,2.0
1731451504.464337,2.0
1731451504.4684436,2.0
1731451504.472452,2.0
1731451504.4774363,2.0
1731451504.4803548,2.0
1731451504.4853976,2.0
1731451504.489466,2.0
1731451504.492437,2.0
1731451504.496524,2.0
1731451504.4992876,2.0
1731451504.5034122,2.0
1731451504.5072787,2.0
1731451504.5124743,2.0
1731451504.5163395,2.0
1731451504.519486,2.0
1731451504.5233135,2.0
1731451504.5274966,2.0
1731451504.5315137,2.0
1731451504.5355706,2.0
1731451504.540412,2.0
1731451504.5434384,2.0
1731451504.548395,2.0
1731451504.5514593,2.0
1731451504.556461,2.0
1731451504.5604162,2.0
1731451504.5653808,2.0
1731451504.569493,2.0
1731451504.5724308,2.0
1731451504.575389,2.0
1731451504.57941,2.0
1731451504.5835042,2.0
1731451504.5875049,2.0
1731451504.5914068,2.0
1731451504.59557,2.0
1731451504.5985513,2.0
1731451504.6024337,2.0
1731451504.6065369,2.0
1731451504.6115923,2.0
1731451504.6156063,2.0
1731451504.6196244,2.0
1731451504.6234927,2.0
1731451504.6275463,2.0
1731451504.6324947,2.0
1731451504.6366117,2.0
1731451504.6395776,2.0
1731451504.6436117,2.0
1731451504.6486323,2.0
1731451504.6534984,2.0
1731451504.6565082,2.0
1731451504.6595435,2.0
1731451504.6625311,2.0
1731451504.6675632,2.0
1731451504.671566,2.0
1731451504.6756787,2.0
1731451504.678641,2.0
1731451504.6826532,2.0
1731451504.6870043,2.0
1731451504.6907244,2.0
1731451504.6946747,2.0
1731451504.6995947,2.0
1731451504.7036831,2.0
1731451504.707631,2.0
1731451504.711738,2.0
1731451504.7156024,2.0
1731451504.7208097,2.0
1731451504.7246428,2.0
1731451504.7289124,2.0
1731451504.732733,2.0
1731451504.7358603,2.0
1731451504.7399085,2.0
1731451504.7427263,2.0
1731451504.7497385,2.0
1731451504.752924,2.0
1731451504.755934,2.0
1731451504.7599912,2.0
1731451504.762964,2.0
1731451504.7667415,2.0
1731451504.7711575,2.0
1731451504.7747867,2.0
1731451504.778916,2.0
1731451504.782793,2.0
1731451504.787928,2.0
1731451504.791775,2.0
1731451504.7959268,2.0
1731451504.7997932,2.0
1731451504.8039129,2.0
1731451504.8088622,2.0
1731451504.8129172,2.0
1731451504.8158882,2.0
1731451504.819913,2.0
1731451504.823052,2.0
1731451504.8268943,2.0
1731451504.8308735,2.0
1731451504.8349836,2.0
1731451504.8401709,2.0
1731451504.8430126,2.0
1731451504.8460715,2.0
1731451504.8510668,2.0
1731451504.8551033,2.0
1731451504.859054,2.0
1731451504.8630288,2.0
1731451504.867144,2.0
1731451504.8720942,2.0
1731451504.8761823,2.0
1731451504.880206,2.0
1731451504.8840697,2.0
1731451504.888002,2.0
1731451504.892044,2.0
1731451504.8970516,2.0
1731451504.8999383,2.0
1731451504.9040048,2.0
1731451504.9069252,2.0
1731451504.9109704,2.0
1731451504.9150307,2.0
1731451504.9190483,2.0
1731451504.9220388,2.0
1731451504.9261012,2.0
1731451504.9300644,2.0
1731451504.9350705,2.0
1731451504.9390624,2.0
1731451504.9431744,2.0
1731451504.9469936,2.0
1731451504.9511657,2.0
1731451504.956108,2.0
1731451504.9601371,2.0
1731451504.9642904,2.0
1731451504.968435,2.0
1731451504.9722624,2.0
1731451504.977093,2.0
1731451504.98029,2.0
1731451504.983021,2.0
1731451504.9873235,2.0
1731451504.990255,2.0
1731451504.994494,2.0
1731451504.998226,2.0
1731451505.0022302,2.0
1731451505.0062776,2.0
1731451505.011305,2.0
1731451505.0152476,2.0
1731451505.0193324,2.0
1731451505.023382,2.0
1731451505.0273027,2.0
1731451505.032112,2.0
1731451505.0363245,2.0
1731451505.0402205,2.0
1731451505.0442748,2.0
1731451505.0482385,2.0
1731451505.051304,2.0
1731451505.0542512,2.0
1731451505.0581691,2.0
1731451505.0622067,2.0
1731451505.069268,2.0
1731451505.0731716,2.0
1731451505.0762436,2.0
1731451505.0793188,2.0
1731451505.0832431,2.0
1731451505.086301,2.0
1731451505.090206,2.0
1731451505.095265,2.0
1731451505.0992656,2.0
1731451505.1033204,2.0
1731451505.1072383,2.0
1731451505.1113155,2.0
1731451505.1152687,2.0
1731451505.1205733,2.0
1731451505.1242442,2.0
1731451505.1274035,2.0
1731451505.1313517,2.0
1731451505.1342828,2.0
1731451505.1382675,2.0
1731451505.1422932,2.0
1731451505.1464868,2.0
1731451505.1514976,2.0
1731451505.1544275,2.0
1731451505.157333,2.0
1731451505.1623995,2.0
1731451505.1663673,2.0
1731451505.1703603,2.0
1731451505.1763976,2.0
1731451505.1793735,2.0
1731451505.1834316,2.0
1731451505.186385,2.0
1731451505.1904695,2.0
1731451505.195562,2.0
1731451505.1993845,2.0
1731451505.204444,2.0
1731451505.207412,2.0
1731451505.210673,2.0
1731451505.214426,2.0
1731451505.218505,2.0
1731451505.2224932,2.0
1731451505.2265377,2.0
1731451505.232462,2.0
1731451505.235525,2.0
1731451505.2385397,2.0
1731451505.2425463,2.0
1731451505.2456248,2.0
1731451505.2507725,2.0
1731451505.254527,2.0
1731451505.258518,2.0
1731451505.262611,2.0
1731451505.2665353,2.0
1731451505.2715356,2.0
1731451505.2755687,2.0
1731451505.2797165,2.0
1731451505.2838087,2.0
1731451505.2877474,2.0
1731451505.2916284,2.0
1731451505.294776,2.0
1731451505.2976549,2.0
1731451505.301762,2.0
1731451505.305678,2.0
1731451505.3108337,2.0
1731451505.3148465,2.0
1731451505.3177848,2.0
1731451505.321772,2.0
1731451505.325802,2.0
1731451505.329676,2.0
1731451505.333759,2.0
1731451505.3388076,2.0
1731451505.3428428,2.0
1731451505.3468952,2.0
1731451505.35095,2.0
1731451505.3548737,2.0
1731451505.360003,2.0
1731451505.363856,2.0
1731451505.3678672,2.0
1731451505.3708208,2.0
1731451505.374725,2.0
1731451505.3779163,2.0
1731451505.3817284,2.0
1731451505.3859303,2.0
1731451505.3900125,2.0
1731451505.3949342,2.0
1731451505.397952,2.0
1731451505.4019156,2.0
1731451505.4059258,2.0
1731451505.4100018,2.0
1731451505.4140303,2.0
1731451505.417999,2.0
1731451505.4219508,2.0
1731451505.4270103,2.0
1731451505.4308412,2.0
1731451505.4349964,2.0
1731451505.439004,2.0
1731451505.4430995,2.0
1731451505.4480906,2.0
1731451505.4510272,2.0
1731451505.4559636,2.0
1731451505.4589963,2.0
1731451505.4629977,2.0
1731451505.4658544,2.0
1731451505.4700272,2.0
1731451505.4738572,2.0
1731451505.4780817,2.0
1731451505.4851272,2.0
1731451505.489174,2.0
1731451505.4918883,2.0
1731451505.4981976,2.0
1731451505.5010571,2.0
1731451505.504994,2.0
1731451505.5079608,2.0
1731451505.5110111,2.0
1731451505.5150745,2.0
1731451505.51915,2.0
1731451505.5231524,2.0
1731451505.527238,2.0
1731451505.5320964,2.0
1731451505.5351448,2.0
1731451505.5381827,2.0
1731451505.5421317,2.0
1731451505.545228,2.0
1731451505.5500023,2.0
1731451505.5541964,2.0
1731451505.5600874,2.0
1731451505.563094,2.0
1731451505.5660288,2.0
1731451505.569166,2.0
1731451505.5730977,2.0
1731451505.5783162,2.0
1731451505.5821576,2.0
1731451505.586315,2.0
1731451505.590027,2.0
1731451505.594159,2.0
1731451505.5990603,2.0
1731451505.603233,2.0
1731451505.607217,2.0
1731451505.610273,2.0
1731451505.6143565,2.0
1731451505.6171758,2.0
1731451505.6210651,2.0
1731451505.6251729,2.0
1731451505.6291585,2.0
1731451505.6330886,2.0
1731451505.6380744,2.0
1731451505.6411068,2.0
1731451505.6458528,2.0
1731451505.6494217,2.0
1731451505.6531496,2.0
1731451505.6589508,2.0
1731451505.6611764,2.0
1731451505.6661632,2.0
1731451505.670198,2.0
1731451505.674136,2.0
1731451505.6781263,2.0
1731451505.6822262,2.0
1731451505.6871543,2.0
1731451505.6912596,2.0
1731451505.694366,2.0
1731451505.6972668,2.0
1731451505.7012894,2.0
1731451505.7053957,2.0
1731451505.7094972,2.0
1731451505.7134807,2.0
1731451505.7174275,2.0
1731451505.721285,2.0
1731451505.724229,2.0
1731451505.7293377,2.0
1731451505.7333417,2.0
1731451505.7373524,2.0
1731451505.7412338,2.0
1731451505.7452793,2.0
1731451505.7492723,2.0
1731451505.7543185,2.0
1731451505.7582488,2.0
1731451505.7624187,2.0
1731451505.7662785,2.0
1731451505.7703023,2.0
1731451505.7753477,2.0
1731451505.7783184,2.0
1731451505.7813077,2.0
1731451505.7854636,2.0
1731451505.7893696,2.0
1731451505.7933412,2.0
1731451505.797422,2.0
1731451505.8014128,2.0
1731451505.8044589,2.0
1731451505.8085222,2.0
1731451505.8125217,2.0
1731451505.8174777,2.0
1731451505.8214908,2.0
1731451505.8255136,2.0
1731451505.8293955,2.0
1731451505.8335009,2.0
1731451505.838486,2.0
1731451505.842436,2.0
1731451505.8466196,2.0
1731451505.8505175,2.0
1731451505.8545043,2.0
1731451505.858451,2.0
1731451505.861451,2.0
1731451505.8645823,2.0
1731451505.8716152,2.0
1731451505.8744397,2.0
1731451505.8785155,2.0
