Fp1,C3,time_board
-2658.3823750474903,5746.141761081429,1730330004.8320951
-2577.357301397002,5747.929900637853,1730330004.8350768
-2607.0851215225603,5781.457517320814,1730330004.8400433
-2700.224840667825,5776.160153884906,1730330004.844116
-2687.171421905926,5736.888138876932,1730330004.8481
-2591.03656900365,5734.921185364865,1730330004.8520324
-2587.7061590798094,5774.975511428776,1730330004.8559327
-2682.656369525954,5783.759746999711,1730330004.8599997
-2692.804061508663,5750.7909239281325,1730330004.8630292
-2604.8946505659405,5733.334211508538,1730330004.8670971
-2582.5429061106333,5764.2913775791385,1730330004.8720584
-2666.9207414294174,5781.636331276457,1730330004.876475
-2701.521241846233,5746.879368648454,1730330004.8807597
-2619.043304806149,5724.192348026318,1730330004.8841949
-2578.385481641946,5749.51687449418,1730330004.886974
-2660.14816285946,5769.052299148118,1730330004.8911972
-2716.3628001645566,5739.682106933846,1730330004.8950305
-2633.840159635563,5721.51013869168,1730330004.9001887
-2571.4340891163456,5746.007650614697,1730330004.904052
-2632.811979390619,5775.377842828971,1730330004.908178
-2694.636904553998,5760.603339744012,1730330004.9111784
-2638.33286027108,5730.674353918356,1730330004.9152455
-2569.17656292636,5736.530510965647,1730330004.919308
-2617.6574966499206,5764.134915367951,1730330004.9232576
-2697.564983077644,5758.546979254124,1730330004.9280136
-2660.394032048468,5729.1320835509405,1730330004.93229
-2573.825725773064,5733.200101041806,1730330004.9361684
-2593.5623161271,5768.739374725745,1730330004.9391787
-2684.802136993663,5766.437145046848,1730330004.9430723
-2677.649578767965,5729.065028317575,1730330004.9471812
-2588.3543596690133,5722.091284047519,1730330004.951305
-2588.421414902379,5755.753011197211,1730330004.9552913
-2681.002340436261,5764.693708979334,1730330004.960323
-2694.033407453705,5730.60729868499,1730330004.964296
-2602.480662164767,5719.476129946248,1730330004.967345
-2577.2678944191807,5754.411906529893,1730330004.971342
-2665.5349332731885,5772.628578260968,1730330004.9753404
-2703.421140124934,5743.325441280061,1730330004.9792628
-2627.514615954711,5719.99022006872,1730330004.983244
-2572.7081385502984,5755.574197241569,1730330004.9882245
-2646.9606336308284,5781.032834176163,1730330004.9923625
-2703.242326169292,5760.04454613263,1730330004.9952035
-2633.102552068538,5738.341002266527,1730330004.9994068
-2567.5448855811223,5760.469229277281,1730330005.0032048
-2628.811017133119,5793.236886648761,1730330005.0073948
-2708.3385239051013,5774.059089906107,1730330005.0112114
-2662.137468115982,5737.826912144054,1730330005.016444
-2580.5759525985663,5754.5460169966245,1730330005.019492
-2616.4057989604235,5798.5118983402135,1730330005.0233853
-2699.4425296118893,5796.47788959478,1730330005.0274124
-2672.3298635876017,5754.56836874108,1730330005.0314534
-2588.0190835021835,5762.145610111429,1730330005.0354512
-2596.5350981396555,5798.221325662295,1730330005.039463
-2685.7856137496965,5796.321427383594,1730330005.0444498
-2683.617494537532,5776.786002729655,1730330005.0475402
