Fp1,C3,time_board
-956.8111248983296,-1294.4118731512874,1730245224.8998537
-897.5342986028551,-1269.8026025059942,1730245224.9038525
-867.1806296325481,-1208.201194787168,1730245224.9066536
-901.3340951602572,-1245.6850702387178,1730245224.909669
-913.694609844042,-1307.912326802293,1730245224.9135387
-1041.4124776616666,-1278.58683807693,1730245224.9171023
-1011.5281953249212,-1221.9251658827266,1730245224.9206672
-1001.6710760201308,-1245.3721458163436,1730245224.9258232
-983.1638316111364,-1306.1465389903235,1730245224.9295087
-938.080363044782,-1292.6907888282287,1730245224.9338543
-865.8395249652297,-1219.444122248187,1730245224.9367564
-919.7519325914304,-1252.8152767199608,1730245224.9406672
-1029.342535655801,-1314.4166844387871,1730245224.944737
-983.3873490556896,-1233.3022038104775,1730245224.949076
-870.5110395563888,-1187.592886399375,1730245224.953853
-915.6839151005644,-1212.9397646116931,1730245224.957903
-1028.4931693664992,-1293.093120228424,1730245224.961805
-977.821764686318,-1295.5071086295973,1730245224.9646175
-912.8899470436512,-1245.6403667498073,1730245224.9691007
-955.0453370863602,-1223.2215670611342,1730245224.9725845
-942.5060084469328,-1263.7899832475166,1730245224.97704
-998.564183540843,-1289.4944893711197,1730245224.9818647
-986.5389450238878,-1219.265308292545,1730245224.9861245
-935.4205054546004,-1214.1914623011903,1730245224.9896395
-934.861711843218,-1292.199050450212,1730245224.992906
-937.5215694333996,-1311.3768471928654,1730245224.9966068
-999.1676806411364,-1241.3488318143884,1730245225.000684
-993.535041038399,-1233.7939421884946,1730245225.0046842
-902.8316620387628,-1282.3419311454215,1730245225.0100467
-906.2291271959696,-1297.5858208639409,1730245225.0136824
-1015.7973785158848,-1235.5820817449192,1730245225.017073
-977.6876542195862,-1213.0515233339695,1730245225.0217133
-961.2591220449356,-1254.9833959321256,1730245225.0260415
-952.921921363106,-1324.899652588326,1730245225.0286753
-922.9482320485392,-1311.846233826427,1730245225.0350952
-1029.856625778273,-1230.9999741315812,1730245225.0386283
-981.5098025214436,-1226.7084391961623,1730245225.0418851
-968.4116802706338,-1299.5080708870971,1730245225.045178
-976.0336251298936,-1301.9220592882705,1730245225.0491571
-935.5546159213324,-1231.558767742964,1730245225.0529952
-894.3827026346568,-1222.9309943832154,1730245225.0573196
-933.699421131542,-1306.97355353517,1730245225.0608375
-966.9141133921282,-1308.6946378582286,1730245225.0649335
-967.5176104924216,-1204.9154883522378,1730245225.069749
-1003.2580498764576,-1205.4072267302545,1730245225.0727189
-1036.1374659702142,-1282.744262545617,1730245225.0771835
-966.3553197807456,-1317.7694461070832,1730245225.0806575
-947.7139649050196,-1261.2418843796115,1730245225.085132
-964.8354011577846,-1232.1846165877123,1730245225.088708
-942.3271944912904,-1298.2787249420555,1730245225.0929315
-976.0559768743487,-1331.2475480136334,1730245225.0978804
-930.65958388562,-1261.2642361240669,1730245225.10089
-880.345807116724,-1212.6268401893187,1730245225.1048207
-1019.5524715843763,-1273.2447711521115,1730245225.108936
-1000.5534887973654,-1326.0395915555468,1730245225.1127443
-952.0949068182596,-1258.5149715560642,1730245225.1169868
-995.4572910615552,-1228.4295235192208,1730245225.12082
-980.1016426207594,-1276.9775124761477,1730245225.1250403
-959.8062586553406,-1322.6197746538849,1730245225.1278024
-948.9433108500614,-1293.9201347732703,1730245225.1331675
-943.6682991586088,-1238.19723584619,1730245225.1377463
-943.8694648587068,-1250.20012261869,1730245225.1408944
-966.1988575695584,-1338.6906789172506,1730245225.144951
