Fp1,C3,time_board
-5394.392358588262,16222.337332050483,1730409805.155335
-5369.537218753961,16153.33749691695,1730409805.1604257
-5375.236913590064,16117.775871488557,1730409805.1641915
-5449.9364435597,16055.682725391714,1730409805.1686487
-5350.404125500218,16185.434601954772,1730409805.1722193
-5379.1708206141975,16323.210754777285,1730409805.1756268
-5374.633416489771,16216.972913381209,1730409805.1794224
-5362.049384361432,16152.018743994087,1730409805.1836472
-5378.433213047173,16193.034195069577,1730409805.1883948
-5353.265148790497,16165.407438922815,1730409805.1924002
-5313.76961633797,16201.796078896055,1730409805.196521
-5402.684855781181,16170.078953513976,1730409805.20068
-5404.182422659686,16167.664965112805,1730409805.203516
-5376.287445579463,16156.176168462776,1730409805.20764
-5319.737532107536,16155.595023106936,1730409805.2117949
-5367.190285586154,16168.313165702006,1730409805.2154796
-5335.473160204072,16053.64871664628,1730409805.220657
-5286.656950313682,16205.171192308808,1730409805.2244332
-5471.751746148079,16216.7270441922,1730409805.2284863
-5446.203702235664,16193.034195069577,1730409805.2314296
-5384.803460216936,16263.755114526168,1730409805.2356777
-5356.081468591866,16228.193489097774,1730409805.2393012
-5381.450698548639,16201.460802729229,1730409805.2434504
-5409.54684132896,16156.019706251587,1730409805.2484243
-5411.223222163108,16190.307282246027,1730409805.252465
-5388.379739329785,16178.527912918082,1730409805.2565036
-5336.300174748919,16124.839022736434,1730409805.2594695
-5329.795817112425,16140.23937466614,1730409805.2632885
-5345.911424864701,16193.615340425416,1730409805.2674932
-5387.485669551572,16231.948582166266,1730409805.2714798
-5393.252419621042,16208.63571269938,1730409805.27655
-5382.791803215958,16199.896180617356,1730409805.2803533
-5356.528503480971,16171.509465159115,1730409805.2845144
-5365.648015218737,16098.62042649036,1730409805.2873
-5434.089056740887,16119.8545837229,1730409805.2914732
-5373.82875368938,16230.339256565485,1730409805.2960737
-5305.09713948931,16225.26541057413,1730409805.300084
-5349.86768363329,16164.021630766589,1730409805.3035157
-5332.679192147159,16084.069440849951,1730409805.3085368
-5428.054085737955,16083.957682127677,1730409805.3115685
-5371.146544354742,16195.626997426392,1730409805.315478
-5380.154297370231,16183.802924609534,1730409805.3195963
-5401.701379025148,16178.617319895902,1730409805.324134
-5291.931962005135,16220.25861981614,1730409805.3275702
-5349.018317343988,16129.085854182942,1730409805.3329828
-5447.3212894584285,16124.771967503068,1730409805.3370318
-5346.403163242718,16237.40240781336,1730409805.3394332
-5307.466424401573,16300.926065555344,1730409805.3437707
-5418.308725155441,16248.55592829656,1730409805.3476076
-5390.994893431055,16194.48705845917,1730409805.3516624
-5377.87441943579,16184.45112519874,1730409805.355481
-5347.341936509841,16165.474494156182,1730409805.3596385
-5403.534222070482,16134.517328085582,1730409805.3645597
-5410.172690173708,16166.457970912215,1730409805.36762
-5363.614006473304,16168.603738379925,1730409805.371493
-5302.325523176852,16149.940031759745,1730409805.375672
-5395.152317899742,16137.601868820417,1730409805.3797066
-5419.828643778401,16147.928374758769,1730409805.3836973
-5414.64303906477,16154.186863206252,1730409805.3877423
-5344.34680275283,16164.736886589157,1730409805.392708
-5330.488721190539,16220.526840749604,1730409805.3956797
-5383.998797416544,16126.00131344811,1730409805.3997269
-5369.336053053863,16072.245368033096,1730409805.404143
-5372.510000766516,16183.82527635399,1730409805.4075532
-5394.504117310538,16253.965050454744,1730409805.4118223
-5376.957997913122,16246.790140484589,1730409805.416335
-5349.130076066265,16153.225738194677,1730409805.4208708
-5340.926985851167,16106.979978916645,1730409805.4237747
-5416.297068154463,16127.990618704633,1730409805.4272056
-5336.903671849212,16268.963070984251,1730409805.4316175
-5351.9910993565445,16200.96906435121,1730409805.4362175
-5427.674106082214,16166.703840101223,1730409805.439644
-5333.506206692005,16208.881581888389,1730409805.4441783
-5304.471290644561,16155.259746940106,1730409805.4477403
-5343.162160296698,16179.265520485107,1730409805.452212
-5465.247388511585,16180.450162941235,1730409805.454952
-5407.982219217089,16179.779610607578,1730409805.4604335
-5387.262152107019,16139.546470588026,1730409805.4637897
-5379.707262481125,16160.311241187006,1730409805.4679008
-5364.39631752924,16153.896290528332,1730409805.4716768
-5384.468184050105,16092.876028165345,1730409805.475211
-5433.9325945297,16117.977037188655,1730409805.478858
-5269.557865805372,16228.998151898166,1730409805.4833455
-5288.400386381196,16196.498715460148,1730409805.4879687
-5391.151355642242,16133.846775751925,1730409805.4920216
-5411.40203611875,16152.555185861014,1730409805.4963543
-5419.269850167018,16144.24033692364,1730409805.5004623
-5367.704375708625,16230.808643199043,1730409805.502854
-5290.635560826727,16164.491017400149,1730409805.5067625
-5348.973613855078,16211.96612262322,1730409805.5109608
-5355.1650470691975,16235.390750812385,1730409805.5164592
-5369.425460031684,16214.87184940241,1730409805.5199714
-5378.366157813806,16203.427756241294,1730409805.5240023
-5401.030826691488,16167.463799412704,1730409805.5283148
-5367.279692563974,16155.77383706258,1730409805.5308309
-5368.352576297829,16155.14798821783,1730409805.5354211
-5353.667480190692,16176.270386728096,1730409805.5387554
-5357.020241858989,16191.223703768695,1730409805.5440545
-5361.334128538862,16177.410325695317,1730409805.547748
-5453.110391272354,16081.007251859575,1730409805.5521932
-5405.791748260468,16095.737051455624,1730409805.5548403
-5366.184457085665,16185.9710438217,1730409805.5589728
-5317.167081495176,16119.049920922507,1730409805.5631084
-5380.333111325874,16032.07928324691,1730409805.5671716
-5412.854899508346,16166.301508701028,1730409805.571857
-5356.506151736517,16213.64250345737,1730409805.57641
-5288.646255570204,16324.574211189058,1730409805.580008
-5421.795597290468,16256.110817922452,1730409805.583117
-5404.718864526613,16146.38610439135,1730409805.587345
-5322.844424586824,16172.157665748318,1730409805.59156
-5370.766564699003,16169.542511647049,1730409805.5951178
-5429.9316322722,16188.429735711785,1730409805.6005013
-5378.276750835986,16186.865113599912,1730409805.6041267
-5386.144564884254,16162.479360399171,1730409805.608046
-5379.662558992214,16173.744639604643,1730409805.6113713
-5384.557591027927,16125.86720298138,1730409805.6148808
-5283.5500578343945,16129.644647794325,1730409805.618878
-5346.112590564799,16185.47930544368,1730409805.6228473
-5409.233916906585,16189.167343278808,1730409805.6274288
-5389.519678297005,16199.985587595176,1730409805.6320815
-5417.504062355049,16161.831159809968,1730409805.6361516
-5387.239800362564,16150.275307926571,1730409805.6388736
-5317.524709406461,16168.20140697973,1730409805.6434667
-5298.615133597271,16101.324987569453,1730409805.6469607
-5325.750151366014,16097.033452634032,1730409805.6511903
-5500.361979050873,16136.774854275567,1730409805.6549067
-5446.516626658038,16166.502674401128,1730409805.6602128
-5370.811268187913,16246.186643384295,1730409805.6639097
-5374.611064745315,16179.600796651936,1730409805.6672156
-5386.792765473458,16151.683467827255,1730409805.6712613
-5370.498343765538,16163.14991273283,1730409805.6751735
-5340.7258201510695,16188.005052567132,1730409805.6789494
-5328.030029300455,16196.811639882522,1730409805.683484
-5320.34102920783,16192.05071831354,1730409805.6881871
-5366.944416397145,16194.308244503529,1730409805.6915843
-5379.863724692313,16175.085744271964,1730409805.694463
-5395.621704533303,16168.223758724183,1730409805.6991632
-5387.262152107019,16142.832177022956,1730409805.703385
-5346.693735920637,16145.067351468488,1730409805.707258
-5364.709241951614,16158.657212097314,1730409805.7111883
-5410.820890762912,16143.43567412325,1730409805.7151396
-5431.2950886839735,16105.013025404576,1730409805.7191536
-5387.30685559593,16206.10996557593,1730409805.722002
-5338.401238727718,16198.488020716672,1730409805.7270296
-5306.639409856726,16134.472624596672,1730409805.7310913
-5293.831860283835,16072.491237222104,1730409805.7356803
-5487.308560288973,16117.351188343906,1730409805.7390156
-5463.79452512199,16221.64442797237,1730409805.7435713
-5271.9271507176345,16225.667741974325,1730409805.7469847
-5326.018372299478,16183.19942750924,1730409805.7507217
-5431.675068339714,16173.230549482174,1730409805.754542
-5322.978535053556,16120.480432567649,1730409805.759233
-5324.274936231964,16073.809990144968,1730409805.7631526
-5467.281397257018,16185.076974043486,1730409805.7672791
-5419.605126333849,16211.25086680065,1730409805.771281
-5395.442890577661,16139.926450243764,1730409805.775517
-5340.77052363998,16139.255897910109,1730409805.7787168
-5313.613154126782,16199.605607939437,1730409805.782421
-5392.11248065382,16192.900084602845,1730409805.787321
-5337.060134060399,16110.153926629297,1730409805.7917788
-5387.910352696223,16089.746783941602,1730409805.795348
-5434.625498607815,16131.18691816174,1730409805.7992742
-5354.405087757717,16189.927302590288,1730409805.8033297
-5357.86960814829,16246.20899512875,1730409805.8061664
-5332.612136913793,16194.934093348276,1730409805.8107843
-5381.49540203755,16074.793466901,1730409805.8152704
-5367.972596642089,16163.082857499465,1730409805.819285
-5333.305040991908,16250.6346405309,1730409805.8232343
-5406.439948849672,16177.164456506309,1730409805.8266728
-5380.1095938813205,16142.072217711477,1730409805.8301842
-5386.681006751181,16153.449255639229,1730409805.8344154
-5386.010454417522,16115.071310409465,1730409805.8381703
-5378.589675258359,16128.124729171364,1730409805.8433936
-5328.074732789366,16142.295735156027,1730409805.8472798
-5350.158256311209,16105.52711552705,1730409805.8514507
-5330.242852001531,16140.328781643962,1730409805.8544102
-5385.094032894854,16096.206438089186,1730409805.8587103
-5398.929762712689,16113.841964464424,1730409805.8627014
-5375.616893245804,16179.042003040551,1730409805.8665617
-5329.125264778765,16180.450162941235,1730409805.8715012
-5411.714960541125,16206.668759187312,1730409805.8756113
-5416.2076611766415,16165.586252878458,1730409805.8793612
-5376.1756868571865,16115.116013898376,1730409805.8827848
-5300.939715020623,16139.032380465556,1730409805.8865793
-5348.638337688249,16201.63961668487,1730409805.8903315
-5348.2360062880525,16188.787363623069,1730409805.8944733
-5341.686945162648,16140.66405781079,1730409805.899484
-5397.745120256558,16111.316217340973,1730409805.90354
-5362.317605294897,16126.649514037314,1730409805.9075067
-5439.051144009965,16046.183233998208,1730409805.9107804
-5403.333056370385,16172.180017492774,1730409805.9143426
-5402.886021481279,16201.058471329032,1730409805.9188015
-5350.694698178137,16139.591174076935,1730409805.9223
-5290.702616060093,16119.832231978446,1730409805.9278708
-5347.0066603430105,16136.506633342104,1730409805.9314363
-5438.715867843136,16130.985752461644,1730409805.9346926
-5374.432250789672,16130.091682683433,1730409805.9382846
-5356.372041269785,16139.52411884357,1730409805.942844
-5388.491498052061,16120.748653501112,1730409805.9464512
-5396.8957539672565,16106.801164961002,1730409805.95094
-5384.892867194756,16136.059598452995,1730409805.9545283
-5366.475029763584,16111.13740338533,1730409805.9595616
-5358.115477337298,16087.42220251825,1730409805.9628415
-5348.861855132801,16109.863353951378,1730409805.9665675
-5423.471978124617,16134.852604252412,1730409805.9709744
-5398.058044678932,16131.8574704954,1730409805.9749596
-5297.274028929953,16196.364604993416,1730409805.9785087
-5252.6152435082495,16171.844741325946,1730409805.9831128
-5360.887093649757,16159.975965020176,1730409805.9876456
-5419.135739700287,16171.665927370304,1730409805.9906504
-5346.626680687271,16119.116976155876,1730409805.9946525
-5352.438134245651,16076.961586113166,1730409805.9985476
-5362.295253550441,16164.133389488865,1730409806.003024
-5346.514921964994,16157.941956274744,1730409806.0063658
-5431.69742008417,16137.020723464577,1730409806.0110233
-5363.055212861921,16151.594060849437,1730409806.0161345
-5414.397169875761,16053.693420135192,1730409806.0185592
-5394.504117310538,16087.8468856629,1730409806.0224144
-5376.287445579463,16227.92526816431,1730409806.027588
-5344.145637052731,16163.976927277678,1730409806.031504
-5346.336108009352,16174.594005893949,1730409806.0350664
-5346.783142898458,16163.932223788766,1730409806.038458
-5352.1699133121865,16126.42599659276,1730409806.0430484
-5384.937570683667,16124.369636102872,1730409806.0456784
-5413.816024519923,16083.08596409392,1730409806.0510063
-5371.72768971058,16081.163714070764,1730409806.054819
-5308.740473835525,16165.586252878458,1730409806.0585868
-5359.009547115511,16176.382145450372,1730409806.0628264
-5404.137719170776,16181.143067019351,1730409806.0667496
-5356.081468591866,16136.260764153096,1730409806.0711188
-5332.165102024687,16123.654380280304,1730409806.073773
-5342.335145751852,16078.816780902956,1730409806.0777264
-5379.550800269938,16072.044202332998,1730409806.0827415
-5400.427329591194,16122.581496546449,1730409806.087037
-5355.29915753593,16129.979923961157,1730409806.0912404
-5351.164084811698,16181.835971097467,1730409806.094915
-5359.523637237983,16160.19948246473,1730409806.0975375
-5376.466259535106,16125.9566099592,1730409806.102203
-5347.0066603430105,16044.149225252777,1730409806.105591
-5455.770248862535,16025.21729769913,1730409806.1107712
-5395.554649299937,16190.351985734938,1730409806.1145277
-5348.504227221516,16214.15659357984,1730409806.1186972
-5344.34680275283,16154.566842861992,1730409806.122542
-5341.575186440371,16162.278194699073,1730409806.1260202
-5327.895918833723,16141.982810733654,1730409806.129772
-5349.353593510818,16109.66218825128,1730409806.1338756
-5377.740308969058,16116.725339499157,1730409806.13765
-5410.597373318359,16114.467813309171,1730409806.1430182
-5372.375890299784,16086.170504828751,1730409806.1467366
-5365.960939641112,16106.912923683278,1730409806.1508293
-5361.289425049952,16163.216967966197,1730409806.1538873
-5351.365250511796,16101.392042802818,1730409806.157729
-5326.219537999576,16138.495938598626,1730409806.1620653
-5263.65700526917,16065.159865040763,1730409806.1663563
-5471.528228703526,15940.995924591534,1730409806.171065
-5463.459248955161,16108.99163591762,1730409806.1749272
-5345.665555675692,16261.7881610141,1730409806.1777828
-5348.750096410525,16155.77383706258,1730409806.181821
-5351.588767956348,16165.921529045288,1730409806.1861882
-5360.194189571642,16144.128578201364,1730409806.1898255
-5292.066072471866,16081.744859426602,1730409806.193786
-5487.599132966892,16077.743897169104,1730409806.198902
-5380.668387492703,16141.938107244743,1730409806.20302
-5375.236913590064,16107.583476016936,1730409806.2057822
-5373.269960077997,16113.461984808682,1730409806.2097957
-5315.24483147202,16134.740845530136,1730409806.2136831
-5238.444237523585,16112.9031911973,1730409806.2179208
-5395.867573722312,16151.549357360524,1730409806.221805
-5438.782923076502,16157.67373534128,1730409806.2273023
-5392.738329498569,16127.968266960175,1730409806.230812
-5388.849125963346,16111.115051640876,1730409806.2341988
-5337.641279416237,16123.43086283575,1730409806.2380228
-5345.352631253318,16109.550429529005,1730409806.241824
-5397.990989445566,16092.339586298418,1730409806.245881
-5421.996762990566,16035.767321082036,1730409806.2498777
-5399.600315046348,15979.083297143376,1730409806.2547307
-5352.1699133121865,16184.473476943193,1730409806.2588012
-5360.440058760651,16212.882544145888,1730409806.2617404
-5272.687110029115,16166.882654056866,1730409806.2658956
-5255.27510109843,16177.499732673135,1730409806.2699115
-5353.1086865793095,16092.272531065051,1730409806.2739396
-5400.986123202578,16024.189117454189,1730409806.2779737
-5419.605126333849,16096.385252044827,1730409806.2829585
-5434.536091629993,16219.386901782384,1730409806.286951
-5423.963716502633,16185.658119399324,1730409806.2904944
-5374.454602534128,16119.541659300528,1730409806.2943563
-5310.305095947397,16121.66507502378,1730409806.2979972
-5351.320547022885,16138.361828131894,1730409806.3024487
-5377.695605480148,16137.087778697942,1730409806.305936
-5393.587695787871,16144.307392157009,1730409806.3105035
-5365.536256496461,16111.740900485624,1730409806.313936
-5358.227236059575,16097.52519101205,1730409806.3171468
-5415.850033265357,16084.672937950249,1730409806.3218632
-5347.096067320832,16085.298786794996,1730409806.326079
-5363.435192517662,16149.180072448264,1730409806.3298357
-5403.221297648108,16153.650421339324,1730409806.3340468
-5414.196004175664,16074.9946326011,1730409806.3387964
-5336.680154404659,16087.869237407356,1730409806.3418884
-5362.362308783807,16089.813839174967,1730409806.3451967
-5303.644276099715,16181.076011785986,1730409806.3503072
-5403.645980792759,16100.430917791238,1730409806.3543203
-5409.524489584504,16057.001478314576,1730409806.358096
-5315.445997172117,16150.185900948753,1730409806.3625257
-5257.309109843864,16121.86624072388,1730409806.366425
-5346.671384176181,16100.363862557871,1730409806.3700497
-5462.9898623216,16119.988694189631,1730409806.372886
-5436.100713741865,16134.070293196475,1730409806.3781588
-5298.90570627519,16217.934038392788,1730409806.3823469
-5416.297068154463,16137.020723464577,1730409806.3864596
-5372.644111233248,16132.170394917775,1730409806.3900974
-5401.679027280692,16145.67084856878,1730409806.3944016
-5338.892977105735,16141.982810733654,1730409806.3980577
-5355.835599402857,16111.450327807705,1730409806.401239
-5421.97441124611,16084.292958294507,1730409806.4049895
-5355.969709869589,16142.362790389394,1730409806.4107146
-5332.634488658248,16159.417171408792,1730409806.414083
-5350.135904566754,16120.078101167452,1730409806.4185455
-5396.06873942241,16097.681653223235,1730409806.42139
-5371.548875754938,16124.280229125052,1730409806.4255474
-5316.675343117159,16111.651493507805,1730409806.4291368
-5310.126281991754,16120.167508145274,1730409806.4332304
-5349.219483044086,16093.770097943558,1730409806.438064
-5453.669184883736,16091.42316477575,1730409806.4424467
-5432.949117773666,16138.831214765456,1730409806.4463344
-5401.723730769602,16058.56610042645,1730409806.449195
-5403.623629048304,16065.27162376304,1730409806.4534802
-5334.400276470217,16221.30915180554,1730409806.457702
-5301.699674332103,16155.14798821783,1730409806.4615111
-5313.389636682229,16116.747691243612,1730409806.4662204
-5491.845964413401,16021.104576719354,1730409806.470396
-5349.15242781072,16114.087833653432,1730409806.474652
-5271.100136172788,16183.981738565177,1730409806.4776003
-5363.435192517662,16124.280229125052,1730409806.481024
-5427.227071193108,16150.498825371127,1730409806.4853275
-5343.653898674715,16143.14510144533,1730409806.4890552
-5337.238948016042,16112.61261851938,1730409806.493658
-5408.093977939365,16047.12200726533,1730409806.498212
-5361.021204116489,16033.308629191952,1730409806.502327
-5324.72197112107,16154.566842861992,1730409806.505056
-5372.487649022061,16159.10424698642,1730409806.5092795
-5422.779074046502,16133.556203074004,1730409806.513088
-5388.580905029882,16155.907947529313,1730409806.5173693
-5328.745285123025,16148.733037559155,1730409806.5222273
-5356.260282547508,16143.8603572679,1730409806.5266557
-5302.258467943486,16131.835118750943,1730409806.5303097
-5374.342843811852,16146.900194513822,1730409806.5334074
-5427.942327015678,16122.156813401798,1730409806.537732
-5389.49732655255,16101.146173613808,1730409806.5413888
-5329.974631068067,16094.686519466224,1730409806.5453677
-5366.095050107843,16086.32696703994,1730409806.549406
-5423.02494323551,16078.973243114144,1730409806.5544577
-5433.59731836287,16114.870144709366,1730409806.5576715
-5345.263224275497,16130.449310594717,1730409806.5624504
-5318.687000118137,16166.077991256476,1730409806.5659387
-5340.479950962062,16159.238357453152,1730409806.5693517
-5246.624975994227,16133.109168184896,1730409806.573356
-5312.316752948374,16124.481394825149,1730409806.5793543
-5398.102748167843,16111.539734785529,1730409806.5823605
-5373.851105433835,16134.852604252412,1730409806.5853136
-5496.85275517139,16100.14034511332,1730409806.5893052
-5443.387382434295,16041.17644324022,1730409806.5933876
-5382.702396238136,16105.1024323824,1730409806.597228
-5373.15820135572,16160.959441776213,1730409806.6013985
-5358.517808737494,16150.52117711558,1730409806.6052823
-5354.0474598464325,16088.47273450765,1730409806.6104004
-5428.590527604882,16029.128852978807,1730409806.6133573
