time_board,marker
1730243535.9574995,2.0
1730243535.9600484,2.0
1730243535.964406,2.0
1730243535.9674551,2.0
1730243535.9703035,2.0
1730243535.9742558,2.0
1730243535.97711,2.0
1730243535.980314,2.0
1730243535.9837332,2.0
1730243535.9877632,2.0
1730243535.9913344,2.0
1730243535.9951406,2.0
1730243535.9994922,2.0
1730243536.005306,2.0
1730243536.0092268,2.0
1730243536.012154,2.0
1730243536.0154495,2.0
1730243536.0191703,2.0
1730243536.0236547,2.0
1730243536.027219,2.0
1730243536.032314,2.0
1730243536.0351603,2.0
1730243536.0396202,2.0
1730243536.0431423,2.0
1730243536.0475924,2.0
1730243536.05328,2.0
1730243536.0576048,2.0
1730243536.0602272,2.0
1730243536.0652933,2.0
1730243536.074598,2.0
1730243536.0773287,2.0
1730243536.0805333,2.0
1730243536.0844193,2.0
1730243536.0877323,2.0
1730243536.0906923,2.0
1730243536.0942335,2.0
1730243536.0975728,2.0
1730243536.1005893,2.0
1730243536.1045804,2.0
1730243536.1093495,2.0
1730243536.1124592,2.0
1730243536.1155791,2.0
1730243536.119351,2.0
1730243536.123591,2.0
1730243536.1285543,2.0
1730243536.13176,2.0
1730243536.1342752,2.0
1730243536.139622,2.0
1730243536.143263,2.0
1730243536.1476035,2.0
1730243536.1512568,2.0
1730243536.1546776,2.0
1730243536.158667,2.0
1730243536.162577,2.0
1730243536.1677463,2.0
1730243536.1715107,2.0
1730243536.1754572,2.0
1730243536.1795087,2.0
1730243536.1835847,2.0
1730243536.187713,2.0
1730243536.1904273,2.0
1730243536.196626,2.0
1730243536.1999283,2.0
1730243536.2040749,2.0
1730243536.2075071,2.0
1730243536.2115362,2.0
1730243536.2159593,2.0
1730243536.2208495,2.0
1730243536.225042,2.0
1730243536.227447,2.0
1730243536.232845,2.0
1730243536.236676,2.0
1730243536.23966,2.0
1730243536.2426646,2.0
1730243536.2466905,2.0
1730243536.2506678,2.0
1730243536.2561195,2.0
1730243536.259452,2.0
1730243536.264012,2.0
1730243536.2676,2.0
1730243536.270713,2.0
1730243536.2748756,2.0
1730243536.279182,2.0
1730243536.2841308,2.0
1730243536.2879748,2.0
1730243536.290678,2.0
1730243536.2946837,2.0
1730243536.2991505,2.0
1730243536.302532,2.0
1730243536.3069367,2.0
1730243536.310549,2.0
1730243536.3161483,2.0
1730243536.3186924,2.0
1730243536.3229864,2.0
1730243536.3265886,2.0
1730243536.3306828,2.0
1730243536.3345497,2.0
1730243536.3390172,2.0
1730243536.343676,2.0
1730243536.3468783,2.0
1730243536.3507717,2.0
1730243536.3547993,2.0
1730243536.3596883,2.0
1730243536.364946,2.0
1730243536.368672,2.0
1730243536.3718932,2.0
1730243536.3758998,2.0
1730243536.379928,2.0
1730243536.3857093,2.0
1730243536.3889377,2.0
1730243536.3918648,2.0
1730243536.3970268,2.0
1730243536.3998148,2.0
1730243536.4043026,2.0
1730243536.40714,2.0
1730243536.4106495,2.0
1730243536.4146805,2.0
1730243536.418672,2.0
1730243536.4228544,2.0
1730243536.4266856,2.0
1730243536.4298544,2.0
1730243536.433858,2.0
1730243536.4388084,2.0
1730243536.443725,2.0
1730243536.4538655,2.0
1730243536.4538867,2.0
1730243536.454677,2.0
1730243536.457844,2.0
1730243536.4617608,2.0
1730243536.467032,2.0
1730243536.4751248,2.0
1730243536.475144,2.0
1730243536.477778,2.0
1730243536.4817903,2.0
1730243536.4857504,2.0
1730243536.489755,2.0
1730243536.494712,2.0
1730243536.5003767,2.0
1730243536.502874,2.0
1730243536.5057847,2.0
1730243536.5098522,2.0
1730243536.520761,2.0
1730243536.5207784,2.0
1730243536.5239377,2.0
1730243536.531332,2.0
1730243536.5313473,2.0
1730243536.5340028,2.0
1730243536.5381029,2.0
1730243536.542694,2.0
1730243536.545832,2.0
1730243536.5498867,2.0
1730243536.555198,2.0
1730243536.5588276,2.0
1730243536.5618906,2.0
1730243536.5658777,2.0
1730243536.5699444,2.0
1730243536.5738487,2.0
1730243536.5779088,2.0
1730243536.582888,2.0
1730243536.5869043,2.0
1730243536.5898633,2.0
1730243536.5939136,2.0
1730243536.5979047,2.0
1730243536.6070857,2.0
1730243536.6071053,2.0
1730243536.6111715,2.0
1730243536.61399,2.0
1730243536.6192443,2.0
1730243536.6246564,2.0
1730243536.6259935,2.0
1730243536.632668,2.0
1730243536.635827,2.0
1730243536.639163,2.0
1730243536.6443608,2.0
1730243536.64505,2.0
1730243536.6503763,2.0
1730243536.6542182,2.0
1730243536.6584215,2.0
1730243536.662146,2.0
1730243536.6665013,2.0
1730243536.6716993,2.0
1730243536.6745193,2.0
1730243536.678446,2.0
1730243536.6822531,2.0
1730243536.687522,2.0
1730243536.6916995,2.0
1730243536.694316,2.0
1730243536.6985724,2.0
1730243536.70139,2.0
1730243536.7065728,2.0
1730243536.7103095,2.0
1730243536.7145443,2.0
1730243536.7182813,2.0
1730243536.7216723,2.0
1730243536.7256105,2.0
1730243536.729391,2.0
1730243536.7346022,2.0
1730243536.7383964,2.0
1730243536.7423456,2.0
1730243536.7467582,2.0
1730243536.7493408,2.0
1730243536.753946,2.0
1730243536.757594,2.0
1730243536.761216,2.0
1730243536.766616,2.0
1730243536.7706485,2.0
1730243536.7746408,2.0
1730243536.7773285,2.0
1730243536.7814436,2.0
1730243536.7853537,2.0
1730243536.7899036,2.0
1730243536.7960005,2.0
1730243536.79955,2.0
1730243536.8040009,2.0
