Fp1,C3,time_board
-9415.918220987109,6641.910271872315,1730987094.0520673
-9389.409052063114,6644.0113358511135,1730987094.0559304
-9447.00949752444,6635.115341557902,1730987094.058849
-9446.271889957416,6641.619699194396,1730987094.0630052
-9400.62962777968,6642.357306761421,1730987094.0679033
-9411.269058140404,6641.731457916672,1730987094.071942
-9413.5712878193,6638.848082881937,1730987094.0759451
-9432.34675316176,6639.540986960053,1730987094.0799935
-9445.780151579398,6661.691565715261,1730987094.0840037
-9432.123235717208,6661.065716870513,1730987094.086994
-9430.737427560976,6652.616757466407,1730987094.0911312
-9424.188366435572,6643.117266072902,1730987094.0959733
-9400.361406846216,6632.433132223265,1730987094.0999856
-9367.861970408198,6643.161969561812,1730987094.1039865
-9368.845447164233,6652.393240021854,1730987094.1080296
-9442.270927699916,6642.491417228153,1730987094.11107
-9485.342739265292,6625.302925742022,1730987094.1150627
-9439.901642787652,6629.460350210709,1730987094.1190844
-9438.717000331522,6638.825731137483,1730987094.1229928
-9445.310764945838,6627.1581205318125,1730987094.1281424
-9427.071741470309,6626.576975175974,1730987094.1320672
-9436.615936352722,6632.433132223265,1730987094.1351187
-9442.092113744273,6635.852949124926,1730987094.139073
-9435.00661075194,6642.960803861714,1730987094.1431108
-9423.33900014627,6627.8063211210165,1730987094.1471834
-9415.851165753742,6628.096893798936,1730987094.1511388
-9407.20104064954,6624.565318174997,1730987094.1560729
-9430.268040927416,6624.744132130639,1730987094.160192
-9435.38659040768,6648.660498697817,1730987094.1631896
-9424.478939113493,6639.071600326491,1730987094.1680949
-9426.647058325656,6643.74311491765,1730987094.1720846
-9425.037732724872,6644.972460862692,1730987094.1751027
-9406.351674360238,6635.450617724731,1730987094.1791215
-9403.356540603228,6626.241699009144,1730987094.183103
-9399.71320625701,6640.770332905095,1730987094.187117
-9436.861805541732,6647.073524841491,1730987094.1911223
-9447.76945683592,6643.631356195374,1730987094.1962664
-9462.320442476326,6630.108550799912,1730987094.2001517
-9443.701439345055,6633.394257234843,1730987094.2031295
-9420.120348944709,6632.500187456631,1730987094.2073495
-9435.923032274608,6633.461312468209,1730987094.211165
-9455.10082901726,6639.116303815402,1730987094.2151446
-9422.444930368058,6639.585690448963,1730987094.2191424
-9384.581075260769,6645.575957962985,1730987094.2231543
-9444.573157378813,6631.337896744954,1730987094.2282543
-9458.6324046412,6637.55168170353,1730987094.2311833
-9413.034845952374,6647.207635308223,1730987094.235264
-9417.996933221451,6642.2455480391445,1730987094.239175
-9448.48471265849,6621.816053606994,1730987094.243241
-9407.893944727652,6625.682905397762,1730987094.2472725
-9396.449851566536,6633.371905490388,1730987094.2513452
-9471.574064680824,6639.809207893516,1730987094.2563777
-9462.29809073187,6645.330088773977,1730987094.259318
-9418.15339543264,6643.117266072902,1730987094.2633393
-9433.263174684427,6632.053152567524,1730987094.2673604
-9467.193122767583,6633.126036301379,1730987094.2712665
-9445.310764945838,6641.731457916672,1730987094.2753155
-9418.265154154917,6627.471044954186,1730987094.2793553
-9404.205906892528,6626.085236797958,1730987094.2842708
-9451.032811526396,6637.529329959075,1730987094.2872908
-9426.91527925912,6650.180417320778,1730987094.2903693
-9441.645078855168,6639.317469515499,1730987094.29537
-9462.186332009594,6622.441902451743,1730987094.2994485
-9430.558613605335,6630.890861855849,1730987094.303392
-9396.874534711187,6642.111437572413,1730987094.307392
-9421.237936167472,6636.45644622522,1730987094.3114035
-9449.289375458882,6625.526443186574,1730987094.3143988
-9438.739352075978,6629.728571144173,1730987094.3193417
-9437.95704102004,6634.802417135527,1730987094.3233645
-9404.295313870349,6646.134751574368,1730987094.327356
-9414.91239248662,6645.017164351602,1730987094.3313365
-9446.830683568798,6629.080370554969,1730987094.3353426
-9425.171843191603,6626.2640507536,1730987094.3383515
-9376.199171090027,6640.055077082525,1730987094.342371
-9438.33702067578,6627.8063211210165,1730987094.3463645
-9469.517704190936,6628.655687410318,1730987094.351412
-9442.069761999815,6643.340783517455,1730987094.355489
-9437.934689275586,6639.943318360248,1730987094.359484
-9448.931747547596,6636.545853203042,1730987094.363538
-9427.831700781788,6636.322335758488,1730987094.367509
-9407.759834260922,6635.607079935919,1730987094.3705225
-9423.42840712409,6640.45740848272,1730987094.3745131
-9421.416750123111,6644.45837074022,1730987094.3795588
-9438.113503231229,6632.343725245443,1730987094.383515
-9434.91720377412,6639.228062537678,1730987094.3875306
-9431.29622117236,6644.123094573391,1730987094.3914192
-9438.717000331522,6632.567242689996,1730987094.3945503
-9415.53824133137,6625.794664120039,1730987094.3984797
-9384.581075260769,6637.0822950699685,1730987094.4024374
-9444.886081801187,6641.865568383404,1730987094.4075685
-9470.970567580527,6647.364097519409,1730987094.4115071
-9405.278790626382,6642.31260327251,1730987094.4155052
-9410.978485462483,6618.105664027413,1730987094.419535
-9475.30680600486,6609.947277301226,1730987094.4224565
-9437.666468342122,6645.240681796156,1730987094.4265893
-9425.328305402792,6652.46029525522,1730987094.4305897
-9420.634439067178,6644.480722484675,1730987094.434608
-9444.327288189805,6648.325222530988,1730987094.439732
-9429.686895571578,6640.725629416183,1730987094.4436731
-9365.157409329106,6637.328164258977,1730987094.4475064
-9377.495572268435,6650.672155698795,1730987094.4506152
-9487.35439626627,6648.79460916455,1730987094.454652
-9489.477811989524,6649.085181842468,1730987094.4586556
-9466.16494252264,6640.658574182818,1730987094.4626467
-9424.545994346858,6637.305812514522,1730987094.4676237
-9398.170935889597,6650.091010342957,1730987094.4716575
-9418.734540788477,6645.575957962985,1730987094.474661
-9445.757799834944,6635.249452024634,1730987094.478652
-9473.250445514972,6641.93262361677,1730987094.4826596
-9433.352581662248,6645.084219584968,1730987094.4867
-9421.304991400835,6655.008394123125,1730987094.4907794
-9409.816194750809,6664.08320237198,1730987094.495684
-9331.94271706852,6636.814074136505,1730987094.4997225
-9391.443060808548,6615.043475037036,1730987094.5026996
-9459.21354999704,6623.224213507679,1730987094.5067208
-9467.170771023128,6652.974385377692,1730987094.5107183
-9451.368087693225,6628.9239083437815,1730987094.5146646
-9398.05917716732,6652.527350488585,1730987094.5187528
-9424.367180391217,6666.65365298434,1730987094.5228052
-9465.852018100264,6604.73932084314,1730987094.5278907
-9475.530323449411,6548.412924815765,1730987094.53091
-9380.244836836438,6649.040478353558,1730987094.5349069
-9440.572195121313,6721.258964688655,1730987094.538766
-9526.581707785332,6632.634297923362,1730987094.5428612
-9397.09805215574,6676.309606589032,1730987094.5467076
-9382.971749659986,6659.143466847357,1730987094.5506856
-9431.922070017108,6585.293303167022,1730987094.55481
-9392.694758498044,6623.648896652329,1730987094.5578296
-9347.432475976047,6610.662533123796,1730987094.5626993
-9535.947088712108,6661.825676181994,1730987094.566734
-9520.434978060124,6681.3387490914765,1730987094.5708437
