time_board,marker
1730987248.1852913,2.0
1730987248.1894796,2.0
1730987248.1934335,2.0
1730987248.197637,2.0
1730987248.2016163,2.0
1730987248.2054296,2.0
1730987248.2102733,2.0
1730987248.2135644,2.0
1730987248.217559,2.0
1730987248.2210968,2.0
1730987248.2252438,2.0
1730987248.2289598,2.0
1730987248.2343411,2.0
1730987248.2369444,2.0
1730987248.24016,2.0
1730987248.2449565,2.0
1730987248.249484,2.0
1730987248.25299,2.0
1730987248.2572515,2.0
1730987248.2620003,2.0
1730987248.2650197,2.0
1730987248.2682333,2.0
1730987248.2734451,2.0
1730987248.2776232,2.0
1730987248.2811687,2.0
1730987248.2852724,2.0
1730987248.289008,2.0
1730987248.2929924,2.0
1730987248.2960155,2.0
1730987248.301077,2.0
1730987248.3050048,2.0
1730987248.3090892,2.0
1730987248.313058,2.0
1730987248.3171136,2.0
1730987248.3210988,2.0
1730987248.324144,2.0
1730987248.3280833,2.0
1730987248.333264,2.0
1730987248.337051,2.0
1730987248.3412504,2.0
1730987248.3452616,2.0
1730987248.349574,2.0
1730987248.35231,2.0
1730987248.3563848,2.0
1730987248.3612149,2.0
1730987248.3651412,2.0
1730987248.3691509,2.0
1730987248.372272,2.0
1730987248.376315,2.0
1730987248.3802123,2.0
1730987248.384175,2.0
1730987248.389212,2.0
1730987248.3932295,2.0
1730987248.3973725,2.0
1730987248.4002664,2.0
1730987248.404426,2.0
1730987248.4083884,2.0
1730987248.4123597,2.0
1730987248.4173844,2.0
1730987248.4213989,2.0
1730987248.425278,2.0
1730987248.4282832,2.0
1730987248.4323256,2.0
1730987248.4362106,2.0
1730987248.440411,2.0
1730987248.4442627,2.0
1730987248.4492953,2.0
1730987248.453297,2.0
1730987248.4563296,2.0
1730987248.4603572,2.0
1730987248.4643705,2.0
1730987248.468371,2.0
1730987248.4724183,2.0
1730987248.4773338,2.0
1730987248.480412,2.0
1730987248.4843524,2.0
1730987248.488438,2.0
1730987248.4924028,2.0
1730987248.4963949,2.0
1730987248.5004983,2.0
1730987248.5053596,2.0
1730987248.508496,2.0
1730987248.5125291,2.0
1730987248.5165453,2.0
1730987248.5205133,2.0
1730987248.5245445,2.0
1730987248.5284777,2.0
1730987248.5335877,2.0
1730987248.536538,2.0
1730987248.5394022,2.0
1730987248.5444694,2.0
1730987248.5485225,2.0
1730987248.552433,2.0
1730987248.556498,2.0
1730987248.561633,2.0
1730987248.5646863,2.0
1730987248.567651,2.0
1730987248.5726807,2.0
1730987248.5767136,2.0
1730987248.5806682,2.0
1730987248.5846925,2.0
1730987248.5886686,2.0
1730987248.5926566,2.0
1730987248.5957546,2.0
1730987248.600752,2.0
1730987248.6049187,2.0
1730987248.6087773,2.0
1730987248.612812,2.0
1730987248.6168065,2.0
1730987248.620819,2.0
1730987248.6237924,2.0
1730987248.6276796,2.0
1730987248.6328647,2.0
1730987248.6366613,2.0
1730987248.6406095,2.0
1730987248.6448882,2.0
1730987248.6478548,2.0
1730987248.6518342,2.0
1730987248.655635,2.0
1730987248.6606336,2.0
1730987248.6651125,2.0
1730987248.668804,2.0
1730987248.671738,2.0
1730987248.6756709,2.0
1730987248.679777,2.0
1730987248.6838129,2.0
1730987248.6886308,2.0
1730987248.6927426,2.0
1730987248.6967423,2.0
1730987248.699757,2.0
1730987248.703739,2.0
1730987248.7078686,2.0
1730987248.711812,2.0
1730987248.7168608,2.0
1730987248.721108,2.0
1730987248.7248304,2.0
1730987248.7278316,2.0
1730987248.73191,2.0
1730987248.7357135,2.0
1730987248.7398665,2.0
1730987248.7438626,2.0
1730987248.7488537,2.0
1730987248.7517672,2.0
1730987248.7558055,2.0
1730987248.7598684,2.0
1730987248.7638807,2.0
1730987248.7677708,2.0
1730987248.7727735,2.0
1730987248.7769065,2.0
1730987248.7799883,2.0
1730987248.7837725,2.0
1730987248.7878995,2.0
1730987248.7918844,2.0
1730987248.795889,2.0
1730987248.7999103,2.0
1730987248.8048673,2.0
1730987248.8079648,2.0
1730987248.8119087,2.0
1730987248.8160007,2.0
1730987248.819971,2.0
1730987248.8239565,2.0
1730987248.827951,2.0
1730987248.8330276,2.0
1730987248.8359032,2.0
1730987248.8399577,2.0
1730987248.843922,2.0
1730987248.8480456,2.0
1730987248.852006,2.0
1730987248.8560524,2.0
1730987248.8600855,2.0
1730987248.863462,2.0
1730987248.8669906,2.0
1730987248.872551,2.0
1730987248.8764036,2.0
1730987248.8800452,2.0
1730987248.8840663,2.0
1730987248.8870692,2.0
1730987248.8909762,2.0
1730987248.8950744,2.0
1730987248.900006,2.0
1730987248.903993,2.0
1730987248.9079952,2.0
1730987248.9120088,2.0
1730987248.9160223,2.0
1730987248.919132,2.0
1730987248.92315,2.0
1730987248.9270575,2.0
