Fp1,C3,time_board
29296.073829659683,23078.489074526915,1730654134.6730442
29297.83961747165,23077.706763470986,1730654134.6773152
29294.33039359217,23080.88071118364,1730654134.6824484
29295.470332559387,23075.672754725547,1730654134.686345
29294.62096627009,23076.343307059207,1730654134.690254
29301.482951817867,23077.013859392868,1730654134.6931148
29317.50915259232,23078.01968789336,1730654134.6971416
29319.341995637657,23078.01968789336,1730654134.7012644
29303.338146607657,23083.85349319619,1730654134.7053063
29292.542254035743,23088.14502813161,1730654134.7113693
29285.166178365493,23079.71842047196,1730654134.7141404
29302.108800662616,23075.404533792083,1730654134.7184005
29318.31381539272,23075.248071580896,1730654134.721242
29295.80560872622,23079.83017919424,1730654134.7255957
29308.635510043565,23088.70382174299,1730654134.7297437
29316.436268858462,23081.32774607274,1730654134.7339213
29338.072757491205,23074.242243080407,1730654134.7383249
29331.38958589907,23073.392876791106,1730654134.742457
29301.32648960668,23087.027440908845,1730654134.746454
29271.196338080925,23096.079897413245,1730654134.7494197
29271.37515203657,23087.09449614221,1730654134.7534733
29314.78223976877,23079.15962686057,1730654134.7574344
29366.973563071915,23077.90792917108,1730654134.7614825
29338.631551102582,23097.46570556948,1730654134.7653065
29240.015654565774,23100.594949793216,1730654134.7704964
29219.519104900257,23085.015783907867,1730654134.7744312
29288.47423654488,23124.57837159376,1730654134.7775695
29334.87645803409,23085.976908919445,1730654134.7812471
29299.001908183327,23084.61345250767,1730654134.7855053
29258.67936118596,23068.02845812184,1730654134.789384
29310.60246355563,23079.494903027404,1730654134.793538
29289.413009812,23079.316089071763,1730654134.798364
29231.678453883946,23072.96819364645,1730654134.8015137
29276.337239305645,23106.942845218524,1730654134.8052626
29300.52182680629,23102.137220160632,1730654134.8095193
29296.923195948984,23100.61730153767,1730654134.8135464
29266.703637445407,23086.625109508648,1730654134.817599
29292.67636450248,23082.37827806214,1730654134.8215945
29277.83480618415,23101.75724050489,1730654134.8266172
29305.88624547556,23108.552170819305,1730654134.8295832
29359.3292664682,23100.952577704506,1730654134.8335984
29295.336222092657,23102.941882961022,1730654134.8375711
29245.31301800168,23091.877769455645,1730654134.8416264
29336.731652823884,23063.692219697503,1730654134.845413
29345.04650176126,23094.04588866781,1730654134.8495555
29299.47129481689,23088.70382174299,1730654134.8545792
29309.4178210995,23089.016746165365,1730654134.8573864
29279.5111870183,23128.042891984333,1730654134.8605072
29173.76508400024,23112.039042954333,1730654134.8654544
29198.93314825692,23112.19550516552,1730654134.869458
29300.47712331737,23130.68039783006,1730654134.8735013
29335.90463827904,23109.021557452867,1730654134.8776848
29311.27301588929,23067.447312765995,1730654134.8814552
29358.03286528979,23092.458914811483,1730654134.8855276
29345.694702350465,23101.26550212688,1730654134.8886971
29371.66742940753,23105.3558713622,1730654134.8936672
29355.19419374397,23140.068130501288,1730654134.8975737
29143.32200805212,23122.61141808169,1730654134.9017272
29230.85143933909,23091.497789799905,1730654134.9054177
29291.357611579613,23105.57938880675,1730654134.9086516
29245.35772149059,23075.76216170337,1730654134.9126835
29310.04366994425,23117.582275579247,1730654134.916669
29369.320496239725,23088.77087697636,1730654134.9206502
29370.639249162585,23117.42581336806,1730654134.9258
29286.999021410826,23205.40227954415,1730654134.9297187
29230.560866661177,23147.220688726982,1730654134.9337351
29259.72989317536,23080.2995658278,1730654134.936698
29186.4385231064,23098.270368369864,1730654134.940725
29264.78138742225,23097.37629859165,1730654134.9447162
29403.161037345057,23077.349135559696,1730654134.949716
29448.98211347844,23148.62884862767,1730654134.9537616
29344.443004660967,23164.319773235296,1730654134.957768
29216.85924731008,23126.14299370563,1730654134.9618084
29245.380073235046,23108.149839419108,1730654134.964547
29259.72989317536,23137.25181069992,1730654134.9687784
29357.876403078608,23114.05069995531,1730654134.9725444
29385.25729003636,23157.502491176427,1730654134.9766147
29313.351728123635,23132.73675831995,1730654134.981592
29300.65593727302,23145.87958405967,1730654134.9857922
29254.812509395186,23172.34404949475,1730654134.9895675
29203.627014592534,23048.02364683433,1730654134.9926128
29239.54626793221,23049.744731157392,1730654134.996682
29290.195320867937,23102.96423470548,1730654135.0007057
29384.67614468052,23189.77841016989,1730654135.0047927
29469.16573872158,23181.150636810144,1730654135.0097115
29373.29910675277,23141.96802877999,1730654135.0136256
29220.614340378565,23110.96615922048,1730654135.0168183
29212.478305396835,23109.222723152965,1730654135.0207613
29273.945602648928,23108.9545022195,1730654135.0246797
29570.3297341263,23078.399667549096,1730654135.0286767
29497.2618815019,23204.172933599108,1730654135.0327532
