time_board,marker
1730654285.01455,2.0
1730654285.0194652,2.0
1730654285.02354,2.0
1730654285.0266967,2.0
1730654285.030475,2.0
1730654285.0346572,2.0
1730654285.0386307,2.0
1730654285.0426502,2.0
1730654285.0474548,2.0
1730654285.051649,2.0
1730654285.0546892,2.0
1730654285.0588815,2.0
1730654285.0648742,2.0
1730654285.0676355,2.0
1730654285.0716164,2.0
1730654285.075745,2.0
1730654285.0785143,2.0
1730654285.0826256,2.0
1730654285.0866404,2.0
1730654285.090748,2.0
1730654285.0945587,2.0
1730654285.0987754,2.0
1730654285.1035173,2.0
1730654285.1067922,2.0
1730654285.1110144,2.0
1730654285.1148195,2.0
1730654285.1187875,2.0
1730654285.1227932,2.0
1730654285.1267962,2.0
1730654285.1318302,2.0
1730654285.134817,2.0
1730654285.1387084,2.0
1730654285.1429992,2.0
1730654285.14682,2.0
1730654285.1508589,2.0
1730654285.155942,2.0
1730654285.1589997,2.0
1730654285.1616085,2.0
1730654285.1658938,2.0
1730654285.170717,2.0
1730654285.1749043,2.0
1730654285.17863,2.0
1730654285.1827118,2.0
1730654285.1869032,2.0
1730654285.1896968,2.0
1730654285.19463,2.0
1730654285.1987455,2.0
1730654285.2027495,2.0
1730654285.2069104,2.0
1730654285.2109103,2.0
1730654285.2148874,2.0
1730654285.2178676,2.0
1730654285.2219653,2.0
1730654285.226942,2.0
1730654285.2309036,2.0
1730654285.2348883,2.0
1730654285.2389305,2.0
1730654285.2428887,2.0
1730654285.2457852,2.0
1730654285.2499752,2.0
1730654285.2549312,2.0
1730654285.2588885,2.0
1730654285.2629657,2.0
1730654285.2659466,2.0
1730654285.2700405,2.0
1730654285.274028,2.0
1730654285.2779007,2.0
1730654285.2829647,2.0
1730654285.2868168,2.0
1730654285.291001,2.0
1730654285.2939365,2.0
1730654285.2979565,2.0
1730654285.3019376,2.0
1730654285.3060868,2.0
1730654285.3101032,2.0
1730654285.315027,2.0
1730654285.319333,2.0
1730654285.322757,2.0
1730654285.326298,2.0
1730654285.330515,2.0
1730654285.3341596,2.0
1730654285.3390772,2.0
1730654285.3430934,2.0
1730654285.3470752,2.0
1730654285.3500533,2.0
1730654285.3539653,2.0
1730654285.3580189,2.0
1730654285.3619075,2.0
1730654285.366015,2.0
1730654285.3710797,2.0
1730654285.3740857,2.0
1730654285.377099,2.0
1730654285.3821063,2.0
1730654285.3859406,2.0
1730654285.390135,2.0
1730654285.393973,2.0
1730654285.3991685,2.0
1730654285.4021397,2.0
1730654285.4051113,2.0
1730654285.410168,2.0
1730654285.41424,2.0
1730654285.4182353,2.0
1730654285.4222193,2.0
1730654285.4262133,2.0
1730654285.4302502,2.0
1730654285.4332662,2.0
1730654285.4381971,2.0
1730654285.4420424,2.0
1730654285.4461825,2.0
1730654285.450115,2.0
1730654285.4551003,2.0
1730654285.4582324,2.0
1730654285.4612188,2.0
1730654285.4660442,2.0
1730654285.4700716,2.0
1730654285.4743176,2.0
1730654285.4783397,2.0
1730654285.4823573,2.0
1730654285.486154,2.0
1730654285.4892256,2.0
1730654285.494368,2.0
1730654285.498446,2.0
1730654285.5023832,2.0
1730654285.5064244,2.0
1730654285.509292,2.0
1730654285.5132513,2.0
1730654285.5171444,2.0
1730654285.5213108,2.0
1730654285.5262644,2.0
1730654285.530198,2.0
1730654285.5343552,2.0
1730654285.537218,2.0
1730654285.5412846,2.0
1730654285.5451992,2.0
1730654285.5493195,2.0
1730654285.5543609,2.0
1730654285.55834,2.0
1730654285.562242,2.0
1730654285.5655973,2.0
1730654285.569302,2.0
1730654285.5735023,2.0
1730654285.5777323,2.0
1730654285.5825653,2.0
1730654285.5863457,2.0
1730654285.5893738,2.0
1730654285.5933158,2.0
1730654285.5973597,2.0
1730654285.6014636,2.0
1730654285.605466,2.0
1730654285.6093018,2.0
1730654285.6145835,2.0
1730654285.617541,2.0
1730654285.6216552,2.0
1730654285.6255672,2.0
1730654285.6295147,2.0
1730654285.6336107,2.0
1730654285.6375682,2.0
1730654285.6425867,2.0
1730654285.645451,2.0
1730654285.649594,2.0
1730654285.65341,2.0
1730654285.6576483,2.0
1730654285.661454,2.0
1730654285.66567,2.0
1730654285.6695063,2.0
1730654285.6726112,2.0
1730654285.6775131,2.0
1730654285.6821606,2.0
1730654285.6856704,2.0
1730654285.6896305,2.0
1730654285.6936927,2.0
1730654285.6976926,2.0
1730654285.7016993,2.0
1730654285.7058072,2.0
1730654285.709788,2.0
1730654285.7141707,2.0
1730654285.7167826,2.0
1730654285.7216406,2.0
1730654285.7255628,2.0
1730654285.7296174,2.0
1730654285.7337909,2.0
1730654285.7364824,2.0
1730654285.7408192,2.0
1730654285.7445767,2.0
1730654285.7498071,2.0
1730654285.7537365,2.0
1730654285.7577837,2.0
1730654285.761584,2.0
1730654285.7648358,2.0
