time_board,marker
1730328929.692238,3.0
1730328929.6972072,3.0
1730328929.7002325,3.0
1730328929.7041843,3.0
1730328929.708229,3.0
1730328929.71215,3.0
1730328929.7162244,3.0
1730328929.7200327,3.0
1730328929.7252772,3.0
1730328929.7280493,3.0
1730328929.7322657,3.0
1730328929.736032,3.0
1730328929.7402933,3.0
1730328929.7440724,3.0
1730328929.748316,3.0
1730328929.7531106,3.0
1730328929.7563224,3.0
1730328929.759292,3.0
1730328929.764362,3.0
1730328929.768242,3.0
1730328929.7723444,3.0
1730328929.7763672,3.0
1730328929.780367,3.0
1730328929.7833602,3.0
1730328929.787164,3.0
1730328929.7921672,3.0
1730328929.796419,3.0
1730328929.8004415,3.0
1730328929.804388,3.0
1730328929.8084047,3.0
1730328929.8111644,3.0
1730328929.815447,3.0
1730328929.8201723,3.0
1730328929.8244083,3.0
1730328929.8281949,3.0
1730328929.8324547,3.0
1730328929.8361986,3.0
1730328929.8394775,3.0
1730328929.843481,3.0
1730328929.848486,3.0
1730328929.8523755,3.0
1730328929.8563151,3.0
1730328929.860314,3.0
1730328929.863472,3.0
1730328929.8674383,3.0
1730328929.8713465,3.0
1730328929.8756125,3.0
1730328929.8807642,3.0
1730328929.884952,3.0
1730328929.887523,3.0
1730328929.8916552,3.0
1730328929.8953898,3.0
1730328929.8994734,3.0
1730328929.9034183,3.0
1730328929.9089315,3.0
1730328929.9125004,3.0
1730328929.9153924,3.0
1730328929.9193604,3.0
1730328929.9235828,3.0
1730328929.927412,3.0
1730328929.931641,3.0
1730328929.93644,3.0
1730328929.9405503,3.0
1730328929.9435496,3.0
1730328929.947614,3.0
1730328929.951651,3.0
1730328929.9555943,3.0
1730328929.9595983,3.0
1730328929.963596,3.0
1730328929.9686143,3.0
1730328929.971608,3.0
1730328929.975422,3.0
1730328929.979668,3.0
1730328929.9836304,3.0
1730328929.9876385,3.0
1730328929.9916492,3.0
1730328929.9966056,3.0
1730328929.999673,3.0
1730328930.003462,3.0
1730328930.0074787,3.0
1730328930.0114915,3.0
1730328930.015584,3.0
1730328930.019524,3.0
1730328930.0237598,3.0
1730328930.0269873,3.0
1730328930.0317907,3.0
1730328930.0356317,3.0
1730328930.0399592,3.0
1730328930.0436409,3.0
1730328930.047819,3.0
1730328930.0518208,3.0
1730328930.054786,3.0
1730328930.0598176,3.0
1730328930.063779,3.0
1730328930.0676925,3.0
1730328930.071818,3.0
1730328930.075836,3.0
1730328930.079815,3.0
1730328930.0826683,3.0
1730328930.0867393,3.0
1730328930.0917704,3.0
1730328930.0957658,3.0
1730328930.0997217,3.0
1730328930.103752,3.0
1730328930.1080563,3.0
1730328930.1106844,3.0
1730328930.1149013,3.0
1730328930.1196747,3.0
1730328930.12388,3.0
1730328930.1277902,3.0
1730328930.131066,3.0
1730328930.134912,3.0
1730328930.1389222,3.0
1730328930.1430972,3.0
1730328930.148012,3.0
1730328930.1520324,3.0
1730328930.1561987,3.0
1730328930.158852,3.0
1730328930.1631508,3.0
1730328930.1670651,3.0
1730328930.170812,3.0
1730328930.1750548,3.0
1730328930.1799705,3.0
1730328930.1840825,3.0
1730328930.1868465,3.0
1730328930.1910844,3.0
1730328930.1948893,3.0
1730328930.1990802,3.0
1730328930.2039611,3.0
1730328930.2080922,3.0
1730328930.211826,3.0
1730328930.214923,3.0
1730328930.218954,3.0
1730328930.2238023,3.0
1730328930.2271905,3.0
1730328930.2313652,3.0
1730328930.2359004,3.0
1730328930.2400377,3.0
1730328930.243009,3.0
1730328930.2470186,3.0
1730328930.2510383,3.0
1730328930.2550616,3.0
1730328930.259052,3.0
1730328930.264065,3.0
1730328930.2670453,3.0
1730328930.271087,3.0
1730328930.2750757,3.0
1730328930.2790177,3.0
1730328930.2830744,3.0
1730328930.2870529,3.0
1730328930.292103,3.0
1730328930.2950797,3.0
1730328930.2981095,3.0
1730328930.30295,3.0
1730328930.3071375,3.0
1730328930.311031,3.0
1730328930.315163,3.0
1730328930.3189642,3.0
1730328930.3231585,3.0
1730328930.326048,3.0
1730328930.3310356,3.0
1730328930.3352745,3.0
1730328930.339266,3.0
1730328930.3432667,3.0
1730328930.3473153,3.0
1730328930.3512971,3.0
1730328930.3542829,3.0
1730328930.3592746,3.0
1730328930.3632655,3.0
1730328930.3672888,3.0
1730328930.371313,3.0
1730328930.3742657,3.0
1730328930.3780923,3.0
1730328930.3822284,3.0
1730328930.3861315,3.0
1730328930.3912835,3.0
1730328930.3951097,3.0
1730328930.3993132,3.0
1730328930.4022791,3.0
1730328930.40643,3.0
1730328930.4104352,3.0
1730328930.4143567,3.0
1730328930.4191325,3.0
1730328930.4231927,3.0
1730328930.4272003,3.0
1730328930.4303696,3.0
1730328930.4342,3.0
1730328930.438306,3.0
1730328930.4423373,3.0
1730328930.447208,3.0
1730328930.4519773,3.0
1730328930.455649,3.0
1730328930.4588492,3.0
1730328930.4622984,3.0
1730328930.466303,3.0
1730328930.470305,3.0
1730328930.4744377,3.0
1730328930.479328,3.0
1730328930.4835143,3.0
1730328930.486251,3.0
1730328930.4904492,3.0
1730328930.4943075,3.0
1730328930.4983575,3.0
1730328930.5033832,3.0
1730328930.50745,3.0
1730328930.5115187,3.0
1730328930.514542,3.0
1730328930.51849,3.0
1730328930.522396,3.0
1730328930.5265453,3.0
1730328930.5305088,3.0
1730328930.5355475,3.0
1730328930.5385811,3.0
1730328930.5423958,3.0
1730328930.546543,3.0
1730328930.5505948,3.0
1730328930.55456,3.0
1730328930.558538,3.0
1730328930.56391,3.0
1730328930.5666654,3.0
1730328930.5707164,3.0
1730328930.5744169,3.0
1730328930.5784223,3.0
1730328930.582668,3.0
1730328930.5864804,3.0
1730328930.5918522,3.0
1730328930.594534,3.0
1730328930.5980332,3.0
1730328930.6024828,3.0
1730328930.606666,3.0
1730328930.6107085,3.0
1730328930.614746,3.0
1730328930.6187308,3.0
1730328930.62188,3.0
1730328930.6267169,3.0
1730328930.6307511,3.0
1730328930.634751,3.0
1730328930.6386902,3.0
1730328930.6427271,3.0
1730328930.6466918,3.0
1730328930.6497197,3.0
1730328930.6536627,3.0
1730328930.658805,3.0
1730328930.6628056,3.0
1730328930.6668177,3.0
1730328930.6707923,3.0
1730328930.6749637,3.0
1730328930.67767,3.0
1730328930.682184,3.0
1730328930.6866736,3.0
1730328930.6909032,3.0
1730328930.6947253,3.0
1730328930.6989224,3.0
1730328930.701777,3.0
1730328930.7060795,3.0
1730328930.710306,3.0
1730328930.7151434,3.0
1730328930.7190225,3.0
1730328930.7228763,3.0
1730328930.7270305,3.0
1730328930.7301018,3.0
1730328930.733674,3.0
1730328930.737777,3.0
1730328930.7417848,3.0
1730328930.7474868,3.0
1730328930.751082,3.0
1730328930.753734,3.0
1730328930.7583609,3.0
1730328930.761776,3.0
1730328930.766332,3.0
1730328930.7697847,3.0
1730328930.775117,3.0
1730328930.7789967,3.0
1730328930.7821395,3.0
1730328930.7858596,3.0
1730328930.789955,3.0
1730328930.7938333,3.0
1730328930.7979777,3.0
1730328930.8028169,3.0
1730328930.807398,3.0
1730328930.810284,3.0
1730328930.814426,3.0
1730328930.8180532,3.0
1730328930.8220751,3.0
1730328930.8261995,3.0
1730328930.8311613,3.0
1730328930.8355496,3.0
1730328930.8379965,3.0
1730328930.841995,3.0
1730328930.8459868,3.0
1730328930.8501573,3.0
1730328930.8539095,3.0
1730328930.8592167,3.0
1730328930.8618913,3.0
1730328930.865348,3.0
1730328930.8700328,3.0
1730328930.874493,3.0
1730328930.8779,3.0
1730328930.882151,3.0
1730328930.886953,3.0
1730328930.890355,3.0
1730328930.8936672,3.0
1730328930.8983276,3.0
1730328930.9021437,3.0
1730328930.906199,3.0
1730328930.9103568,3.0
1730328930.9152846,3.0
1730328930.9184957,3.0
1730328930.9210267,3.0
1730328930.9264977,3.0
1730328930.930661,3.0
1730328930.9346533,3.0
1730328930.938315,3.0
1730328930.94221,3.0
1730328930.946169,3.0
1730328930.9495747,3.0
1730328930.9540942,3.0
1730328930.9586153,3.0
1730328930.962073,3.0
1730328930.9664743,3.0
1730328930.9700382,3.0
1730328930.974592,3.0
1730328930.9772656,3.0
1730328930.9822433,3.0
1730328930.9860723,3.0
1730328930.9906852,3.0
1730328930.994047,3.0
1730328930.9972432,3.0
1730328931.001393,3.0
1730328931.005642,3.0
1730328931.009375,3.0
1730328931.0145743,3.0
