Fp1,C3,time_board
-7095.360111637129,9246.268480571329,1731451723.2106924
-7104.658437330537,9237.707762444945,1731451723.2159903
-7159.889597879601,9213.433767966482,1731451723.219829
-7160.22487404643,9218.261744768828,1731451723.223114
-7107.251239687353,9241.105227602153,1731451723.2268217
-7101.730358806892,9239.674715957011,1731451723.2309928
-7155.374545499629,9218.172337791008,1731451723.2347872
-7172.071298607743,9216.071273812207,1731451723.238829
-7121.131672994098,9237.752465933856,1731451723.2437916
-7099.383425639085,9243.094532858677,1731451723.2478385
-7148.51255995185,9222.39681749306,1731451723.2511468
-7177.6368829771145,9214.439596466971,1731451723.2548623
-7131.592289399182,9234.332649032194,1731451723.2590294
-7095.829498270691,9244.770913692822,1731451723.2630036
-7140.4212284590285,9228.096512329164,1731451723.267002
-7175.491115509405,9218.753483146846,1731451723.271008
-7138.141350524587,9238.333611289694,1731451723.27593
-7096.701216304447,9252.59402425218,1731451723.278876
-7128.440693430984,9233.30446878725,1731451723.2829912
-7174.641749220104,9217.05475056824,1731451723.2870555
-7153.720516409936,9228.901175129557,1731451723.290952
-7103.3843878965845,9248.458951527948,1731451723.295048
-7121.534004394294,9235.114960088127,1731451723.29903
-7175.446412020495,9212.740863888368,1731451723.3030632
-7162.772972914336,9222.39681749306,1731451723.3060267
-7105.999541997856,9244.681506715002,1731451723.3109844
-7108.681751332492,9240.948765390964,1731451723.3151364
-7156.827408889224,9224.8778611276,1731451723.3190029
-7156.447429233484,9229.81759665222,1731451723.323156
-7107.385350154084,9250.962346906945,1731451723.3269553
-7102.35620765164,9250.627070740113,1731451723.331242
-7152.021783831333,9227.73888441788,1731451723.3342104
-7168.584426472715,9221.972134348409,1731451723.338272
-7120.975210782911,9239.607660723646,1731451723.343046
-7098.936390749978,9244.033306125795,1731451723.3472297
-7143.617527916137,9226.084855328185,1731451723.3509874
-7169.187923573008,9221.748616903857,1731451723.3572507
-7126.473739918917,9240.524082246317,1731451723.3600073
-7094.734262792381,9247.900157916563,1731451723.3632226
-7131.860510332645,9227.805939651244,1731451723.367211
-7174.150010842087,9211.44446270996,1731451723.371331
-7139.79537961428,9231.203404808452,1731451723.3752563
-7093.348454636152,9248.727172461411,1731451723.3793497
-7120.237603215886,9233.796207165267,1731451723.3832965
-7166.952749127478,9217.658247668534,1731451723.3870876
-7148.199635529475,9228.834119896188,1731451723.3902612
-7096.008312226333,9246.69316371598,1731451723.3940427
-7112.906231034545,9236.411361266535,1731451723.3992753
-7167.243321805397,9216.652419168046,1731451723.4031813
-7158.7943624012905,9228.096512329164,1731451723.4072115
-7103.920829763512,9248.280137572305,1731451723.4100363
-7102.69148381847,9243.16158809204,1731451723.4144151
-7152.066487320243,9223.44734948246,1731451723.4180856
-7158.526141467827,9223.804977393744,1731451723.4222956
-7106.357169909141,9246.49199801588,1731451723.4271054
-7088.855754000635,9250.604718995655,1731451723.4313748
-7138.789551113791,9228.521195473812,1731451723.435206
-7159.46491473495,9224.49788147186,1731451723.438141
-7107.072425731711,9250.202387595462,1731451723.4422476
-7078.7304137623805,9259.88069294461,1731451723.4462528
-7126.920774808023,9236.523119988817,1731451723.450217
-7161.297757780285,9224.117901816118,1731451723.4553804
-7120.192899726975,9242.938070647488,1731451723.4592755
-7084.988902209867,9252.459913785447,1731451723.463356
-7123.12097825062,9233.907965887543,1731451723.4663594
-7165.790458415802,9218.641724424568,1731451723.470284
-7129.714742864936,9240.144102590571,1731451723.4743516
-7078.171620150998,9259.6348237556,1731451723.4783604
-7103.294980918763,9240.568785735224,1731451723.483467
-7164.918740382045,9218.217041279917,1731451723.4872806
-7145.964461083944,9231.24810829736,1731451723.491236
-7091.180335423986,9255.656213242555,1731451723.4942777
-7102.624428585104,9248.347192805672,1731451723.498349
-7156.022746088833,9229.34821001866,1731451723.502198
-7151.686507664503,9230.7787216638,1731451723.5064557
-7096.365940137618,9252.705782974455,1731451723.510275
-7095.673036059504,9247.229605582908,1731451723.5153885
-7148.892539607589,9226.35307626165,1731451723.5192356
-7159.956653112967,9228.096512329164,1731451723.522437
-7107.385350154084,9250.001221895363,1731451723.5262969
-7089.995692967856,9250.135332362095,1731451723.5303855
-7138.163702269042,9228.521195473812,1731451723.5343215
-7156.872112378134,9226.621297195114,1731451723.538376
-7109.061730988233,9247.319012560729,1731451723.5432773
-7080.6079602966265,9257.131428376608,1731451723.546294
-7118.561222381738,9239.674715957011,1731451723.5504332
-7149.473684963427,9230.01876235232,1731451723.5544696
-7108.659399588037,9248.905986417054,1731451723.5585222
-7073.410698582018,9257.712573732446,1731451723.5624676
-7108.815861799224,9238.221852567418,1731451723.5664475
-7153.318185009741,9219.49109071387,1731451723.5715015
-7127.747789352869,9231.78455016429,1731451723.5745757
-7081.92671321949,9247.49782651637,1731451723.5795622
-7103.429091385495,9234.600869965658,1731451723.5824072
-7151.641804175592,9215.423073223004,1731451723.586332
-7135.481492934406,9226.218965794917,1731451723.5924623
-7085.055957443233,9248.905986417054,1731451723.5954423
-7094.197820925453,9239.49590200137,1731451723.5994785
-7149.920719852534,9216.093625556665,1731451723.6023767
-7149.004298329866,9219.580497691692,1731451723.6054313
-7094.197820925453,9241.060524113242,1731451723.6103935
-7086.933503977479,9239.339439790185,1731451723.6145475
-7139.169530769531,9218.418206980015,1731451723.6183617
-7150.971251841933,9217.25591626834,1731451723.6224637
-7101.7974140402575,9236.8807479001,1731451723.6274836
-7084.2512946428415,9240.524082246317,1731451723.630606
-7135.012106300844,9213.992561577865,1731451723.6335485
-7150.010126830355,9216.719474401412,1731451723.6385024
-7102.646780329559,9240.97111713542,1731451723.6424923
-7068.649777013037,9251.096457373676,1731451723.6466012
-7106.915963520523,9233.907965887543,1731451723.650566
-7142.2987749932745,9222.195651792965,1731451723.654524
-7106.223059442408,9239.8311781682,1731451723.6594238
-7066.772230478791,9251.141160862584,1731451723.6625853
-7100.299847161752,9231.628087953102,1731451723.6665556
-7147.46202796245,9216.898288357055,1731451723.670634
-7121.757521838847,9228.454140240448,1731451723.6745796
-7073.433050326473,9245.329707304203,1731451723.6786213
-7091.895591246556,9233.81855890972,1731451723.682609
-7143.237548260397,9213.858451111131,1731451723.685598
-7131.972269054922,9220.67573317,1731451723.689644
-7082.396099853051,9238.937108389988,1731451723.6944673
-7088.922809234001,9231.896308886566,1731451723.698718
-7140.063600547744,9214.461948211429,1731451723.7026715
-7143.952804082966,9218.06057906873,1731451723.7067287
-7090.085099945677,9238.668887456524,1731451723.7105432
-7081.054995185733,9239.78647467929,1731451723.713502
-7129.804149842757,9221.480395970391,1731451723.7175894
-7143.975155827422,9217.032398823789,1731451723.722732
-7094.734262792381,9235.271422299316,1731451723.7265084
-7074.081250915677,9239.8311781682,1731451723.730618
-7124.104455006655,9216.652419168046,1731451723.7345705
-7152.938205354,9210.438634209471,1731451723.73868
-7108.614696099126,9231.382218764093,1731451723.7425616
-7072.762497992814,9239.719419445924,1731451723.7466557
-7108.100605976654,9214.81957612271,1731451723.7497163
-7142.857568604657,9201.117956771608,1731451723.753595
-7114.8284810577015,9219.15581454704,1731451723.75761
-7068.49331480185,9245.150893348562,1731451723.7615469
-7098.109376205132,9231.695143186467,1731451723.7666588
-7144.5339494388045,9218.753483146846,1731451723.7706275
-7120.058789260243,9231.806901908743,1731451723.7746296
-7069.096811902144,9246.9837363939,1731451723.77773
-7083.580742309183,9236.97015487792,1731451723.7818134
-7137.202577257464,9218.172337791008,1731451723.7857623
-7127.099588763665,9224.453177982949,1731451723.7896087
-7066.705175245425,9241.395800280072,1731451723.7945917
-7069.566198535705,9230.39874200806,1731451723.7987874
-7137.627260402115,9208.941067330965,1731451723.8026507
-7148.043173318288,9217.099454057152,1731451723.805676
-7091.649722057548,9239.272384556816,1731451723.8096387
-7075.377652094085,9238.043038611777,1731451723.815793
-7128.597155642171,9211.288000498773,1731451723.8189287
-7144.757466883358,9207.935238830476,1731451723.8217404
-7098.176431438498,9225.324896016706,1731451723.826678
-7075.802335238735,9229.057637340742,1731451723.8299253
-7117.60009737016,9203.800166106244,1731451723.83371
-7142.879920349112,9191.193782233451,1731451723.837684
-7116.996600269867,9210.10335804264,1731451723.841708
-7080.339739363163,9234.86909089912,1731451723.845708
-7109.709931577437,9217.68059941299,1731451723.849732
-7151.5747489422265,9196.759366602822,1731451723.8547208
-7116.147233980565,9207.376445219094,1731451723.8578012
-7060.714907731403,9225.079026827696,1731451723.8617933
-7090.599190068149,9214.081968555683,1731451723.8658197
-7149.5183884523385,9198.48045092588,1731451723.8698325
-7130.6758678765145,9206.348264974147,1731451723.8737347
-7074.282416615774,9226.35307626165,1731451723.8779776
-7085.078309187688,9216.317143001215,1731451723.8827746
-7134.945051067478,9204.336607973171,1731451723.885888
-7132.821635344224,9210.259820253828,1731451723.8899553
-7082.843134742157,9225.81663439472,1731451723.8938727
-7080.406794596529,9223.648515182556,1731451723.8979788
-7133.380428955607,9200.246238737853,1731451723.901936
-7140.242414503386,9198.279285225784,1731451723.9061673
-7087.268780144308,9221.011009336831,1731451723.911261
-7076.718756761403,9225.079026827696,1731451723.9140525
-7128.820673086724,9201.810860849722,1731451723.9188423
-7151.597100686682,9194.68065436848,1731451723.921974
-7104.323161163708,9215.49012845637,1731451723.925878
-7071.443745069951,9224.319067516217,1731451723.9300556
-7105.194879197465,9205.744767873855,1731451723.9340727
-7152.535873953805,9194.591247390656,1731451723.940047
-7116.951896780956,9216.942991845965,1731451723.942954
-7073.745974748847,9226.531890217291,1731451723.946986
-7099.383425639085,9203.844869595156,1731451723.9500508
-7148.646670418581,9178.542694871749,1731451723.9540603
-7132.531062666305,9187.081061253675,1731451723.9582374
