time_board,marker
1731451764.564154,3.0
1731451764.5683017,3.0
1731451764.5721788,3.0
1731451764.5764685,3.0
1731451764.5804548,3.0
1731451764.584496,3.0
1731451764.5891087,3.0
1731451764.592234,3.0
1731451764.5952,3.0
1731451764.6001723,3.0
1731451764.6051836,3.0
1731451764.6082728,3.0
1731451764.6123378,3.0
1731451764.6162984,3.0
1731451764.619377,3.0
1731451764.6244037,3.0
1731451764.6283824,3.0
1731451764.632378,3.0
1731451764.6364708,3.0
1731451764.6402404,3.0
1731451764.6433272,3.0
1731451764.6472318,3.0
1731451764.6514497,3.0
1731451764.655441,3.0
1731451764.6604564,3.0
1731451764.6642528,3.0
1731451764.6684031,3.0
1731451764.6714149,3.0
1731451764.6754696,3.0
1731451764.6793177,3.0
1731451764.6833055,3.0
1731451764.6885855,3.0
1731451764.6924412,3.0
1731451764.6964812,3.0
1731451764.6995003,3.0
1731451764.7033598,3.0
1731451764.7074647,3.0
1731451764.7124724,3.0
1731451764.7165644,3.0
1731451764.7205276,3.0
1731451764.7234168,3.0
1731451764.727711,3.0
1731451764.7314217,3.0
1731451764.7356074,3.0
1731451764.739404,3.0
1731451764.7446113,3.0
1731451764.748466,3.0
1731451764.751564,3.0
1731451764.7555008,3.0
1731451764.759592,3.0
1731451764.765441,3.0
1731451764.7685864,3.0
1731451764.772395,3.0
1731451764.7766356,3.0
1731451764.7796175,3.0
1731451764.7836685,3.0
1731451764.787708,3.0
1731451764.7918005,3.0
1731451764.7957084,3.0
1731451764.8006444,3.0
1731451764.8046384,3.0
1731451764.8076568,3.0
1731451764.811662,3.0
1731451764.8156445,3.0
1731451764.8198133,3.0
1731451764.8235075,3.0
1731451764.8277502,3.0
1731451764.8315463,3.0
1731451764.834698,3.0
1731451764.8395388,3.0
1731451764.8435764,3.0
1731451764.8475523,3.0
1731451764.851741,3.0
1731451764.855569,3.0
1731451764.859733,3.0
1731451764.863704,3.0
1731451764.8677373,3.0
1731451764.87173,3.0
1731451764.8757472,3.0
1731451764.8819904,3.0
1731451764.88477,3.0
1731451764.8878632,3.0
1731451764.8917608,3.0
1731451764.8957777,3.0
1731451764.899848,3.0
1731451764.9038253,3.0
1731451764.9078355,3.0
1731451764.9119048,3.0
1731451764.9157932,3.0
1731451764.9191031,3.0
1731451764.9237,3.0
1731451764.928902,3.0
1731451764.9328587,3.0
1731451764.9368553,3.0
1731451764.939676,3.0
1731451764.9437933,3.0
1731451764.9468744,3.0
1731451764.9508789,3.0
1731451764.955665,3.0
1731451764.9598742,3.0
1731451764.9637077,3.0
1731451764.9668791,3.0
1731451764.9708765,3.0
1731451764.9749472,3.0
1731451764.9789665,3.0
1731451764.9839256,3.0
1731451764.98793,3.0
1731451764.991887,3.0
1731451764.9948902,3.0
1731451764.9989169,3.0
1731451765.002856,3.0
1731451765.0067878,3.0
1731451765.011764,3.0
1731451765.0167816,3.0
1731451765.0207975,3.0
1731451765.023802,3.0
1731451765.0267894,3.0
1731451765.030764,3.0
1731451765.0347958,3.0
1731451765.038778,3.0
1731451765.0438075,3.0
1731451765.0477996,3.0
1731451765.0508428,3.0
1731451765.0547907,3.0
1731451765.0588372,3.0
1731451765.0627997,3.0
1731451765.0668707,3.0
1731451765.0719073,3.0
1731451765.0748508,3.0
1731451765.0790708,3.0
1731451765.0828853,3.0
1731451765.0869093,3.0
1731451765.0909095,3.0
1731451765.094884,3.0
1731451765.1000335,3.0
1731451765.1029303,3.0
1731451765.107015,3.0
1731451765.111055,3.0
1731451765.11492,3.0
1731451765.1191256,3.0
1731451765.1230536,3.0
1731451765.1281717,3.0
1731451765.1309867,3.0
1731451765.1351547,3.0
1731451765.139021,3.0
1731451765.1431184,3.0
1731451765.1470938,3.0
1731451765.1512053,3.0
1731451765.156022,3.0
1731451765.159196,3.0
1731451765.1621935,3.0
1731451765.1672063,3.0
1731451765.1712189,3.0
1731451765.1752007,3.0
1731451765.1791077,3.0
1731451765.1830192,3.0
1731451765.1862662,3.0
1731451765.1911368,3.0
1731451765.195048,3.0
1731451765.1991367,3.0
1731451765.20315,3.0
1731451765.2071965,3.0
1731451765.2113037,3.0
1731451765.2141004,3.0
1731451765.2182865,3.0
1731451765.2230992,3.0
1731451765.2272775,3.0
1731451765.231122,3.0
1731451765.2352636,3.0
1731451765.2391243,3.0
1731451765.2422793,3.0
1731451765.2464108,3.0
1731451765.2513452,3.0
1731451765.2552843,3.0
1731451765.2603705,3.0
1731451765.263369,3.0
1731451765.267426,3.0
1731451765.2714863,3.0
1731451765.2754488,3.0
1731451765.278356,3.0
1731451765.282722,3.0
1731451765.286262,3.0
1731451765.290331,3.0
1731451765.2954664,3.0
1731451765.2994876,3.0
1731451765.3033092,3.0
1731451765.3063807,3.0
1731451765.3104312,3.0
1731451765.3142412,3.0
1731451765.318426,3.0
1731451765.3232577,3.0
1731451765.3273818,3.0
1731451765.3312595,3.0
1731451765.334407,3.0
1731451765.3385427,3.0
1731451765.3424568,3.0
1731451765.3465738,3.0
1731451765.3514786,3.0
1731451765.355389,3.0
1731451765.3594837,3.0
1731451765.3628209,3.0
1731451765.366588,3.0
1731451765.3706012,3.0
1731451765.3745856,3.0
1731451765.3786275,3.0
1731451765.3835728,3.0
1731451765.387535,3.0
1731451765.390443,3.0
1731451765.3946557,3.0
1731451765.3983808,3.0
1731451765.4026048,3.0
1731451765.406417,3.0
1731451765.4116776,3.0
1731451765.414434,3.0
1731451765.4185953,3.0
1731451765.4226642,3.0
1731451765.4267137,3.0
1731451765.4304495,3.0
1731451765.4346464,3.0
1731451765.4395,3.0
1731451765.4426644,3.0
1731451765.446616,3.0
1731451765.45064,3.0
1731451765.4546363,3.0
1731451765.4586756,3.0
1731451765.46278,3.0
1731451765.4676852,3.0
1731451765.4706612,3.0
1731451765.4746633,3.0
1731451765.4796636,3.0
1731451765.4826367,3.0
1731451765.486684,3.0
1731451765.492741,3.0
1731451765.495727,3.0
1731451765.499725,3.0
1731451765.5027733,3.0
1731451765.506595,3.0
1731451765.510733,3.0
1731451765.514511,3.0
1731451765.5188277,3.0
1731451765.5227163,3.0
1731451765.5257816,3.0
1731451765.5297754,3.0
1731451765.5347729,3.0
1731451765.538537,3.0
1731451765.542775,3.0
1731451765.5467868,3.0
1731451765.5498044,3.0
1731451765.5538535,3.0
1731451765.5578473,3.0
1731451765.5628526,3.0
1731451765.5667827,3.0
1731451765.5707915,3.0
1731451765.5749009,3.0
1731451765.578893,3.0
1731451765.5816529,3.0
1731451765.5857368,3.0
1731451765.5906875,3.0
1731451765.594806,3.0
1731451765.5987833,3.0
1731451765.6028345,3.0
1731451765.6056871,3.0
1731451765.6098297,3.0
1731451765.6138065,3.0
1731451765.617901,3.0
1731451765.6227052,3.0
1731451765.6268487,3.0
1731451765.6298332,3.0
1731451765.6338437,3.0
1731451765.6377213,3.0
1731451765.641916,3.0
1731451765.6459618,3.0
1731451765.6509247,3.0
1731451765.6549487,3.0
1731451765.6579683,3.0
1731451765.6620548,3.0
1731451765.6657982,3.0
1731451765.669934,3.0
1731451765.6737735,3.0
1731451765.679021,3.0
1731451765.682865,3.0
1731451765.6859405,3.0
1731451765.6898172,3.0
1731451765.6940148,3.0
1731451765.697896,3.0
1731451765.7020502,3.0
1731451765.7058492,3.0
1731451765.711092,3.0
1731451765.7139273,3.0
1731451765.718063,3.0
1731451765.721882,3.0
1731451765.725978,3.0
1731451765.7319856,3.0
1731451765.7360916,3.0
1731451765.7390451,3.0
1731451765.7429223,3.0
1731451765.746003,3.0
1731451765.7500713,3.0
1731451765.753903,3.0
1731451765.7579565,3.0
1731451765.762054,3.0
1731451765.7660923,3.0
1731451765.769158,3.0
1731451765.774052,3.0
1731451765.778123,3.0
1731451765.7820396,3.0
1731451765.7862122,3.0
1731451765.7900035,3.0
1731451765.7940445,3.0
1731451765.7992053,3.0
1731451765.8020654,3.0
1731451765.8060772,3.0
1731451765.8101442,3.0
1731451765.8161535,3.0
1731451765.819178,3.0
1731451765.822046,3.0
1731451765.8250625,3.0
1731451765.8291206,3.0
1731451765.8340952,3.0
1731451765.8381257,3.0
1731451765.8420951,3.0
1731451765.8461013,3.0
1731451765.8492155,3.0
1731451765.853146,3.0
1731451765.8571603,3.0
1731451765.8620992,3.0
1731451765.8664007,3.0
1731451765.8703208,3.0
1731451765.8731167,3.0
1731451765.8783636,3.0
1731451765.8811677,3.0
1731451765.885367,3.0
1731451765.8902535,3.0
1731451765.8943343,3.0
1731451765.8981876,3.0
1731451765.901325,3.0
1731451765.9051647,3.0
1731451765.9095457,3.0
1731451765.9133365,3.0
1731451765.917532,3.0
1731451765.9222543,3.0
1731451765.926438,3.0
1731451765.9294624,3.0
1731451765.933417,3.0
1731451765.9373877,3.0
1731451765.941448,3.0
1731451765.945484,3.0
1731451765.950482,3.0
1731451765.9543202,3.0
1731451765.957353,3.0
1731451765.9614656,3.0
1731451765.965432,3.0
1731451765.9695833,3.0
1731451765.9733176,3.0
1731451765.9785626,3.0
1731451765.9813297,3.0
1731451765.9855049,3.0
1731451765.9893503,3.0
1731451765.993554,3.0
1731451765.997342,3.0
1731451766.0015235,3.0
1731451766.0063407,3.0
1731451766.009596,3.0
1731451766.0125728,3.0
1731451766.017658,3.0
1731451766.0216467,3.0
1731451766.0256324,3.0
1731451766.0295186,3.0
1731451766.0346007,3.0
1731451766.0375962,3.0
1731451766.0405436,3.0
1731451766.0456471,3.0
1731451766.049578,3.0
1731451766.0534768,3.0
1731451766.057663,3.0
1731451766.0626483,3.0
1731451766.0656333,3.0
1731451766.0686164,3.0
1731451766.0734365,3.0
1731451766.0776284,3.0
1731451766.0817015,3.0
1731451766.085716,3.0
1731451766.088454,3.0
1731451766.0927591,3.0
1731451766.096737,3.0
1731451766.10172,3.0
1731451766.105479,3.0
1731451766.10977,3.0
1731451766.1134856,3.0
1731451766.1166942,3.0
1731451766.12071,3.0
1731451766.1247056,3.0
1731451766.128715,3.0
1731451766.133706,3.0
1731451766.1385238,3.0
1731451766.1428945,3.0
1731451766.145748,3.0
1731451766.148744,3.0
1731451766.1526985,3.0
1731451766.1578093,3.0
1731451766.1618152,3.0
1731451766.165733,3.0
1731451766.1697533,3.0
1731451766.172712,3.0
1731451766.1768205,3.0
1731451766.1806836,3.0
1731451766.184982,3.0
1731451766.1896632,3.0
1731451766.1938088,3.0
1731451766.1977065,3.0
1731451766.201821,3.0
1731451766.2048695,3.0
1731451766.210878,3.0
1731451766.2137935,3.0
1731451766.2179136,3.0
1731451766.2217011,3.0
1731451766.225957,3.0
1731451766.2291193,3.0
1731451766.232702,3.0
1731451766.23701,3.0
1731451766.2411215,3.0
1731451766.24507,3.0
1731451766.2499113,3.0
1731451766.2528725,3.0
1731451766.256902,3.0
1731451766.2609236,3.0
1731451766.264948,3.0
1731451766.2689586,3.0
1731451766.2727497,3.0
1731451766.2779727,3.0
1731451766.280797,3.0
1731451766.2860205,3.0
1731451766.2899816,3.0
1731451766.2928925,3.0
1731451766.2968023,3.0
1731451766.3011415,3.0
1731451766.305894,3.0
1731451766.3091755,3.0
1731451766.3128655,3.0
1731451766.3171887,3.0
1731451766.3211842,3.0
1731451766.3250225,3.0
1731451766.3291368,3.0
1731451766.3330264,3.0
1731451766.3361912,3.0
1731451766.3412523,3.0
1731451766.3452072,3.0
1731451766.3492951,3.0
1731451766.3530433,3.0
1731451766.3569582,3.0
1731451766.3602848,3.0
1731451766.3639407,3.0
1731451766.3702586,3.0
1731451766.373032,3.0
1731451766.3773544,3.0
