Fp1,C3,time_board
-256.3298054134614,254.5640176014921,1730245660.2368193
-274.27825621107297,212.92271768125508,1730245660.2397685
-278.212163235207,161.20078101167454,1730245660.243622
-243.5893110739364,194.6389907168139,1730245660.247764
-228.1889591442298,248.7525640431123,1730245660.2517684
-272.6242271213802,215.8954996938109,1730245660.255643
-288.65042789583543,146.31451920444005,1730245660.2596965
-268.9361892862546,163.25714150156278,1730245660.263879
-246.96442448668773,224.6573835202913,1730245660.2668822
-266.05281425152,208.72058972365733,1730245660.271962
-294.6406954098577,135.18335046569712,1730245660.2758582
-268.2209334636848,146.06865001543164,1730245660.2798045
-244.5504360855145,211.20163335819643,1730245660.2838714
-261.3142444269949,219.7847032290344,1730245660.2879465
-280.2014684917293,152.97533905212154,1730245660.2918663
-269.38322417536074,121.32526890340674,1730245660.2949088
-242.5387790845369,216.2307758606405,1730245660.299892
-255.59219784643625,239.90127323881072,1730245660.3038766
-277.2063347347182,155.7693071090349,1730245660.3079116
-299.5133757011146,132.6128998533368,1730245660.3119423
-252.39589838932736,200.1151681083641,1730245660.3158934
-263.8846950393552,233.3298603689504,1730245660.3199158
-289.99153256315384,163.57006592393708,1730245660.3249073
-283.2860092265617,135.51862663252672,1730245660.3279448
-254.8992937683217,203.64674373230264,1730245660.3319592
-246.5173895975816,249.2219506766737,1730245660.3358147
-271.05960500950874,191.35328428188376,1730245660.3397925
-280.4920411696483,125.84032128337876,1730245660.3439837
-252.6194158338804,162.51953393453766,1730245660.3479524
-248.17141868727435,223.4950928086153,1730245660.3509889
-273.2947794550395,201.2774588200401,1730245660.3559413
-280.8943725698439,136.993841766577,1730245660.3609116
-256.1062879689083,144.19110348118585,1730245660.3640933
-238.13548542684143,219.3376683399282,1730245660.3678906
-269.4279276642713,212.0957031364088,1730245660.3709786
-282.9507330597321,120.09592295836484,1730245660.3750231
-271.9313230432657,145.2863389594959,1730245660.3790572
-248.8419710209336,216.27547934955115,1730245660.3830976
-253.4464303787268,221.48343580763768,1730245660.3880243
-285.4094249498159,149.15319075026403,1730245660.392063
-284.5377069160589,125.84032128337876,1730245660.3960772
-254.407555390305,190.95095288168824,1730245660.3989708
-263.6164741058915,217.25895610558464,1730245660.4030795
-290.39386396334936,151.6565861292584,1730245660.4070551
-275.14997424482993,116.36318163432855,1730245660.410885
-238.13548542684143,195.89068840631109,1730245660.4159436
-239.0742586939644,235.9226627257661,1730245660.419918
-274.6805876112685,163.637121157303,1730245660.424003
-264.7117095842016,117.14549269026432,1730245660.426968
-213.21329035917407,176.77994689702356,1730245660.4311333
-240.97415697266544,230.5805958009477,1730245660.434945
-265.8516485514222,179.1045283203755,1730245660.4391065
-274.0547387665199,90.61397202181485,1730245660.4440246
-246.8303140199559,123.94042300467768,1730245660.448612
-221.34932534090584,237.46493309318225,1730245660.452109
-254.0722792234754,205.6136972443697,1730245660.4551637
-273.51829689959254,129.3942486517726,1730245660.4591975
-240.92945348375483,137.6643941002362,1730245660.4632409
-210.1063978798864,225.77497074305663,1730245660.4672172
-227.85368297740013,219.7847032290344,1730245660.4722328
-252.99939548962064,144.0346412699987,1730245660.4760308
-239.0742586939644,145.06282151494284,1730245660.480223
-206.5301187670373,211.2239851026517,1730245660.4832232
-213.6603252482802,223.27157536406224,1730245660.487196
-250.71951755517927,163.74887987957953,1730245660.4911888
-230.7594097565901,135.65273709925856,1730245660.4952383
-192.7614441825681,204.13848211031944,1730245660.4992836
-226.73609575463485,244.6174913188805,1730245660.5042365
-255.9945292466318,182.0326068440207,1730245660.5072184
-255.79336354653404,129.34954516286197,1730245660.5111983
-209.9052321797886,183.1725458112413,1730245660.5152087
-192.0685401044536,252.1053257114084,1730245660.519101
-240.4824185946487,196.6506477177916,1730245660.5232415
-256.57567460246975,144.3028622034624,1730245660.5270922
-208.63118274583613,182.054958588476,1730245660.5323472
-190.2356970591184,253.82641003446705,1730245660.5351388
-230.4688370786712,227.16077889928567,1730245660.539313
-243.6116628183917,160.4631734446494,1730245660.5431736
-220.47760730714887,178.41162424226098,1730245660.547335
-198.17056634075243,244.2598634075956,1730245660.5511615
-209.7487699686015,218.08597065043105,1730245660.555296
-210.4640257911713,176.5340777080152,1730245660.5601327
-189.69925519219103,176.62348468583642,1730245660.5633152
-172.30959800596216,248.57375008746985,1730245660.5662243
-172.60017068388115,263.3259014279725,1730245660.5716052
-204.83138618843392,186.03356910152067,1730245660.575251
-199.62342973034737,178.5010312200822,1730245660.57931
-170.0297200715208,251.47947686665967,1730245660.5834787
-170.0297200715208,280.38028244737177,1730245660.5883408
-204.89844142179984,213.3921043148165,1730245660.591293
-190.861545903867,163.6818246462136,1730245660.5943756
-172.26489451705154,223.9644794421768,1730245660.599389
-179.39510099829448,276.7369481011568,1730245660.6033804
-196.94122039571053,198.95287739668817,1730245660.6074195
-217.34836308340587,155.00934779755448,1730245660.6112916
-176.13174630781964,206.1948426002077,1730245660.6142664
-159.01031005505445,273.49594515513724,1730245660.6182115
