time_board,marker
1730410132.803476,3.0
1730410132.8085997,3.0
1730410132.8127437,3.0
1730410132.8167813,3.0
1730410132.8195915,3.0
1730410132.82363,3.0
1730410132.8275552,3.0
1730410132.8320012,3.0
1730410132.836601,3.0
1730410132.8407333,3.0
1730410132.844643,3.0
1730410132.847653,3.0
1730410132.8514695,3.0
1730410132.8557403,3.0
1730410132.8595865,3.0
1730410132.8637123,3.0
1730410132.8685184,3.0
1730410132.87177,3.0
1730410132.8755212,3.0
1730410132.8800936,3.0
1730410132.8835647,3.0
1730410132.8882966,3.0
1730410132.8925683,3.0
1730410132.8972714,3.0
1730410132.8998032,3.0
1730410132.903682,3.0
1730410132.9078128,3.0
1730410132.9117424,3.0
1730410132.9157512,3.0
1730410132.9207387,3.0
1730410132.924749,3.0
1730410132.9276783,3.0
1730410132.9316814,3.0
1730410132.9357328,3.0
1730410132.9397943,3.0
1730410132.943642,3.0
1730410132.9477563,3.0
1730410132.952704,3.0
1730410132.955932,3.0
1730410132.9596934,3.0
1730410132.963869,3.0
1730410132.9677775,3.0
1730410132.971894,3.0
1730410132.975742,3.0
1730410132.9798758,3.0
1730410132.9833455,3.0
1730410132.988286,3.0
1730410132.9918892,3.0
1730410132.99599,3.0
1730410132.9999168,3.0
1730410133.0041327,3.0
1730410133.008348,3.0
1730410133.010952,3.0
1730410133.0158403,3.0
1730410133.0199912,3.0
1730410133.0239472,3.0
1730410133.027912,3.0
1730410133.0318449,3.0
1730410133.0358636,3.0
1730410133.0391753,3.0
1730410133.0438428,3.0
1730410133.0479577,3.0
1730410133.0518775,3.0
1730410133.0561397,3.0
1730410133.0598552,3.0
1730410133.063798,3.0
1730410133.0668085,3.0
1730410133.0715325,3.0
1730410133.0758665,3.0
1730410133.0803547,3.0
1730410133.0838015,3.0
1730410133.08861,3.0
1730410133.0919404,3.0
1730410133.095018,3.0
1730410133.0991511,3.0
1730410133.103964,3.0
1730410133.1082716,3.0
1730410133.1119835,3.0
1730410133.1166131,3.0
1730410133.119032,3.0
1730410133.1235552,3.0
1730410133.1270113,3.0
1730410133.1322787,3.0
1730410133.1360445,3.0
1730410133.1405096,3.0
1730410133.1430292,3.0
1730410133.1471665,3.0
1730410133.150907,3.0
1730410133.155626,3.0
1730410133.1599967,3.0
1730410133.16408,3.0
1730410133.1680312,3.0
1730410133.1716292,3.0
1730410133.1752057,3.0
1730410133.179297,3.0
1730410133.1832533,3.0
1730410133.1885955,3.0
1730410133.1920657,3.0
1730410133.196604,3.0
1730410133.1992495,3.0
1730410133.203032,3.0
1730410133.2071288,3.0
1730410133.2111747,3.0
1730410133.2153835,3.0
1730410133.220042,3.0
1730410133.223487,3.0
1730410133.2270317,3.0
1730410133.2312677,3.0
1730410133.2351627,3.0
1730410133.2393825,3.0
1730410133.2430549,3.0
1730410133.24847,3.0
1730410133.2511325,3.0
1730410133.255627,3.0
1730410133.2590892,3.0
1730410133.2635589,3.0
1730410133.2671704,3.0
1730410133.2718618,3.0
1730410133.2761695,3.0
1730410133.2794237,3.0
1730410133.2823627,3.0
1730410133.287387,3.0
1730410133.2915518,3.0
1730410133.295452,3.0
1730410133.2997189,3.0
1730410133.3043215,3.0
1730410133.307732,3.0
1730410133.3113143,3.0
1730410133.31529,3.0
1730410133.3192954,3.0
1730410133.3232672,3.0
1730410133.3273249,3.0
1730410133.3313203,3.0
1730410133.3341355,3.0
1730410133.3383768,3.0
1730410133.3432124,3.0
1730410133.3477943,3.0
1730410133.3512638,3.0
1730410133.355811,3.0
1730410133.359484,3.0
1730410133.3625653,3.0
1730410133.3665116,3.0
1730410133.3704016,3.0
1730410133.3753378,3.0
1730410133.3799973,3.0
1730410133.3834057,3.0
1730410133.386417,3.0
1730410133.3905609,3.0
1730410133.3943884,3.0
1730410133.3987815,3.0
1730410133.404627,3.0
1730410133.407843,3.0
1730410133.4113228,3.0
1730410133.4146447,3.0
1730410133.418409,3.0
1730410133.4226732,3.0
1730410133.426338,3.0
1730410133.4316044,3.0
1730410133.4353385,3.0
1730410133.4399505,3.0
1730410133.4423175,3.0
1730410133.4470036,3.0
1730410133.4503815,3.0
1730410133.454714,3.0
1730410133.4594991,3.0
1730410133.463621,3.0
1730410133.466792,3.0
1730410133.4707172,3.0
1730410133.474887,3.0
1730410133.4786088,3.0
1730410133.4825628,3.0
1730410133.4866672,3.0
1730410133.4917889,3.0
1730410133.4945936,3.0
1730410133.4987493,3.0
1730410133.502554,3.0
1730410133.5069413,3.0
1730410133.5105274,3.0
1730410133.5148263,3.0
1730410133.5196314,3.0
1730410133.5227733,3.0
1730410133.5264611,3.0
1730410133.5308027,3.0
1730410133.5345123,3.0
1730410133.538877,3.0
1730410133.5425105,3.0
1730410133.54786,3.0
1730410133.550554,3.0
1730410133.555289,3.0
1730410133.5585775,3.0
1730410133.5632164,3.0
1730410133.566748,3.0
1730410133.5708697,3.0
1730410133.575646,3.0
1730410133.578833,3.0
1730410133.582831,3.0
1730410133.5866292,3.0
1730410133.5907574,3.0
1730410133.5947318,3.0
1730410133.5988088,3.0
1730410133.602707,3.0
1730410133.6058135,3.0
1730410133.610692,3.0
1730410133.615016,3.0
1730410133.618632,3.0
1730410133.6229124,3.0
1730410133.6267548,3.0
1730410133.6310372,3.0
1730410133.633654,3.0
1730410133.6380088,3.0
1730410133.6429155,3.0
1730410133.647112,3.0
1730410133.6507125,3.0
1730410133.6549077,3.0
1730410133.6586473,3.0
1730410133.661854,3.0
1730410133.6662624,3.0
1730410133.6712902,3.0
1730410133.6751351,3.0
1730410133.679077,3.0
1730410133.6820912,3.0
1730410133.685884,3.0
1730410133.690326,3.0
1730410133.69382,3.0
1730410133.6993248,3.0
1730410133.7029228,3.0
1730410133.707111,3.0
1730410133.709866,3.0
1730410133.7138095,3.0
1730410133.7178288,3.0
1730410133.722038,3.0
1730410133.7258215,3.0
1730410133.7313423,3.0
1730410133.7347765,3.0
1730410133.7385197,3.0
1730410133.7418716,3.0
1730410133.7465153,3.0
1730410133.7498825,3.0
1730410133.7538922,3.0
1730410133.7588515,3.0
1730410133.763435,3.0
1730410133.766446,3.0
1730410133.7700028,3.0
1730410133.7740316,3.0
1730410133.7779784,3.0
1730410133.782076,3.0
1730410133.7871556,3.0
1730410133.7903793,3.0
1730410133.7939944,3.0
1730410133.7980568,3.0
1730410133.801865,3.0
1730410133.8061318,3.0
1730410133.8099267,3.0
1730410133.8150997,3.0
1730410133.8178947,3.0
1730410133.8219953,3.0
1730410133.825902,3.0
1730410133.8300478,3.0
1730410133.833923,3.0
1730410133.8381555,3.0
1730410133.8431585,3.0
1730410133.8461528,3.0
1730410133.8491812,3.0
1730410133.854066,3.0
1730410133.8581817,3.0
1730410133.8621907,3.0
1730410133.8661833,3.0
1730410133.8712182,3.0
1730410133.874133,3.0
1730410133.877228,3.0
1730410133.8822055,3.0
1730410133.88615,3.0
1730410133.8901403,3.0
1730410133.894116,3.0
1730410133.898142,3.0
1730410133.902142,3.0
1730410133.9049966,3.0
1730410133.909979,3.0
1730410133.9140394,3.0
1730410133.9179995,3.0
1730410133.92198,3.0
1730410133.9261036,3.0
1730410133.929128,3.0
1730410133.9330273,3.0
1730410133.938022,3.0
1730410133.9421103,3.0
1730410133.9462757,3.0
1730410133.9500513,3.0
1730410133.953116,3.0
1730410133.9570837,3.0
1730410133.961102,3.0
1730410133.9650817,3.0
1730410133.9711337,3.0
1730410133.9740934,3.0
1730410133.9772167,3.0
1730410133.9821467,3.0
1730410133.9861329,3.0
1730410133.9901323,3.0
1730410133.993127,3.0
1730410133.997128,3.0
1730410134.0012505,3.0
1730410134.0051534,3.0
1730410134.010147,3.0
1730410134.0141745,3.0
1730410134.0182872,3.0
1730410134.0212088,3.0
1730410134.025205,3.0
1730410134.0294354,3.0
1730410134.0331984,3.0
1730410134.0372047,3.0
1730410134.0422103,3.0
1730410134.0462344,3.0
1730410134.049359,3.0
1730410134.053233,3.0
1730410134.057269,3.0
1730410134.0612724,3.0
1730410134.0652735,3.0
1730410134.070292,3.0
1730410134.0742795,3.0
1730410134.077499,3.0
1730410134.081302,3.0
1730410134.0852916,3.0
1730410134.0894165,3.0
1730410134.0933156,3.0
1730410134.098344,3.0
1730410134.101449,3.0
1730410134.1053252,3.0
1730410134.109332,3.0
1730410134.1134796,3.0
1730410134.1173406,3.0
1730410134.1213348,3.0
1730410134.1264553,3.0
1730410134.1293976,3.0
1730410134.1323748,3.0
1730410134.1373787,3.0
1730410134.1414435,3.0
1730410134.1453855,3.0
1730410134.1494,3.0
1730410134.1544473,3.0
1730410134.157652,3.0
1730410134.1606176,3.0
1730410134.1658845,3.0
1730410134.169628,3.0
1730410134.173628,3.0
1730410134.17805,3.0
1730410134.181857,3.0
1730410134.1856718,3.0
1730410134.1887894,3.0
1730410134.1937232,3.0
1730410134.1980493,3.0
1730410134.2016344,3.0
1730410134.2061388,3.0
1730410134.2086432,3.0
1730410134.2133803,3.0
1730410134.2166443,3.0
1730410134.2211576,3.0
1730410134.2256477,3.0
1730410134.230172,3.0
1730410134.2336729,3.0
1730410134.2370608,3.0
1730410134.2412393,3.0
1730410134.2454102,3.0
1730410134.24921,3.0
1730410134.2537262,3.0
1730410134.257995,3.0
1730410134.2621567,3.0
1730410134.2653356,3.0
1730410134.268874,3.0
1730410134.2735252,3.0
1730410134.2769032,3.0
1730410134.2819536,3.0
1730410134.28597,3.0
1730410134.2899742,3.0
1730410134.2930372,3.0
1730410134.2969255,3.0
1730410134.300779,3.0
1730410134.3049924,3.0
1730410134.309934,3.0
1730410134.3137777,3.0
1730410134.3167827,3.0
