time_board,marker
1730243720.2583473,3.0
1730243720.2614892,3.0
1730243720.264218,3.0
1730243720.26939,3.0
1730243720.2732885,3.0
1730243720.2773652,3.0
1730243720.2813053,3.0
1730243720.2863705,3.0
1730243720.2892072,3.0
1730243720.2923532,3.0
1730243720.2972293,3.0
1730243720.30152,3.0
1730243720.3051808,3.0
1730243720.309238,3.0
1730243720.31343,3.0
1730243720.316367,3.0
1730243720.320365,3.0
1730243720.3253157,3.0
1730243720.32934,3.0
1730243720.3333192,3.0
1730243720.3374407,3.0
1730243720.341431,3.0
1730243720.3454263,3.0
1730243720.348373,3.0
1730243720.353479,3.0
1730243720.357466,3.0
1730243720.36246,3.0
1730243720.3674889,3.0
1730243720.370472,3.0
1730243720.3735468,3.0
1730243720.3764796,3.0
1730243720.3803072,3.0
1730243720.3855176,3.0
1730243720.3893912,3.0
1730243720.3935587,3.0
1730243720.3963633,3.0
1730243720.400642,3.0
1730243720.404647,3.0
1730243720.408569,3.0
1730243720.4134176,3.0
1730243720.4175775,3.0
1730243720.4215946,3.0
1730243720.424615,3.0
1730243720.4286044,3.0
1730243720.432607,3.0
1730243720.4366074,3.0
1730243720.4416468,3.0
1730243720.4456246,3.0
1730243720.4486356,3.0
1730243720.452626,3.0
1730243720.4565616,3.0
1730243720.4606383,3.0
1730243720.46456,3.0
1730243720.4696465,3.0
1730243720.4736643,3.0
1730243720.476576,3.0
1730243720.4805295,3.0
1730243720.4846282,3.0
1730243720.4885194,3.0
1730243720.492606,3.0
1730243720.4965613,3.0
1730243720.5017214,3.0
1730243720.5055487,3.0
1730243720.5085447,3.0
1730243720.5126183,3.0
1730243720.516772,3.0
1730243720.5225968,3.0
1730243720.5256047,3.0
1730243720.530574,3.0
1730243720.5335631,3.0
1730243720.5377655,3.0
1730243720.5406082,3.0
1730243720.5446076,3.0
1730243720.5486171,3.0
1730243720.55265,3.0
1730243720.5567064,3.0
1730243720.5596983,3.0
1730243720.5646317,3.0
1730243720.5686257,3.0
1730243720.5727336,3.0
1730243720.5767395,3.0
1730243720.5806758,3.0
1730243720.5847416,3.0
1730243720.587758,3.0
1730243720.5916948,3.0
1730243720.5967116,3.0
1730243720.6007097,3.0
1730243720.604707,3.0
1730243720.6087875,3.0
1730243720.6127417,3.0
1730243720.6156871,3.0
1730243720.61982,3.0
1730243720.6247892,3.0
1730243720.628824,3.0
1730243720.632748,3.0
1730243720.6368058,3.0
1730243720.6407695,3.0
1730243720.643752,3.0
1730243720.647777,3.0
1730243720.6527889,3.0
1730243720.656837,3.0
1730243720.660792,3.0
1730243720.6669073,3.0
1730243720.669785,3.0
1730243720.6728065,3.0
1730243720.6768415,3.0
1730243720.6798682,3.0
1730243720.684844,3.0
1730243720.688841,3.0
1730243720.6918526,3.0
1730243720.6959467,3.0
1730243720.6998856,3.0
1730243720.7039497,3.0
1730243720.7078836,3.0
1730243720.7129147,3.0
1730243720.71707,3.0
1730243720.7200053,3.0
1730243720.7240796,3.0
1730243720.7279234,3.0
1730243720.733952,3.0
1730243720.737048,3.0
1730243720.7410643,3.0
1730243720.7450862,3.0
1730243720.74812,3.0
1730243720.7521336,3.0
1730243720.7560258,3.0
1730243720.7621028,3.0
1730243720.7660613,3.0
1730243720.769036,3.0
1730243720.7740843,3.0
1730243720.7773824,3.0
1730243720.7810547,3.0
1730243720.7842624,3.0
1730243720.7881043,3.0
1730243720.792154,3.0
1730243720.7961557,3.0
1730243720.8003263,3.0
1730243720.8032076,3.0
1730243720.8082204,3.0
1730243720.8122125,3.0
1730243720.816152,3.0
1730243720.8201475,3.0
1730243720.8252106,3.0
1730243720.8282535,3.0
1730243720.8311665,3.0
1730243720.8363435,3.0
1730243720.84032,3.0
1730243720.8443573,3.0
1730243720.8482535,3.0
1730243720.852344,3.0
1730243720.8561833,3.0
1730243720.8593569,3.0
1730243720.8641975,3.0
1730243720.8682733,3.0
1730243720.8721807,3.0
1730243720.8763576,3.0
1730243720.8801908,3.0
1730243720.884352,3.0
1730243720.8871968,3.0
1730243720.8913977,3.0
1730243720.8964012,3.0
1730243720.9004009,3.0
1730243720.9044387,3.0
1730243720.9074538,3.0
1730243720.9114013,3.0
1730243720.917405,3.0
1730243720.9214692,3.0
1730243720.9244604,3.0
1730243720.929422,3.0
1730243720.9343624,3.0
1730243720.937474,3.0
1730243720.940455,3.0
1730243720.9434626,3.0
1730243720.9472911,3.0
1730243720.9524505,3.0
1730243720.956401,3.0
1730243720.9605153,3.0
1730243720.9634185,3.0
1730243720.9675248,3.0
1730243720.971473,3.0
1730243720.9755063,3.0
1730243720.980363,3.0
1730243720.9844844,3.0
1730243720.9884107,3.0
1730243720.9915893,3.0
1730243720.9955764,3.0
1730243720.9994872,3.0
1730243721.00361,3.0
1730243721.0074437,3.0
1730243721.012516,3.0
1730243721.016628,3.0
1730243721.0194938,3.0
1730243721.0235305,3.0
1730243721.0275457,3.0
1730243721.0315392,3.0
1730243721.035498,3.0
1730243721.0407352,3.0
1730243721.0436816,3.0
1730243721.0475464,3.0
