time_board,marker
1730987828.8242292,3.0
1730987828.82931,3.0
1730987828.8332217,3.0
1730987828.8372407,3.0
1730987828.8413837,3.0
1730987828.8442836,3.0
1730987828.8482673,3.0
1730987828.8522809,3.0
1730987828.8563583,3.0
1730987828.8613024,3.0
1730987828.865354,3.0
1730987828.8694232,3.0
1730987828.872409,3.0
1730987828.876326,3.0
1730987828.8805408,3.0
1730987828.8846147,3.0
1730987828.8894272,3.0
1730987828.8933425,3.0
1730987828.8973813,3.0
1730987828.900364,3.0
1730987828.9043815,3.0
1730987828.9084144,3.0
1730987828.9123554,3.0
1730987828.9174042,3.0
1730987828.9214103,3.0
1730987828.9254515,3.0
1730987828.9283996,3.0
1730987828.9324296,3.0
1730987828.936416,3.0
1730987828.940434,3.0
1730987828.944456,3.0
1730987828.9494588,3.0
1730987828.9524336,3.0
1730987828.956424,3.0
1730987828.9604616,3.0
1730987828.964459,3.0
1730987828.968514,3.0
1730987828.972472,3.0
1730987828.9775035,3.0
1730987828.9805095,3.0
1730987828.984547,3.0
1730987828.988547,3.0
1730987828.9924972,3.0
1730987828.9965396,3.0
1730987829.0005949,3.0
1730987829.0055895,3.0
1730987829.008571,3.0
1730987829.0115876,3.0
1730987829.016677,3.0
1730987829.0206425,3.0
1730987829.0245922,3.0
1730987829.0285764,3.0
1730987829.0336032,3.0
1730987829.0365903,3.0
1730987829.0406032,3.0
1730987829.0446117,3.0
1730987829.0490267,3.0
1730987829.0526135,3.0
1730987829.0566204,3.0
1730987829.0616136,3.0
1730987829.0646544,3.0
1730987829.067634,3.0
1730987829.0726604,3.0
1730987829.0766487,3.0
1730987829.0806768,3.0
1730987829.0846653,3.0
1730987829.088653,3.0
1730987829.09174,3.0
1730987829.0956693,3.0
1730987829.1007032,3.0
1730987829.104722,3.0
1730987829.1087718,3.0
1730987829.112756,3.0
1730987829.1167352,3.0
1730987829.1197815,3.0
1730987829.1237807,3.0
1730987829.1277907,3.0
1730987829.1327507,3.0
1730987829.1368108,3.0
1730987829.140762,3.0
1730987829.143767,3.0
1730987829.1477828,3.0
1730987829.1519735,3.0
1730987829.156844,3.0
1730987829.1608112,3.0
1730987829.1649249,3.0
1730987829.1689205,3.0
1730987829.1721249,3.0
1730987829.1759565,3.0
1730987829.1799564,3.0
1730987829.1839612,3.0
1730987829.1879852,3.0
1730987829.1929524,3.0
1730987829.1969752,3.0
1730987829.199987,3.0
1730987829.2039964,3.0
1730987829.207948,3.0
1730987829.2122242,3.0
1730987829.2170236,3.0
1730987829.2209022,3.0
1730987829.2250476,3.0
1730987829.2280347,3.0
1730987829.232077,3.0
1730987829.2361026,3.0
1730987829.2400055,3.0
1730987829.2440612,3.0
1730987829.2489104,3.0
1730987829.252107,3.0
1730987829.2561717,3.0
1730987829.260177,3.0
1730987829.2641635,3.0
1730987829.2682977,3.0
1730987829.2722456,3.0
1730987829.2772188,3.0
1730987829.2802007,3.0
1730987829.2842236,3.0
1730987829.2882462,3.0
1730987829.2921891,3.0
1730987829.296219,3.0
1730987829.3002598,3.0
1730987829.3052526,3.0
1730987829.308234,3.0
1730987829.3113413,3.0
1730987829.3162508,3.0
1730987829.3202767,3.0
1730987829.3242395,3.0
1730987829.328292,3.0
1730987829.3320758,3.0
1730987829.335301,3.0
1730987829.3402064,3.0
1730987829.344355,3.0
1730987829.3481393,3.0
1730987829.3521583,3.0
1730987829.356182,3.0
1730987829.3604,3.0
1730987829.3634117,3.0
1730987829.367422,3.0
1730987829.3721807,3.0
1730987829.3764212,3.0
1730987829.380531,3.0
1730987829.3845384,3.0
1730987829.3883927,3.0
1730987829.3913343,3.0
1730987829.3954773,3.0
1730987829.4003549,3.0
1730987829.4044194,3.0
1730987829.4083965,3.0
1730987829.4122727,3.0
1730987829.4152834,3.0
1730987829.4194465,3.0
1730987829.4234643,3.0
1730987829.4285345,3.0
1730987829.4322402,3.0
1730987829.4364824,3.0
1730987829.4404109,3.0
1730987829.4433956,3.0
1730987829.4474127,3.0
1730987829.4513865,3.0
1730987829.456175,3.0
1730987829.4603107,3.0
1730987829.464363,3.0
1730987829.467435,3.0
1730987829.471326,3.0
1730987829.4758575,3.0
1730987829.4798317,3.0
