Fp1,C3,time_board
27277.867767556643,26352.84082327376,1730654953.7156982
27306.29918650379,26369.20230021504,1730654953.719627
27300.845360856696,26366.9224222806,1730654953.7235856
27271.72103783143,26356.93119250908,1730654953.7277336
27270.26817444184,26353.466672118506,1730654953.7316127
27260.45575862596,26357.80291054284,1730654953.7356691
27244.362502618136,26355.88066051968,1730654953.7407308
27272.81627330974,26352.95258199604,1730654953.7437506
27293.290471230805,26348.482233104973,1730654953.7476232
27292.06112528576,26357.601744842737,1730654953.7518768
27291.904663074576,26346.247058659443,1730654953.75571
27276.30314544477,26362.00503850044,1730654953.7597787
27274.67146809953,26364.24021294597,1730654953.7638109
27324.538209979324,26366.520090880407,1730654953.766811
27339.4021200421,26351.79029128436,1730654953.7707496
27341.23496308744,26346.78350052637,1730654953.775861
27319.84434364371,26373.11385549472,1730654953.7798245
27274.02326751033,26365.849538546747,1730654953.783903
27246.418863108025,26348.30341914933,1730654953.7878995
27270.78226456431,26338.535706822364,1730654953.7917583
27307.55088419329,26344.1683464251,1730654953.7947571
27274.20208146597,26381.54046315437,1730654953.798867
27278.895947801582,26417.191495560583,1730654953.8037648
27276.52666288932,26374.96905028451,1730654953.8078525
27260.96984874843,26336.09936667673,1730654953.8118343
27295.145666020595,26352.55025059584,1730654953.815828
27281.06406701375,26362.563832111817,1730654953.818918
27269.91054653055,26366.69890483605,1730654953.8227725
27283.902738559573,26377.561852641327,1730654953.8270383
27283.031020525817,26383.84269283327,1730654953.8317845
27291.68114563002,26380.154654998143,1730654953.8359022
27293.46928518645,26350.628000572684,1730654953.8399189
27325.45463150199,26359.389884399163,1730654953.8429291
27331.8025269273,26418.398489761174,1730654953.846898
27271.877500042618,26398.773658129416,1730654953.8510463
27258.712322558444,26354.29368666336,1730654953.8550808
27306.16507603706,26323.15770663711,1730654953.8600998
27339.17860259755,26345.2188784145,1730654953.864072
27307.752049893388,26361.558003611328,1730654953.8679512
27300.77830562333,26411.73766991349,1730654953.8709936
27308.31084350477,26402.68521340909,1730654953.8749936
27299.50425618938,26353.84665177425,1730654953.87896
27288.149570006084,26322.621264770183,1730654953.882979
27301.292395745804,26352.907878507125,1730654953.8880403
27301.091230045706,26363.25673618993,1730654953.8920093
27281.64521236959,26364.575489112794,1730654953.8960009
27303.371107980147,26363.055570489832,1730654953.89896
27296.35266022118,26358.09348322076,1730654953.903036
27277.57719487872,26399.46656220753,1730654953.9069436
27287.7919420948,26405.59094018828,1730654953.9111276
27309.249616771893,26360.26160243292,1730654953.9149823
27334.194163584016,26366.69890483605,1730654953.9199877
27309.003747582883,26394.75034412746,1730654953.922984
27287.45666592797,26388.447152191064,1730654953.9269755
27303.52757019133,26385.004983544943,1730654953.9309716
27311.551846450788,26357.288820420366,1730654953.9349737
27330.774346682352,26360.820396044302,1730654953.9391873
27327.958026880984,26391.1293615257,1730654953.9430308
27289.20010199548,26419.918408384136,1730654953.9480236
27258.108825458152,26391.41993420362,1730654953.9512584
27265.06021798375,26397.387849973187,1730654953.9551003
27291.43527644101,26422.153582829666,1730654953.9592133
27314.144648807604,26373.24796596145,1730654953.963061
27355.584783027745,26335.428814343075,1730654953.9670804
27335.08823336223,26341.463785346008,1730654953.9710257
27279.96883153544,26352.907878507125,1730654953.976132
27285.087381015703,26369.04583800385,1730654953.979113
27290.65296538508,26357.825262287293,1730654953.9822073
27301.35945097917,26365.55896586883,1730654953.9872775
27306.67916615953,26394.54917842736,1730654953.9913096
27330.84140191572,26392.135190026187,1730654953.9951124
27335.82584092925,26382.859216077235,1730654953.9991372
27298.96781432245,26363.592012356763,1730654954.003283
27276.705476844967,26379.1264747532,1730654954.007121
27297.8949305886,26405.903864610656,1730654954.0101166
27305.67333765904,26371.88450954968,1730654954.0151577
27302.342927735204,26372.24213746097,1730654954.0192928
27307.26031151537,26370.40929441563,1730654954.023146
27343.403082299603,26388.20128300205,1730654954.02713
27327.89097164762,26390.2799952364,1730654954.031106
27275.40907566656,26414.0846030813,1730654954.035262
27271.83279655371,26380.668745120616,1730654954.0382507
27294.02807879783,26345.822375514792,1730654954.043258
27302.186465524017,26425.37223403123,1730654954.047356
27294.56452066476,26486.61601383877,1730654954.0512795
27289.82595084023,26431.742481200992,1730654954.055168
27316.55863720878,26375.41608517362,1730654954.0582843
27313.74231740741,26361.04391348885,1730654954.0622773
27283.52275890384,26354.628962830186,1730654954.0662386
27326.95219838049,26367.59297461426,1730654954.0703094
27361.23977437493,26396.35966972824,1730654954.0752685
27335.334102551235,26410.70948966855,1730654954.079332
27272.413941909548,26393.65510864915,1730654954.0833633
27256.119520201628,26385.74259111197,1730654954.0862472
27282.986317036903,26358.965201254512,1730654954.0902307
27300.95711957897,26347.297590648843,1730654954.0942528
27300.063049800763,26372.26448920542,1730654954.0983136
27311.954177850985,26388.93889056908,1730654954.1033587
27311.730660406432,26393.52099818242,1730654954.107323
27324.98524486843,26407.08850706679,1730654954.1113577
27323.085346589727,26427.294484054382,1730654954.1142747
27271.54222387579,26394.057440049342,1730654954.118312
27287.7919420948,26363.949640268045,1730654954.1223507
27315.17282905255,26363.614364101217,1730654954.1263635
27335.31175080678,26401.768791886425,1730654954.1304116
27314.12229706315,26409.256626278955,1730654954.135343
27285.06502927125,26388.49185567997,1730654954.1386807
27283.50040715938,26377.15952124113,1730654954.142488
27298.185503266515,26408.116687311733,1730654954.1468894
27301.135933534617,26399.84654186327,1730654954.152345
27304.95808183648,26366.877718791693,1730654954.1553757
27328.539172236822,26368.28587869237,1730654954.158353
27344.2077451,26382.83686433278,1730654954.1650736
27290.83177934072,26379.215881731023,1730654954.1665845
27258.46645336944,26370.45399790454,1730654954.170416
27288.08251477272,26383.686230622083,1730654954.1744373
27307.70734640448,26404.76392564344,1730654954.1784155
27320.716061677464,26378.67943986409,1730654954.1824064
27282.941613547995,26364.08375073478,1730654954.1874225
27279.857072813164,26371.92921303859,1730654954.191406
27295.81621835425,26385.74259111197,1730654954.1944835
