time_board,marker
1730654853.4156404,3.0
1730654853.4194725,3.0
1730654853.4245331,3.0
1730654853.4274747,3.0
1730654853.4306488,3.0
1730654853.4354348,3.0
1730654853.4396927,3.0
1730654853.443529,3.0
1730654853.4476895,3.0
1730654853.451593,3.0
1730654853.4547997,3.0
1730654853.4586165,3.0
1730654853.4637156,3.0
1730654853.4675136,3.0
1730654853.4716752,3.0
1730654853.475782,3.0
1730654853.4798052,3.0
1730654853.4826255,3.0
1730654853.4865944,3.0
1730654853.4919746,3.0
1730654853.49555,3.0
1730654853.4998107,3.0
1730654853.503584,3.0
1730654853.507861,3.0
1730654853.510731,3.0
1730654853.51489,3.0
1730654853.5187197,3.0
1730654853.5238707,3.0
1730654853.5276067,3.0
1730654853.5308971,3.0
1730654853.5347042,3.0
1730654853.5388803,3.0
1730654853.542914,3.0
1730654853.5466278,3.0
1730654853.5518897,3.0
1730654853.555832,3.0
1730654853.5588984,3.0
1730654853.562723,3.0
1730654853.5670202,3.0
1730654853.5707784,3.0
1730654853.5750525,3.0
1730654853.579964,3.0
1730654853.5839734,3.0
1730654853.5869372,3.0
1730654853.5907123,3.0
1730654853.5947144,3.0
1730654853.5988345,3.0
1730654853.6027272,3.0
1730654853.6078353,3.0
1730654853.6117928,3.0
1730654853.6149707,3.0
1730654853.6187692,3.0
1730654853.623028,3.0
1730654853.627076,3.0
1730654853.6309545,3.0
1730654853.6348968,3.0
1730654853.6400502,3.0
1730654853.6430097,3.0
1730654853.6470654,3.0
1730654853.6510715,3.0
1730654853.655066,3.0
1730654853.6590571,3.0
1730654853.6630323,3.0
1730654853.6669908,3.0
1730654853.670041,3.0
1730654853.6748953,3.0
1730654853.6789453,3.0
1730654853.6829348,3.0
1730654853.6869133,3.0
1730654853.6911232,3.0
1730654853.6959653,3.0
1730654853.6989534,3.0
1730654853.7028515,3.0
1730654853.7070658,3.0
1730654853.7108977,3.0
1730654853.7151244,3.0
1730654853.7198937,3.0
1730654853.7230103,3.0
1730654853.7259884,3.0
1730654853.7309072,3.0
1730654853.734955,3.0
1730654853.7389882,3.0
1730654853.743044,3.0
1730654853.7459688,3.0
1730654853.7499835,3.0
1730654853.754108,3.0
1730654853.7580657,3.0
1730654853.763073,3.0
1730654853.767063,3.0
1730654853.7710552,3.0
1730654853.7739997,3.0
1730654853.7780194,3.0
1730654853.7820604,3.0
1730654853.7859807,3.0
1730654853.7910197,3.0
1730654853.79504,3.0
1730654853.7990766,3.0
1730654853.8020911,3.0
1730654853.8061233,3.0
1730654853.8101485,3.0
1730654853.8140912,3.0
1730654853.8191698,3.0
1730654853.823071,3.0
1730654853.8260577,3.0
1730654853.8300855,3.0
1730654853.8340864,3.0
1730654853.83809,3.0
1730654853.84208,3.0
1730654853.8471303,3.0
1730654853.8511913,3.0
1730654853.8541374,3.0
1730654853.8581257,3.0
1730654853.862138,3.0
1730654853.866115,3.0
1730654853.8701508,3.0
1730654853.8751688,3.0
1730654853.8791907,3.0
1730654853.8821368,3.0
1730654853.886197,3.0
1730654853.8901527,3.0
1730654853.894204,3.0
1730654853.898194,3.0
1730654853.9022136,3.0
1730654853.9072137,3.0
1730654853.9104216,3.0
1730654853.9142542,3.0
1730654853.9182203,3.0
1730654853.9222264,3.0
1730654853.9262495,3.0
1730654853.930302,3.0
1730654853.9342866,3.0
1730654853.9372869,3.0
1730654853.9422455,3.0
1730654853.9462948,3.0
1730654853.950322,3.0
1730654853.9542768,3.0
1730654853.958269,3.0
1730654853.9623926,3.0
1730654853.9654057,3.0
1730654853.969385,3.0
1730654853.9743624,3.0
1730654853.9784951,3.0
1730654853.9823537,3.0
1730654853.9863803,3.0
1730654853.9894032,3.0
1730654853.9933898,3.0
1730654853.99738,3.0
1730654854.0025482,3.0
1730654854.0063412,3.0
1730654854.0108807,3.0
1730654854.0143445,3.0
1730654854.017414,3.0
1730654854.021448,3.0
1730654854.025424,3.0
1730654854.0304437,3.0
1730654854.0344524,3.0
1730654854.0385027,3.0
1730654854.041398,3.0
1730654854.0454865,3.0
1730654854.0494392,3.0
1730654854.053419,3.0
1730654854.0574465,3.0
1730654854.0624216,3.0
1730654854.0665991,3.0
1730654854.0694697,3.0
1730654854.073445,3.0
1730654854.0775192,3.0
1730654854.0814717,3.0
1730654854.0854757,3.0
1730654854.090546,3.0
1730654854.094536,3.0
1730654854.097516,3.0
1730654854.1015456,3.0
1730654854.105575,3.0
1730654854.109553,3.0
1730654854.1135652,3.0
1730654854.1187823,3.0
1730654854.121575,3.0
1730654854.1255956,3.0
1730654854.1296923,3.0
1730654854.1335645,3.0
1730654854.1376452,3.0
1730654854.1417344,3.0
1730654854.1467438,3.0
1730654854.149707,3.0
1730654854.152611,3.0
1730654854.1576471,3.0
1730654854.1616158,3.0
1730654854.1657195,3.0
1730654854.1696925,3.0
1730654854.1746695,3.0
1730654854.177644,3.0
1730654854.180768,3.0
1730654854.18567,3.0
1730654854.1906805,3.0
1730654854.1947064,3.0
1730654854.197745,3.0
1730654854.20271,3.0
1730654854.2057097,3.0
1730654854.2086828,3.0
1730654854.2137487,3.0
1730654854.2177708,3.0
1730654854.2217748,3.0
1730654854.2258012,3.0
1730654854.2297935,3.0
1730654854.2327735,3.0
1730654854.2367527,3.0
1730654854.2417867,3.0
1730654854.2457836,3.0
1730654854.2497935,3.0
1730654854.2539155,3.0
1730654854.257871,3.0
1730654854.2608192,3.0
1730654854.2648916,3.0
1730654854.2698815,3.0
1730654854.2738967,3.0
1730654854.2778232,3.0
1730654854.2818353,3.0
1730654854.284882,3.0
1730654854.288852,3.0
1730654854.2928574,3.0
1730654854.296972,3.0
1730654854.3018482,3.0
1730654854.3059976,3.0
1730654854.309972,3.0
1730654854.3130133,3.0
1730654854.3169868,3.0
1730654854.3210008,3.0
1730654854.32498,3.0
1730654854.330004,3.0
1730654854.3339903,3.0
1730654854.3370037,3.0
1730654854.3410084,3.0
1730654854.344941,3.0
1730654854.3490396,3.0
1730654854.353018,3.0
1730654854.3580382,3.0
1730654854.3620584,3.0
1730654854.3650632,3.0
1730654854.3690612,3.0
1730654854.37311,3.0
1730654854.3769891,3.0
1730654854.3812232,3.0
1730654854.3850594,3.0
1730654854.39008,3.0
1730654854.3930795,3.0
1730654854.3971655,3.0
1730654854.4011674,3.0
1730654854.4052007,3.0
1730654854.4091156,3.0
1730654854.413087,3.0
1730654854.417132,3.0
1730654854.4200845,3.0
1730654854.4241056,3.0
1730654854.4291286,3.0
1730654854.4333096,3.0
1730654854.4373412,3.0
1730654854.4413676,3.0
1730654854.4452329,3.0
1730654854.448276,3.0
1730654854.4522033,3.0
1730654854.4571755,3.0
1730654854.4611316,3.0
1730654854.4652464,3.0
1730654854.4691155,3.0
1730654854.4734018,3.0
1730654854.4763553,3.0
1730654854.481316,3.0
1730654854.4851556,3.0
1730654854.4892435,3.0
1730654854.493312,3.0
1730654854.4972403,3.0
1730654854.501217,3.0
1730654854.504315,3.0
1730654854.5082855,3.0
1730654854.514262,3.0
1730654854.517325,3.0
1730654854.5213346,3.0
1730654854.524333,3.0
1730654854.5282493,3.0
1730654854.532276,3.0
1730654854.5362785,3.0
1730654854.540425,3.0
1730654854.5454755,3.0
1730654854.5494018,3.0
