Fp1,C3,time_board
-12997.271179827594,301.3015152575392,1730329204.7788055
-13123.69264646681,294.953619832232,1730329204.782801
-13059.789009069087,392.6307431019239,1730329204.7868304
-12959.787304376045,433.4897319662252,1730329204.7907498
-12972.639557437846,338.5395215200808,1730329204.7957568
-13043.785160039088,301.2344600241733,1730329204.7987747
-13057.553834623555,355.30332986156105,1730329204.8018565
-12981.7143656867,387.60160059947975,1730329204.80688
-13029.211822654228,333.2198063397177,1730329204.8108957
-13091.550837940078,280.8720208253886,1730329204.8147025
-13049.596613597469,365.7639462666448,1730329204.8189788
-12982.988415120652,398.3304379380272,1730329204.8238554
-12985.737679688656,339.47829478720365,1730329204.826915
-13033.34689537846,295.9147448438102,1730329204.829926
-13096.535276953611,315.8525008979441,1730329204.8347497
-13019.466462071714,427.9688510857644,1730329204.8387544
-13011.822165467998,381.7454435521893,1730329204.843012
-13091.34967223998,294.663047154313,1730329204.8467245
-13069.221445229226,322.7368381901787,1730329204.85192
-13009.586991022468,398.4198449158484,1730329204.8549163
-12964.794095134032,366.1886294112956,1730329204.858413
-13002.277970585585,280.60379989192484,1730329204.8629208
-13035.313848890526,333.6221377399132,1730329204.8667712
-13064.237006215692,403.78426358512206,1730329204.8713603
-12977.13225807336,387.55689711056914,1730329204.8750522
-13059.25256720216,304.63192518138,1730329204.878961
-13098.25636127667,316.8136259095224,1730329204.883156
-13059.766657324632,376.8727632609324,1730329204.8862996
-13004.24492409765,375.57636208252455,1730329204.8910809
-13011.173964878792,310.93511711777654,1730329204.8950226
-13080.039689545596,272.08778525445285,1730329204.898928
-13006.077767142984,356.6667862733348,1730329204.9029324
-13012.38095907938,427.3430022410157,1730329204.9067748
-13038.420741369811,341.0205651546199,1730329204.9103868
-13082.744250624688,279.1509365023299,1730329204.913768
-13044.902747261853,375.5987138269799,1730329204.918018
-12969.42090623628,403.3148769515606,1730329204.9228036
-12928.830138305442,364.5122485771476,1730329204.927045
-13048.188453696785,321.37338177840496,1730329204.9308012
-13125.681951723333,341.4005448103601,1730329204.9338934
-13070.54019815209,394.6424001029015,1730329204.938076
-13044.165139694827,352.15173389336275,1730329204.942216
