time_board,marker
1730329204.7788055,4.0
1730329204.782801,4.0
1730329204.7868304,4.0
1730329204.7907498,4.0
1730329204.7957568,4.0
1730329204.7987747,4.0
1730329204.8018565,4.0
1730329204.80688,4.0
1730329204.8108957,4.0
1730329204.8147025,4.0
1730329204.8189788,4.0
1730329204.8238554,4.0
1730329204.826915,4.0
1730329204.829926,4.0
1730329204.8347497,4.0
1730329204.8387544,4.0
1730329204.843012,4.0
1730329204.8467245,4.0
1730329204.85192,4.0
1730329204.8549163,4.0
1730329204.858413,4.0
1730329204.8629208,4.0
1730329204.8667712,4.0
1730329204.8713603,4.0
1730329204.8750522,4.0
1730329204.878961,4.0
1730329204.883156,4.0
1730329204.8862996,4.0
1730329204.8910809,4.0
1730329204.8950226,4.0
1730329204.898928,4.0
1730329204.9029324,4.0
1730329204.9067748,4.0
1730329204.9103868,4.0
1730329204.913768,4.0
1730329204.918018,4.0
1730329204.9228036,4.0
1730329204.927045,4.0
1730329204.9308012,4.0
1730329204.9338934,4.0
1730329204.938076,4.0
1730329204.942216,4.0
1730329204.945818,4.0
1730329204.951404,4.0
1730329204.9547956,4.0
1730329204.9592211,4.0
1730329204.9619217,4.0
1730329204.9662845,4.0
1730329204.9702408,4.0
1730329204.9740665,4.0
1730329204.9793763,4.0
1730329204.9830716,4.0
1730329204.9875307,4.0
1730329204.990007,4.0
1730329204.9941003,4.0
1730329204.997914,4.0
1730329205.002287,4.0
1730329205.0070505,4.0
1730329205.0113175,4.0
1730329205.0149443,4.0
1730329205.0185096,4.0
1730329205.022015,4.0
1730329205.026074,4.0
1730329205.0299437,4.0
1730329205.0357263,4.0
1730329205.0389926,4.0
1730329205.0422857,4.0
1730329205.0462132,4.0
1730329205.050207,4.0
1730329205.054161,4.0
1730329205.0583832,4.0
1730329205.0622067,4.0
1730329205.0672145,4.0
1730329205.0702343,4.0
1730329205.074162,4.0
1730329205.0782073,4.0
1730329205.0821276,4.0
1730329205.086197,4.0
1730329205.0902205,4.0
1730329205.0952764,4.0
1730329205.098156,4.0
1730329205.102268,4.0
1730329205.1060996,4.0
1730329205.110257,4.0
1730329205.1140811,4.0
1730329205.1186757,4.0
1730329205.1230967,4.0
1730329205.1264224,4.0
1730329205.130184,4.0
1730329205.134215,4.0
1730329205.1383128,4.0
1730329205.142319,4.0
1730329205.14636,4.0
1730329205.1515684,4.0
1730329205.1543489,4.0
1730329205.158692,4.0
1730329205.16278,4.0
1730329205.166742,4.0
1730329205.1704829,4.0
1730329205.1743193,4.0
1730329205.1783924,4.0
1730329205.181172,4.0
1730329205.1858013,4.0
1730329205.1902325,4.0
1730329205.1942637,4.0
1730329205.198181,4.0
1730329205.2026093,4.0
1730329205.206254,4.0
1730329205.209656,4.0
1730329205.2142222,4.0
1730329205.217595,4.0
1730329205.221612,4.0
1730329205.225721,4.0
1730329205.2293372,4.0
1730329205.2342749,4.0
1730329205.2382717,4.0
1730329205.2426584,4.0
1730329205.245625,4.0
1730329205.2499275,4.0
1730329205.2536533,4.0
1730329205.257418,4.0
1730329205.2629228,4.0
1730329205.2669072,4.0
1730329205.270956,4.0
1730329205.2735038,4.0
1730329205.2777176,4.0
1730329205.281369,4.0
1730329205.2859368,4.0
1730329205.290629,4.0
1730329205.2945485,4.0
1730329205.2983816,4.0
1730329205.3018851,4.0
1730329205.305392,4.0
1730329205.3097217,4.0
1730329205.313387,4.0
1730329205.3189492,4.0
1730329205.322354,4.0
1730329205.3266177,4.0
1730329205.3296752,4.0
1730329205.3335285,4.0
1730329205.3375716,4.0
1730329205.3416295,4.0
1730329205.346437,4.0
1730329205.3505669,4.0
1730329205.353559,4.0
1730329205.3575516,4.0
1730329205.3619034,4.0
1730329205.3659463,4.0
1730329205.3697004,4.0
1730329205.3735733,4.0
1730329205.3789375,4.0
1730329205.381605,4.0
1730329205.3857987,4.0
1730329205.3895552,4.0
1730329205.393538,4.0
1730329205.397535,4.0
1730329205.4020057,4.0
1730329205.4065793,4.0
1730329205.4100142,4.0
1730329205.4135697,4.0
1730329205.4180164,4.0
1730329205.421586,4.0
1730329205.4257717,4.0
1730329205.4298055,4.0
1730329205.4346807,4.0
1730329205.4380803,4.0
1730329205.441777,4.0
1730329205.446228,4.0
1730329205.449932,4.0
1730329205.4539557,4.0
1730329205.4589355,4.0
1730329205.4622016,4.0
1730329205.464645,4.0
1730329205.4689448,4.0
1730329205.4737132,4.0
1730329205.477959,4.0
1730329205.4816587,4.0
1730329205.486356,4.0
1730329205.4897108,4.0
1730329205.493013,4.0
1730329205.496642,4.0
1730329205.502249,4.0
1730329205.505774,4.0
1730329205.5102448,4.0
1730329205.5137224,4.0
1730329205.5179503,4.0
1730329205.521243,4.0
1730329205.525017,4.0
1730329205.529833,4.0
1730329205.534027,4.0
1730329205.5380087,4.0
1730329205.5420227,4.0
1730329205.5449538,4.0
1730329205.549022,4.0
1730329205.5528617,4.0
1730329205.5579784,4.0
1730329205.5623271,4.0
1730329205.5664413,4.0
1730329205.5690758,4.0
1730329205.5727923,4.0
1730329205.57729,4.0
1730329205.580732,4.0
1730329205.5849645,4.0
1730329205.5899203,4.0
1730329205.593943,4.0
1730329205.5968242,4.0
1730329205.6013424,4.0
1730329205.6049025,4.0
1730329205.609168,4.0
1730329205.612948,4.0
1730329205.618292,4.0
1730329205.6218753,4.0
1730329205.6251075,4.0
1730329205.6290855,4.0
1730329205.6330092,4.0
1730329205.6370327,4.0
1730329205.6414196,4.0
1730329205.6461327,4.0
1730329205.650139,4.0
1730329205.6530163,4.0
1730329205.6570027,4.0
1730329205.661151,4.0
1730329205.6649563,4.0
1730329205.669388,4.0
1730329205.6740398,4.0
1730329205.6781633,4.0
1730329205.680907,4.0
1730329205.6852603,4.0
1730329205.688923,4.0
1730329205.693081,4.0
1730329205.696931,4.0
1730329205.7023945,4.0
1730329205.70492,4.0
1730329205.7083871,4.0
1730329205.7131171,4.0
1730329205.717271,4.0
1730329205.7212017,4.0
1730329205.7253397,4.0
1730329205.730029,4.0
1730329205.7332044,4.0
1730329205.737514,4.0
1730329205.7416575,4.0
1730329205.745731,4.0
1730329205.7495468,4.0
1730329205.7531404,4.0
1730329205.7584202,4.0
1730329205.761574,4.0
1730329205.7640324,4.0
1730329205.7695816,4.0
1730329205.77304,4.0
1730329205.7775457,4.0
