Fp1,C3,time_board
-1610.1973188158654,7550.933367125198,1730330505.51801
-1673.6986248133928,7562.7350881976,1730330505.5209231
-1702.1300437605437,7523.06074178943,1730330505.524527
-1637.578205773617,7506.341636936861,1730330505.5286822
-1606.1293013249997,7542.685573421189,1730330505.532538
-1666.7248805433371,7563.11506785334,1730330505.5374427
-1706.980372307345,7541.344468753871,1730330505.5416465
-1646.2283308778206,7520.937326066176,1730330505.545405
-1593.3664552410194,7527.553442424946,1730330505.548489
-1648.9105402124574,7539.44457047517,1730330505.5529385
-1706.9356688184344,7524.781826112488,1730330505.5564065
-1669.4741451113398,7521.719637122112,1730330505.560948
-1605.3916937579745,7555.426067760714,1730330505.5644748
-1645.6695372664378,7562.824495175421,1730330505.569913
-1709.4837676863394,7534.750704139556,1730330505.5734482
-1669.5188486002503,7518.411578942726,1730330505.5766308
-1603.3800367569968,7525.675895890701,1730330505.580762
-1622.8707579220245,7555.470771249626,1730330505.584731
-1693.6810843564374,7549.949890369165,1730330505.5886977
-1681.2535144392866,7520.736160366078,1730330505.5927193
-1605.726969924804,7512.957753295631,1730330505.597473
-1606.4645774918292,7552.2521200480605,1730330505.6021156
-1687.9366860314235,7564.59028298739,1730330505.6049657
-1696.6091628800823,7532.046143060464,1730330505.6091151
-1622.669592221927,7512.778939339989,1730330505.6131196
-1602.2400977897762,7541.97031759862,1730330505.616624
-1669.9435317449013,7558.845884662376,1730330505.621097
-1706.1310060180433,7535.354201239848,1730330505.6258905
-1643.5461215431835,7510.588468383368,1730330505.628795
-1607.4480542478627,7548.049992090463,1730330505.6326933
-1663.9756159753342,7562.511570753047,1730330505.6367383
-1698.6431716255156,7538.774018141511,1730330505.6406095
-1643.0767349096222,7539.533977452991,1730330505.6449358
-1599.9825715997902,7558.443553262181,1730330505.648554
-1645.5801302886166,7573.218056347139,1730330505.6540291
-1710.3778374645517,7540.49510246457,1730330505.6565368
-1668.6471305664934,7511.706055606134,1730330505.6612277
-1604.5423274686727,7537.611727429835,1730330505.6645513
-1632.2584905932536,7566.132553354807,1730330505.6689808
-1703.2029274943982,7558.06357360644,1730330505.672706
-1685.500345885795,7523.820701100911,1730330505.6768007
-1614.9582403848458,7518.366875453816,1730330505.68169
-1621.663763721438,7562.377460286315,1730330505.6848483
-1695.4245204239512,7561.014003874541,1730330505.68772
-1687.2437819533088,7521.697285377656,1730330505.692872
-1622.826054433114,7522.613706900323,1730330505.696784
-1620.724990454315,7564.456172520659,1730330505.7011962
-1688.5848866206277,7567.361899299848,1730330505.7050805
-1703.247630983309,7545.658355433746,1730330505.7100942
-1630.2691853367312,7543.467884477125,1730330505.712858
-1602.5753739566055,7559.717602696133,1730330505.71681
-1669.4964968557952,7563.405640531259,1730330505.721099
-1702.0182850382669,7546.127742067307,1730330505.7250755
