time_board,marker
1730330505.51801,4.0
1730330505.5209231,4.0
1730330505.524527,4.0
1730330505.5286822,4.0
1730330505.532538,4.0
1730330505.5374427,4.0
1730330505.5416465,4.0
1730330505.545405,4.0
1730330505.548489,4.0
1730330505.5529385,4.0
1730330505.5564065,4.0
1730330505.560948,4.0
1730330505.5644748,4.0
1730330505.569913,4.0
1730330505.5734482,4.0
1730330505.5766308,4.0
1730330505.580762,4.0
1730330505.584731,4.0
1730330505.5886977,4.0
1730330505.5927193,4.0
1730330505.597473,4.0
1730330505.6021156,4.0
1730330505.6049657,4.0
1730330505.6091151,4.0
1730330505.6131196,4.0
1730330505.616624,4.0
1730330505.621097,4.0
1730330505.6258905,4.0
1730330505.628795,4.0
1730330505.6326933,4.0
1730330505.6367383,4.0
1730330505.6406095,4.0
1730330505.6449358,4.0
1730330505.648554,4.0
1730330505.6540291,4.0
1730330505.6565368,4.0
1730330505.6612277,4.0
1730330505.6645513,4.0
1730330505.6689808,4.0
1730330505.672706,4.0
1730330505.6768007,4.0
1730330505.68169,4.0
1730330505.6848483,4.0
1730330505.68772,4.0
1730330505.692872,4.0
1730330505.696784,4.0
1730330505.7011962,4.0
1730330505.7050805,4.0
1730330505.7100942,4.0
1730330505.712858,4.0
1730330505.71681,4.0
1730330505.721099,4.0
1730330505.7250755,4.0
1730330505.7288587,4.0
1730330505.7328768,4.0
1730330505.7378497,4.0
1730330505.74076,4.0
1730330505.744939,4.0
1730330505.74884,4.0
1730330505.75302,4.0
1730330505.7567234,4.0
1730330505.761207,4.0
1730330505.7647843,4.0
1730330505.7687728,4.0
1730330505.7720964,4.0
1730330505.7769043,4.0
1730330505.780748,4.0
1730330505.784943,4.0
1730330505.78906,4.0
1730330505.7923307,4.0
1730330505.7959538,4.0
1730330505.8005247,4.0
1730330505.805028,4.0
1730330505.8091755,4.0
1730330505.8131547,4.0
1730330505.8170245,4.0
1730330505.82005,4.0
1730330505.823886,4.0
1730330505.8282063,4.0
1730330505.8318152,4.0
1730330505.837073,4.0
