Fp1,C3,time_board
-1675.8220405366471,19919.829955080742,1730412193.043517
-1627.8328451911027,19977.922138920087,1730412193.047558
-1564.018614771201,20016.322435894304,1730412193.051742
-1600.9213448669132,19980.22436859898,1730412193.055763
-1647.681194267415,19956.57622296527,1730412193.0597532
-1612.2313275612985,19999.089240919264,1730412193.0627425
-1563.9962630267455,20031.32045642381,1730412193.066675
-1592.0924058070668,19984.00181341193,1730412193.071753
-1645.5801302886166,19936.23613551094,1730412193.0757673
-1625.6870777233933,19971.931871406065,1730412193.079781
-1577.183792255377,20016.702415550044,1730412193.08382
-1592.0253505737007,19990.305005348328,1730412193.0866458
-1651.7045082693708,19959.23608055545,1730412193.0908327
-1638.8522552075692,19988.114534391705,1730412193.0946124
-1591.6900744068712,20029.19704070056,1730412193.099701
-1590.7065976508377,20002.017319442908,1730412193.103799
-1636.6170807620383,19950.787121151345,1730412193.107663
-1642.5179412982395,19948.61900193918,1730412193.1118371
-1609.7055804378488,20003.604293299235,1730412193.1148868
-1605.503452480251,20004.0736799328,1730412193.118886
-1644.5295982992172,19944.32746700376,1730412193.1228993
-1683.466337140362,19927.04956853981,1730412193.1268313
-1642.7861622317032,19976.312813319302,1730412193.1319227
-1595.5569261976393,19993.166028638607,1730412193.1356914
-1624.9941736452788,19958.565528221792,1730412193.1398644
-1666.4119561209627,19944.32746700376,1730412193.1427848
-1623.9659934003346,19989.43328731457,1730412193.1467285
-1591.1312807954885,20010.04159570236,1730412193.1507556
-1633.5772435161166,19957.559699721303,1730412193.1549604
-1665.182610175921,19932.61515290918,1730412193.1599803
-1644.1943221323877,19971.48483651696,1730412193.163988
-1611.4937199942733,19994.216560628007,1730412193.166989
-1619.5403479981835,19966.27688005887,1730412193.17085
-1651.6151012915495,19940.706484402,1730412193.1749082
-1644.2390256212982,19968.66851671559,1730412193.17888
-1597.7697488987149,20008.745194523955,1730412193.182922
-1606.9339641253907,19966.65685971461,1730412193.18686
-1659.3264531286304,19916.34308294572,1730412193.192063
-1653.5597030591612,19951.122397318173,1730412193.194789
-1603.3800367569968,20010.756851524933,1730412193.1990433
-1590.3042662506425,19997.166990896105,1730412193.2028513
-1650.9221972134349,19929.32944647425,1730412193.2069557
-1658.857066495069,19932.972780820463,1730412193.2108316
