time_board,marker
1730244084.644529,4.0
1730244084.6480134,4.0
1730244084.6515489,4.0
1730244084.6550002,4.0
1730244084.6595595,4.0
1730244084.663592,4.0
1730244084.667317,4.0
1730244084.672772,4.0
1730244084.6761377,4.0
1730244084.6794517,4.0
1730244084.6831293,4.0
1730244084.6873662,4.0
1730244084.6922636,4.0
1730244084.6962495,4.0
1730244084.6992607,4.0
1730244084.7043695,4.0
1730244084.7071323,4.0
1730244084.7114017,4.0
1730244084.7151678,4.0
1730244084.7196307,4.0
1730244084.7231705,4.0
1730244084.7274313,4.0
1730244084.731376,4.0
1730244084.7347903,4.0
1730244084.7393854,4.0
1730244084.7433703,4.0
1730244084.7479224,4.0
1730244084.751342,4.0
1730244084.756287,4.0
1730244084.7594016,4.0
1730244084.7624478,4.0
1730244084.7662668,4.0
1730244084.771767,4.0
1730244084.775447,4.0
1730244084.779452,4.0
1730244084.7847922,4.0
1730244084.787544,4.0
1730244084.7902997,4.0
1730244084.7958596,4.0
1730244084.800624,4.0
1730244084.8037033,4.0
1730244084.8074155,4.0
1730244084.8117447,4.0
1730244084.8153195,4.0
1730244084.8185933,4.0
1730244084.82264,4.0
1730244084.8278058,4.0
1730244084.8314068,4.0
1730244084.8356948,4.0
1730244084.8397925,4.0
1730244084.843736,4.0
1730244084.846496,4.0
1730244084.8506427,4.0
1730244084.855935,4.0
1730244084.859558,4.0
1730244084.8637311,4.0
1730244084.8664603,4.0
1730244084.870721,4.0
1730244084.8744447,4.0
1730244084.8785574,4.0
1730244084.8835604,4.0
1730244084.8875542,4.0
1730244084.8914158,4.0
1730244084.8945527,4.0
1730244084.8984308,4.0
1730244084.9025407,4.0
1730244084.9063916,4.0
1730244084.9105728,4.0
1730244084.9153943,4.0
1730244084.919583,4.0
1730244084.9226148,4.0
1730244084.9268324,4.0
1730244084.930908,4.0
1730244084.934727,4.0
1730244084.9389648,4.0
1730244084.943771,4.0
1730244084.9477212,4.0
1730244084.9511817,4.0
1730244084.954795,4.0
1730244084.9592068,4.0
1730244084.9630585,4.0
1730244084.966608,4.0
1730244084.9719217,4.0
1730244084.9757168,4.0
1730244084.9787462,4.0
1730244084.9826045,4.0
1730244084.9881124,4.0
1730244084.9916368,4.0
1730244084.9949448,4.0
1730244084.9986248,4.0
1730244085.0028124,4.0
1730244085.0070462,4.0
1730244085.0107973,4.0
1730244085.015566,4.0
1730244085.0198011,4.0
1730244085.0228577,4.0
1730244085.0270872,4.0
1730244085.0316124,4.0
1730244085.0358183,4.0
1730244085.0391932,4.0
1730244085.0432377,4.0
1730244085.0457993,4.0
1730244085.0512347,4.0
1730244085.0547085,4.0
1730244085.0593708,4.0
1730244085.062987,4.0
1730244085.0678728,4.0
1730244085.0709484,4.0
1730244085.0738113,4.0
1730244085.0791185,4.0
1730244085.0827048,4.0
1730244085.087023,4.0
1730244085.090728,4.0
1730244085.0948832,4.0
1730244085.0987985,4.0
1730244085.1020756,4.0
1730244085.1059573,4.0
1730244085.111071,4.0
1730244085.1148014,4.0
1730244085.1191697,4.0
1730244085.122826,4.0
1730244085.1271532,4.0
