Fp1,C3,time_board
-6190.8520687642185,4113.235069898971,1730988784.5839193
-6193.623685076676,4098.661732514112,1730988784.58804
-6200.642132835643,4109.792901252854,1730988784.591941
-6174.579998800755,4119.448854857547,1730988784.5959811
-6218.5011766554335,4090.0786626432737,1730988784.600142
-6229.006496549428,4088.5587440203126,1730988784.6050167
-6208.80051956183,4133.083418975284,1730988784.6080525
-6170.020242931872,4149.824875572309,1730988784.6110318
-6182.067833193283,4121.415808369614,1730988784.6160877
-6223.686781369064,4099.1311191476725,1730988784.6200647
-6190.762661786397,4117.951287979042,1730988784.624092
-6174.714109267487,4121.616974069711,1730988784.6281695
-6222.882118568674,4102.081549415773,1730988784.6331549
-6211.2815631963695,4109.1670524081055,1730988784.6361997
-6146.796780442808,4117.616011812212,1730988784.639019
-6192.036711220349,4119.113578690717,1730988784.6440296
-6240.629403666188,4131.608203841234,1730988784.6480212
-6232.269851239902,4111.335171620271,1730988784.6521156
-6182.134888426649,4109.614087297212,1730988784.6561804
-6144.40514378609,4128.680125317589,1730988784.6600573
-6215.394284176145,4122.913375248119,1730988784.6632133
-6226.167825003604,4111.357523364726,1730988784.6670806
-6197.915220012095,4115.783168766877,1730988784.6722105
-6158.93377768204,4124.880328760187,1730988784.676119
-6187.767528029386,4123.539224092868,1730988784.6802263
-6216.869499310195,4104.38377909467,1730988784.6841288
-6200.508022368911,4095.264267356905,1730988784.6881745
-6196.283542666858,4117.392494367658,1730988784.6910944
-6179.855010492207,4128.166035195117,1730988784.6951993
-6148.517864765867,4110.061122186318,1730988784.6992228
-6179.519734325378,4095.845412712744,1730988784.7043006
-6225.072589525294,4116.900755989642,1730988784.7083015
-6185.107670439204,4133.10577071974,1730988784.712458
-6162.308891094791,4121.773436280899,1730988784.7154603
-6176.03286219035,4119.784131024377,1730988784.7195368
-6234.303859985335,4132.7034393195445,1730988784.7234523
-6232.269851239902,4142.135875479684,1730988784.7272873
-6209.18049921757,4132.368163152714,1730988784.7322693
-6173.909446467095,4101.746273248944,1730988784.736338
-6151.334184567236,4116.274907144893,1730988784.7403295
-6155.737478224931,4149.9589860390415,1730988784.7432456
-6203.525507870378,4115.716113533511,1730988784.7472425
-6205.268943937891,4065.737612931444,1730988784.751298
