Fp1,C3,time_board
26277.448389226007,26469.0475426969,1730655238.3438132
26238.131670729123,26468.689914785617,1730655238.3477364
26205.833399991203,26471.975621220547,1730655238.350732
26243.78666207632,26486.1019237163,1730655238.3546383
26259.410531450576,26485.990164994026,1730655238.3598251
26246.91590630006,26470.61216480877,1730655238.363619
26232.83430729321,26467.415865351664,1730655238.3677633
26251.92269705805,26483.86674927077,1730655238.370582
26266.47368269845,26480.71515330257,1730655238.3746324
26240.120975985647,26480.648098069203,1730655238.3786216
26222.150173443577,26475.95423173359,1730655238.3826923
26237.48347013992,26475.641307311216,1730655238.387582
26244.703083598983,26476.848301511804,1730655238.3922772
26237.86344979566,26475.395438122207,1730655238.3956556
26233.080176482224,26470.20983340857,1730655238.398944
26258.00237154989,26461.26913562645,1730655238.4028454
26273.22390952396,26473.584946821327,1730655238.40702
26244.92660104353,26480.066952713365,1730655238.4111197
26225.167658945044,26482.168016692165,1730655238.4153807
26223.75949904436,26477.787074778924,1730655238.4197092
26237.79639456229,26476.96006023408,1730655238.423778
26245.217173721456,26478.21175792357,1730655238.4268527
26244.97130453245,26475.5519003334,1730655238.4307952
26238.399891662582,26479.731676546537,1730655238.4347916
26242.356150431177,26476.244804411508,1730655238.4387395
26241.596191119694,26475.998935222506,1730655238.4427156
26240.09862424119,26472.42265610965,1730655238.44788
26244.81484232126,26477.8988335012,1730655238.451857
26241.23856320841,26477.183577678632,1730655238.4547396
26241.260914952865,26471.841510753813,1730655238.4588077
26257.264763982865,26462.431426338127,1730655238.4627223
26260.505766928884,26466.18651940662,1730655238.4669116
26240.858583552672,26488.31474641737,1730655238.4709618
26242.57966787573,26481.318650402864,1730655238.4758427
26250.402778435087,26476.937708489622,1730655238.4786952
26242.98199927593,26475.842473011315,1730655238.4829612
26239.740996329903,26481.81038878088,1730655238.4867787
26237.818746306748,26476.870653256257,1730655238.4909725
26237.349359673182,26465.091283928312,1730655238.4947932
26250.849813324192,26468.51110082997,1730655238.498947
26258.494109927906,26486.548958605406,1730655238.5037527
26243.42903416503,26490.818141796368,1730655238.50694
26239.629237607627,26476.46832185606,1730655238.5110536
