time_board,marker
1730655289.7722528,4.0
1730655289.7764552,4.0
1730655289.7803645,4.0
1730655289.7845871,4.0
1730655289.788309,4.0
1730655289.7913284,4.0
1730655289.7964623,4.0
1730655289.8006463,4.0
1730655289.804519,4.0
1730655289.8085332,4.0
1730655289.8124604,4.0
1730655289.8165295,4.0
1730655289.8195148,4.0
1730655289.823625,4.0
1730655289.8286047,4.0
1730655289.8324032,4.0
1730655289.8365386,4.0
1730655289.8405516,4.0
1730655289.844602,4.0
1730655289.8473735,4.0
1730655289.8523855,4.0
1730655289.8566315,4.0
1730655289.8615663,4.0
1730655289.865604,4.0
1730655289.8685908,4.0
1730655289.8713963,4.0
1730655289.875645,4.0
1730655289.8805163,4.0
1730655289.88458,4.0
1730655289.8884294,4.0
1730655289.8925076,4.0
1730655289.8955953,4.0
1730655289.8997147,4.0
1730655289.9035716,4.0
1730655289.9076312,4.0
1730655289.9127767,4.0
1730655289.9167044,4.0
1730655289.9206495,4.0
1730655289.9237688,4.0
1730655289.9277425,4.0
1730655289.9316869,4.0
1730655289.937229,4.0
1730655289.941784,4.0
1730655289.9447093,4.0
1730655289.9475296,4.0
1730655289.9555352,4.0
1730655289.9555523,4.0
1730655289.964536,4.0
1730655289.9645534,4.0
1730655289.968537,4.0
1730655289.972542,4.0
1730655289.9756749,4.0
1730655289.979602,4.0
1730655289.9837852,4.0
1730655289.987728,4.0
1730655289.991737,4.0
1730655289.9955795,4.0
1730655290.00282,4.0
1730655290.0036,4.0
1730655290.0078356,4.0
1730655290.0117714,4.0
1730655290.01935,4.0
1730655290.0196445,4.0
1730655290.0276608,4.0
1730655290.0286925,4.0
1730655290.0316644,4.0
1730655290.03566,4.0
1730655290.0397224,4.0
1730655290.043709,4.0
1730655290.0527663,4.0
1730655290.052785,4.0
1730655290.0594923,4.0
1730655290.0595136,4.0
1730655290.0627146,4.0
1730655290.0686083,4.0
1730655290.0718384,4.0
1730655290.0757933,4.0
1730655290.0798118,4.0
1730655290.0827491,4.0
1730655290.08678,4.0
1730655290.0908191,4.0
1730655290.0957832,4.0
1730655290.0998232,4.0
1730655290.1038313,4.0
1730655290.1078515,4.0
1730655290.1108537,4.0
