Fp1,C3,time_board
-21468.82819757798,-194.1472523387972,1730329412.8768928
-21508.837820152978,-255.32397691297257,1730329412.8819292
-21550.903803217865,-257.9614827586988,1730329412.885753
-21528.060320384546,-203.1773570987412,1730329412.8900008
-21469.67756386728,-187.79935691349,1730329412.892784
-21488.073049554,-240.4824185946487,1730329412.8969223
-21532.86594544244,-246.11505819738608,1730329412.9011133
-21506.826163152,-188.8051854139788,1730329412.904894
-21460.468645151694,-182.5690487109481,1730329412.9099524
-21479.512331427613,-237.6884505377353,1730329412.913952
-21522.09240461497,-261.2918926825396,1730329412.9169583
-21515.58804697848,-212.3192205809618,1730329412.9209535
-21471.44335167925,-180.378577754328,1730329412.9249947
-21477.187750004265,-228.3901248443276,1730329412.9289992
-21524.77461394961,-268.533857886059,1730329412.9329765
-21527.300361073063,-221.28227010753992,1730329412.9379952
-21485.547302430547,-176.1988015411856,1730329412.9419923
-21475.19844474774,-215.40376131579416,1730329412.944831
-21510.022462609108,-262.0965554829306,1730329412.9490082
-21539.482061801205,-252.5076571116039,1730329412.952884
-21505.41800325132,-193.99079012761,1730329412.956967
-21464.76018008712,-171.39317648329455,1730329412.9608004
-21487.223683264696,-208.78764495702328,1730329412.9650493
-21510.715366687225,-212.6321450033361,1730329412.969864
-21485.50259894164,-171.72845265012415,1730329412.9735413
-21460.938031785256,-187.6652464467581,1730329412.9762912
-21499.53949445957,-257.9838345031541,1730329412.9810507
-21569.634565071414,-259.4814013816597,1730329412.9850943
-21543.0359891696,-178.56808645344813,1730329412.9890783
-21459.462816651205,-155.18816175319694,1730329412.9929185
-21456.64649684984,-213.83913920392263,1730329412.9980235
-21505.797982907057,-236.0791249369532,1730329413.0010684
-21499.27127352611,-188.69342669170223,1730329413.0050874
-21472.627994135382,-177.78577539751237,1730329413.009082
-21482.14983727334,-234.7827237585454,1730329413.013065
-21526.8309744395,-266.1869247182518,1730329413.0170443
-21524.34993080496,-205.7254559666462,1730329413.0210905
-21498.77953514809,-177.80812714196767,1730329413.0260882
-21507.384956763384,-267.5056776411149,1730329413.0291183
-21600.256454975184,-366.92623697832073,1730329413.033154
-21584.92315827884,-254.116982712386,1730329413.037128
-21474.99727904764,-154.65171988626955,1730329413.041129
-21428.86327849189,-193.4319965162273,1730329413.0449812
-21487.71542164271,-247.74673554262347,1730329413.0501156
-21516.795041179063,-177.8751823753336,1730329413.0529792
-21453.33843867045,-121.39232413677266,1730329413.0561967
-21443.369560643383,-181.13853706580844,1730329413.0609753
-21501.79702064956,-231.87699697935548,1730329413.0650637
-21487.938939087267,-204.6749239772468,1730329413.0690267
-21456.49003463865,-196.89651690679992,1730329413.073136
-21444.487147866148,-224.2327003756405,1730329413.0769897
-21495.35971824643,-251.1889041887408,1730329413.081247
-21555.642373042392,-222.4892643081265,1730329413.0840344
-21502.84755263896,-164.5758944244259,1730329413.0891557
-21461.943860285744,-208.11709262336407,1730329413.0932777
-21510.938884131778,-342.0263936551087,1730329413.097424
-21535.771672221625,-415.76479861316665,1730329413.1013196
-21554.79300675309,-301.41327397981576,1730329413.1052244
-21521.243038325672,-140.2795482015071,1730329413.1096067
-21482.64157565136,-185.74299642360168,1730329413.1121883
-21531.2342680972,-242.4493721067157,1730329413.1173282
-21542.097215902475,-207.7594647120792,1730329413.1213803
-21481.34517447295,-196.33772329541725,1730329413.1253176
-21326.872268542324,-207.11126412287524,1730329413.1292608
-21367.395981239795,-208.29590657900653,1730329413.1333368
-21560.35859112246,-219.13650263983044,1730329413.1370895
-21490.77761063309,-175.3270835074286,1730329413.1402712
-21424.75055751212,-141.08421100189818,1730329413.1440835
-21427.633932546847,-202.2385838316183,1730329413.1493635
-21520.505430758647,-264.97993051766525,1730329413.153202
-21578.329393664528,-322.93800389027643,1730329413.1573093
-21499.00305259264,-363.014681698642,1730329413.1611114
-21527.680340728803,-376.9621702387536,1730329413.1652634
-21520.237209825184,-322.28980330107254,1730329413.16828
-21331.52143138903,-109.79176876446827,1730329413.1723175
-21295.78099200499,-116.00555372304366,1730329413.1761303
-21538.096253644973,-307.9176316163101,1730329413.1813293
-21658.32628707007,-211.4251508027495,1730329413.1852791
-21627.682045421847,-212.3639240698724,1730329413.1884336
-21479.13235177188,-212.25216534759588,1730329413.19216
-21291.735326258586,-157.1774670097193,1730329413.1962483
-21316.05402422596,-215.94020318272152,1730329413.200256
-21395.04508913101,-212.90036593679977,1730329413.2053452
-21413.597037028914,-218.17537762825225,1730329413.209319
-21626.4526994768,-275.26173296710647,1730329413.213471
-21528.97674190721,-224.76914224256785,1730329413.2163565
-21412.21122887269,-206.88774667832217,1730329413.220281
-21411.451269561207,-188.2687435470514,1730329413.2247927
-21386.350260537896,-249.82544777696705,1730329413.2283585
-21442.184918187253,-324.8826056578882,1730329413.2326171
-21473.075029024487,-242.6058343179029,1730329413.2374525
-21425.734034268145,-94.6596377682254,1730329413.2413993
-21334.94124829069,-158.78679261050138,1730329413.244228
-21554.32362011953,-267.90800904131044,1730329413.2483723
-21545.71819850424,-293.83603260946666,1730329413.2522745
-21480.94284307276,-307.20237579374026,1730329413.2562895
-21488.229511765185,-251.278311166562,1730329413.2602253
-21389.90418790629,-196.44948201769373,1730329413.265411
-21494.3762414904,-229.53006381154825,1730329413.269292
-21484.474418696693,-179.8197841429453,1730329413.2724795
-21441.223793175675,-187.9781708691324,1730329413.2763867
-21451.10326422492,-236.0120697035873,1730329413.28039
-21485.413191963817,-243.6116628183917,1730329413.2843893
-21493.906854856832,-217.19190087221872,1730329413.288422
-21434.227697161165,-196.76240644006808,1730329413.2934809
-21445.135348455355,-271.37252943188304,1730329413.2965353
-21548.892146216887,-329.6658789713239,1730329413.2994697
-21450.410360146805,-207.40183680079423,1730329413.3046255
-21443.257801921107,-227.85368297740013,1730329413.3085997
-21407.651473003803,-286.2587912391176,1730329413.312518
-21481.72515412869,-304.92249785929897,1730329413.3165207
-21576.474198874737,-204.16083385477472,1730329413.3213968
-21491.24699726665,-164.10650779086444,1730329413.324443
-21490.73290714417,-178.1657550532526,1730329413.3283424
-21523.25469532665,-252.41825013378264,1730329413.3326883
-21581.302175677083,-284.44829993823765,1730329413.3363955
-21462.68146785277,-201.9703628981546,1730329413.340624
-21388.80895242798,-176.77994689702356,1730329413.3443944
-21448.689275823748,-298.0381605670644,1730329413.3497522
-21482.39570646235,-303.44728272524867,1730329413.3524482
-21412.680615506248,-191.8673744043558,1730329413.3556056
-21423.0071214446,-148.46028667214952,1730329413.3604102
-21551.79787299608,-197.1870895847189,1730329413.3645585
-21584.721992578747,-266.56690437399203,1730329413.36874
-21549.51799506164,-244.43867736323804,1730329413.3727984
-21494.622110679404,-187.0170458575542,1730329413.3784895
-21462.212081219208,-205.47958677763785,1730329413.3817356
-21517.756166190644,-258.02853799206474,1730329413.3855157
-21449.851566535424,-180.6915021767023,1730329413.388719
-21490.129410043886,-176.13174630781964,1730329413.3927271
-21495.71734615771,-238.56016857149228,1730329413.3966916
-21537.559811778046,-271.8195643209892,1730329413.4005444
-21512.235285310184,-222.8245404749561,1730329413.4037132
-21467.375334188386,-194.46017676117145,1730329413.4076767
-21536.352817577463,-234.38039235834987,1730329413.4116304
-21546.54521304908,-257.7379653141457,1730329413.4167278
-21539.43735831229,-181.4067579992721,1730329413.4213445
-21465.833063820966,-167.7498421370795,1730329413.4250803
-21399.157810110788,-230.3794301008499,1730329413.4285898
-21511.4306225098,-296.8088146220225,1730329413.432701
-21609.37596671295,-289.32098022949464,1730329413.4355464
-21527.8815064289,-197.94704889619933,1730329413.43968
-21436.46287160669,-145.8898360597892,1730329413.4434988
-21554.01069569716,-231.16174115678564,1730329413.4486885
-21564.42660861333,-244.90806399679948,1730329413.4525387
-21536.88925944439,-224.2103486311852,1730329413.4566667
-21445.20240368872,-180.13270856531963,1730329413.4597208
-21505.373299762407,-222.19869163020752,1730329413.463725
-21577.010640741664,-252.95469200071005,1730329413.4677377
-21471.555110401525,-195.3095430504731,1730329413.4717531
-21499.964177604223,-174.27655151802918,1730329413.476668
-21570.103951704976,-201.2104035866741,1730329413.480749
-21623.83754537553,-272.6465788658355,1730329413.484752
-21583.000908255686,-229.88769172283315,1730329413.487766
-21536.509279788646,-171.5943421833923,1730329413.4917448
-21505.39565150686,-223.1598166417857,1730329413.4957447
-21527.009788395146,-276.4463754232377,1730329413.4997756
-21529.87081168542,-220.5893660294254,1730329413.5038843
-21495.4267734798,-150.40488843976124,1730329413.5088718
-21481.1216570284,-154.00351929706565,1730329413.5128844
-21530.139032618885,-222.22104337466283,1730329413.5158691
-21580.07282973204,-216.72251423865728,1730329413.519807
-21545.762901993145,-184.4689469896492,1730329413.5238495
-21531.055454141555,-195.84598491740047,1730329413.5276942
-21583.71616407825,-276.17815448977404,1730329413.531819
-21582.30800417757,-280.8943725698439,1730329413.5369232
-21460.08866549596,-158.78679261050138,1730329413.53995
-21483.312127985017,-179.30569402047325,1730329413.543736
-21527.32271281752,-224.3668108423723,1730329413.5479438
-21517.800869679555,-229.8206364894672,1730329413.5517993
-21536.039893155088,-185.67594119023576,1730329413.555925
-21546.232288626707,-201.18805184221887,1730329413.560001
-21620.03774881813,-285.0965005274416,1730329413.5649655
-21557.40816085436,-260.86720953788875,1730329413.5679643
-21549.585050295,-165.78288862501248,1730329413.571982
-21520.77365169211,-180.51268822105985,1730329413.576023
-21574.95428025177,-276.2005062342293,1730329413.579947
-21580.050477987585,-233.50867432459287,1730329413.5840054
-21528.797927951568,-162.92186533473318,1730329413.5878408
-21502.06524158302,-167.68278690371358,1730329413.5930378
-21517.62205572392,-258.02853799206474,1730329413.5960107
-21593.349765938496,-280.827317336478,1730329413.6000395
-21586.89011179091,-226.53493005453709,1730329413.6038363
-21518.851401668955,-184.35718826737263,1730329413.607987
-21451.59500260293,-175.21532478515206,1730329413.6119173
-21493.34806124545,-233.2628051355845,1730329413.6160247
-21595.294367706105,-209.7487699686015,1730329413.620839
-21547.77455899412,-150.0696122729316,1730329413.6239865
-21556.55879456506,-192.9849616271212,1730329413.627931
-21607.4537166898,-273.85357306642214,1730329413.631961
-21573.188492439807,-247.7914390315341,1730329413.635851
-21505.19448580676,-185.54183072350392,1730329413.6399577
-21497.03609908057,-180.4009294987833,1730329413.643855
-21505.7756311626,-250.0936687104308,1730329413.6480885
-21613.37692897045,-249.9372064992436,1730329413.6509123
-21596.724879351244,-179.1045283203755,1730329413.6552024
-21499.83006713749,-160.3961182112835,1730329413.6602037
-21538.54328853408,-224.43386607573825,1730329413.6642249
-21557.631678298912,-248.8419710209336,1730329413.6681712
-21517.800869679555,-191.57680172643683,1730329413.672177
-21517.7785179351,-182.8819731333224,1730329413.676191
-21512.19058182128,-235.2744621365621,1730329413.6791232
-21589.684079847822,-267.5280293855702,1730329413.682945
-21596.724879351244,-230.87116847886665,1730329413.6880937
-21533.044759398075,-213.7050287371908,1730329413.6920407
-21503.31693927252,-198.57289774094795,1730329413.6960113
-21572.00384998368,-249.89250301033297,1730329413.7000687
-21566.237099914208,-219.47177880666004,1730329413.7041335
-21513.39757602186,-160.95491182266616,1730329413.7071664
-21550.79204449559,-216.8119212164785,1730329413.710966
-21577.591786097502,-287.0411022950533,1730329413.7161586
-21575.80364654108,-251.72534605566813,1730329413.720217
-21504.18865730628,-166.94517933668843,1730329413.724234
-21484.98850881917,-173.89657186228894,1730329413.7281735
-21546.45580607126,-235.34151736992808,1730329413.732199
-21582.26330068866,-221.3716770853612,1730329413.7351048
-21558.190471910297,-184.69246443420224,1730329413.7391312
-21499.18186654829,-209.39114205731656,1730329413.743192
-21550.16619565084,-245.6233198193693,1730329413.7481184
-21617.713167394777,-266.25397995161774,1730329413.7520952
-21609.286559735127,-245.6680233082799,1730329413.7562664
-21498.48896247017,-158.4962199325824,1730329413.7592611
-21491.80579087804,-202.97619139864344,1730329413.7638576
-21603.16218175437,-281.76609060360084,1730329413.767666
-21550.50147181767,-219.3376683399282,1730329413.7727883
-21479.937014572268,-151.67893787371372,1730329413.776606
-21508.01080560813,-231.54172081252585,1730329413.7804427
-21570.483931360715,-262.18596246075185,1730329413.783556
-21571.13213194992,-191.4650430041603,1730329413.787305
-21515.34217778948,-155.0316995420098,1730329413.7914093
-21498.600721192448,-210.4193223022607,1730329413.7952087
-21565.07480920253,-255.50279086861505,1730329413.7992735
-21600.524675908648,-219.22590961765167,1730329413.8044338
-21550.21089913975,-197.36590354036136,1730329413.8088906
-21495.78440139108,-233.77689525805656,1730329413.8111975
-21510.849477153955,-246.2715204085732,1730329413.8154435
-21583.26912918915,-240.95180522821013,1730329413.819227
-21624.5080977092,-219.6282410178472,1730329413.823564
-21529.580239007504,-223.0480579195092,1730329413.8272884
-21567.55585283707,-277.8545353239221,1730329413.832708
-21545.82995722651,-240.05773544999784,1730329413.8362737
-21515.968026634226,-181.3397027659062,1730329413.839337
-21483.80386636304,-190.861545903867,1730329413.8436286
-21498.24309328116,-236.7049737817018,1730329413.8477523
-21586.778353068632,-240.30360463900624,1730329413.8515875
-21539.482061801205,-203.8255576879451,1730329413.8555515
-21497.39372699186,-194.84015641691167,1730329413.8603475
-21559.53157657761,-258.922607770277,1730329413.8646176
-21627.03384483264,-316.88068114288825,1730329413.8677754
-21532.30715183105,-203.71379896566856,1730329413.8716333
-21501.34998576045,-191.8003191709899,1730329413.8757875
-21518.27025631312,-253.28996816753963,1730329413.879485
-21543.46067231425,-248.1267151983637,1730329413.883777
-21578.530559364623,-217.4824735501377,1730329413.888646
-21509.28485504209,-160.10554553336448,1730329413.8915524
-21469.74461910065,-189.5651447254592,1730329413.8953629
-21559.62098355544,-277.2286864791735,1730329413.8994577
-21571.31094590556,-267.4162706632937,1730329413.9032826
-21467.97883128868,-183.32900802242847,1730329413.9078925
-21530.787233208088,-178.85865913136712,1730329413.9113407
-21563.71135279076,-215.67198224925784,1730329413.9168832
-21564.65012605788,-220.74582824061247,1730329413.9193585
-21550.523823562125,-183.0384353445096,1730329413.9225595
-21529.02144539612,-206.44071178921604,1730329413.9274547
-21512.235285310184,-272.93715154375457,1730329413.9315965
-21570.036896471607,-259.8613810373999,1730329413.9353657
-21534.3858640654,-175.41649048524982,1730329413.9395728
-21514.24694231116,-154.09292627488688,1730329413.9445007
-21535.749320477167,-225.6632120207801,1730329413.9476364
-21535.81637571053,-256.30745366900607,1730329413.9511516
-21520.59483773647,-202.216232087163,1730329413.9556396
-21524.48404127169,-189.4310342587273,1730329413.959609
-21582.66563208885,-271.3054741985171,1730329413.9638767
-21574.551948851586,-266.23162820716243,1730329413.9675868
-21548.333352605507,-208.0053339010876,1730329413.9719453
-21516.817392923524,-165.69348164719125,1730329413.9756055
-21491.559921689022,-214.442636304216,1730329413.9787507
-21570.34982089398,-294.9983233211426,1730329413.9836538
-21504.09925032845,-208.6758862347468,1730329413.987554
-21432.37250237137,-161.20078101167454,1730329413.9918563
-21560.626812055925,-219.2035578731964,1730329413.995528
-21652.09015036704,-319.56289047752506,1730329413.999584
-21536.4869280442,-241.6223575618693,1730329414.003466
-21413.32881609545,-171.1920107831968,1730329414.007062
-21539.772634479123,-212.9674211701657,1730329414.010468
-21590.04170775911,-243.2093314181961,1730329414.0157597
-21586.59953911299,-233.84395049142248,1730329414.0194736
-21556.379980609418,-180.57974345442577,1730329414.0240407
-21472.24801447964,-198.0588076184759,1730329414.0275176
-21542.54425079158,-240.1471424278191,1730329414.0310657
-21578.30704192008,-261.82833454946694,1730329414.0349455
-21544.89118395939,-227.40664808829405,1730329414.0388336
-21490.1741135328,-173.0919090618979,1730329414.0435393
-21530.42960529681,-219.76235148457903,1730329414.0478067
-21575.08839071851,-251.72534605566813,1730329414.051798
-21538.409178067348,-204.3396478104172,1730329414.0552878
-21477.21010174872,-163.57006592393708,1730329414.0588305
-21518.02438712411,-227.2054823881963,1730329414.0628796
-21581.570396610547,-262.9459217722323,1730329414.0667996
-21558.346934121484,-184.20072605618552,1730329414.0721014
-21535.83872745499,-191.28622904851784,1730329414.076038
-21501.417040993816,-255.01105249059827,1730329414.0797372
-21543.0359891696,-291.5561546750253,1730329414.082829
-21594.17678048334,-235.4532760922046,1730329414.086568
-21518.8290499245,-169.22505727112977,1730329414.0910048
-21488.698898398747,-211.4027990582942,1730329414.094612
-21527.72504421772,-246.69620355322405,1730329414.099903
-21542.387788580392,-234.00041270260965,1730329414.1036987
-21491.06818331101,-209.63701124632493,1730329414.1081264
-21536.39752106637,-229.7982847450119,1730329414.110618
-21530.586067508,-230.3570783563946,1730329414.114817
-21530.586067508,-254.7428315571346,1730329414.118611
-21574.149617451385,-220.47760730714887,1730329414.1232097
-21505.283892784584,-220.43290381823823,1730329414.1275992
-21491.604625177937,-237.956671471199,1730329414.1323848
-21561.297364389586,-234.11217142488616,1730329414.1356692
-21570.79685578309,-186.03356910152067,1730329414.1388388
-21553.45190208577,-208.3406100679172,1730329414.1432664
-21543.751244992167,-277.29574171253944,1730329414.146971
-21565.23127141372,-266.56690437399203,1730329414.151508
-21536.062244899545,-187.1735080687413,1730329414.155384
-21482.038078551064,-173.51659220654872,1730329414.159854
-21519.946637147263,-234.11217142488616,1730329414.1630194
-21545.91936420433,-275.26173296710647,1730329414.167254
-21574.08256221802,-209.1899763572188,1730329414.1709356
-21505.060375340032,-165.8722956028337,1730329414.1751077
-21502.333462516483,-215.71668573816845,1730329414.1787755
-21553.11662591894,-255.6145495908916,1730329414.183241
-21552.55783230756,-224.5679765424701,1730329414.1882973
-21544.9358874483,-191.7779674265346,1730329414.1914084
-21525.42281453881,-240.3259563834616,1730329414.1948156
-21509.7765934201,-264.4211369062825,1730329414.1992235
-21509.418965508816,-244.8857122523441,1730329414.2027948
-21491.13523854437,-202.39504604280543,1730329414.207259
-21510.134221331387,-175.90822886326657,1730329414.2107875
-21589.304100192083,-247.1432384423302,1730329414.2162957
-21615.701510393803,-268.73502358615684,1730329414.2188115
-21558.16812016584,-189.11810983635303,1730329414.2230096
-21506.848514896457,-189.5651447254592,1730329414.226778
-21490.10705829943,-277.69807311273496,1730329414.2312558
-21485.457895452728,-273.473593410682,1730329414.2349944
-21569.96984123824,-188.9169441362553,1730329414.238984
-21531.994227408675,-168.26393225955158,1730329414.243858
-21522.852363926457,-230.8488167344113,1730329414.2472925
-21609.107745779485,-296.63000066638006,1730329414.2514193
-21536.39752106637,-210.86635719136683,1730329414.2554135
-21480.518159928102,-144.8840075593004,1730329414.258963
-21529.513183774136,-230.60294754540297,1730329414.263594
-21600.636434630924,-299.1110443009191,1730329414.2672937
-21585.884283290423,-250.54070359953687,1730329414.271593
-21533.02240765362,-176.66818817474703,1730329414.2739253
-21460.222775962684,-176.95876085266602,1730329414.2779355
-21520.28191331409,-249.5125233545928,1730329414.2832167
-21552.96016370776,-248.2831774095509,1730329414.2870212
-21546.589916537992,-182.3008277774844,1730329414.2913663
-21519.63371272489,-187.93346738022177,1730329414.294976
-21551.954335207265,-258.1402967143413,1730329414.2993782
-21572.160312194865,-277.60866613491373,1730329414.3018932
-21500.321805515505,-228.0324969330427,1730329414.3061247
-21443.324857154472,-228.97127020016555,1730329414.3109102
-21562.32554463453,-235.2744621365621,1730329414.315309
-21593.32741419404,-267.63978810784675,1730329414.3189309
-21566.326506892023,-212.16275836977465,1730329414.3234231
-21527.63563723989,-184.58070571192573,1730329414.3262806
-21534.184698365298,-245.77978203055645,1730329414.3302538
-21540.912573446345,-276.46872716769303,1730329414.3343396
