time_board,marker
1730329412.8768928,5.0
1730329412.8819292,5.0
1730329412.885753,5.0
1730329412.8900008,5.0
1730329412.892784,5.0
1730329412.8969223,5.0
1730329412.9011133,5.0
1730329412.904894,5.0
1730329412.9099524,5.0
1730329412.913952,5.0
1730329412.9169583,5.0
1730329412.9209535,5.0
1730329412.9249947,5.0
1730329412.9289992,5.0
1730329412.9329765,5.0
1730329412.9379952,5.0
1730329412.9419923,5.0
1730329412.944831,5.0
1730329412.9490082,5.0
1730329412.952884,5.0
1730329412.956967,5.0
1730329412.9608004,5.0
1730329412.9650493,5.0
1730329412.969864,5.0
1730329412.9735413,5.0
1730329412.9762912,5.0
1730329412.9810507,5.0
1730329412.9850943,5.0
1730329412.9890783,5.0
1730329412.9929185,5.0
1730329412.9980235,5.0
1730329413.0010684,5.0
1730329413.0050874,5.0
1730329413.009082,5.0
1730329413.013065,5.0
1730329413.0170443,5.0
1730329413.0210905,5.0
1730329413.0260882,5.0
1730329413.0291183,5.0
1730329413.033154,5.0
1730329413.037128,5.0
1730329413.041129,5.0
1730329413.0449812,5.0
1730329413.0501156,5.0
1730329413.0529792,5.0
1730329413.0561967,5.0
1730329413.0609753,5.0
1730329413.0650637,5.0
1730329413.0690267,5.0
1730329413.073136,5.0
1730329413.0769897,5.0
1730329413.081247,5.0
1730329413.0840344,5.0
1730329413.0891557,5.0
1730329413.0932777,5.0
1730329413.097424,5.0
1730329413.1013196,5.0
1730329413.1052244,5.0
1730329413.1096067,5.0
1730329413.1121883,5.0
1730329413.1173282,5.0
1730329413.1213803,5.0
1730329413.1253176,5.0
1730329413.1292608,5.0
1730329413.1333368,5.0
1730329413.1370895,5.0
1730329413.1402712,5.0
1730329413.1440835,5.0
1730329413.1493635,5.0
1730329413.153202,5.0
1730329413.1573093,5.0
1730329413.1611114,5.0
1730329413.1652634,5.0
1730329413.16828,5.0
1730329413.1723175,5.0
1730329413.1761303,5.0
1730329413.1813293,5.0
1730329413.1852791,5.0
1730329413.1884336,5.0
1730329413.19216,5.0
1730329413.1962483,5.0
1730329413.200256,5.0
1730329413.2053452,5.0
1730329413.209319,5.0
1730329413.213471,5.0
1730329413.2163565,5.0
1730329413.220281,5.0
1730329413.2247927,5.0
1730329413.2283585,5.0
1730329413.2326171,5.0
1730329413.2374525,5.0
1730329413.2413993,5.0
1730329413.244228,5.0
1730329413.2483723,5.0
1730329413.2522745,5.0
1730329413.2562895,5.0
1730329413.2602253,5.0
1730329413.265411,5.0
1730329413.269292,5.0
1730329413.2724795,5.0
1730329413.2763867,5.0
1730329413.28039,5.0
1730329413.2843893,5.0
1730329413.288422,5.0
1730329413.2934809,5.0
1730329413.2965353,5.0
1730329413.2994697,5.0
1730329413.3046255,5.0
1730329413.3085997,5.0
1730329413.312518,5.0
1730329413.3165207,5.0
1730329413.3213968,5.0
1730329413.324443,5.0
1730329413.3283424,5.0
1730329413.3326883,5.0
1730329413.3363955,5.0
1730329413.340624,5.0
1730329413.3443944,5.0
1730329413.3497522,5.0
1730329413.3524482,5.0
1730329413.3556056,5.0
1730329413.3604102,5.0
1730329413.3645585,5.0
1730329413.36874,5.0
1730329413.3727984,5.0
1730329413.3784895,5.0
1730329413.3817356,5.0
1730329413.3855157,5.0
1730329413.388719,5.0
1730329413.3927271,5.0
1730329413.3966916,5.0
1730329413.4005444,5.0
1730329413.4037132,5.0
1730329413.4076767,5.0
1730329413.4116304,5.0
1730329413.4167278,5.0
1730329413.4213445,5.0
1730329413.4250803,5.0
1730329413.4285898,5.0
1730329413.432701,5.0
1730329413.4355464,5.0
1730329413.43968,5.0
1730329413.4434988,5.0
1730329413.4486885,5.0
1730329413.4525387,5.0
1730329413.4566667,5.0
1730329413.4597208,5.0
1730329413.463725,5.0
1730329413.4677377,5.0
1730329413.4717531,5.0
1730329413.476668,5.0
1730329413.480749,5.0
1730329413.484752,5.0
1730329413.487766,5.0
1730329413.4917448,5.0
1730329413.4957447,5.0
1730329413.4997756,5.0
1730329413.5038843,5.0
1730329413.5088718,5.0
1730329413.5128844,5.0
1730329413.5158691,5.0
1730329413.519807,5.0
1730329413.5238495,5.0
1730329413.5276942,5.0
1730329413.531819,5.0
1730329413.5369232,5.0
1730329413.53995,5.0
1730329413.543736,5.0
1730329413.5479438,5.0
1730329413.5517993,5.0
1730329413.555925,5.0
1730329413.560001,5.0
1730329413.5649655,5.0
1730329413.5679643,5.0
1730329413.571982,5.0
1730329413.576023,5.0
1730329413.579947,5.0
1730329413.5840054,5.0
1730329413.5878408,5.0
1730329413.5930378,5.0
1730329413.5960107,5.0
1730329413.6000395,5.0
1730329413.6038363,5.0
1730329413.607987,5.0
1730329413.6119173,5.0
1730329413.6160247,5.0
1730329413.620839,5.0
1730329413.6239865,5.0
1730329413.627931,5.0
1730329413.631961,5.0
1730329413.635851,5.0
1730329413.6399577,5.0
1730329413.643855,5.0
1730329413.6480885,5.0
1730329413.6509123,5.0
1730329413.6552024,5.0
1730329413.6602037,5.0
1730329413.6642249,5.0
1730329413.6681712,5.0
1730329413.672177,5.0
1730329413.676191,5.0
1730329413.6791232,5.0
1730329413.682945,5.0
1730329413.6880937,5.0
1730329413.6920407,5.0
1730329413.6960113,5.0
1730329413.7000687,5.0
1730329413.7041335,5.0
1730329413.7071664,5.0
1730329413.710966,5.0
1730329413.7161586,5.0
1730329413.720217,5.0
1730329413.724234,5.0
1730329413.7281735,5.0
1730329413.732199,5.0
1730329413.7351048,5.0
1730329413.7391312,5.0
1730329413.743192,5.0
1730329413.7481184,5.0
1730329413.7520952,5.0
1730329413.7562664,5.0
1730329413.7592611,5.0
1730329413.7638576,5.0
1730329413.767666,5.0
1730329413.7727883,5.0
1730329413.776606,5.0
1730329413.7804427,5.0
1730329413.783556,5.0
1730329413.787305,5.0
1730329413.7914093,5.0
1730329413.7952087,5.0
1730329413.7992735,5.0
1730329413.8044338,5.0
1730329413.8088906,5.0
1730329413.8111975,5.0
1730329413.8154435,5.0
1730329413.819227,5.0
1730329413.823564,5.0
1730329413.8272884,5.0
1730329413.832708,5.0
1730329413.8362737,5.0
1730329413.839337,5.0
1730329413.8436286,5.0
1730329413.8477523,5.0
1730329413.8515875,5.0
1730329413.8555515,5.0
1730329413.8603475,5.0
1730329413.8646176,5.0
1730329413.8677754,5.0
1730329413.8716333,5.0
1730329413.8757875,5.0
1730329413.879485,5.0
1730329413.883777,5.0
1730329413.888646,5.0
1730329413.8915524,5.0
1730329413.8953629,5.0
1730329413.8994577,5.0
1730329413.9032826,5.0
1730329413.9078925,5.0
1730329413.9113407,5.0
1730329413.9168832,5.0
1730329413.9193585,5.0
1730329413.9225595,5.0
1730329413.9274547,5.0
1730329413.9315965,5.0
1730329413.9353657,5.0
1730329413.9395728,5.0
1730329413.9445007,5.0
1730329413.9476364,5.0
1730329413.9511516,5.0
1730329413.9556396,5.0
1730329413.959609,5.0
1730329413.9638767,5.0
1730329413.9675868,5.0
1730329413.9719453,5.0
1730329413.9756055,5.0
1730329413.9787507,5.0
1730329413.9836538,5.0
1730329413.987554,5.0
1730329413.9918563,5.0
1730329413.995528,5.0
1730329413.999584,5.0
1730329414.003466,5.0
1730329414.007062,5.0
1730329414.010468,5.0
1730329414.0157597,5.0
1730329414.0194736,5.0
1730329414.0240407,5.0
1730329414.0275176,5.0
1730329414.0310657,5.0
1730329414.0349455,5.0
1730329414.0388336,5.0
1730329414.0435393,5.0
1730329414.0478067,5.0
1730329414.051798,5.0
1730329414.0552878,5.0
1730329414.0588305,5.0
1730329414.0628796,5.0
1730329414.0667996,5.0
1730329414.0721014,5.0
1730329414.076038,5.0
1730329414.0797372,5.0
1730329414.082829,5.0
1730329414.086568,5.0
1730329414.0910048,5.0
1730329414.094612,5.0
1730329414.099903,5.0
1730329414.1036987,5.0
1730329414.1081264,5.0
1730329414.110618,5.0
1730329414.114817,5.0
1730329414.118611,5.0
1730329414.1232097,5.0
1730329414.1275992,5.0
1730329414.1323848,5.0
1730329414.1356692,5.0
1730329414.1388388,5.0
1730329414.1432664,5.0
1730329414.146971,5.0
1730329414.151508,5.0
1730329414.155384,5.0
1730329414.159854,5.0
1730329414.1630194,5.0
1730329414.167254,5.0
