Fp1,C3,time_board
-5057.99860453589,7684.932075134764,1731452424.1468203
-5099.662256200583,7701.114738120406,1731452424.150986
-5093.4261194975525,7719.018485429107,1731452424.154933
-5052.768296333349,7690.609418226411,1731452424.1597557
-5017.005505204857,7658.46760969968,1731452424.163912
-4981.13095535409,7693.872772916887,1731452424.1679356
-5098.231744555444,7687.0778426024735,1731452424.1709034
-5012.401045847064,7693.068110116495,1731452424.1749475
-4978.828725675193,7664.703746402711,1731452424.1790092
-5058.512694658362,7685.960255379708,1731452424.1829443
-5094.141375320122,7704.892182933353,1731452424.186947
-5107.284201059842,7705.80860445602,1731452424.1919188
-4993.312656082232,7721.901860463841,1731452424.1959248
-5037.859682781659,7685.289703046049,1731452424.1991558
-5100.131642834144,7622.011914493074,1731452424.202964
-5065.508790672874,7653.8631503418865,1731452424.2069435
-5065.128811017134,7687.055490858018,1731452424.2109785
-5023.152234930067,7712.871755703897,1731452424.2149656
-5036.652688581073,7706.635619000866,1731452424.2198677
-5029.0307437218125,7693.559848494512,1731452424.223971
-5030.952993744969,7705.898011433842,1731452424.22696
-5085.379491493642,7686.384938524358,1731452424.230816
-5080.462107713474,7683.926246634275,1731452424.2349913
-5071.230837253433,7704.176927110783,1731452424.2390697
-5030.885938511603,7709.451938802235,1731452424.2430065
-5035.222176935933,7690.095328103939,1731452424.2478204
-5061.329014459731,7635.422961166259,1731452424.2509997
-5002.432167819997,7620.469644125658,1731452424.2549548
-5111.955715651002,7560.566968985435,1731452424.2592735
-4939.802579856227,7752.434343389791,1731452424.2630577
-4999.280571851798,7765.532465640601,1731452424.2671103
-5163.342376153752,7702.85817418792,1731452424.2710147
-5067.3639854626645,7688.441299014247,1731452424.2760708
-5010.299981868266,7664.010842324596,1731452424.2792711
-5050.108438743167,7612.870051010854,1731452424.2831557
-5068.123944774145,7692.933999649764,1731452424.287057
-5050.533121887818,7695.392691539847,1731452424.2911174
-5064.882941828125,7657.238263754638,1731452424.295128
-5103.037369613334,7560.142285840784,1731452424.2992587
-5086.765299649871,7675.499638974624,1731452424.3031244
-4977.755841941338,7736.519901337612,1731452424.3071284
-5016.603173804662,7679.791173910043,1731452424.310074
-5060.591406892706,7677.198371553228,1731452424.315199
-5090.028654340345,7710.2118981137155,1731452424.3192544
-5062.603063893684,7702.634656743367,1731452424.3231122
-4980.303940809244,7725.344029109959,1731452424.3272028
-5039.558415360262,7696.443223529247,1731452424.331225
-5112.849785429214,7655.338365475937,1731452424.3352065
-5053.818828322748,7674.560865707501,1731452424.3381312
-5004.488528309886,7660.613377167389,1731452424.3431523
-5134.955660695513,7599.190783404206,1731452424.347128
-5116.671933731072,7671.990415095141,1731452424.351172
-5065.218217994955,7672.884484873353,1731452424.3550427
-5021.632316307106,7644.363658948381,1731452424.3581483
-5005.0249701768125,7707.730854479177,1731452424.3621974
-5070.157953519578,7716.559793539023,1731452424.3662007
-5102.679741702049,7687.547229236035,1731452424.3712196
-5046.375697419131,7676.349005263925,1731452424.3750267
-5024.046304708279,7634.998278021608,1731452424.3793025
-5047.605043364173,7627.868071540364,1731452424.3831973
-5049.840217809703,7683.769784423088,1731452424.3872085
-5045.772200318837,7691.347025793437,1731452424.3902078
-5053.751773089382,7651.493865429625,1731452424.394241
-5083.189020537022,7592.21703913415,1731452424.398243
-5117.744817464926,7633.880690798842,1731452424.403321
-5065.933473817525,7742.823093274009,1731452424.40712
-4989.423452547008,7726.640430288367,1731452424.4113104
-5069.57680816374,7666.938920848242,1731452424.4142752
-5063.452430182985,7649.348097961914,1731452424.4183447
-5007.662476022539,7696.7114444627105,1731452424.4223216
-5023.018124463335,7719.24200287366,1731452424.426357
-5033.523444357329,7686.921380391286,1731452424.4313357
-5161.30836740832,7645.123618259861,1731452424.4353302
-5130.619422271183,7678.651234942822,1731452424.4393492
-5046.956842774969,7713.832880715476,1731452424.4423
-5049.773162576337,7693.42573802778,1731452424.4463549
-5046.442752652497,7669.062336571495,1731452424.4503093
-5086.228857782943,7669.03998482704,1731452424.4543846
-5049.549645131784,7659.272272500071,1731452424.4593468
-5052.678889355528,7647.783475850043,1731452424.463246
-5117.118968620178,7650.666850884778,1731452424.4676733
-5047.068601497245,7646.107095015895,1731452424.4701371
-5048.655575353572,7664.256711513604,1731452424.4742098
-5024.046304708279,7686.630807713367,1731452424.4782796
-5050.019031765346,7703.059339888017,1731452424.4823613
-4924.40222792652,7638.865129812376,1731452424.4873202
-5022.034647707302,7682.071051844484,1731452424.4914024
-5144.321041622286,7666.603644681412,1731452424.4943964
-5147.137361423655,7737.10104669345,1731452424.4982903
-5132.094637405234,7707.619095756901,1731452424.5021925
-5021.788778518293,7737.793950771565,1731452424.5063446
-5007.573069044718,7736.028162959596,1731452424.510403
-5071.677872142538,7699.192488097249,1731452424.5154269
-5109.452320272008,7664.904912102808,1731452424.5192776
-5080.998549580401,7683.121583833884,1731452424.5224
-5033.478740868419,7689.178906581272,1731452424.5264423
-5022.548737829774,7679.142973320839,1731452424.5323331
-5132.496968805429,7669.062336571495,1731452424.5387633
-5108.5135470048845,7665.217836525183,1731452424.5390131
-5042.195921205988,7687.457822258213,1731452424.5451677
-5030.528310600318,7667.855342370909,1731452424.5514314
-5066.246398239899,7642.016725780574,1731452424.5562108
-5109.027637127357,7678.964159365197,1731452424.556403
-5036.943261258992,7667.52006620408,1731452424.5611067
-5092.442642741518,7646.822350838465,1731452424.5627725
-5050.421363165541,7736.117569937417,1731452424.566372
-5098.075282344256,7729.009715200629,1731452424.5705335
-5075.231799510932,7723.779406998087,1731452424.5753922
-5060.926683059536,7662.289758001538,1731452424.5783837
-5005.472005065919,7575.319120325938,1731452424.582381
-5009.450615578963,7632.696048342711,1731452424.586734
-5089.62632294015,7803.776300403631,1731452424.5907097
-5091.034482840834,7776.820096590531,1731452424.5945058
-5045.436924152008,7733.591822813967,1731452424.5984015
