time_board,marker
1731452381.5283868,5.0
1731452381.5324757,5.0
1731452381.5353324,5.0
1731452381.5395627,5.0
1731452381.5433652,5.0
1731452381.5485103,5.0
1731452381.552396,5.0
1731452381.556572,5.0
1731452381.5603907,5.0
1731452381.5635445,5.0
1731452381.5673313,5.0
1731452381.5715532,5.0
1731452381.575523,5.0
1731452381.580557,5.0
1731452381.5845425,5.0
1731452381.5884652,5.0
1731452381.5914075,5.0
1731452381.5956357,5.0
1731452381.5994887,5.0
1731452381.6036515,5.0
1731452381.60858,5.0
1731452381.6125855,5.0
1731452381.6164916,5.0
1731452381.619676,5.0
1731452381.6236677,5.0
1731452381.6276605,5.0
1731452381.6316,5.0
1731452381.635685,5.0
1731452381.6407585,5.0
1731452381.6447728,5.0
1731452381.6478653,5.0
1731452381.651664,5.0
1731452381.6557517,5.0
1731452381.6595857,5.0
1731452381.664703,5.0
1731452381.6686018,5.0
1731452381.6718037,5.0
1731452381.6756585,5.0
1731452381.6798146,5.0
1731452381.6838045,5.0
1731452381.6878908,5.0
1731452381.6917653,5.0
1731452381.6967616,5.0
1731452381.6997397,5.0
1731452381.703705,5.0
1731452381.7077713,5.0
1731452381.711762,5.0
1731452381.7157795,5.0
1731452381.7198348,5.0
1731452381.7248356,5.0
1731452381.7277987,5.0
1731452381.7316687,5.0
1731452381.7358725,5.0
1731452381.739682,5.0
1731452381.7437272,5.0
1731452381.74778,5.0
1731452381.7528696,5.0
1731452381.7558365,5.0
1731452381.7597337,5.0
1731452381.7638285,5.0
1731452381.7678168,5.0
1731452381.7719371,5.0
1731452381.7757094,5.0
1731452381.7798607,5.0
1731452381.7829225,5.0
1731452381.78786,5.0
1731452381.7918696,5.0
1731452381.7958996,5.0
1731452381.7999096,5.0
1731452381.8039165,5.0
1731452381.8078122,5.0
1731452381.8108883,5.0
1731452381.8148985,5.0
1731452381.8199315,5.0
1731452381.8239243,5.0
1731452381.82806,5.0
1731452381.831946,5.0
1731452381.835927,5.0
1731452381.8388736,5.0
1731452381.8428433,5.0
1731452381.847856,5.0
1731452381.851806,5.0
1731452381.8557882,5.0
1731452381.8597896,5.0
1731452381.8638024,5.0
1731452381.8668773,5.0
1731452381.87096,5.0
1731452381.8757732,5.0
1731452381.8800173,5.0
1731452381.8839116,5.0
1731452381.887022,5.0
1731452381.8908837,5.0
1731452381.894982,5.0
1731452381.8990383,5.0
1731452381.904087,5.0
1731452381.9080076,5.0
1731452381.9121394,5.0
1731452381.9151423,5.0
1731452381.9191518,5.0
1731452381.923174,5.0
1731452381.9268992,5.0
1731452381.931121,5.0
1731452381.9361916,5.0
1731452381.9400318,5.0
1731452381.942948,5.0
1731452381.9470108,5.0
1731452381.9511232,5.0
1731452381.9550653,5.0
1731452381.959089,5.0
1731452381.964254,5.0
1731452381.9680817,5.0
1731452381.9709835,5.0
1731452381.9751656,5.0
1731452381.9790788,5.0
1731452381.9830556,5.0
1731452381.9870017,5.0
1731452381.9921775,5.0
1731452381.9961057,5.0
1731452381.9992006,5.0
1731452382.0032322,5.0
1731452382.00727,5.0
1731452382.0110571,5.0
1731452382.0150585,5.0
1731452382.0202143,5.0
1731452382.0232944,5.0
1731452382.0262544,5.0
1731452382.0311651,5.0
1731452382.0352812,5.0
1731452382.0391989,5.0
1731452382.0434291,5.0
1731452382.048288,5.0
1731452382.0512445,5.0
1731452382.0542526,5.0
1731452382.059245,5.0
1731452382.063259,5.0
1731452382.0671897,5.0
1731452382.0711844,5.0
1731452382.0754144,5.0
1731452382.0793967,5.0
1731452382.0823834,5.0
1731452382.087376,5.0
1731452382.0913155,5.0
1731452382.0953703,5.0
1731452382.0993774,5.0
1731452382.1042943,5.0
1731452382.1073525,5.0
1731452382.1102653,5.0
1731452382.1143255,5.0
1731452382.1193073,5.0
1731452382.123315,5.0
1731452382.1272666,5.0
1731452382.1303902,5.0
1731452382.134281,5.0
1731452382.1383953,5.0
1731452382.14233,5.0
1731452382.14747,5.0
1731452382.1513395,5.0
1731452382.1553292,5.0
1731452382.1584387,5.0
1731452382.1624231,5.0
1731452382.1663716,5.0
1731452382.1705875,5.0
1731452382.1753807,5.0
1731452382.1794243,5.0
1731452382.1834984,5.0
