Fp1,C3,time_board
-304.81073913702244,8238.361267848166,1730330838.4647355
-366.8591817449548,8248.128980175135,1730330838.4687629
-386.9534000102759,8298.35334996621,1730330838.4727807
-356.8679519734326,8374.505743325442,1730330838.475867
-336.4161057968266,8339.391152786155,1730330838.479823
-383.0194929861418,8303.136623279646,1730330838.483658
-412.76966485615554,8357.18314137258,1730330838.4877925
-384.0029697421753,8382.530019584898,1730330838.4916143
-359.5054578191588,8345.001440644437,1730330838.4968493
-353.7387077496896,8244.44094234001,1730330838.5007403
-349.6036350254578,8114.6443622880415,1730330838.503818
-315.78544566457816,8113.191498898447,1730330838.5076125
-290.2150500077069,8275.532218877343,1730330838.511857
-342.0263936551087,8361.340565841267,1730330838.5158305
-430.1816737868397,8370.03539443438,1730330838.519822
-419.4528364482923,8334.920803895093,1730330838.5246775
-343.7474779781673,8197.703444683963,1730330838.5288696
-314.2655270416173,8240.641145782607,1730330838.5318491
-371.240123658195,8346.431952289577,1730330838.5358305
-378.7726615396335,8247.30196563029,1730330838.53989
-317.2383090541732,8203.470194753432,1730330838.543849
-302.888489113866,8218.691732727497,1730330838.547856
-344.2615681006393,8191.891991125583,1730330838.5528538
-354.4316118278041,8185.499392211365,1730330838.5568848
-324.81555042452226,8217.730607715917,1730330838.5598917
-306.12949205988554,8264.289291416322,1730330838.5639267
-363.014681698642,8304.701245391518,1730330838.567886
-404.3654089409601,8326.293030535344,1730330838.571953
-351.16825713732925,8312.345541995233,1730330838.575738
-329.55412024904734,8386.799202775861,1730330838.5799751
-402.4208071733484,8475.06624162987,1730330838.5849447
-420.1010370374962,8354.433876804576,1730330838.5879953
-331.58812899448026,8278.884980545638,1730330838.5917833
-268.0421195080423,8274.504038632398,1730330838.5958683
-302.1732332912962,8252.77814302184,1730330838.599821
-372.15654518086257,8268.267901929368,1730330838.6039927
-353.33637634949406,8295.246457486923,1730330838.6088693
-282.9954365486427,8339.189987086056,1730330838.611737
-336.9748994082093,8423.098435771279,1730330838.6150503
-443.3692030154709,8514.070035704379,1730330838.6199863
-442.02809834815247,8395.561086602342,1730330838.6239705
-305.7048089152347,8249.090105186713,1730330838.6278164
-251.0994972109196,8286.506925404898,1730330838.6320257
-349.82715247001084,8359.50772279593,1730330838.637144
-365.0933939329856,8362.636967019675,1730330838.6403177
-322.33450678998315,8299.158012766602,1730330838.643438
-325.597861480458,8331.70215269353,1730330838.6480591
-361.3159491200387,8372.695252024561,1730330838.6520643
-387.6463040883904,8361.877007708194,1730330838.6561227
-358.3431671074828,8395.695197069073,1730330838.6600769
-331.9904603946758,8395.51638311343,1730330838.6641617
-341.6911174882791,8350.812894202816,1730330838.66792
