Fp1,C3,time_board
-90.56926853290422,1192.4432149461766,1730246317.231034
-99.3311523593846,1226.306107795967,1730246317.2350645
-160.97726356712147,1173.779508325995,1730246317.240038
-191.4650430041603,1129.1207229042916,1730246317.2430537
-116.40788512323918,1158.0885837183696,1730246317.2458696
-122.86753927082292,1190.588020156386,1730246317.2509873
-160.8655048448449,1141.3247753768892,1730246317.255078
-167.50397294807112,1102.9021266582165,1730246317.2589617
-164.75470838006837,1178.0486915169588,1730246317.2630668
-103.95796346163314,1224.2720990505338,1730246317.2668984
-122.39815263726148,1212.9397646116931,1730246317.2700727
-162.6536444012695,1131.624118283286,1730246317.2740855
-118.88892875777826,1124.0915804018475,1730246317.279101
-97.63241978078123,1185.1788979982016,1730246317.2829232
-168.84507761538956,1203.9767150851148,1730246317.2870803
-192.6496854602916,1152.0312609709813,1730246317.2910953
-151.85775182935618,1131.0206211829927,1730246317.2940304
-85.24955335254114,1196.8688603483272,1730246317.2981207
-79.48280328307192,1192.4655666906317,1730246317.302129
-171.30376950547333,1144.1857986671685,1730246317.3071208
-158.45151644367178,1110.6134784952974,1730246317.3111527
-128.187254451186,1175.366482182322,1730246317.315175
-138.73727783409095,1192.0185318015256,1730246317.3191347
-158.2279989991187,1155.4510778726433,1730246317.3221288
-166.4534409586717,1098.722350445074,1730246317.3261817
-127.2037776951525,1135.6474322852412,1730246317.330166
-109.12121643080908,1205.0495988189696,1730246317.3350625
-148.61674888333667,1169.3538629238442,1730246317.3391342
-167.61573167034766,1099.8399376678394,1730246317.3431969
-133.50696963154908,1119.3530105773225,1730246317.347195
-83.2378963515635,1169.6444356017632,1730246317.3500187
-102.08041692738736,1165.4199558997102,1730246317.354159
-198.1035111073865,1116.0449523979369,1730246317.3580627
-147.94619654967744,1132.4734845725875,1730246317.3622358
-151.18719949569697,1187.0564445324476,1730246317.3670995
-172.7789846395236,1133.524016561987,1730246317.371238
-157.13276352080865,1099.1470335897247,1730246317.3742013
-134.87042604332282,1166.9622262671264,1730246317.3782732
-125.9520800056553,1228.2060060746678,1730246317.3822663
-129.7518765630575,1215.7113809241512,1730246317.3862777
-160.88785658930024,1152.5677028379089,1730246317.3902724
-152.2377314850964,1121.0293914114704,1730246317.395262
-124.29805091596258,1159.8543715303388,1730246317.399273
-120.61001308083692,1199.171090027224,1730246317.4023836
-125.6615073277363,1154.802877283439,1730246317.4062817
-173.4718887176381,1097.9400393891383,1730246317.4103332
-150.74016460659084,1171.0302437579924,1730246317.4143307
-124.47686487160504,1206.1448342972797,1730246317.4183393
-137.26206270004067,1151.4054121262327,1730246317.423307
-148.28147271650707,1111.5522517624202,1730246317.4273398
