time_board,marker
1730246267.1003084,5.0
1730246267.104272,5.0
1730246267.1082745,5.0
1730246267.1132214,5.0
1730246267.1162305,5.0
1730246267.1203103,5.0
1730246267.1241837,5.0
1730246267.1283343,5.0
1730246267.13216,5.0
1730246267.13626,5.0
1730246267.140195,5.0
1730246267.1443496,5.0
1730246267.147352,5.0
1730246267.152336,5.0
1730246267.1561506,5.0
1730246267.160349,5.0
1730246267.164377,5.0
1730246267.1673665,5.0
1730246267.171363,5.0
1730246267.1754072,5.0
1730246267.1804152,5.0
1730246267.1844084,5.0
1730246267.1884372,5.0
1730246267.1924195,5.0
1730246267.1954172,5.0
1730246267.19933,5.0
1730246267.2034569,5.0
1730246267.207311,5.0
1730246267.2124653,5.0
1730246267.216395,5.0
1730246267.2206895,5.0
1730246267.223386,5.0
1730246267.2275083,5.0
1730246267.231423,5.0
1730246267.235649,5.0
1730246267.240425,5.0
1730246267.244908,5.0
1730246267.248428,5.0
1730246267.2517178,5.0
1730246267.2558024,5.0
1730246267.2595413,5.0
1730246267.2637825,5.0
1730246267.2674785,5.0
1730246267.2726712,5.0
1730246267.2761412,5.0
1730246267.27961,5.0
1730246267.2835348,5.0
1730246267.2874808,5.0
1730246267.2915468,5.0
1730246267.297207,5.0
1730246267.301005,5.0
1730246267.304016,5.0
1730246267.3074574,5.0
1730246267.3118525,5.0
1730246267.3154914,5.0
1730246267.319788,5.0
1730246267.3234923,5.0
1730246267.3287466,5.0
1730246267.3315234,5.0
1730246267.3360384,5.0
1730246267.339511,5.0
1730246267.343028,5.0
1730246267.3475864,5.0
1730246267.3518236,5.0
1730246267.355752,5.0
1730246267.3597732,5.0
1730246267.363888,5.0
1730246267.3688235,5.0
1730246267.372005,5.0
1730246267.3758545,5.0
1730246267.3802004,5.0
1730246267.3838184,5.0
1730246267.387755,5.0
1730246267.3918755,5.0
1730246267.3968005,5.0
1730246267.3995924,5.0
1730246267.4030347,5.0
1730246267.4076042,5.0
1730246267.4117727,5.0
1730246267.415597,5.0
1730246267.4198248,5.0
1730246267.4236696,5.0
1730246267.427727,5.0
1730246267.430932,5.0
1730246267.4360733,5.0
1730246267.4397943,5.0
1730246267.4439578,5.0
1730246267.4476907,5.0
1730246267.4520612,5.0
1730246267.455117,5.0
1730246267.4592671,5.0
1730246267.464085,5.0
1730246267.4678056,5.0
1730246267.4720392,5.0
1730246267.4760263,5.0
1730246267.4790137,5.0
1730246267.4828193,5.0
1730246267.4871848,5.0
1730246267.4908104,5.0
1730246267.496081,5.0
1730246267.4999664,5.0
1730246267.5040717,5.0
1730246267.5067308,5.0
1730246267.511224,5.0
1730246267.514803,5.0
1730246267.5190916,5.0
1730246267.523779,5.0
1730246267.5279164,5.0
1730246267.5318215,5.0
1730246267.5353978,5.0
1730246267.5391016,5.0
1730246267.5431798,5.0
1730246267.5471752,5.0
1730246267.5521932,5.0
1730246267.5560088,5.0
1730246267.5600832,5.0
1730246267.5631196,5.0
1730246267.567021,5.0
1730246267.571366,5.0
1730246267.5756702,5.0
1730246267.579522,5.0
1730246267.584144,5.0
1730246267.5871177,5.0
1730246267.590937,5.0
1730246267.5951197,5.0
1730246267.5990348,5.0
1730246267.603439,5.0
1730246267.60697,5.0
1730246267.612358,5.0
1730246267.614928,5.0
1730246267.6195097,5.0
1730246267.623064,5.0
1730246267.6271431,5.0
1730246267.6310627,5.0
1730246267.6352444,5.0
1730246267.6400404,5.0
1730246267.643129,5.0
1730246267.647034,5.0
1730246267.6515307,5.0
1730246267.6555548,5.0
1730246267.6596837,5.0
1730246267.6636755,5.0
1730246267.668435,5.0
1730246267.6715777,5.0
1730246267.6756268,5.0
1730246267.6792276,5.0
1730246267.6832387,5.0
1730246267.6872172,5.0
1730246267.6911747,5.0
1730246267.6955993,5.0
1730246267.6980808,5.0
1730246267.702416,5.0
1730246267.7071235,5.0
1730246267.711548,5.0
1730246267.7150805,5.0
1730246267.7194705,5.0
1730246267.7230854,5.0
1730246267.726222,5.0
1730246267.7310708,5.0
1730246267.7356572,5.0
1730246267.7391984,5.0
1730246267.7434225,5.0
1730246267.747326,5.0
1730246267.7508495,5.0
1730246267.7546504,5.0
1730246267.7584116,5.0
1730246267.7621348,5.0
1730246267.7673128,5.0
1730246267.7712924,5.0
1730246267.7752995,5.0
1730246267.778272,5.0
1730246267.7824397,5.0
1730246267.7864127,5.0
1730246267.791326,5.0
1730246267.7953243,5.0
1730246267.7993324,5.0
1730246267.8023183,5.0
1730246267.8066092,5.0
1730246267.8103485,5.0
1730246267.8141584,5.0
1730246267.818935,5.0
1730246267.823252,5.0
1730246267.8272808,5.0
1730246267.8304956,5.0
1730246267.8345375,5.0
1730246267.8390026,5.0
1730246267.8427403,5.0
1730246267.8464575,5.0
1730246267.8517478,5.0
1730246267.855726,5.0
1730246267.8590057,5.0
1730246267.862811,5.0
1730246267.8665693,5.0
1730246267.870802,5.0
1730246267.874395,5.0
1730246267.8797836,5.0
1730246267.8840868,5.0
1730246267.8866963,5.0
1730246267.8903546,5.0
1730246267.8947835,5.0
1730246267.8984275,5.0
1730246267.902778,5.0
1730246267.9073625,5.0
1730246267.910752,5.0
1730246267.9143848,5.0
1730246267.918779,5.0
1730246267.9224763,5.0
1730246267.9268792,5.0
1730246267.9306855,5.0
1730246267.934672,5.0
1730246267.9390116,5.0
1730246267.94291,5.0
1730246267.9470627,5.0
1730246267.9510026,5.0
1730246267.9550283,5.0
1730246267.9587526,5.0
1730246267.963734,5.0
1730246267.9667292,5.0
1730246267.969744,5.0
1730246267.9745128,5.0
1730246267.979195,5.0
1730246267.9827707,5.0
1730246267.9867945,5.0
1730246267.9905188,5.0
1730246267.9951172,5.0
1730246267.997579,5.0
1730246268.0018032,5.0
1730246268.0066085,5.0
1730246268.011104,5.0
1730246268.0168235,5.0
1730246268.0199933,5.0
1730246268.0226889,5.0
1730246268.0259986,5.0
1730246268.0297225,5.0
1730246268.0347788,5.0
1730246268.0390875,5.0
1730246268.0430584,5.0
1730246268.045807,5.0
1730246268.049687,5.0
1730246268.0540874,5.0
1730246268.057717,5.0
1730246268.06316,5.0
1730246268.0669637,5.0
1730246268.0709906,5.0
1730246268.073716,5.0
1730246268.0778067,5.0
1730246268.081663,5.0
1730246268.085667,5.0
1730246268.0906572,5.0
1730246268.0948813,5.0
1730246268.0987148,5.0
1730246268.101944,5.0
1730246268.1058462,5.0
1730246268.1100411,5.0
1730246268.1140745,5.0
1730246268.1194162,5.0
1730246268.1226938,5.0
1730246268.1271875,5.0
1730246268.1300817,5.0
1730246268.134246,5.0
1730246268.1379125,5.0
1730246268.1423357,5.0
1730246268.146274,5.0
1730246268.150941,5.0
1730246268.1539986,5.0
1730246268.1578715,5.0
1730246268.1621945,5.0
1730246268.165862,5.0
1730246268.1701791,5.0
1730246268.1738503,5.0
1730246268.1795156,5.0
1730246268.1818254,5.0
1730246268.1859496,5.0
1730246268.1898048,5.0
1730246268.194007,5.0
1730246268.1988823,5.0
1730246268.202018,5.0
1730246268.206792,5.0
1730246268.2100265,5.0
1730246268.2140093,5.0
1730246268.218053,5.0
1730246268.2220616,5.0
1730246268.2262092,5.0
1730246268.230162,5.0
1730246268.2341368,5.0
1730246268.2380953,5.0
1730246268.242574,5.0
1730246268.2461035,5.0
1730246268.250625,5.0
1730246268.254496,5.0
1730246268.2581956,5.0
1730246268.263496,5.0
1730246268.265977,5.0
1730246268.269513,5.0
1730246268.2740128,5.0
1730246268.278208,5.0
1730246268.2820077,5.0
1730246268.2860162,5.0
1730246268.2899857,5.0
1730246268.2933831,5.0
1730246268.2971556,5.0
1730246268.3023849,5.0
1730246268.3060536,5.0
1730246268.3104668,5.0
1730246268.3141215,5.0
1730246268.3181772,5.0
1730246268.3215704,5.0
1730246268.3256247,5.0
1730246268.3305216,5.0
1730246268.3344584,5.0
1730246268.3382137,5.0
1730246268.342157,5.0
1730246268.3461769,5.0
1730246268.3492413,5.0
1730246268.3535216,5.0
1730246268.3582687,5.0
1730246268.3625157,5.0
1730246268.3661113,5.0
1730246268.3705685,5.0
1730246268.3730743,5.0
1730246268.377298,5.0
1730246268.381087,5.0
1730246268.386263,5.0
1730246268.3901358,5.0
1730246268.3947072,5.0
1730246268.3981278,5.0
1730246268.401451,5.0
1730246268.4051783,5.0
1730246268.4093504,5.0
1730246268.4134204,5.0
1730246268.4184513,5.0
1730246268.4223092,5.0
1730246268.4257648,5.0
1730246268.4297304,5.0
1730246268.4339232,5.0
1730246268.437396,5.0
1730246268.441394,5.0
1730246268.446372,5.0
1730246268.4507203,5.0
1730246268.4537618,5.0
1730246268.457308,5.0
1730246268.4617934,5.0
1730246268.4652665,5.0
1730246268.4697158,5.0
1730246268.4743173,5.0
1730246268.478973,5.0
1730246268.481276,5.0
1730246268.485392,5.0
1730246268.4892812,5.0
1730246268.4939544,5.0
1730246268.4972825,5.0
1730246268.5014832,5.0
1730246268.5063908,5.0
1730246268.509492,5.0
1730246268.513746,5.0
1730246268.517386,5.0
1730246268.5217571,5.0
1730246268.5258565,5.0
1730246268.52977,5.0
1730246268.5340636,5.0
1730246268.5363584,5.0
1730246268.5403862,5.0
1730246268.5458455,5.0
1730246268.5494635,5.0
1730246268.55393,5.0
1730246268.5574512,5.0
1730246268.5621583,5.0
1730246268.5644023,5.0
1730246268.5696108,5.0
1730246268.5735123,5.0
1730246268.5775845,5.0
1730246268.5814517,5.0
1730246268.585794,5.0
1730246268.5894754,5.0
1730246268.59304,5.0
1730246268.5966444,5.0
1730246268.601604,5.0
1730246268.6056893,5.0
1730246268.6096284,5.0
1730246268.61308,5.0
1730246268.6168392,5.0
1730246268.6208937,5.0
1730246268.6246223,5.0
1730246268.6297617,5.0
1730246268.6340804,5.0
1730246268.6376808,5.0
1730246268.6405876,5.0
1730246268.644906,5.0
1730246268.648516,5.0
1730246268.6530426,5.0
1730246268.6575592,5.0
1730246268.661794,5.0
1730246268.665635,5.0
1730246268.6688232,5.0
1730246268.6725276,5.0
1730246268.6771562,5.0
1730246268.6806123,5.0
1730246268.68618,5.0
1730246268.6895938,5.0
1730246268.693624,5.0
1730246268.6968486,5.0
1730246268.701006,5.0
1730246268.7049136,5.0
1730246268.7091632,5.0
1730246268.7137835,5.0
1730246268.7177868,5.0
1730246268.722016,5.0
1730246268.7258406,5.0
1730246268.729833,5.0
1730246268.7327795,5.0
1730246268.7372272,5.0
1730246268.7406986,5.0
1730246268.7458634,5.0
1730246268.7486887,5.0
1730246268.7531617,5.0
1730246268.756719,5.0
1730246268.761053,5.0
1730246268.7646942,5.0
1730246268.7688997,5.0
1730246268.7736976,5.0
1730246268.7767785,5.0
1730246268.7806866,5.0
1730246268.7848897,5.0
1730246268.788741,5.0
1730246268.7929175,5.0
1730246268.7968116,5.0
1730246268.8019266,5.0
1730246268.8048248,5.0
1730246268.8079162,5.0
1730246268.8129146,5.0
1730246268.8168976,5.0
1730246268.8208773,5.0
1730246268.8250208,5.0
1730246268.8300838,5.0
1730246268.8331735,5.0
1730246268.8369832,5.0
1730246268.8410287,5.0
1730246268.8450942,5.0
1730246268.8489523,5.0
1730246268.8531249,5.0
1730246268.855818,5.0
1730246268.8601215,5.0
1730246268.8638403,5.0
1730246268.8691287,5.0
1730246268.8729167,5.0
1730246268.8772774,5.0
1730246268.8809216,5.0
1730246268.8844862,5.0
1730246268.8879547,5.0
1730246268.8926148,5.0
1730246268.897071,5.0
1730246268.9011178,5.0
1730246268.9052813,5.0
1730246268.9094925,5.0
1730246268.912292,5.0
1730246268.9160523,5.0
1730246268.9201477,5.0
1730246268.9257395,5.0
1730246268.9291368,5.0
1730246268.9332235,5.0
1730246268.9371183,5.0
