time_board,marker
1730411381.0319085,5.0
1730411381.0364406,5.0
1730411381.0400245,5.0
1730411381.0426643,5.0
1730411381.047321,5.0
1730411381.0520213,5.0
1730411381.0559893,5.0
1730411381.0598447,5.0
1730411381.0640182,5.0
1730411381.0668037,5.0
1730411381.0714214,5.0
1730411381.074871,5.0
1730411381.0799243,5.0
1730411381.0837252,5.0
1730411381.0877936,5.0
1730411381.0918744,5.0
1730411381.0953808,5.0
1730411381.0989337,5.0
1730411381.103366,5.0
1730411381.1071312,5.0
1730411381.1120956,5.0
1730411381.116254,5.0
1730411381.12042,5.0
1730411381.123066,5.0
1730411381.1270957,5.0
1730411381.131412,5.0
1730411381.1348758,5.0
1730411381.140299,5.0
1730411381.1445987,5.0
1730411381.1472063,5.0
1730411381.1508956,5.0
1730411381.1554017,5.0
1730411381.1589513,5.0
1730411381.163439,5.0
1730411381.1679072,5.0
1730411381.1721778,5.0
1730411381.1748528,5.0
1730411381.1790652,5.0
1730411381.1830878,5.0
1730411381.18729,5.0
1730411381.1910808,5.0
1730411381.1964288,5.0
1730411381.1999173,5.0
1730411381.2034364,5.0
1730411381.207549,5.0
1730411381.211594,5.0
1730411381.2154248,5.0
1730411381.2191048,5.0
1730411381.2234406,5.0
1730411381.2281718,5.0
1730411381.2311788,5.0
1730411381.2350717,5.0
1730411381.2392004,5.0
1730411381.243157,5.0
1730411381.247528,5.0
1730411381.2510076,5.0
1730411381.25652,5.0
1730411381.2590623,5.0
1730411381.26361,5.0
1730411381.2670112,5.0
1730411381.271273,5.0
1730411381.2750933,5.0
1730411381.280804,5.0
1730411381.2831104,5.0
1730411381.2860303,5.0
1730411381.2913816,5.0
1730411381.295356,5.0
1730411381.2992089,5.0
1730411381.3036296,5.0
1730411381.3071454,5.0
1730411381.3118005,5.0
1730411381.3141215,5.0
1730411381.3192637,5.0
1730411381.3233612,5.0
1730411381.3274174,5.0
1730411381.331322,5.0
1730411381.3352883,5.0
1730411381.33925,5.0
1730411381.342198,5.0
1730411381.346408,5.0
1730411381.3511703,5.0
1730411381.3554273,5.0
1730411381.3591323,5.0
1730411381.3636167,5.0
1730411381.3671863,5.0
1730411381.370889,5.0
1730411381.3743846,5.0
1730411381.3793497,5.0
1730411381.3832664,5.0
1730411381.3878293,5.0
1730411381.390514,5.0
1730411381.3949552,5.0
1730411381.398492,5.0
1730411381.4027567,5.0
1730411381.407657,5.0
1730411381.411788,5.0
1730411381.415989,5.0
1730411381.4183817,5.0
1730411381.4228015,5.0
1730411381.4262772,5.0
1730411381.4306204,5.0
1730411381.435424,5.0
1730411381.439432,5.0
1730411381.4434338,5.0
