time_board,marker
1730244353.9678855,5.0
1730244353.971776,5.0
1730244353.975684,5.0
1730244353.979785,5.0
1730244353.9848597,5.0
1730244353.9887948,5.0
1730244353.9928358,5.0
1730244353.9956656,5.0
1730244354.000003,5.0
1730244354.0036645,5.0
1730244354.0079746,5.0
1730244354.012988,5.0
1730244354.0170012,5.0
1730244354.0207236,5.0
1730244354.0237937,5.0
1730244354.0277276,5.0
1730244354.0321836,5.0
1730244354.0357533,5.0
1730244354.0408912,5.0
1730244354.0447717,5.0
1730244354.0479383,5.0
1730244354.05208,5.0
1730244354.0559003,5.0
1730244354.0602024,5.0
1730244354.0640757,5.0
1730244354.0689116,5.0
1730244354.0732195,5.0
1730244354.0759387,5.0
1730244354.08035,5.0
1730244354.0841963,5.0
1730244354.0885165,5.0
1730244354.092172,5.0
1730244354.0972786,5.0
1730244354.1009977,5.0
1730244354.10382,5.0
1730244354.108018,5.0
1730244354.111838,5.0
1730244354.1169424,5.0
1730244354.119917,5.0
1730244354.1239357,5.0
1730244354.1279857,5.0
1730244354.13216,5.0
1730244354.135862,5.0
1730244354.1411488,5.0
1730244354.1438863,5.0
1730244354.1482413,5.0
1730244354.15206,5.0
1730244354.1560729,5.0
1730244354.1601036,5.0
1730244354.1641655,5.0
1730244354.1689367,5.0
1730244354.1726737,5.0
1730244354.177127,5.0
1730244354.181133,5.0
1730244354.1848447,5.0
1730244354.1881473,5.0
1730244354.1921716,5.0
1730244354.1961927,5.0
1730244354.19917,5.0
1730244354.2030168,5.0
1730244354.2082496,5.0
1730244354.2120204,5.0
1730244354.2162106,5.0
1730244354.220032,5.0
1730244354.2232504,5.0
1730244354.2270353,5.0
1730244354.2313097,5.0
1730244354.236194,5.0
1730244354.240221,5.0
1730244354.24408,5.0
1730244354.248247,5.0
1730244354.2520497,5.0
1730244354.255194,5.0
1730244354.2611172,5.0
1730244354.2642083,5.0
1730244354.2682223,5.0
1730244354.272226,5.0
1730244354.2762504,5.0
1730244354.2792788,5.0
1730244354.2832954,5.0
1730244354.2871096,5.0
1730244354.2912903,5.0
1730244354.2963233,5.0
1730244354.3003445,5.0
1730244354.304252,5.0
1730244354.307329,5.0
1730244354.3111484,5.0
1730244354.3173163,5.0
1730244354.3203163,5.0
1730244354.3243032,5.0
1730244354.3281653,5.0
1730244354.3313556,5.0
1730244354.3351884,5.0
1730244354.3393562,5.0
1730244354.3433688,5.0
1730244354.3473785,5.0
1730244354.351406,5.0
1730244354.356979,5.0
1730244354.359522,5.0
1730244354.363937,5.0
1730244354.3676016,5.0
1730244354.3719995,5.0
1730244354.3754923,5.0
1730244354.379572,5.0
1730244354.3845956,5.0
1730244354.3873703,5.0
