time_board,marker
1730989447.0098872,5.0
1730989447.0138016,5.0
1730989447.0179155,5.0
1730989447.0209794,5.0
1730989447.024869,5.0
1730989447.0298848,5.0
1730989447.0339868,5.0
1730989447.0379548,5.0
1730989447.040978,5.0
1730989447.0449655,5.0
1730989447.0488489,5.0
1730989447.0538387,5.0
1730989447.0578473,5.0
1730989447.0618532,5.0
1730989447.065992,5.0
1730989447.0689633,5.0
1730989447.072907,5.0
1730989447.0772913,5.0
1730989447.0810623,5.0
1730989447.086177,5.0
1730989447.0899975,5.0
1730989447.0940351,5.0
1730989447.0970345,5.0
1730989447.1014364,5.0
1730989447.1049335,5.0
1730989447.108938,5.0
1730989447.1139295,5.0
1730989447.1179636,5.0
1730989447.1219623,5.0
1730989447.1249683,5.0
1730989447.128961,5.0
1730989447.1329424,5.0
1730989447.1370077,5.0
1730989447.1419897,5.0
1730989447.146073,5.0
1730989447.150031,5.0
1730989447.153062,5.0
1730989447.157048,5.0
1730989447.1611085,5.0
1730989447.1651535,5.0
1730989447.169139,5.0
1730989447.174176,5.0
1730989447.1770575,5.0
1730989447.1815631,5.0
1730989447.1851685,5.0
1730989447.1890757,5.0
1730989447.1931732,5.0
1730989447.1970994,5.0
1730989447.2021108,5.0
1730989447.2051427,5.0
1730989447.2091153,5.0
1730989447.2131364,5.0
1730989447.2171502,5.0
1730989447.2210948,5.0
1730989447.2251704,5.0
1730989447.230228,5.0
1730989447.2334015,5.0
1730989447.2373898,5.0
1730989447.2411444,5.0
1730989447.2454011,5.0
1730989447.2493849,5.0
1730989447.2534025,5.0
1730989447.258328,5.0
1730989447.2612967,5.0
1730989447.2643304,5.0
1730989447.2693465,5.0
1730989447.2734628,5.0
1730989447.27739,5.0
1730989447.281253,5.0
1730989447.2854548,5.0
1730989447.2885814,5.0
1730989447.292345,5.0
1730989447.2974565,5.0
1730989447.3015084,5.0
1730989447.3054914,5.0
1730989447.3093505,5.0
1730989447.3125176,5.0
1730989447.3165753,5.0
1730989447.320331,5.0
1730989447.3253765,5.0
1730989447.3293986,5.0
1730989447.3335285,5.0
1730989447.3374507,5.0
1730989447.3404095,5.0
1730989447.3445787,5.0
1730989447.348467,5.0
1730989447.3524723,5.0
1730989447.3577352,5.0
1730989447.361502,5.0
1730989447.3655913,5.0
1730989447.369576,5.0
1730989447.3724852,5.0
1730989447.3765793,5.0
1730989447.380368,5.0
1730989447.3855443,5.0
1730989447.389511,5.0
1730989447.3936136,5.0
1730989447.3965938,5.0
1730989447.4006245,5.0
1730989447.404624,5.0
1730989447.4086037,5.0
1730989447.413598,5.0
1730989447.4176352,5.0
1730989447.420473,5.0
1730989447.424677,5.0
1730989447.4286788,5.0
1730989447.4327009,5.0
1730989447.43669,5.0
1730989447.441544,5.0
1730989447.4455528,5.0
1730989447.4485784,5.0
1730989447.452592,5.0
1730989447.4566524,5.0
1730989447.46068,5.0
1730989447.46462,5.0
1730989447.4696724,5.0
1730989447.4737077,5.0
1730989447.476683,5.0
1730989447.48058,5.0
1730989447.484629,5.0
1730989447.488658,5.0
1730989447.4926429,5.0
1730989447.496685,5.0
1730989447.5016325,5.0
1730989447.504733,5.0
1730989447.5087492,5.0
1730989447.512732,5.0
1730989447.516617,5.0
1730989447.5206356,5.0
1730989447.5246992,5.0
1730989447.529719,5.0
1730989447.5326724,5.0
1730989447.5367389,5.0
1730989447.5407512,5.0
1730989447.544652,5.0
1730989447.548694,5.0
1730989447.5527413,5.0
1730989447.5567567,5.0
1730989447.5597732,5.0
1730989447.5646806,5.0
1730989447.5687983,5.0
1730989447.5727344,5.0
1730989447.5767202,5.0
1730989447.5807076,5.0
1730989447.5847433,5.0
1730989447.5877542,5.0
1730989447.5917504,5.0
1730989447.5967617,5.0
1730989447.60078,5.0
1730989447.6047788,5.0
1730989447.6087956,5.0
1730989447.612796,5.0
1730989447.6157916,5.0
1730989447.6197927,5.0
1730989447.624812,5.0
1730989447.6288464,5.0
1730989447.6328397,5.0
1730989447.6369665,5.0
1730989447.6399715,5.0
1730989447.6438982,5.0
1730989447.6479473,5.0
1730989447.651984,5.0
1730989447.6570053,5.0
1730989447.6610675,5.0
1730989447.6650436,5.0
1730989447.6681454,5.0
1730989447.6719325,5.0
1730989447.6761744,5.0
1730989447.6811447,5.0
1730989447.684908,5.0
1730989447.6888764,5.0
1730989447.691887,5.0
1730989447.6958692,5.0
1730989447.699865,5.0
1730989447.7039273,5.0
1730989447.7079332,5.0
1730989447.713011,5.0
1730989447.7170508,5.0
1730989447.7200332,5.0
1730989447.72403,5.0
1730989447.728057,5.0
1730989447.7320924,5.0
1730989447.7361264,5.0
1730989447.7402537,5.0
1730989447.7449424,5.0
1730989447.7479885,5.0
1730989447.7520752,5.0
1730989447.7561336,5.0
1730989447.760181,5.0
1730989447.7640214,5.0
1730989447.76917,5.0
1730989447.7730997,5.0
1730989447.7761257,5.0
1730989447.7801652,5.0
1730989447.7841232,5.0
1730989447.7881205,5.0
1730989447.792128,5.0
1730989447.7971027,5.0
1730989447.8002305,5.0
1730989447.8041852,5.0
1730989447.8081653,5.0
1730989447.8121471,5.0
1730989447.8161635,5.0
1730989447.8203125,5.0
1730989447.8241775,5.0
1730989447.829222,5.0
1730989447.832189,5.0
1730989447.8361535,5.0
1730989447.8402388,5.0
1730989447.844251,5.0
1730989447.8482208,5.0
1730989447.8531876,5.0
1730989447.8561544,5.0
1730989447.859265,5.0
1730989447.8632967,5.0
