Fp1,C3,time_board
23603.06216514852,25773.438903503287,1730655866.1641068
23687.149427789383,25724.309769190524,1730655866.1679747
23817.79537413065,25783.47483676372,1730655866.1709723
23781.89847253543,25804.59723527399,1730655866.1751587
23633.90757249684,25705.98133873717,1730655866.179044
23621.16707815732,25658.23801258064,1730655866.1830688
23739.67602725936,25763.157101053846,1730655866.186968
23806.619501903,25825.51846808416,1730655866.1920877
23809.257007748725,25729.18244948178,1730655866.1960835
23811.49218219425,25762.553603953555,1730655866.199118
23669.96093630325,25779.51857799513,1730655866.2029686
23673.559567160555,25766.889842377885,1730655866.2070253
23916.36656717856,25750.304847992047,1730655866.211017
23979.622003987075,25747.510879935133,1730655866.2151752
23818.33181599758,25846.59616310551,1730655866.2199917
23671.81613109304,25841.812889792072,1730655866.2240252
23733.283428345138,25718.319501676506,1730655866.2276285
24051.259344966336,25667.804559207507,1730655866.2311037
24170.34943942421,25780.032668117605,1730655866.2351775
23907.71644207436,25857.59322137752,1730655866.2393446
23587.482999263168,25763.827653387507,1730655866.2429953
23661.95901178825,25654.281753812047,1730655866.248131
23705.902541387382,25679.069838412983,1730655866.251063
23729.86361144348,25858.152014988904,1730655866.2551036
23767.638059572942,25841.812889792072,1730655866.25921
23689.339898746,25859.917802800872,1730655866.263163
23694.659613926367,25813.269712122645,1730655866.2671618
23851.05476988015,25627.079680809937,1730655866.2712193
23938.427738955947,25687.764667006097,1730655866.2752037
23727.02493989765,25900.77679166517,1730655866.2792113
23572.14970256683,25843.48927062622,1730655866.2822173
23727.87430618696,25698.53820783356,1730655866.287155
23792.47084766279,25737.273780974603,1730655866.291126
23690.43513422432,25849.83716605153,1730655866.2952433
23699.465238984256,25817.40478484688,1730655866.2992244
23824.18797304487,25626.20796277618,1730655866.3032084
24032.014492990314,25641.273038539057,1730655866.3072703
23814.64377816245,25854.799253320605,1730655866.3101437
23652.459520394747,25747.734397379685,1730655866.315179
23764.397056626924,25624.844506364407,1730655866.3191316
23855.88274668249,25738.79369959756,1730655866.3232715
23744.12402440596,25829.81000301957,1730655866.3273304
23695.956015104774,25799.72455498273,1730655866.3302
23718.844201427008,25800.57392127204,1730655866.334252
23765.268774660683,25742.90642057734,1730655866.3382292
23745.26396337318,25756.496281206168,1730655866.3422549
23731.47293704426,25864.11993075847,1730655866.3473103
23718.50892526018,25834.995607733206,1730655866.3512228
23661.98136353271,25767.918022622827,1730655866.3553412
23700.15814306237,25681.528530303065,1730655866.358369
23815.44844096285,25696.88417874386,1730655866.3623104
23879.21796789384,25829.74294778621,1730655866.3662765
23734.82569871256,25791.72263046773,1730655866.3703048
23820.768156143207,25812.73327025572,1730655866.3753269
23766.16284443889,25810.073412665537,1730655866.380304
23697.632395938923,25710.295225417045,1730655866.3842883
23711.49047750121,25713.536228363067,1730655866.3872955
23762.877138003965,25680.36623959139,1730655866.3902836
23865.67281075392,25616.239084749115,1730655866.3942664
23792.180274984872,25727.12608899189,1730655866.398292
23674.99007880569,25820.01993894815,1730655866.403388
23689.339898746,25727.617827369908,1730655866.4073172
23693.83259938152,25798.606967759966,1730655866.4112916
23679.706296885764,25798.338746826503,1730655866.4143257
23724.052157885097,25749.746054380663,1730655866.4183457
23754.852861744508,25757.01037132864,1730655866.4223285
23725.88500093043,25751.13186253689,1730655866.4263265
23708.003605366182,25795.656537491865,1730655866.4313886
23748.482614574747,25755.7810253836,1730655866.4353628
23922.73681434832,25743.12993802189,1730655866.4393723
23914.6454828555,25807.570017286544,1730655866.4423351
23646.9833430032,25944.94383870886,1730655866.446442
23573.20023455623,25719.571199366,1730655866.4504044
23633.46053760773,25655.3546375459,1730655866.4543655
23725.84029744152,25734.435109428778,1730655866.458432
23695.37486974893,25770.71199067974,1730655866.4634316
23752.88590823244,25744.98513281168,1730655866.4664235
23820.835211376576,25666.374047562367,1730655866.4703748
23744.77222499517,25758.977324840704,1730655866.4744172
23646.469252880725,25858.93432604484,1730655866.4784143
23642.133014456394,25722.56633312301,1730655866.4824088
23710.05996585607,25701.22041716819,1730655866.4864411
23770.45437937432,25723.03571975657,1730655866.4914584
23758.295030390625,25775.495263993176,1730655866.4945912
23747.052102929607,25770.354362768456,1730655866.4983816
23835.14032782797,25737.117318763416,1730655866.5025332
23852.753502458752,25780.122075095427,1730655866.5065055
23717.614855481967,25783.96657514173,1730655866.5104437
23679.92981433032,25723.259237201124,1730655866.5145192
23705.343747776,25739.3748449534,1730655866.5194752
23699.711108173266,25738.65958913083,1730655866.5224645
23744.41459708388,25810.095764409994,1730655866.52658
23823.539772455668,25754.43992071628,1730655866.530512
23775.30470792112,25708.6188445829,1730655866.5346053
23686.16595103335,25750.64012415888,1730655866.5385406
23695.88895987141,25793.71193572425,1730655866.5456111
23727.78489920913,25763.71589466523,1730655866.5495546
23688.423477223336,25839.04127347961,1730655866.552572
23653.95708727325,25824.4455843503,1730655866.555555
23700.35930876247,25718.65477784333,1730655866.5585475
23772.890719519943,25713.84915278544,1730655866.562566
23805.99365305825,25723.5721616235,1730655866.5665796
23830.267647536715,25748.114377035425,1730655866.570604
23692.379735991926,25744.113414777927,1730655866.5745788
23730.17653586585,25749.85781310294,1730655866.5775764
23701.25337854068,25774.645897703875,1730655866.5815487
23682.50026494268,25741.52061242111,1730655866.586651
23796.5165134092,25782.58076698551,1730655866.5906172
23733.01520741168,25757.658571917844,1730655866.5945983
23703.220332052748,25741.67707463229,1730655866.5986493
23746.22508838476,25758.440882973777,1730655866.603829
23800.38336519997,25673.75012323262,1730655866.606772
23731.763509722176,25768.208595300748,1730655866.610618
23646.71512206973,25782.603118729963,1730655866.614652
23691.239797024704,25749.67899914729,1730655866.618646
23723.940399162817,25775.852891904466,1730655866.622684
23701.43219249633,25738.81605134202,1730655866.6266584
23737.39614932491,25744.80631885604,1730655866.6297767
23782.21139695781,25778.26688030564,1730655866.633696
23825.79729864565,25765.70519992175,1730655866.637745
23801.25508323373,25765.10170282146,1730655866.642707
23685.562453933057,25798.85283694897,1730655866.6468625
23676.264128239647,25737.072615274505,1730655866.650889
23674.945375316787,25725.22619071319,1730655866.6539366
23704.15910531987,25732.06582451652,1730655866.65799
23737.910239447385,25737.6761123748,1730655866.6618075
23749.08611167504,25744.04635954456,1730655866.665936
23756.57394606757,25758.3291242515,1730655866.6699307
23732.814041711576,25750.304847992047,1730655866.674807
23751.83537624304,25761.12309230841,1730655866.6789525
23766.45341711681,25763.91706036533,1730655866.6819322
23710.52935248964,25772.857758147453,1730655866.6857867
23645.97751450271,25764.25233653216,1730655866.6899607
23694.749020904183,25755.49045270568,1730655866.6938307
23723.336902062525,25771.09197033548,1730655866.697878
23744.191079639328,25783.161912341347,1730655866.7028527
23793.00728952972,25751.33302823699,1730655866.7068975
23791.10739125101,25757.658571917844,1730655866.7097952
23687.618814422945,25739.66541763132,1730655866.713866
23696.268939527148,25744.71691187822,1730655866.7178812
23728.72367247625,25758.57499344051,1730655866.7219417
23738.31257084758,25745.96860956772,1730655866.725845
23764.9111467494,25762.710066164746,1730655866.730946
23760.932536236352,25715.726699319686,1730655866.7339303
23741.710036004788,25748.51670843562,1730655866.737956
23732.12113763346,25765.57108945502,1730655866.741967
23765.738161294244,25730.38944368237,1730655866.7459736
23770.879062518965,25769.12501682341,1730655866.7499547
23714.17268683585,25747.734397379685,1730655866.7539268
23707.40010826589,25744.493394433663,1730655866.7589676
23749.533146564147,25778.95978438375,1730655866.761984
23718.37481479345,25752.80824337104,1730655866.7649865
23750.583678553543,25711.256350428623,1730655866.7699716
23820.90226660994,25740.2242112427,1730655866.7740045
23744.16872789487,25803.09966839548,1730655866.777947
23664.752979845165,25800.48451429421,1730655866.782033
23702.661538441367,25730.501202404645,1730655866.7870705
23741.821794727064,25730.27768496009,1730655866.7901568
23707.60127396599,25743.12993802189,1730655866.7929287
23710.752869934186,25765.928717366307,1730655866.7979867
23704.31556753106,25723.3709959234,1730655866.801998
23727.58373350904,25747.71204563523,1730655866.806066
23746.426254084858,25777.14929308287,1730655866.8100672
23739.09488190352,25733.183411739283,1730655866.814123
23802.64089138996,25765.995772599672,1730655866.8181045
23783.172521969384,25763.62648768741,1730655866.8212757
23694.9948900932,25736.98320829668,1730655866.8260264
23731.718806233264,25729.33891169297,1730655866.830122
23690.43513422432,25719.191219710257,1730655866.8341465
23732.478765544747,25748.986095069184,1730655866.8381815
23769.7614752962,25761.14544405287,1730655866.8411572
23810.19578101585,25745.253353745145,1730655866.8452132
23756.41748385638,25781.41847627384,1730655866.8491783
23678.18637826281,25753.18822302678,1730655866.85312
23778.590414356044,25782.133732096405,1730655866.8580472
23804.920769324395,25783.586595486,1730655866.8622248
23663.30011645557,25742.258219988136,1730655866.866132
23695.531331960123,25720.979359266683,1730655866.8701403
23737.84318421402,25747.309714235034,1730655866.8732214
23732.27759984465,25793.086086879503,1730655866.8770576
23731.87526844445,25793.66723223534,1730655866.882208
23712.049271112595,25755.7810253836,1730655866.886129
23722.755756706687,25721.359338922422,1730655866.890224
23758.02680945716,25742.63819964388,1730655866.89419
23748.92964946385,25801.088011394502,1730655866.8971968
23692.04445982509,25773.729476181208,1730655866.9011304
23687.775276634133,25683.29431811504,1730655866.9052415
23741.86649821597,25688.32346061748,1730655866.9093587
23790.503894150723,25747.95791482424,1730655866.9143755
23781.80906555761,25790.42622928932,1730655866.9182472
23735.093919646017,25741.922943821308,1730655866.922394
23752.103597176505,25741.2747432321,1730655866.9253752
23728.053120142595,25772.09779883597,1730655866.9292707
23751.12012042048,25752.696484648764,1730655866.933401
23767.638059572942,25765.459330732745,1730655866.9373004
23720.02884388314,25713.75974580762,1730655866.9413629
23772.734257308755,25703.41088812481,1730655866.946368
23780.13268472346,25767.42628424481,1730655866.9493587
23749.711960519788,25801.937377683804,1730655866.9533331
23731.69645448881,25781.30671755156,1730655866.957382
23695.24075928221,25740.67124613181,1730655866.9613388
23699.576997706536,25733.541039650565,1730655866.965476
23719.38064329393,25751.69065614828,1730655866.9704728
23757.400960612413,25760.027856830104,1730655866.974357
23775.90820502141,25746.348589223457,1730655866.977275
23695.37486974893,25737.18437399678,1730655866.9813387
23705.45550649828,25733.02694952809,1730655866.9852724
23776.66816433289,25741.72177812121,1730655866.9894905
23759.926707735864,25766.82278714452,1730655866.9932947
23752.17065240987,25804.66429050736,1730655866.9973416
23717.12311710395,25760.16196729684,1730655867.0023513
23719.850029927497,25751.62360091491,1730655867.0053585
23722.55459100659,25738.883106575384,1730655867.0096347
23765.715809549787,25715.637292341864,1730655867.0133362
23804.40667920193,25717.22426619819,1730655867.017387
23771.32609740807,25723.43805115677,1730655867.021525
23693.720840659244,25774.869415148427,1730655867.0264523
23707.28834954361,25742.124109521403,1730655867.0295994
23774.23182418726,25727.77428958109,1730655867.0323703
23799.33283321057,25765.21346154373,1730655867.0374773
23725.862649185976,25790.917967667338,1730655867.0414226
23735.38449232393,25756.00454282815,1730655867.0455172
23793.163751740904,25764.90053712136,1730655867.0494735
23697.67709942784,25766.9345458668,1730655867.0534947
23733.641056256423,25704.304957903023,1730655867.0574949
23815.29197875166,25772.634240702897,1730655867.060431
23712.02691936814,25807.34649984199,1730655867.0648155
23698.41470699486,25737.60905714143,1730655867.0695622
23717.57015199305,25711.63633008437,1730655867.0734973
23728.99189340972,25709.825838783487,1730655867.0774698
23766.36401013899,25761.659534175345,1730655867.081554
23793.588434885554,25789.26393857765,1730655867.0854228
23753.95879196629,25763.42532198731,1730655867.0885365
23680.93564283081,25765.548737710567,1730655867.092445
23703.08622158601,25748.00261831315,1730655867.0974991
23724.856820685487,25683.674297770776,1730655867.1015267
23749.354332608506,25702.94150149125,1730655867.1054893
23747.94617270782,25759.402007985354,1730655867.1095064
23739.58662028153,25739.732472864685,1730655867.1135728
23758.764417024187,25759.781987641098,1730655867.1165557
23790.99563252874,25733.04930127255,1730655867.1205225
23774.36593465399,25774.109455836948,1730655867.1255057
23740.860669715486,25803.68081375132,1730655867.129518
23755.70222803381,25748.315542735523,1730655867.133534
23701.745116918697,25698.98524272266,1730655867.1365745
23770.99082124124,25711.189295195258,1730655867.1405568
23785.430048159367,25773.19303431428,1730655867.144582
23731.6517509999,25778.66921170583,1730655867.1485837
23698.705279672777,25761.592478941977,1730655867.153599
23701.521599474145,25752.47296720421,1730655867.1576183
23710.775221678643,25715.078498730483,1730655867.1617734
23746.001570940207,25703.366184635903,1730655867.1647549
23800.3163099666,25723.080423245483,1730655867.1686015
23820.61169393202,25774.288269792592,1730655867.172766
23706.483686743224,25810.028709176622,1730655867.1766436
23709.903503644884,25762.128920808904,1730655867.180694
23762.877138003965,25724.510934890623,1730655867.1856177
23720.006492138684,25730.300036704542,1730655867.1896513
23715.044404869608,25720.174696466293,1730655867.19277
23736.636190013432,25722.56633312301,1730655867.1968348
23747.387379096435,25730.07651926,1730655867.200908
23760.99959146972,25768.34270576748,1730655867.2048187
23745.621591284467,25757.94914459576,1730655867.2086537
23740.41363482638,25739.7771763536,1730655867.2138023
23730.355349821493,25725.04737675755,1730655867.2178216
23756.641001300934,25739.79952809805,1730655867.2208383
23757.91505073489,25774.08710409249,1730655867.2247312
23732.769338222664,25750.17073752532,1730655867.2287264
23743.83345172804,25740.201859498247,1730655867.2327306
23745.062797673083,25720.95700752223,1730655867.2367609
23799.04226053265,25708.261216671614,1730655867.241757
23786.860559804507,25750.975400325704,1730655867.2448285
23735.138623134928,25747.443824701768,1730655867.2477665
23752.99766695472,25791.76733395664,1730655867.2529032
23737.97729468075,25786.604080987465,1730655867.2579842
23746.560364551588,25727.39430992536,1730655867.2618625
23742.89467846092,25704.863751514407,1730655867.266847
23781.764362068698,25718.453612143232,1730655867.2698717
23802.037394289662,25750.72953113669,1730655867.273913
23742.42529182736,25811.034537677115,1730655867.276785
23675.77238986163,25759.737284152183,1730655867.2808788
23734.71393999028,25694.5148938316,1730655867.2848103
23778.679821333862,25718.23009469868,1730655867.2890294
23761.446626358826,25755.49045270568,1730655867.292803
23743.22995462775,25747.756749124143,1730655867.2980137
23727.807250953585,25732.06582451652,1730655867.3009322
23724.72271021876,25737.363187952426,1730655867.3038466
23743.207602883293,25765.8840138774,1730655867.3088274
23748.41555934138,25757.435054473288,1730655867.313082
23754.31641987758,25730.43414717128,1730655867.3170764
23760.530204836155,25739.41954844231,1730655867.3209832
23759.59143156903,25746.7285688792,1730655867.3249512
23757.84799550152,25730.74707159365,1730655867.3279698
23801.165676255903,25729.115394248416,1730655867.3329928
23781.16086496841,25732.579914638987,1730655867.337005
23714.50796300268,25720.68878658877,1730655867.3409803
23771.66137357489,25772.25426104716,1730655867.3439
23755.255193144705,25764.05117083206,1730655867.3489609
23714.016224624665,25750.796586370063,1730655867.3530846
23724.387434051925,25743.062882788527,1730655867.3570995
23739.69837900381,25714.005614996626,1730655867.3610113
23777.07049573308,25707.43420212677,1730655867.3650894
23783.84307430304,25735.642103629365,1730655867.3689232
23777.986917255752,25764.27468827661,1730655867.3741157
23826.780775401687,25785.82176993153,1730655867.3769677
23819.024720075693,25762.777121398107,1730655867.381152
23683.237872509704,25749.746054380663,1730655867.3849704
23709.07648910004,25749.43312995829,1730655867.3892305
23744.83928022853,25755.758673639142,1730655867.3922403
23734.78099522364,25755.71397015023,1730655867.3961444
23748.214393641283,25725.60617036893,1730655867.4001243
