time_board,marker
1730655765.8901234,5.0
1730655765.8951528,5.0
1730655765.8992448,5.0
1730655765.9032264,5.0
1730655765.9071603,5.0
1730655765.9101758,5.0
1730655765.9141915,5.0
1730655765.9181948,5.0
1730655765.9242303,5.0
1730655765.9273696,5.0
1730655765.9314487,5.0
1730655765.9353597,5.0
1730655765.938418,5.0
1730655765.942288,5.0
1730655765.9462707,5.0
1730655765.950398,5.0
1730655765.9543855,5.0
1730655765.959324,5.0
1730655765.9623995,5.0
1730655765.966389,5.0
1730655765.9703896,5.0
1730655765.9743114,5.0
1730655765.978398,5.0
1730655765.9834,5.0
1730655765.987368,5.0
1730655765.9903204,5.0
1730655765.994408,5.0
1730655765.9983902,5.0
1730655766.0024428,5.0
1730655766.00643,5.0
1730655766.010574,5.0
1730655766.01533,5.0
1730655766.0184832,5.0
1730655766.0225227,5.0
1730655766.0264788,5.0
1730655766.0304625,5.0
1730655766.0343926,5.0
1730655766.0384145,5.0
1730655766.0435133,5.0
1730655766.0464952,5.0
1730655766.0504618,5.0
1730655766.0544806,5.0
1730655766.0585618,5.0
1730655766.0624795,5.0
1730655766.0675457,5.0
1730655766.0705247,5.0
1730655766.073501,5.0
1730655766.0785477,5.0
1730655766.082508,5.0
1730655766.0886464,5.0
1730655766.091574,5.0
1730655766.0947552,5.0
1730655766.0985155,5.0
1730655766.10174,5.0
1730655766.10649,5.0
1730655766.1107464,5.0
1730655766.114539,5.0
1730655766.118642,5.0
1730655766.122546,5.0
1730655766.1266236,5.0
1730655766.12963,5.0
1730655766.133541,5.0
1730655766.138648,5.0
1730655766.1425512,5.0
1730655766.1465604,5.0
1730655766.1506033,5.0
1730655766.1545768,5.0
1730655766.157585,5.0
1730655766.1625946,5.0
1730655766.1666007,5.0
1730655766.170598,5.0
1730655766.174568,5.0
1730655766.1776068,5.0
1730655766.1815732,5.0
1730655766.1856024,5.0
1730655766.189596,5.0
1730655766.193634,5.0
1730655766.1986113,5.0
1730655766.2026703,5.0
1730655766.2056751,5.0
1730655766.2096975,5.0
1730655766.2136924,5.0
1730655766.2176828,5.0
1730655766.222833,5.0
1730655766.226683,5.0
1730655766.2306724,5.0
1730655766.233683,5.0
1730655766.2376633,5.0
1730655766.2417393,5.0
1730655766.2457538,5.0
1730655766.2497897,5.0
1730655766.2547176,5.0
1730655766.2587285,5.0
1730655766.261727,5.0
1730655766.26573,5.0
1730655766.2697215,5.0
1730655766.2737353,5.0
1730655766.2777617,5.0
1730655766.2827263,5.0
1730655766.2857764,5.0
1730655766.2901125,5.0
1730655766.2939026,5.0
1730655766.297862,5.0
1730655766.3018017,5.0
1730655766.3064537,5.0
1730655766.3109365,5.0
1730655766.3138864,5.0
1730655766.3179743,5.0
1730655766.3218472,5.0
1730655766.3258164,5.0
1730655766.3298445,5.0
1730655766.3338463,5.0
1730655766.3388543,5.0
1730655766.3418767,5.0
1730655766.344828,5.0
1730655766.3498716,5.0
1730655766.3538926,5.0
1730655766.3579354,5.0
1730655766.3618903,5.0
1730655766.3649006,5.0
1730655766.369126,5.0
1730655766.3729167,5.0
1730655766.3778722,5.0
1730655766.3819366,5.0
1730655766.3859186,5.0
1730655766.3899636,5.0
1730655766.394981,5.0
1730655766.3980184,5.0
1730655766.400931,5.0
1730655766.4060063,5.0
1730655766.4099815,5.0
1730655766.4139602,5.0
1730655766.4179814,5.0
1730655766.4219944,5.0
1730655766.4250743,5.0
1730655766.4290128,5.0
1730655766.4340377,5.0
1730655766.4379723,5.0
1730655766.4420595,5.0
1730655766.4460597,5.0
1730655766.4490533,5.0
1730655766.453073,5.0
1730655766.457059,5.0
1730655766.46103,5.0
1730655766.4660556,5.0
1730655766.47011,5.0
1730655766.473076,5.0
1730655766.4770825,5.0
1730655766.4812562,5.0
1730655766.485109,5.0
1730655766.4892132,5.0
1730655766.495119,5.0
1730655766.499153,5.0
1730655766.5021403,5.0
1730655766.5051303,5.0
1730655766.5091712,5.0
1730655766.5131123,5.0
1730655766.517197,5.0
1730655766.5211744,5.0
1730655766.5261972,5.0
1730655766.5292194,5.0
1730655766.5334003,5.0
1730655766.5372937,5.0
1730655766.541258,5.0
1730655766.545308,5.0
1730655766.549328,5.0
1730655766.554329,5.0
1730655766.5572977,5.0
1730655766.5613108,5.0
1730655766.5652833,5.0
1730655766.5694635,5.0
1730655766.5732758,5.0
1730655766.5773778,5.0
1730655766.5812876,5.0
1730655766.5844982,5.0
1730655766.5894067,5.0
1730655766.593388,5.0
1730655766.597292,5.0
1730655766.6013465,5.0
1730655766.6053593,5.0
1730655766.6094496,5.0
1730655766.6124277,5.0
1730655766.6174676,5.0
1730655766.6214795,5.0
1730655766.6255004,5.0
1730655766.629468,5.0
1730655766.6335213,5.0
1730655766.6374726,5.0
1730655766.640391,5.0
1730655766.6445284,5.0
1730655766.649426,5.0
1730655766.6534548,5.0
1730655766.657489,5.0
1730655766.660594,5.0
1730655766.6644545,5.0
1730655766.6684592,5.0
1730655766.6724536,5.0
1730655766.6774218,5.0
1730655766.6814704,5.0
1730655766.6855571,5.0
1730655766.6885364,5.0
1730655766.692567,5.0
1730655766.6967351,5.0
1730655766.7008383,5.0
1730655766.7059069,5.0
1730655766.7097604,5.0
1730655766.7136283,5.0
1730655766.7165656,5.0
1730655766.7205412,5.0
1730655766.7248156,5.0
1730655766.728789,5.0
1730655766.7335942,5.0
1730655766.737589,5.0
1730655766.7416852,5.0
1730655766.744642,5.0
1730655766.748549,5.0
1730655766.7527936,5.0
1730655766.756606,5.0
1730655766.761628,5.0
1730655766.7656069,5.0
1730655766.768689,5.0
1730655766.772601,5.0
1730655766.7767584,5.0
1730655766.7806842,5.0
1730655766.7848537,5.0
1730655766.7886906,5.0
1730655766.7938216,5.0
1730655766.7968178,5.0
1730655766.8008752,5.0
1730655766.8050056,5.0
1730655766.8087516,5.0
1730655766.8147323,5.0
1730655766.8177192,5.0
1730655766.822401,5.0
1730655766.8246968,5.0
1730655766.828726,5.0
1730655766.8328588,5.0
1730655766.8367991,5.0
1730655766.8407316,5.0
1730655766.8448038,5.0
1730655766.8497932,5.0
1730655766.8528364,5.0
1730655766.8567398,5.0
1730655766.860933,5.0
1730655766.8647573,5.0
1730655766.8688424,5.0
1730655766.872844,5.0
1730655766.8778095,5.0
1730655766.8810947,5.0
1730655766.8849008,5.0
1730655766.88908,5.0
1730655766.8928533,5.0
1730655766.8968325,5.0
1730655766.9010155,5.0
1730655766.9039085,5.0
1730655766.9080029,5.0
1730655766.911948,5.0
1730655766.9169135,5.0
1730655766.9209344,5.0
1730655766.925055,5.0
1730655766.9290369,5.0
1730655766.9318967,5.0
1730655766.9359753,5.0
1730655766.939912,5.0
1730655766.94498,5.0
1730655766.948974,5.0
1730655766.9529996,5.0
1730655766.9569192,5.0
1730655766.9600189,5.0
1730655766.963919,5.0
1730655766.9679947,5.0
1730655766.9721107,5.0
1730655766.9770384,5.0
1730655766.9809875,5.0
1730655766.9839468,5.0
1730655766.987939,5.0
1730655766.992066,5.0
1730655766.996061,5.0
1730655767.000002,5.0
1730655767.0049574,5.0
1730655767.0090406,5.0
1730655767.0121212,5.0
1730655767.016125,5.0
1730655767.0200603,5.0
1730655767.024174,5.0
1730655767.0280623,5.0
1730655767.0331817,5.0
1730655767.0372727,5.0
1730655767.0400825,5.0
1730655767.044243,5.0
1730655767.048053,5.0
1730655767.0521688,5.0
1730655767.0560987,5.0
1730655767.0611827,5.0
1730655767.064077,5.0
1730655767.0671911,5.0
