time_board,marker
1730411795.5676668,1.0
1730411795.571765,1.0
1730411795.575865,1.0
1730411795.5787425,1.0
1730411795.5827563,1.0
1730411795.586686,1.0
1730411795.5908976,1.0
1730411795.5968175,1.0
1730411795.5997417,1.0
1730411795.6037996,1.0
1730411795.6070411,1.0
1730411795.6108456,1.0
1730411795.6149232,1.0
1730411795.6189785,1.0
1730411795.6229577,1.0
1730411795.62774,1.0
1730411795.6319273,1.0
1730411795.6350083,1.0
1730411795.638952,1.0
1730411795.6429696,1.0
1730411795.6469333,1.0
1730411795.650876,1.0
1730411795.6558533,1.0
1730411795.6598468,1.0
1730411795.6627944,1.0
1730411795.6669223,1.0
1730411795.6709504,1.0
1730411795.6750004,1.0
1730411795.6789424,1.0
1730411795.68408,1.0
1730411795.6879916,1.0
1730411795.691063,1.0
1730411795.6949117,1.0
1730411795.6990738,1.0
1730411795.7029605,1.0
1730411795.7070165,1.0
1730411795.7119408,1.0
1730411795.714944,1.0
1730411795.7190008,1.0
1730411795.7231145,1.0
1730411795.72707,1.0
1730411795.73095,1.0
1730411795.735102,1.0
1730411795.740234,1.0
1730411795.7431655,1.0
1730411795.7462463,1.0
1730411795.751223,1.0
1730411795.7551892,1.0
1730411795.7591631,1.0
1730411795.765104,1.0
1730411795.7681203,1.0
1730411795.7711549,1.0
1730411795.775114,1.0
1730411795.7790873,1.0
1730411795.7831194,1.0
1730411795.7870605,1.0
1730411795.7912176,1.0
1730411795.795071,1.0
1730411795.7982736,1.0
1730411795.8021157,1.0
1730411795.806282,1.0
1730411795.811156,1.0
1730411795.8153524,1.0
1730411795.8194096,1.0
1730411795.8232622,1.0
1730411795.8274448,1.0
1730411795.830663,1.0
1730411795.8343072,1.0
1730411795.8392308,1.0
1730411795.8431845,1.0
1730411795.8472648,1.0
1730411795.850298,1.0
1730411795.8543048,1.0
1730411795.8583703,1.0
1730411795.8623233,1.0
1730411795.8674357,1.0
1730411795.8712437,1.0
1730411795.8752928,1.0
1730411795.878194,1.0
1730411795.8822958,1.0
1730411795.8862288,1.0
1730411795.8902445,1.0
1730411795.8952155,1.0
1730411795.8992894,1.0
1730411795.903256,1.0
1730411795.906288,1.0
1730411795.9103105,1.0
1730411795.91433,1.0
1730411795.9202826,1.0
1730411795.9233348,1.0
1730411795.927592,1.0
1730411795.930343,1.0
1730411795.934518,1.0
1730411795.9385948,1.0
1730411795.9424243,1.0
1730411795.9464111,1.0
1730411795.9504569,1.0
1730411795.9555037,1.0
1730411795.9585335,1.0
1730411795.9623516,1.0
1730411795.966514,1.0
1730411795.970399,1.0
1730411795.9743423,1.0
1730411795.978398,1.0
