time_board,marker
1730986666.1111343,1.0
1730986666.1151748,1.0
1730986666.1191487,1.0
1730986666.1231537,1.0
1730986666.1282787,1.0
1730986666.1311607,1.0
1730986666.1341436,1.0
1730986666.1392612,1.0
1730986666.14332,1.0
1730986666.147477,1.0
1730986666.15117,1.0
1730986666.15624,1.0
1730986666.159268,1.0
1730986666.1622963,1.0
1730986666.1672847,1.0
1730986666.1714573,1.0
1730986666.1753902,1.0
1730986666.1793427,1.0
1730986666.184368,1.0
1730986666.1873856,1.0
1730986666.190242,1.0
1730986666.1953895,1.0
1730986666.1992764,1.0
1730986666.2034144,1.0
1730986666.2072985,1.0
1730986666.2103968,1.0
1730986666.2143848,1.0
1730986666.2183998,1.0
1730986666.222293,1.0
1730986666.227285,1.0
1730986666.231295,1.0
1730986666.2353213,1.0
1730986666.23831,1.0
1730986666.242313,1.0
1730986666.246333,1.0
1730986666.250342,1.0
1730986666.2553828,1.0
1730986666.2593963,1.0
1730986666.2633877,1.0
1730986666.2663715,1.0
1730986666.2705617,1.0
1730986666.2744043,1.0
1730986666.278571,1.0
1730986666.283676,1.0
1730986666.2876232,1.0
1730986666.29165,1.0
1730986666.294642,1.0
1730986666.2985888,1.0
1730986666.3025453,1.0
1730986666.3065605,1.0
1730986666.3115568,1.0
1730986666.3154967,1.0
1730986666.3195603,1.0
1730986666.322574,1.0
1730986666.326506,1.0
1730986666.3305,1.0
1730986666.3345904,1.0
1730986666.3386035,1.0
1730986666.3435392,1.0
1730986666.3465176,1.0
1730986666.3505895,1.0
1730986666.3546312,1.0
1730986666.358617,1.0
1730986666.3626337,1.0
1730986666.366558,1.0
1730986666.3719163,1.0
1730986666.374719,1.0
1730986666.3786073,1.0
1730986666.3825345,1.0
1730986666.3865955,1.0
1730986666.390726,1.0
1730986666.3945875,1.0
1730986666.399576,1.0
1730986666.402595,1.0
1730986666.406741,1.0
1730986666.410647,1.0
1730986666.4146528,1.0
1730986666.4187171,1.0
1730986666.4227357,1.0
1730986666.4277637,1.0
1730986666.4307616,1.0
1730986666.433754,1.0
1730986666.4387767,1.0
1730986666.442804,1.0
1730986666.4467444,1.0
1730986666.450786,1.0
1730986666.4557889,1.0
1730986666.458953,1.0
1730986666.461906,1.0
1730986666.4668145,1.0
1730986666.470794,1.0
1730986666.4748766,1.0
1730986666.4788632,1.0
1730986666.4818015,1.0
1730986666.4857435,1.0
1730986666.4897337,1.0
1730986666.4947302,1.0
