time_board,marker
1730243670.157049,3.0
1730243670.161142,3.0
1730243670.165171,3.0
1730243670.170055,3.0
1730243670.1733596,3.0
1730243670.176198,3.0
1730243670.1801012,3.0
1730243670.1853683,3.0
1730243670.189139,3.0
1730243670.193074,3.0
1730243670.196168,3.0
1730243670.2000892,3.0
1730243670.204147,3.0
1730243670.208146,3.0
1730243670.2131145,3.0
1730243670.2171035,3.0
1730243670.2211635,3.0
1730243670.2241817,3.0
1730243670.2282453,3.0
1730243670.2322736,3.0
1730243670.2364955,3.0
1730243670.241196,3.0
1730243670.2451615,3.0
1730243670.2491832,3.0
1730243670.2522862,3.0
1730243670.2562315,3.0
1730243670.26029,3.0
1730243670.2642896,3.0
1730243670.2702212,3.0
1730243670.273168,3.0
1730243670.2772305,3.0
1730243670.280193,3.0
1730243670.2842295,3.0
1730243670.2882085,3.0
1730243670.2922344,3.0
1730243670.2963624,3.0
1730243670.301442,3.0
1730243670.3042583,3.0
1730243670.308372,3.0
1730243670.3122673,3.0
1730243670.3164265,3.0
1730243670.3202846,3.0
1730243670.324444,3.0
1730243670.3293943,3.0
1730243670.3324711,3.0
1730243670.3363874,3.0
1730243670.340514,3.0
1730243670.3445015,3.0
1730243670.3484216,3.0
1730243670.352448,3.0
1730243670.3575125,3.0
1730243670.360496,3.0
1730243670.364358,3.0
1730243670.3683825,3.0
1730243670.372548,3.0
1730243670.3764052,3.0
1730243670.380426,3.0
1730243670.3845198,3.0
1730243670.3873892,3.0
1730243670.3915637,3.0
1730243670.3964868,3.0
1730243670.40056,3.0
1730243670.4044983,3.0
1730243670.4084456,3.0
1730243670.4124205,3.0
1730243670.4156232,3.0
1730243670.4195893,3.0
1730243670.4245772,3.0
1730243670.428486,3.0
1730243670.4325757,3.0
1730243670.4364707,3.0
1730243670.4396083,3.0
1730243670.443505,3.0
1730243670.4476926,3.0
1730243670.452639,3.0
1730243670.4565265,3.0
1730243670.4605925,3.0
1730243670.464707,3.0
1730243670.4676185,3.0
1730243670.4716945,3.0
1730243670.475586,3.0
1730243670.480667,3.0
1730243670.4846458,3.0
1730243670.4887393,3.0
1730243670.492702,3.0
1730243670.4956064,3.0
1730243670.499648,3.0
1730243670.5035844,3.0
1730243670.5077696,3.0
1730243670.5126014,3.0
1730243670.51676,3.0
1730243670.519708,3.0
1730243670.523824,3.0
1730243670.5276992,3.0
1730243670.53182,3.0
1730243670.5356953,3.0
1730243670.5408278,3.0
1730243670.5446644,3.0
1730243670.5477629,3.0
1730243670.5518348,3.0
1730243670.5557604,3.0
1730243670.5597434,3.0
1730243670.5638697,3.0
1730243670.5688393,3.0
1730243670.5728676,3.0
1730243670.5758195,3.0
1730243670.5798552,3.0
1730243670.583868,3.0
1730243670.587845,3.0
1730243670.5918868,3.0
1730243670.596915,3.0
1730243670.6007612,3.0
