time_board,marker
1730243930.568246,4.0
1730243930.5722868,4.0
1730243930.576255,4.0
1730243930.580259,4.0
1730243930.5852468,4.0
1730243930.589348,4.0
1730243930.593249,4.0
1730243930.5962749,4.0
1730243930.6003156,4.0
1730243930.604306,4.0
1730243930.6082327,4.0
1730243930.6133327,4.0
1730243930.6172595,4.0
1730243930.6212692,4.0
1730243930.6242838,4.0
1730243930.628281,4.0
1730243930.6323557,4.0
1730243930.6363046,4.0
1730243930.6413648,4.0
1730243930.6453753,4.0
1730243930.6493807,4.0
1730243930.652377,4.0
1730243930.6563404,4.0
1730243930.6603136,4.0
1730243930.6643755,4.0
1730243930.6683495,4.0
1730243930.6734166,4.0
1730243930.6765132,4.0
1730243930.6803782,4.0
1730243930.6844485,4.0
1730243930.6884775,4.0
1730243930.6924305,4.0
1730243930.6964147,4.0
1730243930.7014568,4.0
1730243930.7045107,4.0
1730243930.708478,4.0
1730243930.7125492,4.0
1730243930.7165327,4.0
1730243930.7204816,4.0
1730243930.7244947,4.0
1730243930.7295167,4.0
1730243930.732551,4.0
1730243930.735463,4.0
1730243930.7405124,4.0
1730243930.7444878,4.0
1730243930.748556,4.0
1730243930.7524967,4.0
1730243930.7565331,4.0
1730243930.761574,4.0
1730243930.7645943,4.0
1730243930.7685196,4.0
1730243930.7725894,4.0
1730243930.7765305,4.0
1730243930.780649,4.0
1730243930.7855463,4.0
1730243930.788603,4.0
1730243930.7916207,4.0
1730243930.7966957,4.0
1730243930.8006008,4.0
1730243930.804589,4.0
1730243930.8086233,4.0
1730243930.8117547,4.0
1730243930.8156974,4.0
1730243930.819606,4.0
1730243930.824654,4.0
1730243930.828656,4.0
1730243930.8326628,4.0
1730243930.8366432,4.0
1730243930.8407533,4.0
1730243930.843632,4.0
1730243930.84768,4.0
1730243930.8527389,4.0
1730243930.856784,4.0
1730243930.8606906,4.0
1730243930.8647387,4.0
1730243930.8677263,4.0
1730243930.8717215,4.0
1730243930.8777244,4.0
1730243930.880731,4.0
1730243930.884801,4.0
1730243930.888786,4.0
1730243930.8927405,4.0
1730243930.8958027,4.0
1730243930.8997529,4.0
1730243930.9037838,4.0
1730243930.907791,4.0
1730243930.9128609,4.0
1730243930.9168007,4.0
1730243930.9198112,4.0
1730243930.9238057,4.0
1730243930.927801,4.0
1730243930.9318438,4.0
1730243930.935799,4.0
1730243930.94094,4.0
1730243930.9458776,4.0
1730243930.9489627,4.0
1730243930.9528975,4.0
1730243930.9570076,4.0
1730243930.9608812,4.0
1730243930.9639225,4.0
1730243930.9698873,4.0
1730243930.9728773,4.0
1730243930.9768665,4.0
1730243930.9798822,4.0
1730243930.9838777,4.0
1730243930.9878805,4.0
1730243930.9918964,4.0
1730243930.9959254,4.0
1730243931.0009868,4.0
1730243931.00404,4.0
1730243931.0079296,4.0
1730243931.011996,4.0
1730243931.0159433,4.0
1730243931.0199895,4.0
1730243931.0239944,4.0
1730243931.0290344,4.0
1730243931.0320144,4.0
1730243931.0359828,4.0
1730243931.0399752,4.0
1730243931.0440044,4.0
1730243931.048031,4.0
1730243931.051977,4.0
1730243931.056102,4.0
1730243931.0590725,4.0
1730243931.0640934,4.0
1730243931.0680122,4.0
1730243931.0720308,4.0
1730243931.076114,4.0
1730243931.0801415,4.0
1730243931.0830815,4.0
1730243931.087083,4.0
1730243931.091092,4.0
1730243931.0960803,4.0
1730243931.1000907,4.0
1730243931.1041598,4.0
1730243931.108156,4.0
1730243931.1112316,4.0
1730243931.115183,4.0
1730243931.1212857,4.0
1730243931.1242015,4.0
1730243931.1291783,4.0
1730243931.1321735,4.0
1730243931.1363535,4.0
1730243931.1393309,4.0
1730243931.143165,4.0
1730243931.1473212,4.0
1730243931.1524348,4.0
1730243931.1563156,4.0
1730243931.16026,4.0
1730243931.1642675,4.0
1730243931.1673331,4.0
1730243931.1712751,4.0
1730243931.175326,4.0
1730243931.179314,4.0
1730243931.184328,4.0
1730243931.1892748,4.0
1730243931.1933088,4.0
1730243931.1963108,4.0
1730243931.1992753,4.0
1730243931.203333,4.0
1730243931.2073276,4.0
1730243931.2123375,4.0
1730243931.2163508,4.0
1730243931.2193668,4.0
1730243931.2233784,4.0
1730243931.2273226,4.0
1730243931.2314284,4.0
1730243931.2353296,4.0
1730243931.239388,4.0
1730243931.2443717,4.0
1730243931.247493,4.0
1730243931.2514036,4.0
1730243931.2555184,4.0
1730243931.2594936,4.0
1730243931.263487,4.0
1730243931.2683656,4.0
1730243931.272431,4.0
1730243931.27543,4.0
1730243931.2795205,4.0
1730243931.2844124,4.0
1730243931.2885263,4.0
1730243931.292463,4.0
1730243931.2955017,4.0
1730243931.299523,4.0
1730243931.3024428,4.0
1730243931.3075256,4.0
1730243931.311576,4.0
1730243931.3156414,4.0
1730243931.3195083,4.0
1730243931.3235705,4.0
1730243931.327505,4.0
1730243931.3305447,4.0
1730243931.3355162,4.0
1730243931.339534,4.0
1730243931.3435245,4.0
1730243931.347521,4.0
1730243931.3515277,4.0
1730243931.3555498,4.0
1730243931.3597736,4.0
1730243931.3626263,4.0
1730243931.3685553,4.0
1730243931.37168,4.0
1730243931.375662,4.0
1730243931.3796017,4.0
1730243931.3835654,4.0
1730243931.386613,4.0
1730243931.390636,4.0
1730243931.39569,4.0
1730243931.3995886,4.0
1730243931.4036224,4.0
1730243931.4065902,4.0
1730243931.4106452,4.0
1730243931.4146452,4.0
1730243931.4186144,4.0
1730243931.4236648,4.0
1730243931.427676,4.0
1730243931.4317403,4.0
1730243931.43468,4.0
1730243931.4386764,4.0
1730243931.4427445,4.0
1730243931.4467072,4.0
1730243931.4516764,4.0
1730243931.4567657,4.0
1730243931.459736,4.0
1730243931.463742,4.0
1730243931.4667578,4.0
1730243931.4707954,4.0
1730243931.4748,4.0
1730243931.4789207,4.0
1730243931.4838538,4.0
1730243931.4877694,4.0
1730243931.4907725,4.0
1730243931.49494,4.0
1730243931.4988408,4.0
1730243931.5027792,4.0
1730243931.5078,4.0
1730243931.51184,4.0
1730243931.5159535,4.0
1730243931.5188048,4.0
1730243931.5228822,4.0
1730243931.5279148,4.0
1730243931.531954,4.0
1730243931.534829,4.0
1730243931.539872,4.0
1730243931.5428972,4.0
1730243931.5469143,4.0
1730243931.5509093,4.0
1730243931.555061,4.0
1730243931.5590813,4.0
1730243931.5629714,4.0
1730243931.5679667,4.0
1730243931.571032,4.0
1730243931.5739238,4.0
1730243931.5793417,4.0
1730243931.5829012,4.0
1730243931.586949,4.0
1730243931.5909228,4.0
1730243931.5959115,4.0
1730243931.598909,4.0
1730243931.60192,4.0
1730243931.6069577,4.0
1730243931.6110637,4.0
1730243931.6150112,4.0
1730243931.6189685,4.0
1730243931.6251223,4.0
1730243931.628096,4.0
1730243931.6310964,4.0
1730243931.6350255,4.0
1730243931.6390755,4.0
1730243931.6430416,4.0
1730243931.6472225,4.0
1730243931.6500895,4.0
1730243931.6542697,4.0
1730243931.6581812,4.0
1730243931.662182,4.0
1730243931.6673346,4.0
1730243931.6711829,4.0
1730243931.675134,4.0
1730243931.6782336,4.0
1730243931.6821573,4.0
1730243931.6861556,4.0
1730243931.6913168,4.0
1730243931.6952708,4.0
1730243931.6992908,4.0
1730243931.7032492,4.0
1730243931.706202,4.0
1730243931.7101333,4.0
1730243931.7142072,4.0
1730243931.7182171,4.0
1730243931.7232645,4.0
1730243931.7274008,4.0
1730243931.731325,4.0
1730243931.734358,4.0
1730243931.7383337,4.0
1730243931.7422996,4.0
1730243931.7463732,4.0
1730243931.7503347,4.0
1730243931.75534,4.0
1730243931.7594626,4.0
1730243931.76344,4.0
1730243931.7663786,4.0
1730243931.7703965,4.0
1730243931.7743433,4.0
1730243931.779344,4.0
1730243931.7833583,4.0
1730243931.7864292,4.0
1730243931.790421,4.0
1730243931.794352,4.0
1730243931.7984188,4.0
1730243931.802358,4.0
1730243931.8065033,4.0
1730243931.8113797,4.0
1730243931.8145108,4.0
1730243931.818474,4.0
1730243931.8223596,4.0
1730243931.8263843,4.0
1730243931.8305004,4.0
1730243931.834529,4.0
1730243931.8395312,4.0
1730243931.8426003,4.0
1730243931.8463936,4.0
1730243931.850544,4.0
1730243931.8545332,4.0
1730243931.8585732,4.0
1730243931.862572,4.0
1730243931.86643,4.0
1730243931.8705218,4.0
1730243931.8734791,4.0
1730243931.8785155,4.0
1730243931.8824816,4.0
1730243931.886503,4.0
1730243931.8904636,4.0
1730243931.8944857,4.0
1730243931.8975704,4.0
1730243931.902468,4.0
1730243931.9064977,4.0
1730243931.9105487,4.0
1730243931.91457,4.0
1730243931.9184885,4.0
1730243931.9216008,4.0
1730243931.9255989,4.0
1730243931.9296365,4.0
1730243931.9345448,4.0
1730243931.9386156,4.0
1730243931.942639,4.0
1730243931.9466329,4.0
1730243931.9496164,4.0
1730243931.9535887,4.0
1730243931.9576328,4.0
1730243931.962612,4.0
1730243931.9666677,4.0
1730243931.9707108,4.0
1730243931.9747903,4.0
1730243931.977641,4.0
1730243931.9816282,4.0
1730243931.9856608,4.0
1730243931.990748,4.0
1730243931.994835,4.0
1730243931.9987135,4.0
1730243932.0026495,4.0
1730243932.005653,4.0
1730243932.0096617,4.0
1730243932.0138173,4.0
1730243932.0177703,4.0
1730243932.0227852,4.0
1730243932.0266829,4.0
1730243932.0298488,4.0
1730243932.0338273,4.0
1730243932.037753,4.0
1730243932.0417995,4.0
1730243932.0457342,4.0
1730243932.0509171,4.0
1730243932.0548165,4.0
1730243932.0578742,4.0
1730243932.0618956,4.0
1730243932.0657237,4.0
1730243932.069792,4.0
1730243932.0738575,4.0
1730243932.0778272,4.0
1730243932.0829427,4.0
1730243932.0857856,4.0
1730243932.0898156,4.0
1730243932.093812,4.0
1730243932.097908,4.0
1730243932.1017976,4.0
1730243932.105946,4.0
1730243932.110898,4.0
1730243932.1139183,4.0
1730243932.1177993,4.0
1730243932.122006,4.0
1730243932.1259282,4.0
1730243932.1298976,4.0
1730243932.1348774,4.0
1730243932.1379442,4.0
1730243932.1409936,4.0
1730243932.146918,4.0
1730243932.1500022,4.0
1730243932.1539216,4.0
1730243932.1579375,4.0
1730243932.1620903,4.0
1730243932.1660938,4.0
1730243932.168933,4.0
1730243932.1729426,4.0
1730243932.178013,4.0
1730243932.1820614,4.0
1730243932.1860805,4.0
1730243932.1900697,4.0
1730243932.1929495,4.0
1730243932.1970272,4.0
1730243932.2020168,4.0
1730243932.206102,4.0
1730243932.2100222,4.0
1730243932.214064,4.0
1730243932.218047,4.0
1730243932.2220178,4.0
1730243932.2251668,4.0
1730243932.229048,4.0
1730243932.2331655,4.0
1730243932.2381573,4.0
1730243932.242056,4.0
1730243932.2451816,4.0
1730243932.249108,4.0
1730243932.2531326,4.0
1730243932.2572591,4.0
1730243932.2621148,4.0
1730243932.2661412,4.0
1730243932.2701044,4.0
1730243932.27323,4.0
1730243932.2772017,4.0
1730243932.281209,4.0
1730243932.285118,4.0
1730243932.2892263,4.0
1730243932.2941165,4.0
1730243932.298148,4.0
1730243932.3011682,4.0
1730243932.3052356,4.0
1730243932.309219,4.0
1730243932.313178,4.0
1730243932.318112,4.0
1730243932.322272,4.0
1730243932.32616,4.0
1730243932.3292947,4.0
1730243932.333205,4.0
1730243932.3373544,4.0
1730243932.3413808,4.0
1730243932.3473225,4.0
1730243932.3503675,4.0
1730243932.3543615,4.0
1730243932.3573935,4.0
1730243932.3614864,4.0
1730243932.3653595,4.0
1730243932.3693092,4.0
1730243932.3733108,4.0
1730243932.3783362,4.0
1730243932.3813317,4.0
1730243932.3852744,4.0
1730243932.38929,4.0
1730243932.3932724,4.0
1730243932.3974707,4.0
1730243932.4014642,4.0
1730243932.4054418,4.0
1730243932.409469,4.0
1730243932.4123952,4.0
1730243932.4175065,4.0
1730243932.4214249,4.0
1730243932.425448,4.0
1730243932.4294262,4.0
1730243932.4343717,4.0
1730243932.4373538,4.0
1730243932.4415123,4.0
1730243932.4454737,4.0
1730243932.4494147,4.0
1730243932.4534657,4.0
1730243932.4573867,4.0
1730243932.4615204,4.0
1730243932.4654107,4.0
1730243932.4684134,4.0
1730243932.4734926,4.0
1730243932.47743,4.0
1730243932.481508,4.0
1730243932.4854329,4.0
1730243932.4885583,4.0
1730243932.492638,4.0
1730243932.4965184,4.0
1730243932.5005083,4.0
1730243932.50557,4.0
1730243932.509496,4.0
1730243932.5134957,4.0
1730243932.5165532,4.0
1730243932.5205956,4.0
1730243932.5244968,4.0
1730243932.528639,4.0
1730243932.533667,4.0
