time_board,marker
1730329312.624089,5.0
1730329312.6284697,5.0
1730329312.6320996,5.0
1730329312.6372132,5.0
1730329312.6411045,5.0
1730329312.6452608,5.0
1730329312.6481264,5.0
1730329312.6521213,5.0
1730329312.656314,5.0
1730329312.6612413,5.0
1730329312.665204,5.0
1730329312.6703637,5.0
1730329312.6731708,5.0
1730329312.677384,5.0
1730329312.6813314,5.0
1730329312.685169,5.0
1730329312.6883025,5.0
1730329312.692418,5.0
1730329312.6964295,5.0
1730329312.700422,5.0
1730329312.7053924,5.0
1730329312.709424,5.0
1730329312.7134352,5.0
1730329312.7162857,5.0
1730329312.7203465,5.0
1730329312.7242603,5.0
1730329312.7283175,5.0
1730329312.7327657,5.0
1730329312.7373636,5.0
1730329312.7413003,5.0
1730329312.7444634,5.0
1730329312.7482672,5.0
1730329312.7523618,5.0
1730329312.7563846,5.0
1730329312.7604694,5.0
1730329312.765351,5.0
1730329312.7684865,5.0
1730329312.772483,5.0
1730329312.7764995,5.0
1730329312.780538,5.0
1730329312.7844915,5.0
1730329312.7884932,5.0
1730329312.7935224,5.0
1730329312.7964046,5.0
1730329312.8005052,5.0
1730329312.8045156,5.0
1730329312.8085043,5.0
1730329312.812552,5.0
1730329312.8165948,5.0
1730329312.8215835,5.0
1730329312.824612,5.0
1730329312.8286011,5.0
1730329312.8324869,5.0
1730329312.8364708,5.0
1730329312.8404014,5.0
1730329312.8446422,5.0
1730329312.8495083,5.0
1730329312.852502,5.0
1730329312.855631,5.0
1730329312.8610935,5.0
1730329312.8646672,5.0
1730329312.8685954,5.0
1730329312.8725698,5.0
1730329312.8767197,5.0
1730329312.8796265,5.0
1730329312.883674,5.0
1730329312.8886287,5.0
1730329312.8925664,5.0
1730329312.896741,5.0
1730329312.9007163,5.0
1730329312.903755,5.0
1730329312.907542,5.0
1730329312.911605,5.0
1730329312.9166126,5.0
1730329312.920731,5.0
1730329312.924626,5.0
1730329312.928763,5.0
1730329312.9315836,5.0
1730329312.935815,5.0
1730329312.9398503,5.0
1730329312.944787,5.0
1730329312.9486346,5.0
1730329312.9527204,5.0
1730329312.9566195,5.0
1730329312.9599545,5.0
1730329312.9639788,5.0
1730329312.9680078,5.0
1730329312.9718893,5.0
1730329312.9768317,5.0
1730329312.980801,5.0
1730329312.9837782,5.0
1730329312.9878728,5.0
1730329312.9917488,5.0
1730329312.995804,5.0
1730329312.9997048,5.0
1730329313.0048916,5.0
1730329313.00892,5.0
1730329313.0118992,5.0
1730329313.0158014,5.0
1730329313.01981,5.0
1730329313.0237129,5.0
1730329313.027842,5.0
1730329313.0318112,5.0
1730329313.0369532,5.0
1730329313.039784,5.0
1730329313.0439546,5.0
1730329313.0479813,5.0
1730329313.0520806,5.0
1730329313.05581,5.0
1730329313.0598676,5.0
1730329313.064818,5.0
1730329313.0679555,5.0
1730329313.0718527,5.0
1730329313.0759237,5.0
1730329313.079882,5.0
1730329313.0839293,5.0
1730329313.0880089,5.0
1730329313.0929327,5.0
1730329313.096063,5.0
1730329313.0999897,5.0
1730329313.1040044,5.0
1730329313.1080923,5.0
1730329313.1119392,5.0
1730329313.115896,5.0
1730329313.120004,5.0
1730329313.1230972,5.0
1730329313.128179,5.0
1730329313.1319673,5.0
1730329313.1361372,5.0
1730329313.13993,5.0
1730329313.1441624,5.0
1730329313.1480532,5.0
1730329313.150955,5.0
1730329313.1549685,5.0
1730329313.160149,5.0
1730329313.1641183,5.0
1730329313.1680667,5.0
1730329313.1721022,5.0
1730329313.1761425,5.0
1730329313.179136,5.0
