Fp1,C3,time_board
24633.723453727183,26216.025795462825,1730655715.7240784
24633.85756419392,26221.41256587655,1730655715.7281606
24633.052901393523,26219.57972283122,1730655715.7312317
24632.73997697115,26215.221132662435,1730655715.7352457
24636.51742178409,26215.39994661808,1730655715.7391355
24633.1646601158,26218.439783864,1730655715.7431955
24632.69527348224,26220.47379260943,1730655715.7482696
24633.65639849381,26215.89168499609,1730655715.7520947
24641.144232886345,26217.545714085783,1730655715.755492
24640.741901486148,26222.6419118216,1730655715.759297
24633.276418838075,26221.345510643187,1730655715.7631717
24631.577686259472,26215.91403674055,1730655715.7674365
24638.953761929723,26222.08311821021,1730655715.7711792
24638.93141018527,26221.926655999025,1730655715.775296
24635.042206650043,26215.556408829263,1730655715.7803545
24635.62335200588,26218.551542586272,1730655715.7832975
24633.03054964907,26216.3387198852,1730655715.7873669
24633.65639849381,26215.77992627381,1730655715.7920256
24636.137442128354,26216.65164430757,1730655715.795558
24637.74676772914,26217.50101059688,1730655715.7993915
24633.119956626888,26217.34454838569,1730655715.8032656
24628.291979824546,26215.377594873626,1730655715.8095288
24636.137442128354,26219.57972283122,1730655715.8123608
24637.34443632894,26216.964568729945,1730655715.816538
24637.88087819587,26216.85281000767,1730655715.8195603
24633.1646601158,26217.56806583024,1730655715.823542
24633.00819790461,26216.316368140742,1730655715.8275418
24636.91975318429,26215.33289138471,1730655715.831531
24637.992636918145,26220.697310053984,1730655715.8362591
24637.56795377349,26218.439783864,1730655715.8395565
24633.38817756035,26218.171562930533,1730655715.842574
24632.471756037685,26214.34941462868,1730655715.8474653
24634.930447927767,26212.1365919276,1730655715.8514652
24636.942104928745,26215.444650106987,1730655715.8553717
24637.031511906567,26224.362996144653,1730655715.859579
24635.668055494792,26217.03162396332,1730655715.8632994
24631.82355544848,26216.562237329752,1730655715.866624
24625.45330827872,26216.45047860748,1730655715.8713353
24628.62725599137,26217.836286763704,1730655715.8755724
24628.20257284672,26214.93055998452,1730655715.8793828
24631.64474149284,26214.6399873066,1730655715.8856409
24632.35999731541,26218.104507697168,1730655715.8883407
24634.70693048321,26218.12685944162,1730655715.8916864
24635.042206650043,26217.94804548598,1730655715.8955872
24633.92461942728,26216.405775118565,1730655715.8986368
24636.1150903839,26215.824629762727,1730655715.903685
24642.105357897923,26224.27358916683,1730655715.907765
24631.71179672621,26217.76923153034,1730655715.9117398
24630.325988569974,26215.735222784904,1730655715.9154763
24632.181183359764,26216.09285069619,1730655715.9195397
24638.4173200628,26212.47186809443,1730655715.9224713
24636.472718295183,26223.178353688523,1730655715.9265146
24630.370692058885,26223.13365019961,1730655715.931595
24633.611695004904,26221.211400176457,1730655715.9355907
24639.15492762982,26223.37951938862,1730655715.939644
24634.371654316383,26222.32898739922,1730655715.9427464
24633.723453727183,26217.7915832748,1730655715.9464097
24636.1150903839,26218.976225730923,1730655715.9506953
24633.812860705,26215.89168499609,1730655715.9544954
24630.30363682552,26216.025795462825,1730655715.9597504
24633.54463977154,26220.339682142698,1730655715.9636047
24635.62335200588,26223.647740322085,1730655715.9676452
24631.264761837097,26219.266798408844,1730655715.9705365
24630.61656124789,26217.67982455252,1730655715.974723
24631.77885195957,26216.94221698549,1730655715.9787755
24640.428977063773,26220.317330398244,1730655715.98267
24641.524212542085,26219.222094919933,1730655715.9874651
24631.890610681847,26213.120068683635,1730655715.9917383
24629.409567047307,26216.159905929555,1730655715.9957345
24628.336683313453,26221.703138554472,1730655715.9986997
24626.123860612377,26220.74201354289,1730655716.0027092
24632.33764557095,26220.67495830953,1730655716.0066512
24634.03637814956,26219.4903158534,1730655716.010689
24631.71179672621,26216.80810651876,1730655716.0165968
24631.35416881492,26223.49127811089,1730655716.0197754
24632.15883161531,26219.69148155349,1730655716.0236857
24631.64474149284,26221.09964145418,1730655716.0266702
24629.09664262493,26218.8421152642,1730655716.0306387
24632.002369404123,26219.78088853132,1730655716.035688
24636.60682876192,26221.03258622081,1730655716.0397685
24634.90809618332,26217.210437918955,1730655716.0426464
24633.83521244946,26215.89168499609,1730655716.0475852
24633.79050896055,26215.48935359589,1730655716.0506876
24640.1160526414,26218.2386181639,1730655716.053575
24641.81478522,26223.647740322085,1730655716.058774
24635.73511072816,26223.021891477336,1730655716.0626495
24629.275456580577,26216.204609418462,1730655716.0668063
24627.95670365772,26222.55250484377,1730655716.070704
24622.145250099333,26217.88099025261,1730655716.0757046
24625.565067001,26219.020929219834,1730655716.0787668
24629.11899436939,26219.57972283122,1730655716.081882
24631.4659275372,26218.61859781964,1730655716.0868928
24636.226849106177,26222.6419118216,1730655716.090844
24630.16952635879,26219.356205386663,1730655716.0948656
24640.36192183041,26217.612769319152,1730655716.0988295
24640.764253230605,26225.32412115623,1730655716.1028297
24634.081081638466,26222.798374032784,1730655716.1067903
24626.883819923856,26217.210437918955,1730655716.109784
24632.382349059862,26217.76923153034,1730655716.1159537
24635.48924153915,26220.272626909333,1730655716.1189637
24632.71762522669,26226.486411867907,1730655716.1228063
24629.789546703047,26220.42908912052,1730655716.1268673
24624.894514667336,26215.735222784904,1730655716.1309123
24628.470793780183,26212.918902983536,1730655716.13482
24638.99846541864,26220.518496098342,1730655716.137749
24631.77885195957,26220.89847575408,1730655716.1428869
24624.73805245615,26220.943179243,1730655716.1469798
24624.73805245615,26219.57972283122,1730655716.1509829
24632.02472114858,26220.00440597587,1730655716.154802
24627.95670365772,26218.32802514172,1730655716.1589572
24628.89547692484,26217.90334199707,1730655716.1628034
24629.94600891424,26213.67886229501,1730655716.166031
24625.676825723272,26218.506839097365,1730655716.1707976
24624.246314078133,26218.260969908355,1730655716.175
24628.04611063553,26214.48352509541,1730655716.1789613
24631.801203704024,26212.89655123908,1730655716.1849525
24632.58351475996,26221.03258622081,1730655716.187814
24629.00723564712,26224.45240312248,1730655716.1911614
24630.571857758983,26221.77019378784,1730655716.1938577
24628.04611063553,26217.14338268559,1730655716.197996
24634.170488616288,26219.73618504241,1730655716.2028656
24632.04707289304,26220.47379260943,1730655716.206974
24627.6661309798,26213.56710357274,1730655716.2110035
24629.63308449186,26220.294978653787,1730655716.2140217
24631.264761837097,26219.535019342307,1730655716.2178664
24632.136479870856,26221.256103665368,1730655716.2222407
24627.286151324053,26217.50101059688,1730655716.2260745
24627.68848272425,26215.42229836253,1730655716.230893
24637.523250284583,26216.38342337411,1730655716.2348948
24642.68650325376,26218.104507697168,1730655716.2390375
24633.20936360471,26222.48544961041,1730655716.2420928
24622.59228498844,26218.462135608454,1730655716.245938
24626.570895501485,26216.42812686302,1730655716.250109
24627.129689112862,26217.50101059688,1730655716.2540157
24629.141346113844,26219.78088853132,1730655716.2590747
24624.179258844764,26217.94804548598,1730655716.2630196
24622.70404371072,26213.5894553172,1730655716.2660837
24634.617523505392,26213.85767625066,1730655716.2700567
24641.501860797627,26215.86933325164,1730655716.2740855
24655.40464584883,26216.025795462825,1730655716.2779624
24691.882692799893,26224.787679289304,1730655716.2820525
24670.067390211512,26230.82265029224,1730655716.286082
24633.87991593837,26227.402833390577,1730655716.2910814
24647.715645756205,26223.75949904436,1730655716.2940786
24668.011029721623,26220.406737376063,1730655716.298112
24640.92071544179,26222.53015309932,1730655716.3020682
24659.0703319395,26224.65356882257,1730655716.306196
24678.69516357126,26228.162792702056,1730655716.3100464
24631.55533451502,26214.93055998452,1730655716.3141065
24624.447479778228,26237.05878699527,1730655716.3192503
24656.321067371497,26235.00242650538,1730655716.3220787
24657.81863425,26244.770138832348,1730655716.3262432
