time_board,marker
1730655715.7240784,5.0
1730655715.7281606,5.0
1730655715.7312317,5.0
1730655715.7352457,5.0
1730655715.7391355,5.0
1730655715.7431955,5.0
1730655715.7482696,5.0
1730655715.7520947,5.0
1730655715.755492,5.0
1730655715.759297,5.0
1730655715.7631717,5.0
1730655715.7674365,5.0
1730655715.7711792,5.0
1730655715.775296,5.0
1730655715.7803545,5.0
1730655715.7832975,5.0
1730655715.7873669,5.0
1730655715.7920256,5.0
1730655715.795558,5.0
1730655715.7993915,5.0
1730655715.8032656,5.0
1730655715.8095288,5.0
1730655715.8123608,5.0
1730655715.816538,5.0
1730655715.8195603,5.0
1730655715.823542,5.0
1730655715.8275418,5.0
1730655715.831531,5.0
1730655715.8362591,5.0
1730655715.8395565,5.0
1730655715.842574,5.0
1730655715.8474653,5.0
1730655715.8514652,5.0
1730655715.8553717,5.0
1730655715.859579,5.0
1730655715.8632994,5.0
1730655715.866624,5.0
1730655715.8713353,5.0
1730655715.8755724,5.0
1730655715.8793828,5.0
1730655715.8856409,5.0
1730655715.8883407,5.0
1730655715.8916864,5.0
1730655715.8955872,5.0
1730655715.8986368,5.0
1730655715.903685,5.0
1730655715.907765,5.0
1730655715.9117398,5.0
1730655715.9154763,5.0
1730655715.9195397,5.0
1730655715.9224713,5.0
1730655715.9265146,5.0
1730655715.931595,5.0
1730655715.9355907,5.0
1730655715.939644,5.0
1730655715.9427464,5.0
1730655715.9464097,5.0
1730655715.9506953,5.0
1730655715.9544954,5.0
1730655715.9597504,5.0
1730655715.9636047,5.0
1730655715.9676452,5.0
1730655715.9705365,5.0
1730655715.974723,5.0
1730655715.9787755,5.0
1730655715.98267,5.0
1730655715.9874651,5.0
1730655715.9917383,5.0
1730655715.9957345,5.0
1730655715.9986997,5.0
1730655716.0027092,5.0
1730655716.0066512,5.0
1730655716.010689,5.0
1730655716.0165968,5.0
1730655716.0197754,5.0
1730655716.0236857,5.0
1730655716.0266702,5.0
1730655716.0306387,5.0
1730655716.035688,5.0
1730655716.0397685,5.0
1730655716.0426464,5.0
1730655716.0475852,5.0
1730655716.0506876,5.0
1730655716.053575,5.0
1730655716.058774,5.0
1730655716.0626495,5.0
1730655716.0668063,5.0
1730655716.070704,5.0
1730655716.0757046,5.0
1730655716.0787668,5.0
1730655716.081882,5.0
1730655716.0868928,5.0
1730655716.090844,5.0
1730655716.0948656,5.0
1730655716.0988295,5.0
1730655716.1028297,5.0
1730655716.1067903,5.0
1730655716.109784,5.0
1730655716.1159537,5.0
1730655716.1189637,5.0
1730655716.1228063,5.0
1730655716.1268673,5.0
1730655716.1309123,5.0
1730655716.13482,5.0
1730655716.137749,5.0
1730655716.1428869,5.0
1730655716.1469798,5.0
1730655716.1509829,5.0
1730655716.154802,5.0
1730655716.1589572,5.0
1730655716.1628034,5.0
1730655716.166031,5.0
1730655716.1707976,5.0
1730655716.175,5.0
1730655716.1789613,5.0
1730655716.1849525,5.0
1730655716.187814,5.0
1730655716.1911614,5.0
1730655716.1938577,5.0
1730655716.197996,5.0
1730655716.2028656,5.0
1730655716.206974,5.0
1730655716.2110035,5.0
1730655716.2140217,5.0
1730655716.2178664,5.0
1730655716.2222407,5.0
1730655716.2260745,5.0
1730655716.230893,5.0
1730655716.2348948,5.0
1730655716.2390375,5.0
1730655716.2420928,5.0
1730655716.245938,5.0
1730655716.250109,5.0
1730655716.2540157,5.0
1730655716.2590747,5.0
1730655716.2630196,5.0
1730655716.2660837,5.0
1730655716.2700567,5.0
1730655716.2740855,5.0
1730655716.2779624,5.0
1730655716.2820525,5.0
1730655716.286082,5.0
1730655716.2910814,5.0
1730655716.2940786,5.0
1730655716.298112,5.0
1730655716.3020682,5.0
1730655716.306196,5.0
1730655716.3100464,5.0
1730655716.3141065,5.0
1730655716.3192503,5.0
1730655716.3220787,5.0
1730655716.3262432,5.0
1730655716.3300765,5.0
1730655716.334299,5.0
1730655716.3381424,5.0
1730655716.3433323,5.0
1730655716.3461676,5.0
1730655716.3492332,5.0
1730655716.3541403,5.0
1730655716.3581834,5.0
1730655716.3621943,5.0
1730655716.3662715,5.0
1730655716.37035,5.0
1730655716.3744228,5.0
1730655716.3772533,5.0
1730655716.3823273,5.0
1730655716.3862476,5.0
1730655716.3904057,5.0
1730655716.3943872,5.0
1730655716.3984275,5.0
1730655716.4024384,5.0
1730655716.4052236,5.0
1730655716.409256,5.0
1730655716.4142363,5.0
1730655716.4183776,5.0
1730655716.4221928,5.0
1730655716.4263463,5.0
1730655716.4303167,5.0
1730655716.433499,5.0
1730655716.437255,5.0
1730655716.4424057,5.0
1730655716.446312,5.0
1730655716.4505067,5.0
1730655716.4535265,5.0
1730655716.457404,5.0
1730655716.4615571,5.0
1730655716.4655166,5.0
1730655716.4705155,5.0
1730655716.4745064,5.0
1730655716.4785137,5.0
1730655716.4816177,5.0
1730655716.4853933,5.0
1730655716.4894447,5.0
1730655716.4935577,5.0
1730655716.4974823,5.0
1730655716.5024557,5.0
1730655716.5064256,5.0
1730655716.5095165,5.0
1730655716.5134215,5.0
1730655716.5176065,5.0
1730655716.5214212,5.0
1730655716.5256248,5.0
1730655716.5303752,5.0
1730655716.534469,5.0
1730655716.5373812,5.0
1730655716.5415535,5.0
1730655716.545475,5.0
1730655716.5495045,5.0
1730655716.5534973,5.0
1730655716.5586147,5.0
1730655716.5615928,5.0
1730655716.5655608,5.0
1730655716.5696032,5.0
1730655716.57362,5.0
1730655716.577636,5.0
1730655716.5815752,5.0
1730655716.5866218,5.0
1730655716.5896456,5.0
1730655716.5936177,5.0
1730655716.597664,5.0
1730655716.6016572,5.0
1730655716.6056347,5.0
1730655716.609604,5.0
1730655716.614689,5.0
1730655716.6177545,5.0
1730655716.6215055,5.0
1730655716.625842,5.0
1730655716.6295755,5.0
1730655716.6338024,5.0
1730655716.637525,5.0
1730655716.642806,5.0
1730655716.645544,5.0
1730655716.6498508,5.0
1730655716.6536367,5.0
1730655716.657605,5.0
1730655716.661594,5.0
1730655716.6657703,5.0
1730655716.6687596,5.0
1730655716.6728408,5.0
1730655716.676793,5.0
1730655716.681811,5.0
1730655716.6858332,5.0
1730655716.689746,5.0
1730655716.6938107,5.0
1730655716.6978035,5.0
1730655716.700912,5.0
1730655716.7047143,5.0
1730655716.7098577,5.0
1730655716.7138195,5.0
1730655716.7179,5.0
1730655716.7218747,5.0
1730655716.7258885,5.0
1730655716.7287831,5.0
1730655716.7327063,5.0
1730655716.7376883,5.0
1730655716.7418451,5.0
1730655716.7456615,5.0
1730655716.74873,5.0
1730655716.752768,5.0
1730655716.756943,5.0
1730655716.7609844,5.0
1730655716.7650208,5.0
1730655716.769764,5.0
1730655716.7739997,5.0
1730655716.7767851,5.0
1730655716.78078,5.0
1730655716.7848983,5.0
1730655716.788776,5.0
1730655716.79277,5.0
1730655716.7978628,5.0
1730655716.801958,5.0
1730655716.805237,5.0
1730655716.8088117,5.0
1730655716.81283,5.0
1730655716.816904,5.0
1730655716.8207877,5.0
1730655716.8269296,5.0
1730655716.8298495,5.0
1730655716.8339086,5.0
1730655716.8369937,5.0
1730655716.8408563,5.0
1730655716.8450105,5.0
1730655716.848899,5.0
1730655716.8538284,5.0
1730655716.8570044,5.0
