x,y,z,time_board
0.044,-0.046,0.512,1728952552.570474
0.044,-0.046,0.512,1728952553.0587542
0.044,-0.046,0.512,1728952553.0587938
0.044,-0.046,0.512,1728952553.0588017
0.044,-0.046,0.512,1728952553.0588048
0.044,-0.046,0.512,1728952553.058808
0.044,-0.046,0.512,1728952553.0588112
0.044,-0.046,0.512,1728952553.0588143
0.06,-0.068,0.77,1728952553.0588176
0.06,-0.068,0.77,1728952553.058821
0.06,-0.068,0.77,1728952553.0588243
0.06,-0.068,0.77,1728952553.0588288
0.06,-0.068,0.77,1728952553.0588322
0.06,-0.068,0.77,1728952553.0588355
0.06,-0.068,0.77,1728952553.0588386
0.06,-0.068,0.77,1728952553.0588467
0.06,-0.068,0.77,1728952553.05885
0.06,-0.068,0.77,1728952553.05886
0.068,-0.076,0.906,1728952553.0588644
0.068,-0.076,0.906,1728952553.058868
0.068,-0.076,0.906,1728952553.0588713
0.068,-0.076,0.906,1728952553.0588744
0.068,-0.076,0.906,1728952553.0588858
0.068,-0.076,0.906,1728952553.0588892
0.068,-0.076,0.906,1728952553.0588925
0.068,-0.076,0.906,1728952553.0588956
0.068,-0.076,0.906,1728952553.0588987
0.068,-0.076,0.906,1728952553.058902
0.078,-0.076,0.968,1728952553.0589051
0.078,-0.076,0.968,1728952553.0589087
0.078,-0.076,0.968,1728952553.0589118
0.078,-0.076,0.968,1728952553.058915
0.078,-0.076,0.968,1728952553.058918
0.078,-0.076,0.968,1728952553.0589223
0.078,-0.076,0.968,1728952553.0589252
0.078,-0.076,0.968,1728952553.0589285
0.078,-0.076,0.968,1728952553.0589316
0.078,-0.076,0.968,1728952553.0589347
0.084,-0.074,0.998,1728952553.058938
0.084,-0.074,0.998,1728952553.0589411
0.084,-0.074,0.998,1728952553.0589445
0.084,-0.074,0.998,1728952553.0589476
0.084,-0.074,0.998,1728952553.058951
0.084,-0.074,0.998,1728952553.0589552
0.084,-0.074,0.998,1728952553.0589583
0.084,-0.074,0.998,1728952553.0589616
0.084,-0.074,0.998,1728952553.0589647
0.084,-0.074,0.998,1728952553.0589678
0.084,-0.08,1.012,1728952553.058971
0.084,-0.08,1.012,1728952553.058974
0.084,-0.08,1.012,1728952553.0589771
0.084,-0.08,1.012,1728952553.0589805
0.084,-0.08,1.012,1728952553.0589836
0.084,-0.08,1.012,1728952553.058987
0.084,-0.08,1.012,1728952553.05899
0.084,-0.08,1.012,1728952553.058993
0.084,-0.08,1.012,1728952553.0589964
0.084,-0.08,1.012,1728952553.0589995
0.088,-0.082,1.018,1728952553.0590026
0.088,-0.082,1.018,1728952553.0590057
0.088,-0.082,1.018,1728952553.05901
0.088,-0.082,1.018,1728952553.0590131
0.088,-0.082,1.018,1728952553.0590165
0.088,-0.082,1.018,1728952553.0590196
0.088,-0.082,1.018,1728952553.059024
0.088,-0.082,1.018,1728952553.059028
0.088,-0.082,1.018,1728952553.059031
0.088,-0.082,1.018,1728952553.059034
0.08600000000000001,-0.08,1.032,1728952553.0590372
0.08600000000000001,-0.08,1.032,1728952553.0590403
0.08600000000000001,-0.08,1.032,1728952553.0590436
0.08600000000000001,-0.08,1.032,1728952553.0590467
0.08600000000000001,-0.08,1.032,1728952553.05905
0.08600000000000001,-0.08,1.032,1728952553.0590532
0.08600000000000001,-0.08,1.032,1728952553.0590563
0.08600000000000001,-0.08,1.032,1728952553.0590596
0.08600000000000001,-0.08,1.032,1728952553.0590627
0.08600000000000001,-0.08,1.032,1728952553.059066
0.088,-0.08600000000000001,1.024,1728952553.0590692
0.088,-0.08600000000000001,1.024,1728952553.0590725
0.088,-0.08600000000000001,1.024,1728952553.0590756
0.088,-0.08600000000000001,1.024,1728952553.0590787
0.088,-0.08600000000000001,1.024,1728952553.059082
0.088,-0.08600000000000001,1.024,1728952553.0590851
0.088,-0.08600000000000001,1.024,1728952553.0590885
0.088,-0.08600000000000001,1.024,1728952553.0590916
0.088,-0.08600000000000001,1.024,1728952553.059096
0.088,-0.08600000000000001,1.024,1728952553.0590992
0.084,-0.094,1.02,1728952553.0591023
0.084,-0.094,1.02,1728952553.0591054
0.084,-0.094,1.02,1728952553.0591085
0.084,-0.094,1.02,1728952553.0591118
0.084,-0.094,1.02,1728952553.059115
0.084,-0.094,1.02,1728952553.059118
0.084,-0.094,1.02,1728952553.0591211
0.084,-0.094,1.02,1728952553.0591245
0.084,-0.094,1.02,1728952553.0591276
0.084,-0.094,1.02,1728952553.0591345
0.082,-0.09,1.026,1728952553.0591376
0.082,-0.09,1.026,1728952553.0591407
0.082,-0.09,1.026,1728952553.0591438
0.082,-0.09,1.026,1728952553.059147
0.082,-0.09,1.026,1728952553.05915
0.082,-0.09,1.026,1728952553.0591533
0.082,-0.09,1.026,1728952553.0591564
0.082,-0.09,1.026,1728952553.0591595
0.082,-0.09,1.026,1728952553.0591629
0.082,-0.09,1.026,1728952553.0591676
0.088,-0.088,1.028,1728952553.0591707
0.088,-0.088,1.028,1728952553.059174
0.088,-0.088,1.028,1728952553.0591772
0.088,-0.088,1.028,1728952553.0591805
0.088,-0.088,1.028,1728952553.0591836
0.088,-0.088,1.028,1728952553.0591867
0.088,-0.088,1.028,1728952553.0591898
0.088,-0.088,1.028,1728952553.059193
0.088,-0.088,1.028,1728952553.0591962
0.088,-0.088,1.028,1728952553.059199
0.084,-0.07200000000000001,1.032,1728952553.0592024
0.084,-0.07200000000000001,1.032,1728952553.0592055
0.084,-0.07200000000000001,1.032,1728952553.0592089
0.084,-0.07200000000000001,1.032,1728952553.5380833
0.084,-0.07200000000000001,1.032,1728952553.5381625
0.084,-0.07200000000000001,1.032,1728952553.5382435
0.084,-0.07200000000000001,1.032,1728952553.5383425
0.084,-0.07200000000000001,1.032,1728952553.5385122
0.084,-0.07200000000000001,1.032,1728952553.5385196
0.084,-0.07200000000000001,1.032,1728952553.5385258
0.088,-0.076,1.032,1728952553.5385392
0.088,-0.076,1.032,1728952553.5385456
0.088,-0.076,1.032,1728952553.538551
0.088,-0.076,1.032,1728952553.5385575
0.088,-0.076,1.032,1728952553.5385635
0.088,-0.076,1.032,1728952553.5385711
0.088,-0.076,1.032,1728952553.5385768
0.088,-0.076,1.032,1728952553.5385833
0.088,-0.076,1.032,1728952553.5385888
0.088,-0.076,1.032,1728952553.5385947
0.08600000000000001,-0.08600000000000001,1.03,1728952553.538601
0.08600000000000001,-0.08600000000000001,1.03,1728952553.538607
0.08600000000000001,-0.08600000000000001,1.03,1728952553.5386128
0.08600000000000001,-0.08600000000000001,1.03,1728952553.5386188
0.08600000000000001,-0.08600000000000001,1.03,1728952553.5386248
0.08600000000000001,-0.08600000000000001,1.03,1728952553.5386305
0.08600000000000001,-0.08600000000000001,1.03,1728952553.5386364
0.08600000000000001,-0.08600000000000001,1.03,1728952553.5386424
0.08600000000000001,-0.08600000000000001,1.03,1728952553.538648
0.08600000000000001,-0.08600000000000001,1.03,1728952553.5386524
0.088,-0.088,1.032,1728952553.5386567
0.088,-0.088,1.032,1728952553.5386612
0.088,-0.088,1.032,1728952553.5386689
0.088,-0.088,1.032,1728952553.5386748
0.088,-0.088,1.032,1728952553.5386806
0.088,-0.088,1.032,1728952553.5386865
0.088,-0.088,1.032,1728952553.5386925
0.088,-0.088,1.032,1728952553.5386987
0.088,-0.088,1.032,1728952553.538705
0.088,-0.088,1.032,1728952553.5387113
0.082,-0.084,1.028,1728952553.53874
0.082,-0.084,1.028,1728952553.5387473
0.082,-0.084,1.028,1728952553.5387545
0.082,-0.084,1.028,1728952553.5387604
0.082,-0.084,1.028,1728952553.5387661
0.082,-0.084,1.028,1728952553.538772
0.082,-0.084,1.028,1728952553.5387778
0.082,-0.084,1.028,1728952553.5387845
0.082,-0.084,1.028,1728952553.5387905
0.082,-0.084,1.028,1728952553.538796
0.08600000000000001,-0.084,1.036,1728952553.5388017
0.08600000000000001,-0.084,1.036,1728952553.5388074
0.08600000000000001,-0.084,1.036,1728952553.538814
0.08600000000000001,-0.084,1.036,1728952553.538823
0.08600000000000001,-0.084,1.036,1728952553.5388288
0.08600000000000001,-0.084,1.036,1728952553.5388355
0.08600000000000001,-0.084,1.036,1728952553.5388415
0.08600000000000001,-0.084,1.036,1728952553.5388477
0.08600000000000001,-0.084,1.036,1728952553.5388525
0.08600000000000001,-0.084,1.036,1728952553.538858
0.084,-0.09,1.036,1728952553.538864
0.084,-0.09,1.036,1728952553.5388703
0.084,-0.09,1.036,1728952553.538876
0.084,-0.09,1.036,1728952553.538882
0.084,-0.09,1.036,1728952553.5388875
0.084,-0.09,1.036,1728952553.5388927
0.084,-0.09,1.036,1728952553.5388985
0.084,-0.09,1.036,1728952553.538906
0.084,-0.09,1.036,1728952553.5389333
0.084,-0.09,1.036,1728952553.5389383
0.08600000000000001,-0.08600000000000001,1.028,1728952553.538944
0.08600000000000001,-0.08600000000000001,1.028,1728952553.5389497
0.08600000000000001,-0.08600000000000001,1.028,1728952553.5389552
0.08600000000000001,-0.08600000000000001,1.028,1728952553.5389605
0.08600000000000001,-0.08600000000000001,1.028,1728952553.5389721
0.08600000000000001,-0.08600000000000001,1.028,1728952553.538978
0.08600000000000001,-0.08600000000000001,1.028,1728952553.5389972
0.08600000000000001,-0.08600000000000001,1.028,1728952553.539003
0.08600000000000001,-0.08600000000000001,1.028,1728952553.5390084
0.08600000000000001,-0.08600000000000001,1.028,1728952553.539014
